"Variety Name","Plot Number","Block","LeafPhotoA","LeafPhotoNotesA"
"R1,4","10101","1",,
"SAP-230","10102","1",,
"SO 85","10103","1",,
"SAP-141","10104","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10104_LeafPhotoA_2025-10-15%2015_49_50.215-05_00.jpg",
"Rexx","10105","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10105_LeafPhotoA_2025-10-15%2015_50_32.504-05_00.jpg",
"Check","10106","1",,
"CHILTEX","10107","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10107_LeafPhotoA_2025-10-15%2015_51_25.249-05_00.jpg",
"Ramada_(XK: fromTomClemente_UNL_2024)","10108","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10108_LeafPhotoA_2025-10-15%2015_52_10.075-05_00.jpg",
"P850029","10109","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10109_LeafPhotoA_2025-10-15%2015_52_55.971-05_00.jpg",
"1903 AS 4633","10110","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10110_LeafPhotoA_2025-10-15%2015_53_48.676-05_00.jpg",
"Hamaisi 38","10111","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10111_LeafPhotoA_2025-10-15%2015_54_28.764-05_00.jpg",
"Kireniga 317","10112","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10112_LeafPhotoA_2025-10-15%2015_55_20.688-05_00.jpg",
"Check","10113","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10113_LeafPhotoA_2025-10-15%2015_56_13.335-05_00.jpg",
"SAP-134","10114","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10114_LeafPhotoA_2025-10-15%2015_56_49.259-05_00.jpg",
"Check","10115","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10115_LeafPhotoA_2025-10-15%2015_57_35.705-05_00.jpg",
"Check","10116","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10116_LeafPhotoA_2025-10-15%2015_58_29.918-05_00.jpg",
"SC 85","10117","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10117_LeafPhotoA_2025-10-15%2015_59_01.619-05_00.jpg",
"IS 2319C","10118","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10118_LeafPhotoA_2025-10-15%2016_00_05.527-05_00.jpg",
"K037 Camjin","10119","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10119_LeafPhotoA_2025-10-15%2016_00_41.875-05_00.jpg",
"SAP-148","10120","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10120_LeafPhotoA_2025-10-15%2016_01_29.753-05_00.jpg",
"No. 35 Mab","10121","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10121_LeafPhotoA_2025-10-15%2016_02_17.000-05_00.jpg",
"RTx430_(XK: fromBillRooney_TAMU_2024)","10122","1",,
"Ex-Mubi","10123","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10123_LeafPhotoA_2025-10-15%2016_03_20.972-05_00.jpg",
"Check","10124","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10124_LeafPhotoA_2025-10-15%2016_03_49.545-05_00.jpg",
"SUMAC","10125","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10125_LeafPhotoA_2025-10-15%2016_04_49.077-05_00.jpg",
"Ajabsido","10126","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10126_LeafPhotoA_2025-10-15%2016_05_53.886-05_00.jpg",
"SC 22","10127","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10127_LeafPhotoA_2025-10-15%2016_06_33.305-05_00.jpg",
"Safara, Kordafan","10201","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10201_LeafPhotoA_2025-10-21%2016_04_48.639-05_00.jpg","n=1"
"No. 65 Amelsie, Kimbolcha Ethiopia","10202","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10202_LeafPhotoA_2025-10-21%2016_06_34.888-05_00.jpg",
"AS4616 Balangira-Mwanza","10203","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10203_LeafPhotoA_2025-10-21%2016_08_06.205-05_00.jpg",
"RTX433","10204","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10204_LeafPhotoA_2025-10-21%2016_10_46.513-05_00.jpg",
"SAP-347","10205","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10205_LeafPhotoA_2025-10-21%2016_12_20.123-05_00.jpg",
"SAP-124","10206","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10206_LeafPhotoA_2025-10-21%2016_14_00.223-05_00.jpg",
