"Variety Name","Plot Number","Block","LeafPhotoA","LeafPhotoNotes"
"R1,4","10101","1",,
"SAP-230","10102","1",,
"SO 85","10103","1",,
"SAP-141","10104","1",,
"Rexx","10105","1",,
"Check","10106","1",,
"CHILTEX","10107","1",,
"Ramada_(XK: fromTomClemente_UNL_2024)","10108","1",,
"P850029","10109","1",,
"1903 AS 4633","10110","1",,
"Hamaisi 38","10111","1",,
"Kireniga 317","10112","1",,
"Check","10113","1",,
"SAP-134","10114","1",,
"Check","10115","1",,
"Check","10116","1",,
"SC 85","10117","1",,
"IS 2319C","10118","1",,
"K037 Camjin","10119","1",,
"SAP-148","10120","1",,
"No. 35 Mab","10121","1",,
"RTx430_(XK: fromBillRooney_TAMU_2024)","10122","1",,
"Ex-Mubi","10123","1",,
"Check","10124","1",,
"SUMAC","10125","1",,
"Ajabsido","10126","1",,
"SC 22","10127","1",,
"Safara, Kordafan","10201","1",,
"No. 65 Amelsie, Kimbolcha Ethiopia","10202","1",,
"AS4616 Balangira-Mwanza","10203","1",,
"RTX433","10204","1",,
"SAP-347","10205","1",,
"SAP-124","10206","1",,
"WRAY_(XK: fromBIllRooney_TAMU_2024)","10207","1",,
"SC 1426","10208","1",,
"Check","10209","1",,
"290 Feterita Shendi 2","10210","1",,
"18NL277 @-01","10211","1",,
"MN 707 (preconverted)","10212","1",,
"No. 25 Gobo, Kaichama Ethiopia","10213","1",,
"SAP-250","10214","1",,
"A 84","10215","1",,
"SC 49","10216","1",,
"TX2784","10217","1",,
"Check","10218","1",,
"Accho Karuho","10219","1",,
"SV 34","10220","1",,
"AS 2613 NT","10221","1",,
"Mashica","10222","1",,
"RTX435","10223","1",,
"Check","10224","1",,
"N290B","10225","1",,
"BTx642","10226","1",,
"Check","10227","1",,
"ZA41 Danye","10301","1",,
"Jola Nandyal","10302","1",,
"R4, B1","10303","1",,
"Check","10304","1",,
"SAP-306","10305","1",,
"A/BTx635","10306","1",,
"SC 1047","10307","1",,
"SC 332","10308","1",,
"KANSAS ORANGE","10309","1",,
"SAP-219","10310","1",,
"Check","10311","1",,
"Check","10312","1",,
"SAP-398","10313","1",,
"SAP-287","10314","1",,
"SAP-342","10315","1",,
"SC 621","10316","1",,
"Shan Qui Red","10317","1",,
"BTx3042","10318","1",,
"Check","10319","1",,
"Check","10320","1",,
"T 28","10321","1",,
"Tx2917","10322","1",,
"SAP-225","10323","1",,
"Check","10324","1",,
"JOCORO","10325","1",,
"R9188","10326","1",,
"Tortillerio","10327","1",,
"Check","10401","1",,
"Monshal","10402","1",,
"EC 21463 STR 5/1","10403","1",,
"BTx640","10404","1",,
"SAP-325","10405","1",,
"TX2783","10406","1",,
"SC 1019","10407","1",,
"ROX ORANGE","10408","1",,
"CE151-262-A1","10409","1",,
"No. 4 Hadoui","10410","1",,
"KA 24","10411","1",,
"AS 4055 N Kambwa","10412","1",,
"Check","10413","1",,
"SAP-138","10414","1",,
"Check","10415","1",,
"SC 525","10416","1",,
"SC 1439","10417","1",,
"SC 1215","10418","1",,
"Brawley","10419","1",,
"Orange No. l, Baijo","10420","1",,
"Malwal Aweil","10421","1",,
"Tx2891","10422","1",,
"SAP-133","10423","1",,
"Check","10424","1",,
"RTAM428","10425","1",,
"Check","10426","1",,
"QL3(India)","10427","1",,
"No. 37 Ubi, Abelti Ethiopia","10501","1",,
"Check","10502","1",,
"194 Kano","10503","1",,
"SAP-171","10504","1",,
"PINK KAFIR","10505","1",,
"Ramada_(XK: fromTomClemente_UNL_2024)","10506","1",,
"P9517","10507","1",,
"SC 145","10508","1",,
"SC 1251","10509","1",,
"Sorghum Soroti","10510","1",,
"450 Bori Light Brown","10511","1",,
"Mashila","10512","1",,
"SAP-159","10513","1",,
"IS 3515C","10514","1",,
"Mashica","10515","1",,
"SC 790","10516","1",,
"BTx406","10517","1",,
"SC 639","10518","1",,
"Check","10519","1",,
"740 Oua Berr","10520","1",,
"Check","10521","1",,
"SAP-340","10522","1",,
"BOK11","10523","1",,
"RTX434","10524","1",,
"Check","10525","1",,
"Check","10526","1",,
"88V1080","10527","1",,
"Cholia Talijhari","10601","1",,
"EC 18246 (preconverted)","10602","1",,
"Check","10603","1",,
"Tx2911","10604","1",,
"RED KAFIR","10605","1",,
"90M","10606","1",,
"IS 12623C","10607","1",,
"Check","10608","1",,
"Check","10609","1",,
"Bulfontein White Kafir Corn DL/60/133","10610","1",,
"Check","10611","1",,
"BO 36","10612","1",,
"SAP-280","10613","1",,
"KS19","10614","1",,
"No. 902 Sorghum arundi","10615","1",,
"A/BTx626","10616","1",,
"PLAINSMAN","10617","1",,
"SC 386","10618","1",,
"Deburr","10619","1",,
"Check","10620","1",,
"SAP-275","10621","1",,
"WHEATLAND","10622","1",,
"Check","10623","1",,
"SAP-341","10624","1",,
"Check","10625","1",,
"SC 172","10626","1",,
"Dorado","10627","1",,
"Msumbji SB 117","10701","1",,
"A-96","10702","1",,
"R1, 21","10703","1",,
"Check","10704","1",,
"A/BTxARG-1","10705","1",,
"Check","10706","1",,
"Pinolero 1","10707","1",,
"BTx2752","10708","1",,
"COMBINE HEGARI","10709","1",,
"HC 6028","10710","1",,
"Check","10711","1",,
"No. 1 Gambela","10712","1",,
"DAY MILO","10713","1",,
"SAP-162","10714","1",,
"SAP-311","10715","1",,
"SC 947","10716","1",,
"RTx2536","10717","1",,
"Check","10718","1",,
"Dobbs","10719","1",,
"Jola Nandyal","10720","1",,
"No. 69 Mashela Tinguish, Warakul Ethiopi","10721","1",,
"SAP-154","10722","1",,
"Check","10723","1",,
"SAP-128","10724","1",,
"SC 326-6","10725","1",,
"Check","10726","1",,
"SC 748-5","10727","1",,
"Karad 2-7-11","10801","1",,
"R3, 80","10802","1",,
"AS4660 Kikuma","10803","1",,
"SAP-125","10804","1",,
"R TX 431","10805","1",,
"WRAY_(XK: fromBIllRooney_TAMU_2024)","10806","1",,
"SC 480","10807","1",,
"Check","10808","1",,
"DELLA","10809","1",,
"SO 16","10810","1",,
"Wit Lichtenburg DL/59/1530","10811","1",,
"ZA 71","10812","1",,
"Jowar Red Jankinagar","10813","1",,
"Mashica","10814","1",,
"MARTIN","10815","1",,
"SC 1476","10816","1",,
"KELLER","10817","1",,
"P-721","10818","1",,
"18NL048 @-01","10819","1",,
"SAP-206","10820","1",,
"IS 18696","10821","1",,
"Check","10822","1",,
"Nkuli Swaziland","10823","1",,
"No. 64 Netch Addesho Ethiopia","10824","1",,
"SOBERANO","10825","1",,
"SC 968","10826","1",,
"SC 1277","10827","1",,
"KA 21 Gajerar Kaura","10901","1",,
"Mashica","10902","1",,
"SAP-294","10903","1",,
"SAP-137","10904","1",,
"80M","10905","1",,
"Town","10906","1",,
"SC 170-6-17","10907","1",,
"96CD635","10908","1",,
"Check","10909","1",,
"Check","10910","1",,
"K.3 Perimanjial Irungu Cholam","10911","1",,
"MN 1592 (preconverted)","10912","1",,
"SAP-149","10913","1",,
"Lambas","10914","1",,
"SAP-312","10915","1",,
"BTx615","10916","1",,
"Check","10917","1",,
"RTx2910","10918","1",,
"Tuery 11","10919","1",,
"Barking 119","10920","1",,
"Chanan Singoo","10921","1",,
"Check","10922","1",,
"Check","10923","1",,
"BTx623_(XK: fromBIllRooney_TAMU_2024)","10924","1",,
"WILEY","10925","1",,
"SAP-50","10926","1",,
"SC 1484","10927","1",,
"Jonar Tamargundi","11001","1",,
"ICSV 745","11002","1",,
"F.C.I. 4201","11003","1",,
"Check","11004","1",,
"Check","11005","1",,
"DEER","11006","1",,
"SC 702","11007","1",,
"SC 1451","11008","1",,
"SC 25","11009","1",,
"Huria White 621","11010","1",,
"BA45 Faria Bonkum","11011","1",,
"BE 25","11012","1",,
"SAP-150","11013","1",,
"RTx437","11014","1",,
"Chari Uri","11015","1",,
"M35-1","11016","1",,
"Check","11017","1",,
"BTx623_(XK: fromBillRooney_TAMU_2024)","11018","1",,
"54.K.94(Witchweed res.)","11019","1",,
"KA 12 Janjari","11020","1",,
