"S.No","Plot No","Accession","Replication","Population","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"554","250001","PI 629034","Rep 1","SAP",,,,,,,,
"225","250002","PI 533794","Rep 1","SAP",,,,,,,,
"667","250003","PI 656059","Rep 1","SAP",,,,,,,,
"622","250004","PI 656002","Rep 1","SAP",,,,,,,,
"545","250005","PI 597976","Rep 1","SAP",,,,,,,,
"278","250006","PI 533965","Rep 1","SAP",,,,,,,,
"234","250007","PI 533838","Rep 1","SAP",,,,,,,,
"682","250008","PI 656081","Rep 1","SAP",,,,,,,,
"481","250009","PI 576390","Rep 1","SAP",,,,,,,,
"687","250010","PI 656090","Rep 1","SAP",,,,,,,,
"397","250011","PI 565121","Rep 1","SAP",,,,,,,,
"349","250012","PI 552861","Rep 1","SAP",,,,,,,,
"317","250013","PI 534123","Rep 1","SAP",,,,,,,,
"282","250014","PI 533976","Rep 1","SAP",,,,,,,,
"518","250015","PI 595718","Rep 1","SAP",,,,,,,,
"494","250016","PI 576434","Rep 1","SAP",,,,,,,,
"300","250017","PI 534075","Rep 1","SAP",,,,,,,,
"700","250018","PI 656106","Rep 1","SAP",,,,,,,,
"669","250019","PI 656062","Rep 1","SAP",,,,,,,,
"578","250020","PI 642998","Rep 1","SAP",,,,,,,,
"249","250021","PI 533877","Rep 1","SAP",,,,,,,,
"591","250022","PI 653616","Rep 1","SAP",,,,,,,,
"293","250023","PI 534021","Rep 1","SAP",,,,,,,,
"395","250024","PI 564164","Rep 1","SAP",,,,,,,,
"263","250025","PI 533927","Rep 1","SAP",,,,,,,,
"556","250026","PI 629059","Rep 1","SAP",,,,,,,,
"652","250027","PI 656039","Rep 1","SAP",,,,,,,,
"543","250028","PI 597972","Rep 1","SAP",,,,,,,,
"672","250029","PI 656067","Rep 1","SAP",,,,,,,,
"290","250030","PI 533997","Rep 1","SAP",,,,,,,,
