"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"636","250033","PI 656018","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250033_LeafPhotoA_2025-10-01%2008_17_22.671-05_00.jpg","2025-10-01 08:17:23.728-05:00"," ","","1","SM-A166U1"
"636","250033","PI 656018","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250033_LeafPhotoA_2025-10-01%2008_17_59.126-05_00.jpg","2025-10-01 08:17:59.549-05:00"," ","","2","SM-A166U1"
"636","250033","PI 656018","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250033_LeafPhotoA_2025-10-01%2008_19_54.666-05_00.jpg","2025-10-01 08:19:55.098-05:00"," ","","4","SM-A166U1"
"333","250034","PI 534167","Rep 1","SAP","LeafPhotoNotesA","zero plants in the plot ","2025-10-01 08:23:02.255-05:00"," ","","1","SM-A166U1"
"611","250035","PI 655990","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250035_LeafPhotoA_2025-10-01%2008_24_46.418-05_00.jpg","2025-10-01 08:24:46.812-05:00"," ","","2","SM-A166U1"
"611","250035","PI 655990","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250035_LeafPhotoA_2025-10-01%2008_25_31.887-05_00.jpg","2025-10-01 08:25:32.407-05:00"," ","","3","SM-A166U1"
"611","250035","PI 655990","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250035_LeafPhotoA_2025-10-01%2008_26_09.458-05_00.jpg","2025-10-01 08:26:09.857-05:00"," ","","4","SM-A166U1"
"398","250036","PI 566819","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250036_LeafPhotoA_2025-10-01%2008_36_52.214-05_00.jpg","2025-10-01 08:36:52.933-05:00"," ","","1","SM-A166U1"
"398","250036","PI 566819","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250036_LeafPhotoA_2025-10-01%2008_37_20.011-05_00.jpg","2025-10-01 08:37:20.434-05:00"," ","","2","SM-A166U1"
"398","250036","PI 566819","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250036_LeafPhotoA_2025-10-01%2008_37_50.732-05_00.jpg","2025-10-01 08:37:51.117-05:00"," ","","3","SM-A166U1"
"1","250037","PI 17548","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250037_LeafPhotoA_2025-10-01%2008_39_56.883-05_00.jpg","2025-10-01 08:39:57.330-05:00"," ","","1","SM-A166U1"
"1","250037","PI 17548","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250037_LeafPhotoA_2025-10-01%2008_40_33.530-05_00.jpg","2025-10-01 08:40:33.899-05:00"," ","","2","SM-A166U1"
