project,image,username,score,timestamp,comment
images_to_score_20260516,21009_LeafPhotoA_2025-10-24 11_07_24.244-05_00.jpg,Libia,1.5,2026-05-18T08:55:34,
images_to_score_20260516,10111_LeafPhotoA_2025-10-15 15_54_28.764-05_00.jpg,Libia,3.5,2026-05-18T08:55:43,
images_to_score_20260516,10708_LeafPhotoA_2025-10-23 16_47_51.996-05_00.jpg,Libia,1.5,2026-05-18T08:55:46,
images_to_score_20260516,20724_LeafPhotoA_2025-10-23 16_16_17.738-05_00.jpg,Libia,3.5,2026-05-18T08:55:50,
images_to_score_20260516,10903_LeafPhotoA_2025-10-24 10_23_03.277-05_00.jpg,Libia,3.0,2026-05-18T08:55:53,
images_to_score_20260516,10221_LeafPhotoA_2025-10-21 16_31_17.489-05_00.jpg,Libia,4.0,2026-05-18T08:55:56,
images_to_score_20260516,21110_LeafPhotoA_2025-10-24 11_37_49.820-05_00.jpg,Libia,3.0,2026-05-18T08:55:59,
images_to_score_20260516,21123_LeafPhotoA_2025-10-24 11_51_03.164-05_00.jpg,Libia,1.0,2026-05-18T08:56:01,
images_to_score_20260516,10622_LeafPhotoA_2025-10-23 16_17_24.177-05_00.jpg,Libia,2.0,2026-05-18T08:56:05,
images_to_score_20260516,10709_LeafPhotoA_2025-10-23 16_49_39.080-05_00.jpg,Libia,2.0,2026-05-18T08:56:07,
images_to_score_20260516,20813_LeafPhotoA_2025-10-24 09_59_29.968-05_00.jpg,Libia,1.5,2026-05-18T08:56:18,
images_to_score_20260516,20623_LeafPhotoA_2025-10-23 15_02_36.137-05_00.jpg,Libia,2.5,2026-05-18T08:56:34,
images_to_score_20260516,10402_LeafPhotoA_2025-10-23 14_16_47.632-05_00.jpg,Libia,4.5,2026-05-18T08:56:39,
images_to_score_20260516,10206_LeafPhotoA_2025-10-21 16_13_29.186-05_00.jpg,Libia,3.0,2026-05-18T08:56:42,
images_to_score_20260516,10613_LeafPhotoA_2025-10-23 16_06_33.362-05_00.jpg,Libia,2.0,2026-05-18T08:56:44,
images_to_score_20260516,20403_LeafPhotoA_2025-10-23 13_59_05.443-05_00.jpg,Libia,1.5,2026-05-18T08:56:47,
images_to_score_20260516,10215_LeafPhotoA_2025-10-21 16_24_00.345-05_00.jpg,Libia,2.5,2026-05-18T08:56:51,
images_to_score_20260516,11013_LeafPhotoA_2025-10-24 11_21_03.587-05_00.jpg,Libia,1.5,2026-05-18T08:56:54,
images_to_score_20260516,10111_LeafPhotoA_2025-10-15 15_54_20.988-05_00.jpg,Libia,2.5,2026-05-18T08:56:57,
images_to_score_20260516,21104_LeafPhotoA_2025-10-24 11_33_47.037-05_00.jpg,Libia,2.0,2026-05-18T08:57:00,
images_to_score_20260516,11019_LeafPhotoA_2025-10-24 11_26_34.441-05_00.jpg,Libia,2.5,2026-05-18T08:57:04,
images_to_score_20260516,20104_LeafPhotoA_2025-10-23 10_45_37.121-05_00.jpg,Libia,1.0,2026-05-18T08:57:07,
images_to_score_20260516,20823_LeafPhotoA_2025-10-24 10_14_02.675-05_00.jpg,Libia,3.0,2026-05-18T08:57:15,
images_to_score_20260516,11020_LeafPhotoA_2025-10-24 11_28_00.379-05_00.jpg,Libia,3.0,2026-05-18T08:57:17,
images_to_score_20260516,10803_LeafPhotoA_2025-10-24 09_26_15.121-05_00.jpg,Libia,3.0,2026-05-18T08:57:19,
images_to_score_20260516,10223_LeafPhotoA_2025-10-21 16_34_01.169-05_00.jpg,Libia,1.0,2026-05-18T08:57:21,
images_to_score_20260516,20903_LeafPhotoA_2025-10-24 10_25_40.981-05_00.jpg,Libia,3.0,2026-05-18T08:57:28,
images_to_score_20260516,10422_LeafPhotoA_2025-10-23 14_47_13.535-05_00.jpg,Libia,1.5,2026-05-18T08:57:31,
images_to_score_20260516,11410_LeafPhotoA_2025-10-24 13_49_49.229-05_00.jpg,Libia,3.0,2026-05-18T08:57:34,
images_to_score_20260516,10503_LeafPhotoA_2025-10-23 15_00_38.179-05_00.jpg,Libia,2.5,2026-05-18T08:57:36,
images_to_score_20260516,10121_LeafPhotoA_2025-10-15 16_01_43.873-05_00.jpg,Libia,2.5,2026-05-18T08:57:38,
images_to_score_20260516,10719_LeafPhotoA_2025-10-23 17_00_19.195-05_00.jpg,Libia,2.5,2026-05-18T08:57:40,
images_to_score_20260516,10820_LeafPhotoA_2025-10-24 09_40_14.620-05_00.jpg,Libia,2.5,2026-05-18T08:57:43,
images_to_score_20260516,11109_LeafPhotoA_2025-10-24 11_46_04.177-05_00.jpg,Libia,1.5,2026-05-18T08:57:45,
images_to_score_20260516,11326_LeafPhotoA_2025-10-24 13_38_52.451-05_00.jpg,Libia,2.5,2026-05-18T08:57:47,
images_to_score_20260516,20619_LeafPhotoA_2025-10-23 15_00_13.429-05_00.jpg,Libia,2.5,2026-05-18T08:57:49,
images_to_score_20260516,20219_LeafPhotoA_2025-10-23 11_40_13.147-05_00.jpg,Libia,1.5,2026-05-18T08:57:59,
images_to_score_20260516,11513_LeafPhotoA_2025-10-24 14_18_34.385-05_00.jpg,Libia,3.0,2026-05-18T08:58:01,
images_to_score_20260516,20809_LeafPhotoA_2025-10-24 09_55_40.317-05_00.jpg,Libia,1.0,2026-05-18T08:58:03,
images_to_score_20260516,20809_LeafPhotoA_2025-10-24 09_55_40.317-05_00.jpg,Libia,skip,2026-05-18T08:58:12,
images_to_score_20260516,20221_LeafPhotoA_2025-10-23 11_41_38.137-05_00.jpg,Libia,2.5,2026-05-18T08:58:22,
images_to_score_20260516,21305_LeafPhotoA_2025-10-24 14_16_54.487-05_00.jpg,Libia,1.5,2026-05-18T08:58:25,
images_to_score_20260516,21615_LeafPhotoA_2025-10-24 15_52_06.529-05_00.jpg,Libia,3.0,2026-05-18T08:58:31,
images_to_score_20260516,21318_LeafPhotoA_2025-10-24 14_32_30.746-05_00.jpg,Libia,2.0,2026-05-18T08:58:45,
images_to_score_20260516,20102_LeafPhotoA_2025-10-23 10_43_55.433-05_00.jpg,Libia,2.0,2026-05-18T08:58:48,
images_to_score_20260516,10408_LeafPhotoA_2025-10-23 14_25_51.798-05_00.jpg,Libia,1.5,2026-05-18T08:58:53,
images_to_score_20260516,11521_LeafPhotoA_2025-10-24 14_25_48.295-05_00.jpg,Libia,2.0,2026-05-18T08:59:07,
images_to_score_20260516,20325_LeafPhotoA_2025-10-23 12_19_37.960-05_00.jpg,Libia,2.0,2026-05-18T08:59:10,
