genotype,plotNumber,block,range,row,poundsOfNitrogenPerAcre
"R1,4",10101,1,1,1,100
SAP-230,10102,1,2,1,100
SO 85,10103,1,3,1,100
SAP-141,10104,1,4,1,100
Rexx,10105,1,5,1,100
Check,10106,1,6,1,100
CHILTEX,10107,1,7,1,100
Ramada_(XK: fromTomClemente_UNL_2024),10108,1,8,1,100
P850029,10109,1,9,1,100
1903 AS 4633,10110,1,10,1,100
Hamaisi 38,10111,1,11,1,100
Kireniga 317,10112,1,12,1,100
Check,10113,1,13,1,100
SAP-134,10114,1,14,1,100
Check,10115,1,15,1,100
Check,10116,1,16,1,100
SC 85,10117,1,17,1,100
IS 2319C,10118,1,18,1,100
K037 Camjin,10119,1,19,1,100
SAP-148,10120,1,20,1,100
No. 35 Mab,10121,1,21,1,100
RTx430_(XK: fromBillRooney_TAMU_2024),10122,1,22,1,100
Ex-Mubi,10123,1,23,1,100
Check,10124,1,24,1,100
SUMAC,10125,1,25,1,100
Ajabsido,10126,1,26,1,100
SC 22,10127,1,27,1,100
"Safara, Kordafan",10201,1,1,2,100
"No. 65 Amelsie, Kimbolcha Ethiopia",10202,1,2,2,100
AS4616 Balangira-Mwanza,10203,1,3,2,100
RTX433,10204,1,4,2,100
SAP-347,10205,1,5,2,100
SAP-124,10206,1,6,2,100
WRAY_(XK: fromBIllRooney_TAMU_2024),10207,1,7,2,100
SC 1426,10208,1,8,2,100
Check,10209,1,9,2,100
290 Feterita Shendi 2,10210,1,10,2,100
18NL277 @-01,10211,1,11,2,100
MN 707 (preconverted),10212,1,12,2,100
"No. 25 Gobo, Kaichama Ethiopia",10213,1,13,2,100
SAP-250,10214,1,14,2,100
A 84,10215,1,15,2,100
SC 49,10216,1,16,2,100
TX2784,10217,1,17,2,100
Check,10218,1,18,2,100
Accho Karuho,10219,1,19,2,100
SV 34,10220,1,20,2,100
AS 2613 NT,10221,1,21,2,100
Mashica,10222,1,22,2,100
RTX435,10223,1,23,2,100
Check,10224,1,24,2,100
N290B,10225,1,25,2,100
BTx642,10226,1,26,2,100
Check,10227,1,27,2,100
ZA41 Danye,10301,1,1,3,100
Jola Nandyal,10302,1,2,3,100
"R4, B1",10303,1,3,3,100
Check,10304,1,4,3,100
SAP-306,10305,1,5,3,100
A/BTx635,10306,1,6,3,100
SC 1047,10307,1,7,3,100
SC 332,10308,1,8,3,100
KANSAS ORANGE,10309,1,9,3,100
SAP-219,10310,1,10,3,100
Check,10311,1,11,3,100
Check,10312,1,12,3,100
SAP-398,10313,1,13,3,100
SAP-287,10314,1,14,3,100
SAP-342,10315,1,15,3,100
SC 621,10316,1,16,3,100
Shan Qui Red,10317,1,17,3,100
BTx3042,10318,1,18,3,100
Check,10319,1,19,3,100
Check,10320,1,20,3,100
T 28,10321,1,21,3,100
Tx2917,10322,1,22,3,100
SAP-225,10323,1,23,3,100
Check,10324,1,24,3,100
JOCORO,10325,1,25,3,100
R9188,10326,1,26,3,100
Tortillerio,10327,1,27,3,100
Check,10401,1,1,4,100
Monshal,10402,1,2,4,100
EC 21463 STR 5/1,10403,1,3,4,100
BTx640,10404,1,4,4,100
SAP-325,10405,1,5,4,100
TX2783,10406,1,6,4,100
SC 1019,10407,1,7,4,100
ROX ORANGE,10408,1,8,4,100
CE151-262-A1,10409,1,9,4,100
No. 4 Hadoui,10410,1,10,4,100
KA 24,10411,1,11,4,100
AS 4055 N Kambwa,10412,1,12,4,100
Check,10413,1,13,4,100
SAP-138,10414,1,14,4,100
Check,10415,1,15,4,100
SC 525,10416,1,16,4,100
SC 1439,10417,1,17,4,100
SC 1215,10418,1,18,4,100
Brawley,10419,1,19,4,100
"Orange No. l, Baijo",10420,1,20,4,100
Malwal Aweil,10421,1,21,4,100
Tx2891,10422,1,22,4,100
SAP-133,10423,1,23,4,100
Check,10424,1,24,4,100
RTAM428,10425,1,25,4,100
Check,10426,1,26,4,100
QL3(India),10427,1,27,4,100
"No. 37 Ubi, Abelti Ethiopia",10501,1,1,5,100
Check,10502,1,2,5,100
194 Kano,10503,1,3,5,100
SAP-171,10504,1,4,5,100
PINK KAFIR,10505,1,5,5,100
Ramada_(XK: fromTomClemente_UNL_2024),10506,1,6,5,100
P9517,10507,1,7,5,100
SC 145,10508,1,8,5,100
SC 1251,10509,1,9,5,100
Sorghum Soroti,10510,1,10,5,100
450 Bori Light Brown,10511,1,11,5,100
Mashila,10512,1,12,5,100
SAP-159,10513,1,13,5,100
IS 3515C,10514,1,14,5,100
Mashica,10515,1,15,5,100
SC 790,10516,1,16,5,100
BTx406,10517,1,17,5,100
SC 639,10518,1,18,5,100
Check,10519,1,19,5,100
740 Oua Berr,10520,1,20,5,100
Check,10521,1,21,5,100
SAP-340,10522,1,22,5,100
BOK11,10523,1,23,5,100
RTX434,10524,1,24,5,100
Check,10525,1,25,5,100
Check,10526,1,26,5,100
88V1080,10527,1,27,5,100
Cholia Talijhari,10601,1,1,6,100
EC 18246 (preconverted),10602,1,2,6,100
Check,10603,1,3,6,100
Tx2911,10604,1,4,6,100
RED KAFIR,10605,1,5,6,100
90M,10606,1,6,6,100
IS 12623C,10607,1,7,6,100
Check,10608,1,8,6,100
Check,10609,1,9,6,100
Bulfontein White Kafir Corn DL/60/133,10610,1,10,6,100
Check,10611,1,11,6,100
BO 36,10612,1,12,6,100
SAP-280,10613,1,13,6,100
KS19,10614,1,14,6,100
No. 902 Sorghum arundi,10615,1,15,6,100
A/BTx626,10616,1,16,6,100
PLAINSMAN,10617,1,17,6,100
SC 386,10618,1,18,6,100
Deburr,10619,1,19,6,100
Check,10620,1,20,6,100
SAP-275,10621,1,21,6,100
WHEATLAND,10622,1,22,6,100
Check,10623,1,23,6,100
SAP-341,10624,1,24,6,100
Check,10625,1,25,6,100
SC 172,10626,1,26,6,100
Dorado,10627,1,27,6,100
Msumbji SB 117,10701,1,1,7,100
A-96,10702,1,2,7,100
"R1, 21",10703,1,3,7,100
Check,10704,1,4,7,100
A/BTxARG-1,10705,1,5,7,100
Check,10706,1,6,7,100
Pinolero 1,10707,1,7,7,100
BTx2752,10708,1,8,7,100
COMBINE HEGARI,10709,1,9,7,100
HC 6028,10710,1,10,7,100
Check,10711,1,11,7,100
No. 1 Gambela,10712,1,12,7,100
DAY MILO,10713,1,13,7,100
SAP-162,10714,1,14,7,100
SAP-311,10715,1,15,7,100
SC 947,10716,1,16,7,100
RTx2536,10717,1,17,7,100
Check,10718,1,18,7,100
Dobbs,10719,1,19,7,100
Jola Nandyal,10720,1,20,7,100
"No. 69 Mashela Tinguish, Warakul Ethiopi",10721,1,21,7,100
SAP-154,10722,1,22,7,100
Check,10723,1,23,7,100
SAP-128,10724,1,24,7,100
SC 326-6,10725,1,25,7,100
Check,10726,1,26,7,100
SC 748-5,10727,1,27,7,100
Karad 2-7-11,10801,1,1,8,100
"R3, 80",10802,1,2,8,100
AS4660 Kikuma,10803,1,3,8,100
SAP-125,10804,1,4,8,100
R TX 431,10805,1,5,8,100
WRAY_(XK: fromBIllRooney_TAMU_2024),10806,1,6,8,100
SC 480,10807,1,7,8,100
Check,10808,1,8,8,100
DELLA,10809,1,9,8,100
SO 16,10810,1,10,8,100
Wit Lichtenburg DL/59/1530,10811,1,11,8,100
ZA 71,10812,1,12,8,100
Jowar Red Jankinagar,10813,1,13,8,100
Mashica,10814,1,14,8,100
MARTIN,10815,1,15,8,100
SC 1476,10816,1,16,8,100
KELLER,10817,1,17,8,100
P-721,10818,1,18,8,100
18NL048 @-01,10819,1,19,8,100
SAP-206,10820,1,20,8,100
IS 18696,10821,1,21,8,100
Check,10822,1,22,8,100
Nkuli Swaziland,10823,1,23,8,100
No. 64 Netch Addesho Ethiopia,10824,1,24,8,100
SOBERANO,10825,1,25,8,100
SC 968,10826,1,26,8,100
SC 1277,10827,1,27,8,100
KA 21 Gajerar Kaura,10901,1,1,9,100
Mashica,10902,1,2,9,100
SAP-294,10903,1,3,9,100
SAP-137,10904,1,4,9,100
80M,10905,1,5,9,100
Town,10906,1,6,9,100
SC 170-6-17,10907,1,7,9,100
96CD635,10908,1,8,9,100
Check,10909,1,9,9,100
Check,10910,1,10,9,100
K.3 Perimanjial Irungu Cholam,10911,1,11,9,100
MN 1592 (preconverted),10912,1,12,9,100
SAP-149,10913,1,13,9,100
Lambas,10914,1,14,9,100
SAP-312,10915,1,15,9,100
BTx615,10916,1,16,9,100
Check,10917,1,17,9,100
RTx2910,10918,1,18,9,100
Tuery 11,10919,1,19,9,100
Barking 119,10920,1,20,9,100
Chanan Singoo,10921,1,21,9,100
Check,10922,1,22,9,100
Check,10923,1,23,9,100
BTx623_(XK: fromBIllRooney_TAMU_2024),10924,1,24,9,100
WILEY,10925,1,25,9,100
SAP-50,10926,1,26,9,100
SC 1484,10927,1,27,9,100
Jonar Tamargundi,11001,1,1,10,100
ICSV 745,11002,1,2,10,100
F.C.I. 4201,11003,1,3,10,100
Check,11004,1,4,10,100
Check,11005,1,5,10,100
DEER,11006,1,6,10,100
SC 702,11007,1,7,10,100
SC 1451,11008,1,8,10,100
SC 25,11009,1,9,10,100
Huria White 621,11010,1,10,10,100
BA45 Faria Bonkum,11011,1,11,10,100
BE 25,11012,1,12,10,100
SAP-150,11013,1,13,10,100
RTx437,11014,1,14,10,100
Chari Uri,11015,1,15,10,100
M35-1,11016,1,16,10,100
Check,11017,1,17,10,100
BTx623_(XK: fromBillRooney_TAMU_2024),11018,1,18,10,100
54.K.94(Witchweed res.),11019,1,19,10,100
KA 12 Janjari,11020,1,20,10,100
RED AMBER,11021,1,21,10,100
SAP-264,11022,1,22,10,100
SAN CHI SAN,11023,1,23,10,100
TEXAS BLACKHULL KAFIR,11024,1,24,10,100
SC 695,11025,1,25,10,100
Check,11026,1,26,10,100
SC 610,11027,1,27,10,100
SB-283,11101,1,1,11,100
IS 12661,11102,1,2,11,100
Check,11103,1,3,11,100
Mashica,11104,1,4,11,100
ICSV 400,11105,1,5,11,100
SAP-131,11106,1,6,11,100
MR732,11107,1,7,11,100
SC 498,11108,1,8,11,100
SC 1271,11109,1,9,11,100
P 3742,11110,1,10,11,100
Kokla,11111,1,11,11,100
Maja Abiad Q2/2/68,11112,1,12,11,100
SAP-151,11113,1,13,11,100
SAP-139,11114,1,14,11,100
EC 21361 G30,11115,1,15,11,100
Check,11116,1,16,11,100
N250B,11117,1,17,11,100
Check,11118,1,18,11,100
Budy,11119,1,19,11,100
"No. 59 Bekedjie, Kembolcha Ethiopia",11120,1,20,11,100
No. 5 Gambela,11121,1,21,11,100
SAP-336,11122,1,22,11,100
Tx2741,11123,1,23,11,100
MN 708 (preconverted),11124,1,24,11,100
Check,11125,1,25,11,100
Check,11126,1,26,11,100
SC 1494,11127,1,27,11,100
WHITE KAFIR,11201,1,1,12,100
Kodilib,11202,1,2,12,100
Check,11203,1,3,12,100
Segaolane,11204,1,4,12,100
RIO,11205,1,5,12,100
Check,11206,1,6,12,100
SC 1074,11207,1,7,12,100
Check,11208,1,8,12,100
Check,11209,1,9,12,100
255 Tirter,11210,1,10,12,100
Sinidyil 177,11211,1,11,12,100
Check,11212,1,12,12,100
Marupantse,11213,1,13,12,100
EC 21428 SB 63,11214,1,14,12,100
SAP-323,11215,1,15,12,100
SC 391,11216,1,16,12,100
SC 373,11217,1,17,12,100
SC 1465,11218,1,18,12,100
Check,11219,1,19,12,100
Framiola DL/59/1539,11220,1,20,12,100
SAP-263,11221,1,21,12,100
SAP-157,11222,1,22,12,100
KS 115,11223,1,23,12,100
Black Spanish,11224,1,24,12,100
SC 59,11225,1,25,12,100
TX 378 (REDLAN) B LINE,11226,1,26,12,100
LianTang Ai,11227,1,27,12,100
Check,11301,1,1,13,100
J.A.T.S. #67,11302,1,2,13,100
Bonkum,11303,1,3,13,100
Check,11304,1,4,13,100
SEPON82,11305,1,5,13,100
SAP-166,11306,1,6,13,100
SC 971,11307,1,7,13,100
COMBINE KAFIR-60,11308,1,8,13,100
Check,11309,1,9,13,100
Nebraska 6350,11310,1,10,13,100
No. 755 Muzeba,11311,1,11,13,100
6428 Sian,11312,1,12,13,100
SAP-168,11313,1,13,13,100
Check,11314,1,14,13,100
