image_path,ExG_P20_disease_pct
10104_LeafPhotoA_2025-10-15 15_49_26.022-05_00_leaf.png,5.04
10104_LeafPhotoA_2025-10-15 15_49_38.285-05_00_leaf.png,52.73
10104_LeafPhotoA_2025-10-15 15_49_50.215-05_00_leaf.png,21.84
10105_LeafPhotoA_2025-10-15 15_50_09.791-05_00_leaf.png,29.43
10105_LeafPhotoA_2025-10-15 15_50_22.180-05_00_leaf.png,25.88
10105_LeafPhotoA_2025-10-15 15_50_32.504-05_00_leaf.png,24.3
10107_LeafPhotoA_2025-10-15 15_50_53.408-05_00_leaf.png,46.49
10107_LeafPhotoA_2025-10-15 15_51_16.347-05_00_leaf.png,38.62
10107_LeafPhotoA_2025-10-15 15_51_25.249-05_00_leaf.png,11.17
10108_LeafPhotoA_2025-10-15 15_51_42.819-05_00_leaf.png,25.92
10108_LeafPhotoA_2025-10-15 15_51_58.932-05_00_leaf.png,18.61
10108_LeafPhotoA_2025-10-15 15_52_10.075-05_00_leaf.png,6.44
10109_LeafPhotoA_2025-10-15 15_52_33.351-05_00_leaf.png,3.13
10109_LeafPhotoA_2025-10-15 15_52_47.033-05_00_leaf.png,0.06
10109_LeafPhotoA_2025-10-15 15_52_55.971-05_00_leaf.png,0.09
10110_LeafPhotoA_2025-10-15 15_53_23.182-05_00_leaf.png,2.89
10110_LeafPhotoA_2025-10-15 15_53_38.404-05_00_leaf.png,0.15
10110_LeafPhotoA_2025-10-15 15_53_48.676-05_00_leaf.png,0.37
10111_LeafPhotoA_2025-10-15 15_54_07.041-05_00_leaf.png,19.47
10111_LeafPhotoA_2025-10-15 15_54_20.988-05_00_leaf.png,3.07
10111_LeafPhotoA_2025-10-15 15_54_28.764-05_00_leaf.png,23.07
10112_LeafPhotoA_2025-10-15 15_54_53.294-05_00_leaf.png,38.26
10112_LeafPhotoA_2025-10-15 15_55_03.199-05_00_leaf.png,25.9
10112_LeafPhotoA_2025-10-15 15_55_20.688-05_00_leaf.png,20.59
10113_LeafPhotoA_2025-10-15 15_55_46.981-05_00_leaf.png,15.33
10113_LeafPhotoA_2025-10-15 15_56_02.121-05_00_leaf.png,1.97
10113_LeafPhotoA_2025-10-15 15_56_13.335-05_00_leaf.png,1.82
10114_LeafPhotoA_2025-10-15 15_56_27.232-05_00_leaf.png,5.91
10114_LeafPhotoA_2025-10-15 15_56_37.086-05_00_leaf.png,7.87
10114_LeafPhotoA_2025-10-15 15_56_49.259-05_00_leaf.png,0
10115_LeafPhotoA_2025-10-15 15_57_10.761-05_00_leaf.png,0.63
10115_LeafPhotoA_2025-10-15 15_57_24.327-05_00_leaf.png,11.3
10115_LeafPhotoA_2025-10-15 15_57_35.705-05_00_leaf.png,24.48
10116_LeafPhotoA_2025-10-15 15_58_10.709-05_00_leaf.png,50.9
10116_LeafPhotoA_2025-10-15 15_58_20.712-05_00_leaf.png,47.47
10116_LeafPhotoA_2025-10-15 15_58_29.918-05_00_leaf.png,55.93
