project,image,username,score,timestamp,comment
images_to_score_20260516 2,250307_LeafPhotoA_2025-10-01 14_31_54.489-05_00.jpg,Libia,2.5,2026-05-18T09:08:56,
images_to_score_20260516 2,250611_LeafPhotoA_2025-10-03 09_09_38.306-05_00.jpg,Libia,2.0,2026-05-18T09:13:22,
images_to_score_20260516 2,250010_LeafPhotoA_2025-10-01 08_41_52.727-05_00.jpg,Libia,3.0,2026-05-18T09:13:29,
images_to_score_20260516 2,250359_LeafPhotoA_2025-10-01 14_19_32.462-05_00.jpg,Libia,3.0,2026-05-18T09:13:33,
images_to_score_20260516 2,250139_LeafPhotoA_2025-10-01 10_47_11.410-05_00.jpg,Libia,2.5,2026-05-18T09:13:36,
images_to_score_20260516 2,250592_LeafPhotoA_2025-10-03 08_48_21.968-05_00.jpg,Libia,2.5,2026-05-18T09:13:45,
images_to_score_20260516 2,250140_LeafPhotoA_2025-10-01 10_47_58.236-05_00.jpg,Libia,3.5,2026-05-18T09:13:49,
images_to_score_20260516 2,250611_LeafPhotoA_2025-10-03 09_09_08.774-05_00.jpg,Libia,1.5,2026-05-18T09:13:52,
images_to_score_20260516 2,250621_LeafPhotoA_2025-10-03 09_24_25.798-05_00.jpg,Libia,1.5,2026-05-18T09:13:55,
images_to_score_20260516 2,250340_LeafPhotoA_2025-10-01 14_21_22.811-05_00.jpg,Libia,3.0,2026-05-18T09:14:02,
images_to_score_20260516 2,250079_LeafPhotoA_2025-10-01 08_54_29.929-05_00.jpg,Libia,3.0,2026-05-18T09:14:03,
images_to_score_20260516 2,250038_LeafPhotoA_2025-10-01 08_44_23.121-05_00.jpg,Libia,1.0,2026-05-18T09:14:07,
images_to_score_20260516 2,250609_LeafPhotoA_2025-10-03 09_11_21.593-05_00.jpg,Libia,1.5,2026-05-18T09:14:13,
images_to_score_20260516 2,250351_LeafPhotoA_2025-10-01 14_10_41.198-05_00.jpg,Libia,1.5,2026-05-18T09:14:19,
images_to_score_20260516 2,250279_LeafPhotoA_2025-10-01 13_32_46.606-05_00.jpg,Libia,3.0,2026-05-18T09:14:22,
images_to_score_20260516 2,250388_LeafPhotoA_2025-10-02 10_42_25.799-05_00.jpg,Libia,2.5,2026-05-18T09:14:26,
images_to_score_20260516 2,250050_LeafPhotoA_2025-10-01 09_16_58.370-05_00.jpg,Libia,3.5,2026-05-18T09:14:31,
images_to_score_20260516 2,250011_LeafPhotoA_2025-10-01 08_42_49.368-05_00.jpg,Libia,2.0,2026-05-18T09:14:33,
images_to_score_20260516 2,250035_LeafPhotoA_2025-10-01 08_24_46.418-05_00.jpg,Libia,3.0,2026-05-18T09:14:35,
images_to_score_20260516 2,250102_LeafPhotoA_2025-10-01 09_55_10.203-05_00.jpg,Libia,3.5,2026-05-18T09:14:38,
images_to_score_20260516 2,250010_LeafPhotoA_2025-10-01 08_41_28.159-05_00.jpg,Libia,3.5,2026-05-18T09:14:40,
images_to_score_20260516 2,250640_LeafPhotoA_2025-10-03 09_51_20.592-05_00.jpg,Libia,2.5,2026-05-18T09:14:48,
images_to_score_20260516 2,250360_LeafPhotoA_2025-10-01 14_21_29.779-05_00.jpg,Libia,2.5,2026-05-18T09:14:53,
images_to_score_20260516 2,250442_LeafPhotoA_2025-10-02 13_50_42.013-05_00.jpg,Libia,2.0,2026-05-18T09:14:55,
images_to_score_20260516 2,250298_LeafPhotoA_2025-10-01 14_07_10.363-05_00.jpg,Libia,2.0,2026-05-18T09:14:57,
images_to_score_20260516 2,250067_LeafPhotoA_2025-10-01 09_18_07.466-05_00.jpg,Libia,2.0,2026-05-18T09:15:04,
images_to_score_20260516 2,250645_LeafPhotoA_2025-10-03 09_44_40.285-05_00.jpg,Libia,2.0,2026-05-18T09:15:06,
images_to_score_20260516 2,250042_LeafPhotoA_2025-10-01 08_53_46.110-05_00.jpg,Libia,2.5,2026-05-18T09:15:12,
images_to_score_20260516 2,250610_LeafPhotoA_2025-10-03 09_10_22.824-05_00.jpg,Libia,3.0,2026-05-18T09:15:18,
images_to_score_20260516 2,250166_LeafPhotoA_2025-10-01 09_37_57.691-05_00.jpg,Libia,2.5,2026-05-18T09:15:32,
images_to_score_20260516 2,250099_LeafPhotoA_2025-10-01 09_51_29.634-05_00.jpg,Libia,5.0,2026-05-18T09:15:34,
images_to_score_20260516 2,250476_LeafPhotoA_2025-10-02 14_17_56.845-05_00.jpg,Libia,3.0,2026-05-18T09:15:40,
images_to_score_20260516 2,250028_LeafPhotoA_2025-10-01 08_40_52.513-05_00.jpg,Libia,2.0,2026-05-18T09:15:43,
images_to_score_20260516 2,250194_LeafPhotoA_2025-10-01 10_23_02.910-05_00.jpg,Libia,3.0,2026-05-18T09:15:44,
