"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"554","250001","PI 629034","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250001_LeafPhotoA_2025-10-01%2008_02_24.404-05_00.jpg","2025-10-01 08:02:25.529-05:00"," ","","1","SM-A166U1"
"554","250001","PI 629034","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250001_LeafPhotoA_2025-10-01%2008_02_55.125-05_00.jpg","2025-10-01 08:02:55.909-05:00"," ","","2","SM-A166U1"
"554","250001","PI 629034","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250001_LeafPhotoA_2025-10-01%2008_03_21.340-05_00.jpg","2025-10-01 08:03:21.800-05:00"," ","","3","SM-A166U1"
"225","250002","PI 533794","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250002_LeafPhotoA_2025-10-01%2008_14_29.431-05_00.jpg","2025-10-01 08:14:30.069-05:00"," ","","1","SM-A166U1"
"225","250002","PI 533794","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250002_LeafPhotoA_2025-10-01%2008_14_55.796-05_00.jpg","2025-10-01 08:14:56.179-05:00"," ","","2","SM-A166U1"
"225","250002","PI 533794","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250002_LeafPhotoA_2025-10-01%2008_15_32.996-05_00.jpg","2025-10-01 08:15:33.415-05:00"," ","","3","SM-A166U1"
"667","250003","PI 656059","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250003_LeafPhotoA_2025-10-01%2008_15_59.657-05_00.jpg","2025-10-01 08:16:00.052-05:00"," ","","1","SM-A166U1"
"667","250003","PI 656059","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250003_LeafPhotoA_2025-10-01%2008_16_28.475-05_00.jpg","2025-10-01 08:16:28.864-05:00"," ","","2","SM-A166U1"
"667","250003","PI 656059","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250003_LeafPhotoA_2025-10-01%2008_16_54.304-05_00.jpg","2025-10-01 08:16:54.778-05:00"," ","","3","SM-A166U1"
"622","250004","PI 656002","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250004_LeafPhotoA_2025-10-01%2008_18_28.394-05_00.jpg","2025-10-01 08:18:28.950-05:00"," ","","1","SM-A166U1"
"622","250004","PI 656002","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250004_LeafPhotoA_2025-10-01%2008_18_52.000-05_00.jpg","2025-10-01 08:18:52.375-05:00"," ","","2","SM-A166U1"
"622","250004","PI 656002","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250004_LeafPhotoA_2025-10-01%2008_19_15.486-05_00.jpg","2025-10-01 08:19:15.921-05:00"," ","","3","SM-A166U1"
