S.No,plotNumber,genotype,rep,population,range,row
554,250001,PI 629034,Rep 1,SAP,3,3
225,250002,PI 533794,Rep 1,SAP,3,4
667,250003,PI 656059,Rep 1,SAP,3,5
622,250004,PI 656002,Rep 1,SAP,3,6
545,250005,PI 597976,Rep 1,SAP,3,7
278,250006,PI 533965,Rep 1,SAP,3,8
234,250007,PI 533838,Rep 1,SAP,3,9
682,250008,PI 656081,Rep 1,SAP,3,10
481,250009,PI 576390,Rep 1,SAP,3,11
687,250010,PI 656090,Rep 1,SAP,3,12
397,250011,PI 565121,Rep 1,SAP,3,13
349,250012,PI 552861,Rep 1,SAP,3,14
317,250013,PI 534123,Rep 1,SAP,3,15
282,250014,PI 533976,Rep 1,SAP,3,16
518,250015,PI 595718,Rep 1,SAP,3,17
494,250016,PI 576434,Rep 1,SAP,3,18
300,250017,PI 534075,Rep 1,SAP,4,3
700,250018,PI 656106,Rep 1,SAP,4,4
669,250019,PI 656062,Rep 1,SAP,4,5
578,250020,PI 642998,Rep 1,SAP,4,6
249,250021,PI 533877,Rep 1,SAP,4,7
591,250022,PI 653616,Rep 1,SAP,4,8
293,250023,PI 534021,Rep 1,SAP,4,9
395,250024,PI 564164,Rep 1,SAP,4,10
263,250025,PI 533927,Rep 1,SAP,4,11
556,250026,PI 629059,Rep 1,SAP,4,12
652,250027,PI 656039,Rep 1,SAP,4,13
543,250028,PI 597972,Rep 1,SAP,4,14
672,250029,PI 656067,Rep 1,SAP,4,15
290,250030,PI 533997,Rep 1,SAP,4,16
482,250031,PI 576391,Rep 1,SAP,4,17
551,250032,PI 609456,Rep 1,SAP,4,18
636,250033,PI 656018,Rep 1,SAP,5,3
333,250034,PI 534167,Rep 1,SAP,5,4
611,250035,PI 655990,Rep 1,SAP,5,5
398,250036,PI 566819,Rep 1,SAP,5,6
1,250037,PI 17548,Rep 1,SAP,5,7
679,250038,PI 656076,Rep 1,SAP,5,8
483,250039,PI 576393,Rep 1,SAP,5,9
237,250040,PI 533842,Rep 1,SAP,5,10
666,250041,PI 656058,Rep 1,SAP,5,11
212,250042,PI 533752,Rep 1,SAP,5,12
709,250043,PI 656117,Rep 1,SAP,5,13
651,250044,PI 656038,Rep 1,SAP,5,14
273,250045,PI 533956,Rep 1,SAP,5,15
250,250046,PI 533878,Rep 1,SAP,5,16
296,250047,PI 534046,Rep 1,SAP,5,17
661,250048,PI 656050,Rep 1,SAP,5,18
461,250049,PI 576130,Rep 1,SAP,6,3
550,250050,PI 607931,Rep 1,SAP,6,4
118,250051,PI 329440,Rep 1,SAP,6,5
478,250052,PI 576385,Rep 1,SAP,6,6
529,250053,PI 597950,Rep 1,SAP,6,7
530,250054,PI 597951,Rep 1,SAP,6,8
536,250055,PI 597961,Rep 1,SAP,6,9
656,250056,PI 656044,Rep 1,SAP,6,10
531,250057,PI 597952,Rep 1,SAP,6,11
647,250058,PI 656034,Rep 1,SAP,6,12
498,250059,PI 585291,Rep 1,SAP,6,13
673,250060,PI 656068,Rep 1,SAP,6,14
698,250061,PI 656104,Rep 1,SAP,6,15
352,250062,PI 561073,Rep 1,SAP,6,16
469,250063,PI 576350,Rep 1,SAP,6,17
488,250064,PI 576418,Rep 1,SAP,6,18
275,250065,PI 533961,Rep 1,SAP,7,3
284,250066,PI 533980,Rep 1,SAP,7,4
288,250067,PI 533991,Rep 1,SAP,7,5
538,250068,PI 597965,Rep 1,SAP,7,6
681,250069,PI 656079,Rep 1,SAP,7,7
710,250070,PI 656118,Rep 1,SAP,7,8
674,250071,PI 656070,Rep 1,SAP,7,9
658,250072,PI 656047,Rep 1,SAP,7,10
625,250073,PI 656006,Rep 1,SAP,7,11
465,250074,PI 576340,Rep 1,SAP,7,12
327,250075,PI 534144,Rep 1,SAP,7,13
605,250076,PI 655983,Rep 1,SAP,7,14
477,250077,PI 576380,Rep 1,SAP,7,15
522,250078,PI 595741,Rep 1,SAP,7,16
341,250079,PI 540816,Rep 1,SAP,7,17
6,250080,PI 35038,Rep 1,SAP,7,18
257,250081,PI 533912,Rep 1,SAP,8,3
235,250082,PI 533839,Rep 1,SAP,8,4
266,250083,PI 533939,Rep 1,SAP,8,5
274,250084,PI 533957,Rep 1,SAP,8,6
541,250085,PI 597968,Rep 1,SAP,8,7
677,250086,PI 656074,Rep 1,SAP,8,8
660,250087,PI 656049,Rep 1,SAP,8,9
655,250088,PI 656043,Rep 1,SAP,8,10
676,250089,PI 656072,Rep 1,SAP,8,11
684,250090,PI 656085,Rep 1,SAP,8,12
693,250091,PI 656098,Rep 1,SAP,8,13
470,250092,PI 576352,Rep 1,SAP,8,14
664,250093,PI 656055,Rep 1,SAP,8,15
7,250094,PI 48770,Rep 1,SAP,8,16
678,250095,PI 656075,Rep 1,SAP,8,17
314,250096,PI 534116,Rep 1,SAP,8,18
331,250097,PI 534163,Rep 1,SAP,9,3
712,250098,PI 656120,Rep 1,SAP,9,4
697,250099,PI 656103,Rep 1,SAP,9,5
626,250100,PI 656007,Rep 1,SAP,9,6
495,250101,PI 576435,Rep 1,SAP,9,7
542,250102,PI 597971,Rep 1,SAP,9,8
305,250103,PI 534099,Rep 1,SAP,9,9
287,250104,PI 533989,Rep 1,SAP,9,10
628,250105,PI 656009,Rep 1,SAP,9,11
663,250106,PI 656053,Rep 1,SAP,9,12
604,250107,PI 655982,Rep 1,SAP,9,13
642,250108,PI 656028,Rep 1,SAP,9,14
535,250109,PI 597960,Rep 1,SAP,9,15
471,250110,PI 576359,Rep 1,SAP,9,16
255,250111,PI 533910,Rep 1,SAP,9,17
223,250112,PI 533789,Rep 1,SAP,9,18
285,250113,PI 533985,Rep 1,SAP,10,3
670,250114,PI 656064,Rep 1,SAP,10,4
639,250115,PI 656022,Rep 1,SAP,10,5
313,250116,PI 534115,Rep 1,SAP,10,6
607,250117,PI 655985,Rep 1,SAP,10,7
350,250118,PI 561071,Rep 1,SAP,10,8
572,250119,PI 641874,Rep 1,SAP,10,9
680,250120,PI 656078,Rep 1,SAP,10,10
640,250121,PI 656023,Rep 1,SAP,10,11
517,250122,PI 595714,Rep 1,SAP,10,12
312,250123,PI 534114,Rep 1,SAP,10,13
95,250124,PI 276837,Rep 1,SAP,10,14
299,250125,PI 534070,Rep 1,SAP,10,15
221,250126,PI 533776,Rep 1,SAP,10,16
342,250127,PI 542406,Rep 1,SAP,10,17
231,250128,PI 533822,Rep 1,SAP,10,18
690,250129,PI 656095,Rep 1,SAP,11,3
330,250130,PI 534157,Rep 1,SAP,11,4
608,250131,PI 655986,Rep 1,SAP,11,5
686,250132,PI 656089,Rep 1,SAP,11,7
688,250133,PI 656092,Rep 1,SAP,11,8
659,250134,PI 656048,Rep 1,SAP,11,9
547,250135,PI 597982,Rep 1,SAP,11,10
311,250136,PI 534112,Rep 1,SAP,11,11
708,250137,PI 656115,Rep 1,SAP,11,12
637,250138,PI 656019,Rep 1,SAP,11,13
641,250139,PI 656024,Rep 1,SAP,11,14
596,250140,PI 655973,Rep 1,SAP,11,15
294,250141,PI 534028,Rep 1,SAP,11,16
549,250142,PI 601816,Rep 1,SAP,11,17
633,250143,PI 656014,Rep 1,SAP,11,18
528,250144,PI 597949,Rep 1,SAP,11,19
592,250145,PI 655970,Rep 1,SAP,12,3
271,250146,PI 533954,Rep 1,SAP,12,4
328,250147,PI 534145,Rep 1,SAP,12,5
254,250148,PI 533903,Rep 1,SAP,12,7
524,250149,PI 595744,Rep 1,SAP,12,8
707,250150,PI 656114,Rep 1,SAP,12,9
586,250151,PI 651492,Rep 1,SAP,12,10
606,250152,PI 655984,Rep 1,SAP,12,11
716,250153,PI 659753,Rep 1,SAP,12,12
253,250154,PI 533902,Rep 1,SAP,12,13
344,250155,PI 548797,Rep 1,SAP,12,14
653,250156,PI 656041,Rep 1,SAP,12,15
277,250157,PI 533964,Rep 1,SAP,12,16
464,250158,PI 576339,Rep 1,SAP,12,17
233,250159,PI 533833,Rep 1,SAP,12,18
635,250160,PI 656017,Rep 1,SAP,12,19
256,250161,PI 533911,Rep 1,SAP,13,3
546,250162,PI 597980,Rep 1,SAP,13,4
491,250163,PI 576426,Rep 1,SAP,13,5
479,250164,PI 576386,Rep 1,SAP,13,6
243,250165,PI 533863,Rep 1,SAP,13,7
631,250166,PI 656012,Rep 1,SAP,13,8
267,250167,PI 533940,Rep 1,SAP,13,9
309,250168,PI 534105,Rep 1,SAP,13,10
627,250169,PI 656008,Rep 1,SAP,13,11
610,250170,PI 655989,Rep 1,SAP,13,12
713,250171,PI 656121,Rep 1,SAP,13,13
240,250172,PI 533852,Rep 1,SAP,13,14
533,250173,PI 597957,Rep 1,SAP,13,15
646,250174,PI 656033,Rep 1,SAP,13,16
525,250175,PI 595745,Rep 1,SAP,13,17
598,250176,PI 655975,Rep 1,SAP,13,18
475,250177,PI 576375,Rep 1,SAP,14,3
539,250178,PI 597966,Rep 1,SAP,14,4
213,250179,PI 533754,Rep 1,SAP,14,5
265,250180,PI 533937,Rep 1,SAP,14,6
260,250181,PI 533919,Rep 1,SAP,14,7
354,250182,PI 561472,Rep 1,SAP,14,8
261,250183,PI 533921,Rep 1,SAP,14,9
325,250184,PI 534138,Rep 1,SAP,14,10
258,250185,PI 533913,Rep 1,SAP,14,11
297,250186,PI 534053,Rep 1,SAP,14,12
629,250187,PI 656010,Rep 1,SAP,14,13
534,250188,PI 597958,Rep 1,SAP,14,14
351,250189,PI 561072,Rep 1,SAP,14,15
496,250190,PI 576437,Rep 1,SAP,14,16
394,250191,PI 564163,Rep 1,SAP,14,17
310,250192,PI 534108,Rep 1,SAP,14,18
575,250193,PI 642791,Rep 1,SAP,15,3
229,250194,PI 533810,Rep 1,SAP,15,4
519,250195,PI 595720,Rep 1,SAP,15,6
521,250196,PI 595740,Rep 1,SAP,15,7
289,250197,PI 533996,Rep 1,SAP,15,8
593,250198,PI 655971,Rep 1,SAP,15,9
695,250199,PI 656100,Rep 1,SAP,15,10
600,250200,PI 655977,Rep 1,SAP,15,11
527,250201,PI 597946,Rep 1,SAP,15,12
614,250202,PI 655993,Rep 1,SAP,15,13
548,250203,PI 598069,Rep 1,SAP,15,14
601,250204,PI 655978,Rep 1,SAP,15,15
649,250205,PI 656036,Rep 1,SAP,15,16
632,250206,PI 656013,Rep 1,SAP,15,17
318,250207,PI 534124,Rep 1,SAP,15,18
468,250208,PI 576349,Rep 1,SAP,15,19
218,250209,PI 533761,Rep 1,SAP,16,3
291,250210,PI 533998,Rep 1,SAP,16,4
683,250211,PI 656082,Rep 1,SAP,16,6
211,250212,PI 533750,Rep 1,SAP,16,7
295,250213,PI 534037,Rep 1,SAP,16,8
691,250214,PI 656096,Rep 1,SAP,16,9
319,250215,PI 534127,Rep 1,SAP,16,10
515,250216,PI 595699,Rep 1,SAP,16,11
668,250217,PI 656060,Rep 1,SAP,16,12
493,250218,PI 576428,Rep 1,SAP,16,13
523,250219,PI 595743,Rep 1,SAP,16,14
219,250220,PI 533766,Rep 1,SAP,16,15
238,250221,PI 533843,Rep 1,SAP,16,16
472,250222,PI 576364,Rep 1,SAP,16,17
292,250223,PI 534009,Rep 1,SAP,16,18
694,250224,PI 656099,Rep 1,SAP,16,19
467,250225,PI 576347,Rep 1,SAP,17,3
307,250226,PI 534104,Rep 1,SAP,17,4
348,250227,PI 552856,Rep 1,SAP,17,5
252,250228,PI 533901,Rep 1,SAP,17,6
244,250229,PI 533866,Rep 1,SAP,17,7
671,250230,PI 656065,Rep 1,SAP,17,8
526,250231,PI 597945,Rep 1,SAP,17,9
613,250232,PI 655992,Rep 1,SAP,17,10
217,250233,PI 533760,Rep 1,SAP,17,11
665,250234,PI 656056,Rep 1,SAP,17,12
645,250235,PI 656032,Rep 1,SAP,17,13
603,250236,PI 655981,Rep 1,SAP,17,14
279,250237,PI 533967,Rep 1,SAP,17,15
643,250238,PI 656029,Rep 1,SAP,17,17
466,250239,PI 576345,Rep 1,SAP,17,18
701,250240,PI 656107,Rep 1,SAP,17,19
484,250241,PI 576394,Rep 1,SAP,18,3
576,250242,PI 642793,Rep 1,SAP,18,4
280,250243,PI 533970,Rep 1,SAP,18,5
222,250244,PI 533785,Rep 1,SAP,18,6
460,250245,PI 574455,Rep 1,SAP,18,7
555,250246,PI 629040,Rep 1,SAP,18,8
215,250247,PI 533758,Rep 1,SAP,18,9
612,250248,PI 655991,Rep 1,SAP,18,10
224,250249,PI 533792,Rep 1,SAP,18,11
597,250250,PI 655974,Rep 1,SAP,18,12
283,250251,PI 533979,Rep 1,SAP,18,13
490,250252,PI 576425,Rep 1,SAP,18,14
621,250253,PI 656001,Rep 1,SAP,18,15
264,250254,PI 533936,Rep 1,SAP,18,17
262,250255,PI 533924,Rep 1,SAP,18,18
298,250256,PI 534054,Rep 1,SAP,18,19
301,250257,PI 534079,Rep 1,SAP,19,3
322,250258,PI 534133,Rep 1,SAP,19,4
286,250259,PI 533986,Rep 1,SAP,19,5
702,250260,PI 656108,Rep 1,SAP,19,6
476,250261,PI 576376,Rep 1,SAP,19,7
537,250262,PI 597964,Rep 1,SAP,19,8
474,250263,PI 576373,Rep 1,SAP,19,9
324,250264,PI 534137,Rep 1,SAP,19,10
499,250265,PI 585295,Rep 1,SAP,19,11
620,250266,PI 656000,Rep 1,SAP,19,12
609,250267,PI 655988,Rep 1,SAP,19,13
216,250268,PI 533759,Rep 1,SAP,19,14
214,250269,PI 533757,Rep 1,SAP,19,15
692,250270,PI 656097,Rep 1,SAP,19,16
241,250271,PI 533855,Rep 1,SAP,19,17
323,250272,PI 534135,Rep 1,SAP,19,18
485,250273,PI 576396,Rep 1,SAP,20,3
236,250274,PI 533841,Rep 1,SAP,20,4
281,250275,PI 533972,Rep 1,SAP,20,5
248,250276,PI 533871,Rep 1,SAP,20,6
247,250277,PI 533869,Rep 1,SAP,20,7
615,250278,PI 655994,Rep 1,SAP,20,8
544,250279,PI 597973,Rep 1,SAP,20,9
259,250280,PI 533915,Rep 1,SAP,20,10
228,250281,PI 533807,Rep 1,SAP,20,11
239,250282,PI 533845,Rep 1,SAP,20,12
232,250283,PI 533824,Rep 1,SAP,20,13
599,250284,PI 655976,Rep 1,SAP,20,14
648,250285,PI 656035,Rep 1,SAP,20,15
540,250286,PI 597967,Rep 1,SAP,20,16
638,250287,PI 656021,Rep 1,SAP,20,17
577,250288,PI 642992,Rep 1,SAP,20,18
329,250289,PI 534148,Rep 1,SAP,21,3
270,250290,PI 533949,Rep 1,SAP,21,4
251,250291,PI 533882,Rep 1,SAP,21,5
675,250292,PI 656071,Rep 1,SAP,21,6
272,250293,PI 533955,Rep 1,SAP,21,7
306,250294,PI 534101,Rep 1,SAP,21,8
462,250295,PI 576333,Rep 1,SAP,21,9
220,250296,PI 533769,Rep 1,SAP,21,10
5,250297,PI 34911,Rep 1,SAP,21,11
623,250298,PI 656003,Rep 1,SAP,21,12
516,250299,PI 595702,Rep 1,SAP,21,13
699,250300,PI 656105,Rep 1,SAP,21,14
662,250301,PI 656052,Rep 1,SAP,21,15
706,250302,PI 656112,Rep 1,SAP,21,16
489,250303,PI 576422,Rep 1,SAP,21,17
463,250304,PI 576337,Rep 1,SAP,21,18
321,250305,PI 534132,Rep 1,SAP,22,3
226,250306,PI 533799,Rep 1,SAP,22,4
4,250307,PI 24969,Rep 1,SAP,22,5
703,250308,PI 656109,Rep 1,SAP,22,6
657,250309,PI 656046,Rep 1,SAP,22,7
624,250310,PI 656004,Rep 1,SAP,22,8
326,250311,PI 534139,Rep 1,SAP,22,9
650,250312,PI 656037,Rep 1,SAP,22,10
696,250313,PI 656102,Rep 1,SAP,22,11
304,250314,PI 534097,Rep 1,SAP,22,12
227,250315,PI 533800,Rep 1,SAP,22,13
689,250316,PI 656093,Rep 1,SAP,22,14
630,250317,PI 656011,Rep 1,SAP,22,15
269,250318,PI 533948,Rep 1,SAP,22,16
396,250319,PI 564165,Rep 1,SAP,22,17
568,250320,PI 641849,Rep 1,SAP,22,18
715,250321,PI 659694,Rep 1,SAP,23,3
276,250322,PI 533962,Rep 1,SAP,23,4
602,250323,PI 655979,Rep 1,SAP,23,5
