image_path,ExG_P20_disease_pct
250001_LeafPhotoA_2025-10-01 08_02_24.404-05_00_leaf.png,0.71
250001_LeafPhotoA_2025-10-01 08_02_55.125-05_00_leaf.png,1.19
250001_LeafPhotoA_2025-10-01 08_03_21.340-05_00_leaf.png,1.35
250002_LeafPhotoA_2025-10-01 08_14_29.431-05_00_leaf.png,3.11
250002_LeafPhotoA_2025-10-01 08_14_55.796-05_00_leaf.png,0.84
250002_LeafPhotoA_2025-10-01 08_15_32.996-05_00_leaf.png,3.37
250003_LeafPhotoA_2025-10-01 08_15_59.657-05_00_leaf.png,1.78
250003_LeafPhotoA_2025-10-01 08_16_28.475-05_00_leaf.png,0.22
250003_LeafPhotoA_2025-10-01 08_16_54.304-05_00_leaf.png,1.31
250004_LeafPhotoA_2025-10-01 08_18_28.394-05_00_leaf.png,0.96
250004_LeafPhotoA_2025-10-01 08_18_52.000-05_00_leaf.png,4.63
250004_LeafPhotoA_2025-10-01 08_19_15.486-05_00_leaf.png,10.75
250005_LeafPhotoA_2025-10-01 08_30_32.119-05_00_leaf.png,45.01
250005_LeafPhotoA_2025-10-01 08_30_55.908-05_00_leaf.png,13.78
250005_LeafPhotoA_2025-10-01 08_31_50.896-05_00_leaf.png,11.29
250006_LeafPhotoA_2025-10-01 08_32_31.004-05_00_leaf.png,0.47
250006_LeafPhotoA_2025-10-01 08_32_56.092-05_00_leaf.png,0.03
250006_LeafPhotoA_2025-10-01 08_33_19.679-05_00_leaf.png,0.65
250007_LeafPhotoA_2025-10-01 08_34_44.348-05_00_leaf.png,70.21
250007_LeafPhotoA_2025-10-01 08_35_26.547-05_00_leaf.png,54.18
250007_LeafPhotoA_2025-10-01 08_35_44.605-05_00_leaf.png,34.62
250008_LeafPhotoA_2025-10-01 08_36_35.273-05_00_leaf.png,7.58
250008_LeafPhotoA_2025-10-01 08_36_58.860-05_00_leaf.png,5.43
250008_LeafPhotoA_2025-10-01 08_37_27.845-05_00_leaf.png,2.48
250009_LeafPhotoA_2025-10-01 08_39_47.871-05_00_leaf.png,0.48
250009_LeafPhotoA_2025-10-01 08_40_02.953-05_00_leaf.png,12.5
250009_LeafPhotoA_2025-10-01 08_40_14.699-05_00_leaf.png,26.19
250010_LeafPhotoA_2025-10-01 08_41_28.159-05_00_leaf.png,13
250010_LeafPhotoA_2025-10-01 08_41_52.727-05_00_leaf.png,4.97
250010_LeafPhotoA_2025-10-01 08_42_05.816-05_00_leaf.png,35.29
