1903 AS 4633	PI533936
194 Kano	PI534054
2033Z-3	PI533970
255 Tirter	PI533866
290 Feterita Shendi 2	PI533769
450 Bori Light Brown	PI534047
54.K.94(Witchweed res.)	PI533752
6428 Sian	PI534037
740 Oua Berr	PI533863
80M	PI656041
88V1080	PI656006
90M	PI656012
96CD635	PI656062
A 84	PI534099
A-106	PI534101
A-96	PI533901
A/BTx626	PI552856
A/BTx635	PI561073
A/BTxARG-1	PI561072
Accho Karuho	PI534114
Ajabsido	PI656015
Akwu	PI534115
AS 2613 NT	PI533943
AS 4055 N Kambwa	PI533939
AS 5826 Holcus	PI533938
AS4616 Balangira-Mwanza	PI533822
AS4660 Kikuma	PI533821
BA45 Faria Bonkum	PI533838
Barking 119	PI533985
BE 25	PI534070
BO 36	PI534063
BOK11	PI656002
Brawley	PI533998
BTx2752	PI656018
BTx2928	PI629059
BTx399	PI655993
BTx406	PI656020
BTx615	PI656022
BTx638	PI574455
BTx640	PI642791
BTx642	PI656021
Budy	PI534137
Bulfontein White Kafir Corn DL/60/133	PI533979
Butivori	PI576359
CE151-262-A1	PI656031
Chanan Singoo	PI533855
Chari Uri	PI576364
CHILTEX	PI655984
Cholia Talijhari	PI533852
COMBINE 7078	PI655990
COMBINE HEGARI	PI659691
COMBINE KAFIR-60	PI655988
Culum Brick	PI533830
DAY MILO	PI641874
Deburr	PI533831
DEER	PI655995
DELLA	PI566819
Dobbs	PI533972
Dorado	PI656034
DWARF YELLOW MILO	PI24969
EC 18246 (preconverted)	PI533845
EC 21360 G29	PI534104
EC 21361 G30	PI534105
EC 21428 SB 63	PI534108
Ex-Mubi	PI576434
F.C.I. 4201	PI34911
F.R. Miller	PI534167
Framiola DL/59/1539	PI533976
Hamaisi 38	PI533996
HC 6028	PI534097
Huria White 621	PI533986
ICSV 1089BF	PI656036
ICSV 400	PI601816
ICSV 401	PI656037
ICSV 745	PI576130
IS 12623C	PI659695
IS 12661	PI276837
IS 18684	PI533758
IS 18696	PI533800
IS 2319C	PI659693
IS 3515C	PI576399
IS 5590C	PI659753
IS 7151C	PI659696
IS 8525(J)	PI656083
J.A.T.S. #67	PI533927
JOCORO	PI656039
Jonar Tamargundi	PI534028
Jowar Red Jankinagar	PI576366
K.3 Perimanjial Irungu Cholam	PI533750
K037 Camjin	PI533839
KA 12 Janjari	PI533876
KA 15 Yazgar Giwa	PI533877
KA 21 Gajerar Kaura	PI533878
KA 24	PI534075
Kabutuwa	PI534144
KANSAS ORANGE	PI641824
Karad 2-7-11	PI533810
KAT83369	PI656043
Kharuth Waragel	PI576390
Kireniga 317	PI533987
Klor	PI533910
Kodilib	PI533789
Kokla	PI533911
KS19	PI655998
Kuyuma	PI656044
Lambas	PI576394
M 1	PI533871
M35-1	PI656047
MACIA	PI565121
Maja Abiad Q2/2/68	PI533949
Malwal Aweil	PI533962
MARTIN	PI655987
MN 1592 (preconverted)	PI533997
MN 707 (preconverted)	PI533957
MN 708 (preconverted)	PI576393
Monshal	PI533757
MR732	PI656051
Msumbji SB 117	PI533869
Mugbash 56/56	PI533759
N250B	PI656052
N290B	PI656053
P850029	PI656056
P898012	PI656057
P9517	PI656058
Nebraska 6350	PI533948
Nkuli Swaziland	PI576340
No. 1 Gambela	PI533792
No. 25 Gobo, Kaichama Ethiopia	PI534123
No. 35 Mab	PI533903
No. 37 Ubi, Abelti Ethiopia	PI534127
No. 4 Hadoui	PI533766
No. 5 Gambela	PI533794
No. 59 Bekedjie, Kembolcha Ethiopia	PI534132
No. 64 Netch Addesho Ethiopia	PI534135
No. 65 Amelsie, Kimbolcha Ethiopia	PI534128
No. 69 Mashela Tinguish, Warakul Ethiopi	PI534133
No. 755 Muzeba	PI533915
No. 902 Sorghum arundi	PI534145
Orange No. l, Baijo	PI533902
P 3742	PI533954
P 3749 Q2/5/62	PI533955
P-721	PI656055
PINK KAFIR	PI655972
Pinolero 1	PI656059
PL 47	PI534079
PLAINSMAN	PI655985
QL3-TEXAS	PI656060
QL3(India)	PI656061
R TX 431	PI655997
R1, 21	PI534148
R1,38	PI533921
R3, 80	PI534155
R9188	PI656007
Ramada_(XK: fromTomClemente_UNL_2024)	PI651493
RCV	PI656008
RED AMBER	PI17548
RED KAFIR	PI655976
REDBINE-60	PI655989
Rexx	PI534163
RIO	PI651496
ROX ORANGE	PI641836
RTAM428	PI656009
RTx2536	PI656010
RTX433	PI564164
RTX434	PI564165
RTX435	PI656004
RTx436	PI561071
RTx437	PI629034
Safara, Kordafan	PI533964
SAP-124	PI576375
SAP-125	PI576376
SAP-128	PI576426
SAP-131	PI595739
SAP-133	PI595740
SAP-134	PI595741
SAP-135	PI576385
SAP-138	PI597961
SAP-139	PI595714
SAP-141	PI576422
SAP-148	PI533965
SAP-150	PI576425
SAP-151	PI597957
SAP-154	PI595743
SAP-157	PI595744
SAP-158	PI597966
SAP-159	PI595745
SAP-162	PI595718
SAP-166	PI597964
SAP-168	PI597968
SAP-171	PI597973
SAP-172	PI597976
SAP-173	PI597980
SAP-175	PI597982
SAP-197	PI597958
SAP-206	PI533807
SAP-219	PI533754
SAP-225	PI597950
SAP-275	PI533980
SAP-280	PI576337
SAP-287	PI576332
SAP-294	PI576345
SAP-306	PI576333
SAP-311	PI595702
SAP-312	PI576339
SAP-323	PI597952
SAP-325	PI576373
SAP-340	PI595699
SAP-342	PI576347
SAP-347	PI576386
SAP-380	PI655982
SAP-386	PI609456
SAP-395	PI597965
SAP-398	PI597972
SAP-404	PI533799
SAP-50	PI655981
SB-283	PI533967
SAP-250	PI597950
SC 0386	PI656119
SC 0332	PI656118
SC 0172	PI656117
SC 0525	PI656101
SC 0498	PI656099
SC 0301	PI656094
SC 0145	PI656082
SC 0480	PI656097
SC 1451	PI656083
SC 1439	PI656081
SC 1429	PI656080
SC 1426	PI656079
SC 1424	PI656078
SC 1271	PI656076
SC 1251	PI656075
SC 1074	PI656073
SC 1019	PI656071
SC 1047	PI656072
SC 1476	PI656087
SC 0621	PI656104
SC 0639	PI656105
SC 0695	PI656106
SC 0971	PI656111
SC 1215	PI656112
SC 1440	PI656115
SC 0947	PI656121
SC 1484	PI656088
SC 1489	PI656089
SC 1494	PI656090
Segaolane	PI656023
SC 170-6-17	PI656068
SC 326-6	PI656069
SC 748-5	PI656070
SEPON82	PI656024
Shan Qui Red	PI656025
Sinidyil 177	PI533991
SO 16	PI533785
SOBERANO	PI656026
Sorghum Soroti	PI533833
SPUR FETERITA	PI655973
Standard Blackhull Kafir	PI655970
STANDARD WHITE MILO	PI655971
SUGAR DRIP	PI586435
SUMAC	PI35038
SURENO	PI561472
SV 34	PI533843
T 28	PI534053
TAM2566	PI655977
Tambroro 7	PI533762
TEXAS BLACKHULL KAFIR	PI655974
Town	PI656028
Tuery 11	PI534139
TX 3197 (COMB KAFIR 60) B LINE	PI655992
TX 378 (REDLAN) B LINE	PI655991
TX 399(DALHART RES WHTLND)B LN	PI655993
TX2783	PI656001
Tx2891	PI548797
Tx2911	PI607931
Tx2917	PI629040
WHEATLAND	PI655975
WILEY	PI655994
Wit Lichtenburg DL/59/1530	PI533961
WRAY_(XK: fromBIllRooney_TAMU_2024)	PI653616
ZA 71	PI534092
