image_path,location,image_id,plotNumber,device,range,row,experiment,block,percentUnhealthy,segmentation_method,excluded,poundsOfNitrogenPerAcre,population,genotype,score_A,score_B,comment_A,comment_B
data/ne2025/device1/1201_LeafPhotoA_2025-09-08 10_44_12.793-05_00.jpg,NE,1201_LeafPhotoA_2025-09-08 10_44_12.793,1201,1,6,53,SbDiv 2025,1,0,CV2,FALSE,90,NA,PI548797,NA,NA,NA,NA
data/ne2025/device1/1201_LeafPhotoA_2025-09-08 10_44_32.680-05_00.jpg,NE,1201_LeafPhotoA_2025-09-08 10_44_32.680,1201,1,6,53,SbDiv 2025,1,0,CV2,FALSE,90,NA,PI548797,NA,NA,NA,NA
data/ne2025/device1/1201_LeafPhotoA_2025-09-08 10_45_01.777-05_00.jpg,NE,1201_LeafPhotoA_2025-09-08 10_45_01.777,1201,1,6,53,SbDiv 2025,1,0.05,CV2,FALSE,90,NA,PI548797,NA,NA,NA,NA
data/ne2025/device1/1202_LeafPhotoA_2025-09-08 10_45_39.926-05_00.jpg,NE,1202_LeafPhotoA_2025-09-08 10_45_39.926,1202,1,6,54,SbDiv 2025,1,0.01,CV2,FALSE,90,NA,PI576356,1,1,NA,NA
data/ne2025/device1/1202_LeafPhotoA_2025-09-08 10_45_58.475-05_00.jpg,NE,1202_LeafPhotoA_2025-09-08 10_45_58.475,1202,1,6,54,SbDiv 2025,1,0.01,CV2,FALSE,90,NA,PI576356,NA,NA,NA,NA
data/ne2025/device1/1202_LeafPhotoA_2025-09-08 10_46_25.784-05_00.jpg,NE,1202_LeafPhotoA_2025-09-08 10_46_25.784,1202,1,6,54,SbDiv 2025,1,0.03,CV2,FALSE,90,NA,PI576356,1.5,1,NA,NA
data/ne2025/device1/1203_LeafPhotoA_2025-09-08 09_17_24.189-05_00.jpg,NE,1203_LeafPhotoA_2025-09-08 09_17_24.189,1203,1,6,5,SbDiv 2025,1,1.22,CV2,FALSE,90,NA,SC1166,NA,NA,NA,NA
data/ne2025/device1/1203_LeafPhotoA_2025-09-08 09_17_50.777-05_00.jpg,NE,1203_LeafPhotoA_2025-09-08 09_17_50.777,1203,1,6,5,SbDiv 2025,1,0.44,CV2,FALSE,90,NA,SC1166,2,2,NA,NA
data/ne2025/device1/1203_LeafPhotoA_2025-09-08 09_19_50.867-05_00.jpg,NE,1203_LeafPhotoA_2025-09-08 09_19_50.867,1203,1,6,5,SbDiv 2025,1,2.31,CV2,FALSE,90,NA,SC1166,2.5,2,NA,NA
data/ne2025/device1/1204_LeafPhotoA_2025-09-08 09_23_23.652-05_00.jpg,NE,1204_LeafPhotoA_2025-09-08 09_23_23.652,1204,1,6,6,SbDiv 2025,1,0.31,CV2,FALSE,90,NA,PI534038,NA,NA,NA,NA
data/ne2025/device1/1204_LeafPhotoA_2025-09-08 09_24_34.513-05_00.jpg,NE,1204_LeafPhotoA_2025-09-08 09_24_34.513,1204,1,6,6,SbDiv 2025,1,0,CV2,FALSE,90,NA,PI534038,NA,NA,NA,NA
data/ne2025/device1/1204_LeafPhotoA_2025-09-08 09_25_21.477-05_00.jpg,NE,1204_LeafPhotoA_2025-09-08 09_25_21.477,1204,1,6,6,SbDiv 2025,1,0.09,CV2,FALSE,90,NA,PI534038,NA,NA,NA,NA
data/ne2025/device1/1205_LeafPhotoA_2025-09-08 09_26_48.852-05_00.jpg,NE,1205_LeafPhotoA_2025-09-08 09_26_48.852,1205,1,6,7,SbDiv 2025,1,0.1,CV2,FALSE,90,NA,PI655991,NA,NA,NA,NA
data/ne2025/device1/1205_LeafPhotoA_2025-09-08 09_27_17.999-05_00.jpg,NE,1205_LeafPhotoA_2025-09-08 09_27_17.999,1205,1,6,7,SbDiv 2025,1,0.03,CV2,FALSE,90,NA,PI655991,1.5,1,NA,NA
data/ne2025/device1/1205_LeafPhotoA_2025-09-08 09_28_04.109-05_00.jpg,NE,1205_LeafPhotoA_2025-09-08 09_28_04.109,1205,1,6,7,SbDiv 2025,1,0.35,CV2,FALSE,90,NA,PI655991,NA,NA,NA,NA
data/ne2025/device1/1206_LeafPhotoA_2025-09-08 09_30_08.342-05_00.jpg,NE,1206_LeafPhotoA_2025-09-08 09_30_08.342,1206,1,6,8,SbDiv 2025,1,0.33,CV2,FALSE,90,NA,PI655992,1.5,2.5,NA,NA
data/ne2025/device1/1206_LeafPhotoA_2025-09-08 09_30_31.899-05_00.jpg,NE,1206_LeafPhotoA_2025-09-08 09_30_31.899,1206,1,6,8,SbDiv 2025,1,0.01,CV2,FALSE,90,NA,PI655992,NA,NA,NA,NA
data/ne2025/device1/1206_LeafPhotoA_2025-09-08 09_31_09.977-05_00.jpg,NE,1206_LeafPhotoA_2025-09-08 09_31_09.977,1206,1,6,8,SbDiv 2025,1,0.01,CV2,FALSE,90,NA,PI655992,NA,NA,NA,NA
