V1,V2,3rdLength,3rdWidth
5001,PI 656057,70,9.8
5002,PI 656011,75,7.4
5003,PI 576347,59,5
5004,Border,74,8
5005,Border,73.5,7.5
5006,Border,70.4,7.1
5007,Border,68,8
5009,BTx623,67,7.5
5014,PI 534117,61,6.7
5015,BTx623,63.5,7
5016,BTx623,72.5,7
5017,PI 533807,84,5.3
5018,PI 533901,64,7.4
5019,PI 597976,59,6.4
5020,PI 533962,54,7.5
5021,PI 655970,65,5.7
5022,BTx623,61,6.8
5023,PI 656027,68,8.7
5024,PI 656029,73.5,7.5
5025,TX430,67,6
5026,PI 656095,85,6.1
5027,PI 576386,60,6.5
5028,PI 656044,58.5,7
5029,PI 656037,64,8
5030,PI 656117,68,7.5
5031,PI 533755,77,6.8
5032,PI 533766,61.5,5.5
5033,PI 533821,63,6.5
5034,PI 655979,62,5
5035,PI 533769,62.5,7.6
5036,PI 656076,48.5,8.5
5037,BTx623,70,8
5038,PI 656041,61,5.5
5039,PI 656020,67,6.5
5040,PI 655976,66.5,5.5
5041,BTx623,67.5,6.8
5042,PI 534096,47.5,6.8
5043,PI 656079,76,6
5044,PI 656072,80,8.5
5045,PI 533980,74.5,6.2
5048,PI 595718,58,6.2
5049,PI 542718,70.5,6.5
5050,PI 533800,70,8.2
5051,PI 656118,64.5,5.3
5052,PI 534115,58,6.5
5053,PI 656043,73.5,6.5
5054,PI 533838,59,6.2
5055,PI 601816,74,8.5
5056,PI 656111,77,6.5
5057,PI 533936,68,6.5
5058,PI 656081,61,7.1
5061,PI 655981,66,5.5
5062,PI 597951,53,5
5063,PI 656092,51.5,7
5064,PI 276837,50,5.5
5065,PI 656016,61,6
5066,PI 576437,59.5,6.5
5067,PI 534144,47.5,6.2
5068,BTx623,69.5,6.5
5069,PI 576352,55,6
5070,PI 655975,71,7
5071,PI 533924,60,7.5
5074,PI 659695,77,7.5
5075,PI 597982,73,7.2
5076,PI 656032,77,7.5
5077,PI 656055,67,6.5
5078,PI 656121,48.5,4.5
5079,PI 656000,72.5,7
5080,PI 533915,44,7
5081,PI 656104,39,4
5082,PI 651496,49,6
5083,PI 595745,64,6.2
5084,PI 656060,60.5,7
5085,PI 34911,66,7
5086,PI 656022,75,7.7
5087,BTx623,63,7.5
5088,PI 656080,69.5,7.5
5089,PI 656090,55.5,4.3
5090,PI 533842,61,6
5091,PI 656018,78,7
5092,PI 533759,60,7.5
5093,PI 533987,60,7
5094,PI 576350,59,4.7
5095,PI 576376,58,5.7
5096,PI 656093,69,5.1
5097,PI 533957,64.5,6.1
5100,BTx623,65,7.2
5101,PI 656110,72,8
5102,PI 533998,59,8
5103,PI 534009,66,6.7
5104,PI 534163,34.5,5
5105,PI 655996,69.5,6
5106,PI 533794,73,8.4
5107,BTx623,77,7
5108,PI 629040,74,7.7
5109,PI 656008,69.5,9
5110,PI 533997,58.5,7.2
5112,PI 656003,55,7
5113,PI 533956,53.5,7.3
5114,PI 656012,66.5,10.3
5115,PI 656087,73.5,6.5
5116,PI 533845,57.5,6.5
5117,PI 534145,65,5.6
5118,PI 656105,64,6.4
5119,PI 598069,46,4.7
5120,PI 576426,65.5,6.5
5121,PI 656030,68.5,5.8
5122,PI 533938,62,7.3
