plot,accession,flagleaflength,flagleafwidth,leaf.number,plant.height
5001,PI 656057,45.7,9.1,15,128
5002,PI 656011,54.7,7.1,14,110
5003,PI 576347,54,4.5,7,85
5004,Border,43,5.1,9,70
5005,Border,42,4.3,12,83
5006,Border,48.2,5.7,11,90
5007,Border,51.3,7.2,10,75
5008,PI 533876,58.3,10,10,80
5009,BTx623,38.1,5.6,12,82
5010,PI 656009,NA,NA,NA,NA
5011,PI 533789,51.5,6.4,15,82
5012,Border,37.5,5.3,12,92
5013,Border,44.5,5.5,10,87
5014,PI 534117,37.5,5.2,12,77
5015,BTx623,38.2,6.1,12,100
5016,BTx623,31.6,4.1,11,101
5017,PI 533807,38.4,6.2,12,82
5018,PI 533901,53.5,6.7,11,88
5019,PI 597976,56,3.6,10,190
5020,PI 533962,34.2,4.7,12,90
5021,PI 655970,NA,NA,NA,NA
5022,BTx623,52.5,5.4,10,62
5023,PI 656027,47.7,7.4,10,78
5024,PI 656029,25.3,3.4,13,97
5025,TX430,31.8,4.3,14,92
5026,PI 656095,42.7,3.5,10,136
5027,PI 576386,51.2,2.9,12,130
5028,PI 656044,44.7,6.8,11,100
5029,PI 656037,51.3,8,14,163
5030,PI 656117,53.3,8.4,9,85
5031,PI 533755,31.9,4.1,10,87
5032,PI 533766,34.6,3.6,11,85
5033,PI 533821,40.5,5.3,13,133
5034,PI 655979,58.1,4.8,11,92
5035,PI 533769,40.7,5.7,10,78
5036,PI 656076,37.1,7.5,12,119
5037,BTx623,57,4.1,12,122
5038,PI 656041,48.8,4.1,16,125
5039,PI 656020,42.2,3.1,11,80
5040,PI 655976,48,5,13,86
5041,BTx623,38.2,5,10,88
5042,PI 534096,39,5.7,14,59
5043,PI 656079,43.8,4.8,13,128
5044,PI 656072,53.9,6.7,16,99
5045,PI 533980,54.1,6.5,13,72
5046,Btx623,27.5,3.4,11,98
5047,PI 534124,NA,NA,15,162
5048,PI 595718,44.2,4,12,282
5049,PI 542718,41,3.4,8,128
5050,PI 533800,48.4,5.6,16,82
5051,PI 656118,37,3.5,12,121
5052,PI 534115,46.5,6.6,14,90
5053,PI 656043,52.5,8.2,13,183
5054,PI 533838,46.5,3.7,12,80
5055,PI 601816,47.9,6.2,13,201
5056,PI 656111,43.7,5.2,12,150
5057,PI 533936,30.8,2.7,12,75
5058,PI 656081,44.5,3.7,7,138
5059,PI 656100,45.1,7,NA,NA
5060,PI 542406,30,5.5,12,93
5061,PI 655981,45,4.8,14,108
5062,PI 597951,38.3,3.6,7,92
5063,PI 656092,30.4,3.7,16,281
5064,PI 276837,30,3,9,140
5065,PI 656016,36.2,4.4,14,97
5066,PI 576437,42.5,4.8,12,159
5067,PI 534144,26,5,11,150
5068,BTx623,36.5,4.5,11,90
5069,PI 576352,17.5,5.4,10,75
5070,PI 655975,28.5,3.3,14,79
5071,PI 533924,38.6,5.2,12,69
