Unique_ID,Range,Row,Plot ID,Genotype,Flowering,Stand Count,Notes
25_2001,2,55,2001,PI 576411,8/15/2025,,
25_2002,2,56,2002,PI 655987,8/7/2025,,
25_2003,2,57,2003,PI 533938,8/11/2025,,
25_2004,2,58,2004,Check,8/10/2025,,
25_2005,2,59,2005,PI 533825,8/10/2025,,
25_2006,2,60,2006,SC1107,8/5/2025,,
25_2007,2,61,2007,PI 533895,7/31/2025,,
25_2008,2,62,2008,PI 576340,8/14/2025,,
25_2009,2,63,2009,PI 533757,8/17/2025,,missed to capture at right time
25_2010,2,64,2010,PI 533810,8/17/2025,,
25_2011,2,65,2011,PI 656083,8/13/2025,,
25_2012,2,66,2012,PI 533861,8/15/2025,,
25_2013,2,67,2013,SC0470,8/18/2025,,dirs
25_2014,2,68,2014,PI 576392,8/12/2025,,
25_2015,2,69,2015,Check,8/11/2025,,
25_2016,2,70,2016,PI 595711,8/17/2025,,
25_2017,2,71,2017,PI 533889,8/5/2025,,
25_2018,2,72,2018,PI 534062,8/17/2025,,
25_2019,2,73,2019,PI 641874,8/15/2025,,
25_2020,2,74,2020,PI 576424,8/20/2025,,
25_2021,2,75,2021,PI 656095,8/5/2025,,
25_2022,2,76,2022,SC0159,8/14/2025,,
25_2023,2,77,2023,SC0640,8/7/2025,,
25_2024,2,78,2024,SC0652,8/5/2025,,
25_2025,2,79,2025,PI 655976,8/12/2025,,
25_2026,2,80,2026,PI 534105,8/11/2025,,
25_2027,2,81,2027,PI 534097,8/12/2025,,
25_2028,2,82,2028,SC1446,8/1/2025,,
25_2029,2,83,2029,PI 533777,8/2/2025,,
25_2030,2,84,2030,Fill,8/11/2025,,
25_2031,2,85,2031,PI 533877,8/7/2025,,
25_2032,2,86,2032,Check,8/10/2025,,
25_2033,2,87,2033,SC1170,8/5/2025,,
25_2034,2,88,2034,PI 534124,8/18/2025,,dirs
25_2035,2,89,2035,PI 597961,8/15/2025,,
25_2036,2,90,2036,PI 655980,8/16/2025,,
25_2037,2,91,2037,PI 533920,8/17/2025,,
25_2038,2,92,2038,PI 533848,8/7/2025,,
25_2039,2,93,2039,PI 534107,8/18/2025,,dirs
25_2040,2,94,2040,PI 533958,8/22/2025,,
25_2041,2,95,2041,PI 533751,8/15/2025,,dirs
25_2042,2,96,2042,PI 534110,8/11/2025,,
25_2043,2,97,2043,SC0860,8/6/2025,,
25_2044,2,98,2044,SC0456,8/12/2025,,
25_2045,2,99,2045,PI 576428,8/16/2025,,
25_2046,2,100,2046,PI 576383,7/31/2025,,
25_2047,2,101,2047,PI 576417,8/12/2025,3,
25_2048,2,102,2048,PI 576364,8/12/2025,,
25_2049,2,103,2049,PI 656060,8/18/2025,,
25_2050,2,104,2050,Check,8/9/2025,,
25_9236,2,105,9236,Border,8/7/2025,,
25_9235,2,106,9235,Border,8/7/2025,,
25_9246,3,106,9246,Border,8/7/2025,,
25_9245,3,105,9245,Border,8/7/2025,,
25_2051,3,104,2051,PI 533763,7/29/2025,,
25_2052,3,103,2052,PI 534164,8/7/2025,,
25_2053,3,102,2053,PI 576419,8/5/2025,2,
25_2054,3,101,2054,PI 534046,8/4/2025,,
25_2055,3,100,2055,PI 534038,8/15/2025,,dirs
25_2056,3,99,2056,PI 533903,8/8/2025,,
25_2057,3,98,2057,PI 533814,8/18/2025,,
25_2058,3,97,2058,PI 533904,8/16/2025,,
25_2059,3,96,2059,PI 595732,8/18/2025,,
25_2060,3,95,2060,PI 534167,8/15/2025,,dirs
25_2061,3,94,2061,PI 534037,8/12/2025,,
25_2062,3,93,2062,Check,8/12/2025,,
25_2063,3,92,2063,PI 534150,8/16/2025,,
25_2064,3,91,2064,PI 533841,8/18/2025,,
25_2065,3,90,2065,PI 534055,8/7/2025,,
25_2066,3,89,2066,PI 595737,8/10/2025,,
25_2067,3,88,2067,PI 595704,8/11/2025,,
25_2068,3,87,2068,PI 659695,8/7/2025,,
25_2069,3,86,2069,SC0893,8/12/2025,,
25_2070,3,85,2070,PI 656051,8/16/2025,,
25_2071,3,84,2071,PI 533876,7/24/2025,,
25_2072,3,83,2072,PI 533884,8/6/2025,,
25_2073,3,82,2073,PI 576391,8/14/2025,,
25_2074,3,81,2074,PI 533817,8/7/2025,3,
25_2075,3,80,2075,PI 655984,8/7/2025,,
25_2076,3,79,2076,Check,8/10/2025,,
25_2077,3,78,2077,PI 534153,8/4/2025,,
25_2078,3,77,2078,PI 533900,8/3/2025,,
25_2079,3,76,2079,PI 533915,8/8/2025,,
25_2080,3,75,2080,PI 597953,7/28/2025,,
25_2081,3,74,2081,PI 533783,8/4/2025,,
25_2082,3,73,2082,PI 534158,8/13/2025,,
25_2083,3,72,2083,SC0157,8/15/2025,,dirs
25_2084,3,71,2084,PI 534022,8/13/2025,,
25_2085,3,70,2085,PI 534048,8/13/2025,,
25_2086,3,69,2086,SC0297,7/29/2025,,
25_2087,3,68,2087,PI 534143,8/12/2025,,
25_2088,3,67,2088,PI 534071,8/5/2025,,
25_2089,3,66,2089,PI 533789,8/18/2025,,
25_2090,3,65,2090,PI 534009,8/18/2025,,
25_2091,3,64,2091,PI 534003,8/17/2025,,
25_2092,3,63,2092,SC0753,8/4/2025,,
25_2093,3,62,2093,PI 533888,8/7/2025,,
25_2094,3,61,2094,PI 656099,7/29/2025,,
25_2095,3,60,2095,PI 597945,8/1/2025,,
25_2096,3,59,2096,PI 533767,8/2/2025,,
25_2097,3,58,2097,PI 533893,8/13/2025,,
25_2098,3,57,2098,PI 656075,8/17/2025,,
25_2099,3,56,2099,PI 656039,8/13/2025,,
25_2100,3,55,2100,PI 534033,8/13/2025,,
25_2101,4,55,2101,SC0814,8/10/2025,,
25_2102,4,56,2102,PI 533899,7/30/2025,,
25_2103,4,57,2103,PI 601743,NA,,
25_2104,4,58,2104,PI 613610,8/7/2025,,
25_2105,4,59,2105,Fill,8/14/2025,,
25_2106,4,60,2106,PI 601554,8/22/2025,,
25_2107,4,61,2107,PI 533910,8/1/2025,,
25_2108,4,62,2108,Check,8/7/2025,,
25_2109,4,63,2109,PI 534108,8/10/2025,,
25_2110,4,64,2110,PI 548797,8/13/2025,,
25_2111,4,65,2111,PI 542406,8/22/2025,,
25_2112,4,66,2112,PI 533831,8/8/2025,,
25_2113,4,67,2113,PI 576395,8/1/2025,,
25_2114,4,68,2114,PI 533804,7/24/2025,,
25_2115,4,69,2115,PI 656035,8/6/2025,,
25_2116,4,70,2116,Check,8/10/2025,,
25_2117,4,71,2117,PI 533846,8/11/2025,,
25_2118,4,72,2118,SC0858,8/4/2025,,
25_2119,4,73,2119,PI 534004,8/11/2025,,
25_2120,4,74,2120,PI 533944,8/16/2025,4,
25_2121,4,75,2121,PI 533832,8/10/2025,,
25_2122,4,76,2122,PI 534064,7/28/2025,,
25_2123,4,77,2123,PI 597963,8/17/2025,,
25_2124,4,78,2124,PI 533833,8/11/2025,,
25_2125,4,79,2125,PI 656003,8/17/2025,,
25_2126,4,80,2126,PI 24969,8/18/2025,,
25_2127,4,81,2127,PI 534144,8/15/2025,,
25_2128,4,82,2128,PI 595709,8/5/2025,,
25_2129,4,83,2129,Check,8/9/2025,,
25_2130,4,84,2130,PI 656015,8/11/2025,,
25_2131,4,85,2131,PI 533979,8/8/2025,,
25_2132,4,86,2132,PI 534018,8/7/2025,,
25_2133,4,87,2133,PI 576333,8/11/2025,,
25_2134,4,88,2134,PI 534041,8/15/2025,,
25_2135,4,89,2135,PI 655992,8/11/2025,,
25_2136,4,90,2136,PI 533891,8/5/2025,,
25_2137,4,91,2137,PI 656022,8/12/2025,,
25_2138,4,92,2138,PI 534163,8/15/2025,,dirs
25_2139,4,93,2139,PI 656087,8/18/2025,,
25_2140,4,94,2140,PI 534088,8/15/2025,,
25_2141,4,95,2141,PI 576332,8/8/2025,,
25_2142,4,96,2142,Check,8/16/2025,,
25_2143,4,97,2143,PI 576376,8/12/2025,,
25_2144,4,98,2144,PI 533902,8/17/2025,,
25_2145,4,99,2145,PI 656014,8/9/2025,,
25_2146,4,100,2146,SC0201,8/18/2025,,
25_2147,4,101,2147,PI 533941,8/7/2025,,
25_2148,4,102,2148,PI 576348,8/11/2025,,
25_2149,4,103,2149,PI 533835,8/12/2025,,
25_2150,4,104,2150,PI 533801,8/12/2025,,
25_9248,4,105,9248,Border,8/6/2025,,
25_9247,4,106,9247,Border,8/5/2025,,
25_9258,5,106,9258,Border,8/7/2025,,
25_9257,5,105,9257,Border,8/7/2025,,
25_2151,5,104,2151,PI 533935,8/6/2025,,
25_2152,5,103,2152,Check,8/10/2025,,
25_2153,5,102,2153,PI 534013,8/18/2025,,
25_2154,5,101,2154,PI 534086,8/16/2025,,
25_2155,5,100,2155,PI 656062,NA,,
25_2156,5,99,2156,PI 533778,8/6/2025,,
25_2157,5,98,2157,PI 659692,8/16/2025,,
25_2158,5,97,2158,PI 534103,8/5/2025,,
25_2159,5,96,2159,PI 533770,8/3/2025,,
25_2160,5,95,2160,PI 597976,8/11/2025,,
25_2161,5,94,2161,SC0371,8/12/2025,,
25_2162,5,93,2162,PI 552861,8/16/2025,,
25_2163,5,92,2163,PI 576431,8/8/2025,2,
25_2164,5,91,2164,PI 576130,8/31/2025,,50% stem lodging
25_2165,5,90,2165,Check,8/9/2025,,
