project,image,username,score,timestamp,comment
UNL,2705_LeafPhotoA_2025-09-09 10_19_54.020-05_00.jpg,Libia,1.5,2026-03-18T00:47:21,
UNL,2601_LeafPhotoA_2025-09-09 10_53_20.928-05_00.jpg,Libia,1,2026-03-18T00:47:35,Quite blurry
UNL,2002_LeafPhotoA_2025-09-08 10_34_30.740-05_00.jpg,Libia,1.5,2026-03-18T00:47:39,
UNL,1346_LeafPhotoA_2025-09-08 10_15_00.579-05_00.jpg,Libia,2.5,2026-03-18T00:48:58,
UNL,2645_LeafPhotoA_2025-09-09 11_30_33.412-05_00.jpg,Libia,2,2026-03-18T00:49:49,Bacteria
UNL,1887_LeafPhotoA_2025-09-09 17_12_27.474-05_00.jpg,Libia,1.5,2026-03-18T00:49:53,
UNL,2664_LeafPhotoA_2025-09-09 11_37_29.251-05_00.jpg,Libia,2,2026-03-18T00:50:04,
UNL,2863_LeafPhotoA_2025-09-09 14_53_39.925-05_00.jpg,Libia,1,2026-03-18T00:50:08,
UNL,1427_LeafPhotoB_2025-09-08 10_19_32.588-05_00.jpg,Libia,2,2026-03-18T00:50:11,
UNL,2872_LeafPhotoA_2025-09-09 14_46_31.841-05_00.jpg,Libia,1,2026-03-18T00:50:14,
UNL,1483_LeafPhotoB_2025-09-08 16_48_33.487-05_00.jpg,Libia,1.5,2026-03-18T00:50:17,
UNL,1268_LeafPhotoA_2025-09-08 16_18_21.694-05_00.jpg,Libia,1.5,2026-03-18T00:50:19,
UNL,1900_LeafPhotoA_2025-09-09 13_45_59.573-05_00.jpg,Libia,2,2026-03-18T00:50:25,
UNL,1118_LeafPhotoA_2025-09-08 10_03_02.378-05_00.jpg,Libia,1,2026-03-18T00:50:27,
UNL,1031_LeafPhotoA_2025-09-08 10_06_33.217-05_00.jpg,Libia,1.5,2026-03-18T00:50:33,
UNL,1608_LeafPhotoA_2025-09-09 09_23_59.629-05_00.jpg,Libia,1.5,2026-03-18T00:50:36,
UNL,1048_LeafPhotoA_2025-09-08 10_27_26.311-05_00.jpg,Libia,1.5,2026-03-18T00:50:40,
UNL,2339_LeafPhotoA_2025-09-08 11_07_39.980-05_00.jpg,Libia,1.5,2026-03-18T00:50:42,
UNL,1864_LeafPhotoA_2025-09-09 16_54_10.885-05_00.jpg,Libia,2,2026-03-18T00:50:55,
UNL,1459_LeafPhotoB_2025-09-08 12_35_29.491-05_00.jpg,Libia,3,2026-03-18T00:51:45,Bacteria
UNL,2906_LeafPhotoA_2025-09-09 16_24_18.555-05_00.jpg,Libia,1.5,2026-03-18T00:51:50,
UNL,1827_LeafPhotoA_2025-09-09 09_28_41.756-05_00.jpg,Libia,1.5,2026-03-18T00:52:00,Bacteria
UNL,2330_LeafPhotoA_2025-09-08 10_58_31.927-05_00.jpg,Libia,1,2026-03-18T00:52:03,
UNL,1411_LeafPhotoA_2025-09-08 09_32_24.163-05_00.jpg,Libia,1.5,2026-03-18T00:52:05,
UNL,1543_LeafPhotoA_2025-09-09 09_43_28.797-05_00.jpg,Libia,2,2026-03-18T00:52:12,
UNL,2675_LeafPhotoA_2025-09-09 11_09_07.955-05_00.jpg,Libia,1.5,2026-03-18T00:52:15,
UNL,1256_LeafPhotoA_2025-09-08 16_33_20.459-05_00.jpg,Libia,2,2026-03-18T00:52:18,
UNL,1214_LeafPhotoA_2025-09-08 09_47_10.824-05_00.jpg,Libia,1.5,2026-03-18T00:52:20,
UNL,2010_LeafPhotoA_2025-09-08 10_43_56.742-05_00.jpg,Libia,1.5,2026-03-18T00:52:23,
UNL,2685_LeafPhotoA_2025-09-09 10_50_31.334-05_00.jpg,Libia,2,2026-03-18T00:52:25,
UNL,1202_LeafPhotoA_2025-09-08 10_45_39.926-05_00.jpg,Libia,1,2026-03-18T00:52:27,
UNL,1594_LeafPhotoA_2025-09-09 09_32_04.545-05_00.jpg,Libia,2,2026-03-18T00:52:32,
UNL,1150_LeafPhotoA_2025-09-08 10_48_11.571-05_00.jpg,Libia,2,2026-03-18T00:52:43,Bacteria
UNL,2843_LeafPhotoA_2025-09-09 11_07_54.202-05_00.jpg,Libia,2,2026-03-18T00:52:46,
UNL,1672_LeafPhotoA_2025-09-09 09_45_47.566-05_00.jpg,Libia,1.5,2026-03-18T00:53:22,Bacteria
UNL,2616_LeafPhotoA_2025-09-09 12_03_18.288-05_00.jpg,Libia,2,2026-03-18T00:53:28,
UNL,1680_LeafPhotoA_2025-09-09 09_30_52.328-05_00.jpg,Libia,1.5,2026-03-18T00:53:33,
UNL,6016_LeafPhotoA_2025-09-09 16_48_44.576-05_00.jpg,Libia,1.5,2026-03-18T00:53:37,
UNL,1945_LeafPhotoA_2025-09-09 16_03_25.425-05_00.jpg,Libia,2,2026-03-18T00:53:41,
UNL,2999_LeafPhotoA_2025-09-09 16_54_48.280-05_00.jpg,Libia,1.5,2026-03-18T00:53:45,
UNL,2344_LeafPhotoA_2025-09-08 11_12_07.490-05_00.jpg,Libia,2,2026-03-18T00:54:00,
UNL,2445_LeafPhotoB_2025-09-08 11_21_12.225-05_00.jpg,Libia,1.5,2026-03-18T00:54:03,
UNL,1030_LeafPhotoA_2025-09-08 10_05_12.593-05_00.jpg,Libia,1.5,2026-03-18T00:54:07,
UNL,1272_LeafPhotoA_2025-09-08 16_15_18.232-05_00.jpg,Libia,3,2026-03-18T00:54:34,
UNL,1138_LeafPhotoA_2025-09-08 10_30_50.978-05_00.jpg,Libia,2,2026-03-18T00:54:38,
UNL,1011_LeafPhotoA_2025-09-08 09_43_02.719-05_00.jpg,Libia,2,2026-03-18T00:54:41,
UNL,2715_LeafPhotoA_2025-09-09 10_34_49.690-05_00.jpg,Libia,2,2026-03-18T00:54:45,
UNL,2469_LeafPhotoB_2025-09-08 11_45_54.424-05_00.jpg,Libia,1.5,2026-03-18T00:54:47,
UNL,1713_LeafPhotoA_2025-09-09 09_08_57.026-05_00.jpg,Libia,3,2026-03-18T00:54:50,
UNL,1984_LeafPhotoA_2025-09-09 16_31_27.437-05_00.jpg,Libia,1,2026-03-18T00:54:57,Blurry
UNL,2965_LeafPhotoA_2025-09-09 16_10_16.858-05_00.jpg,Libia,1.5,2026-03-18T00:55:00,
UNL,1736_LeafPhotoA_2025-09-09 09_48_40.445-05_00.jpg,Libia,1,2026-03-18T00:55:08,
UNL,1086_LeafPhotoA_2025-09-09 10_59_11.313-05_00.jpg,Libia,1.5,2026-03-18T00:55:11,
UNL,1209_LeafPhotoA_2025-09-08 09_37_14.965-05_00.jpg,Libia,1,2026-03-18T00:55:14,
UNL,1644_LeafPhotoA_2025-09-09 10_35_46.183-05_00.jpg,Libia,1.5,2026-03-18T00:55:18,
UNL,2905_LeafPhotoA_2025-09-09 16_23_24.410-05_00.jpg,Libia,2.5,2026-03-18T00:55:21,
UNL,2470_LeafPhotoB_2025-09-08 11_47_37.543-05_00.jpg,Libia,1,2026-03-18T00:55:24,
UNL,1587_LeafPhotoA_2025-09-09 09_37_51.582-05_00.jpg,Libia,1,2026-03-18T00:55:26,
UNL,2144_LeafPhotoA_2025-09-08 12_08_32.877-05_00.jpg,Libia,1.5,2026-03-18T00:55:32,
UNL,2680_LeafPhotoA_2025-09-09 11_02_16.370-05_00.jpg,Libia,3,2026-03-18T00:55:55,
UNL,1411_LeafPhotoA_2025-09-08 09_32_12.507-05_00.jpg,Libia,1.5,2026-03-18T00:56:01,
UNL,1660_LeafPhotoA_2025-09-09 10_09_36.852-05_00.jpg,Libia,1.5,2026-03-18T00:56:08,
UNL,1783_LeafPhotoA_2025-09-09 09_32_23.737-05_00.jpg,Libia,1.5,2026-03-18T00:56:16,blurry
UNL,1966_LeafPhotoA_2025-09-09 17_14_11.633-05_00.jpg,Libia,1.5,2026-03-18T00:56:20,
UNL,2275_LeafPhotoA_2025-09-08 17_08_42.063-05_00.jpg,Libia,1.5,2026-03-18T00:56:25,
UNL,5047_LeafPhotoA_2025-09-09 16_59_13.351-05_00.jpg,Libia,1.5,2026-03-18T00:56:27,
UNL,2878_LeafPhotoA_2025-09-09 14_41_56.851-05_00.jpg,Libia,1.5,2026-03-18T00:56:29,
UNL,2637_LeafPhotoA_2025-09-09 11_40_45.027-05_00.jpg,Libia,1.5,2026-03-18T00:56:32,
UNL,2240_LeafPhotoA_2025-09-08 11_49_15.391-05_00.jpg,Libia,1.5,2026-03-18T00:56:35,
UNL,1877_LeafPhotoA_2025-09-09 17_04_30.257-05_00.jpg,Libia,1.5,2026-03-18T00:56:38,
UNL,2225_LeafPhotoA_2025-09-08 11_27_06.412-05_00.jpg,Libia,1.5,2026-03-18T00:56:41,
UNL,1811_LeafPhotoA_2025-09-09 09_06_09.841-05_00.jpg,Libia,1.5,2026-03-18T00:56:47,
UNL,2775_LeafPhotoA_2025-09-09 15_39_08.142-05_00.jpg,Libia,1,2026-03-18T00:56:52,
UNL,2177_LeafPhotoA_2025-09-09 12_21_22.406-05_00.jpg,Libia,1,2026-03-18T00:56:55,
UNL,1334_LeafPhotoA_2025-09-08 10_01_58.407-05_00.jpg,Libia,2.5,2026-03-18T00:56:58,
UNL,1197_LeafPhotoA_2025-09-08 15_42_33.635-05_00.jpg,Libia,1.5,2026-03-18T00:57:02,
UNL,1196_LeafPhotoA_2025-09-08 15_46_27.438-05_00.jpg,Libia,2,2026-03-18T00:57:06,
UNL,2173_LeafPhotoA_2025-09-09 12_14_23.103-05_00.jpg,Libia,2,2026-03-18T00:57:08,
UNL,1830_LeafPhotoA_2025-09-09 09_33_52.287-05_00.jpg,Libia,2.5,2026-03-18T00:57:11,
UNL,2942_LeafPhotoA_2025-09-09 16_27_44.669-05_00.jpg,Libia,1.5,2026-03-18T00:57:16,
UNL,2301_LeafPhotoA_2025-09-08 10_23_19.706-05_00.jpg,Libia,2,2026-03-18T00:57:19,
UNL,6024_LeafPhotoA_2025-09-09 16_37_05.339-05_00.jpg,Libia,1,2026-03-18T00:57:21,
UNL,2650_LeafPhotoA_2025-09-09 11_24_20.852-05_00.jpg,Libia,1,2026-03-18T00:57:23,
UNL,2671_LeafPhotoA_2025-09-09 11_45_37.038-05_00.jpg,Libia,4,2026-03-18T00:57:34,
UNL,1383_LeafPhotoA_2025-09-08 13_02_56.131-05_00.jpg,Libia,1.5,2026-03-18T00:57:46,
UNL,2197_LeafPhotoA_2025-09-08 17_07_18.265-05_00.jpg,Libia,1,2026-03-18T00:57:50,
UNL,1085_LeafPhotoA_2025-09-09 10_58_08.346-05_00.jpg,Libia,1.5,2026-03-18T00:57:56,
UNL,2891_LeafPhotoA_2025-09-09 14_01_28.259-05_00.jpg,Libia,1.5,2026-03-18T00:57:58,
UNL,1233_LeafPhotoA_2025-09-08 10_18_11.748-05_00.jpg,Libia,1,2026-03-18T00:58:01,
UNL,2597_LeafPhotoA_2025-09-09 10_25_59.565-05_00.jpg,Libia,1,2026-03-18T00:58:05,
UNL,1090_LeafPhotoA_2025-09-09 11_01_46.837-05_00.jpg,Libia,2,2026-03-18T00:58:08,
UNL,2539_LeafPhotoA_2025-09-09 10_38_11.553-05_00.jpg,Libia,1.5,2026-03-18T00:58:12,
