project,image,username,score,timestamp,comment
UNL,1306_LeafPhotoA_2025-09-08 09_21_07.935-05_00.jpg,Ruben,1.5,2026-03-17T22:53:02,
UNL,1880_LeafPhotoA_2025-09-09 13_17_54.406-05_00.jpg,Ruben,1,2026-03-17T22:53:08,
UNL,1830_LeafPhotoA_2025-09-09 09_33_52.287-05_00.jpg,Ruben,1.5,2026-03-17T22:53:13,
UNL,1214_LeafPhotoA_2025-09-08 09_47_10.824-05_00.jpg,Ruben,1.5,2026-03-17T22:53:18,
UNL,1072_LeafPhotoA_2025-09-08 13_03_29.236-05_00.jpg,Ruben,2.5,2026-03-17T22:53:24,
UNL,2144_LeafPhotoA_2025-09-08 12_08_32.877-05_00.jpg,Ruben,1.5,2026-03-17T22:53:31,
UNL,2115_LeafPhotoA_2025-09-08 11_16_33.968-05_00.jpg,Ruben,1.5,2026-03-17T22:53:41,
UNL,2999_LeafPhotoA_2025-09-09 16_54_09.800-05_00.jpg,Ruben,1,2026-03-17T22:53:46,
UNL,2664_LeafPhotoA_2025-09-09 11_37_29.251-05_00.jpg,Ruben,2,2026-03-17T22:53:53,
UNL,1615_LeafPhotoA_2025-09-09 09_39_37.565-05_00.jpg,Ruben,2,2026-03-17T22:53:59,
UNL,1383_LeafPhotoA_2025-09-08 13_02_56.131-05_00.jpg,Ruben,1.5,2026-03-17T22:54:07,
UNL,2863_LeafPhotoA_2025-09-09 14_53_39.925-05_00.jpg,Ruben,2,2026-03-17T22:55:16,
UNL,2257_LeafPhotoA_2025-09-08 12_26_56.434-05_00.jpg,Ruben,1.5,2026-03-17T22:55:30,
UNL,1090_LeafPhotoA_2025-09-09 11_01_46.837-05_00.jpg,Ruben,2,2026-03-17T22:55:42,
UNL,2693_LeafPhotoA_2025-09-09 10_37_58.417-05_00.jpg,Ruben,1,2026-03-17T22:55:50,
UNL,2748_LeafPhotoA_2025-09-09 11_19_26.990-05_00.jpg,Ruben,3,2026-03-17T22:55:58,
UNL,1196_LeafPhotoA_2025-09-08 15_46_27.438-05_00.jpg,Ruben,1.5,2026-03-17T22:56:08,
UNL,5008_LeafPhotoA_2025-09-09 16_06_40.356-05_00.jpg,Ruben,1,2026-03-17T22:56:16,
UNL,1031_LeafPhotoA_2025-09-08 10_06_33.217-05_00.jpg,Ruben,1.5,2026-03-17T22:56:22,
UNL,1864_LeafPhotoA_2025-09-09 16_54_10.885-05_00.jpg,Ruben,2.5,2026-03-17T22:56:36,
UNL,2705_LeafPhotoA_2025-09-09 10_19_54.020-05_00.jpg,Ruben,1,2026-03-17T22:56:45,
UNL,6049_LeafPhotoA_2025-09-09 15_54_47.227-05_00.jpg,Ruben,1,2026-03-17T22:56:50,
UNL,1203_LeafPhotoA_2025-09-08 09_19_50.867-05_00.jpg,Ruben,2,2026-03-17T22:56:59,
UNL,1687_LeafPhotoA_2025-09-09 09_18_28.478-05_00.jpg,Ruben,1,2026-03-17T22:59:10,Wet spots bordered by veins suggest a bacterial infection
UNL,2552_LeafPhotoA_2025-09-09 11_07_31.178-05_00.jpg,Ruben,1.5,2026-03-17T22:59:20,
UNL,6024_LeafPhotoA_2025-09-09 16_37_05.339-05_00.jpg,Ruben,1,2026-03-17T22:59:25,
UNL,1623_LeafPhotoA_2025-09-09 09_57_37.816-05_00.jpg,Ruben,1.5,2026-03-17T22:59:32,
UNL,2650_LeafPhotoA_2025-09-09 11_24_20.852-05_00.jpg,Ruben,1,2026-03-17T22:59:36,
UNL,2344_LeafPhotoA_2025-09-08 11_12_07.490-05_00.jpg,Ruben,1.5,2026-03-17T22:59:44,
UNL,2076_LeafPhotoA_2025-09-08 12_11_50.135-05_00.jpg,Ruben,1,2026-03-17T22:59:55,
UNL,1641_LeafPhotoA_2025-09-09 10_30_20.507-05_00.jpg,Ruben,1,2026-03-17T23:00:00,
UNL,2429_LeafPhotoB_2025-09-08 11_05_20.910-05_00.jpg,Ruben,2.5,2026-03-17T23:00:11,
UNL,1587_LeafPhotoA_2025-09-09 09_37_51.582-05_00.jpg,Ruben,2,2026-03-17T23:00:18,
UNL,1758_LeafPhotoA_2025-09-09 10_31_19.555-05_00.jpg,Ruben,2.5,2026-03-17T23:00:38,
UNL,1413_LeafPhotoA_2025-09-08 09_35_26.834-05_00.jpg,Ruben,2,2026-03-17T23:00:47,
UNL,2974_LeafPhotoA_2025-09-09 16_23_04.095-05_00.jpg,Ruben,3.5,2026-03-17T23:01:02,
UNL,2339_LeafPhotoA_2025-09-08 11_07_39.980-05_00.jpg,Ruben,1,2026-03-17T23:01:11,
UNL,1619_LeafPhotoA_2025-09-09 09_49_42.512-05_00.jpg,Ruben,1.5,2026-03-17T23:01:37,
UNL,1863_LeafPhotoA_2025-09-09 13_33_41.872-05_00.jpg,Ruben,2.5,2026-03-17T23:02:18,
UNL,1772_LeafPhotoA_2025-09-09 09_57_17.313-05_00.jpg,Ruben,1,2026-03-17T23:02:28,
UNL,1736_LeafPhotoA_2025-09-09 09_48_40.445-05_00.jpg,Ruben,1,2026-03-17T23:02:50,
UNL,2330_LeafPhotoA_2025-09-08 10_58_31.927-05_00.jpg,Ruben,1.5,2026-03-17T23:03:02,
UNL,1151_LeafPhotoA_2025-09-08 16_59_29.011-05_00.jpg,Ruben,2.5,2026-03-17T23:03:51,
UNL,1585_LeafPhotoA_2025-09-09 09_39_14.646-05_00.jpg,Ruben,4,2026-03-17T23:04:09,
UNL,2469_LeafPhotoB_2025-09-08 11_45_54.424-05_00.jpg,Ruben,2,2026-03-17T23:04:17,
UNL,1722_LeafPhotoA_2025-09-09 09_21_25.253-05_00.jpg,Ruben,3,2026-03-17T23:04:26,
UNL,2173_LeafPhotoA_2025-09-09 12_14_23.103-05_00.jpg,Ruben,2,2026-03-17T23:04:32,
UNL,1048_LeafPhotoA_2025-09-08 10_27_26.311-05_00.jpg,Ruben,1,2026-03-17T23:06:00,
UNL,2680_LeafPhotoA_2025-09-09 11_02_16.370-05_00.jpg,Ruben,3,2026-03-17T23:06:21,
UNL,1118_LeafPhotoA_2025-09-08 10_03_02.378-05_00.jpg,Ruben,1,2026-03-17T23:06:25,
UNL,1660_LeafPhotoA_2025-09-09 10_09_36.852-05_00.jpg,Ruben,1.5,2026-03-17T23:07:01,
UNL,2436_LeafPhotoB_2025-09-08 11_12_35.180-05_00.jpg,Ruben,1.5,2026-03-17T23:07:16,
UNL,2594_LeafPhotoA_2025-09-09 10_28_20.057-05_00.jpg,Ruben,1.5,2026-03-17T23:07:22,
UNL,2843_LeafPhotoA_2025-09-09 11_07_54.202-05_00.jpg,Ruben,2.5,2026-03-17T23:07:30,
UNL,1483_LeafPhotoB_2025-09-08 16_48_33.487-05_00.jpg,Ruben,1,2026-03-17T23:07:46,
UNL,2011_LeafPhotoA_2025-09-08 10_45_16.513-05_00.jpg,Ruben,2,2026-03-17T23:07:51,
UNL,2166_LeafPhotoA_2025-09-09 11_59_53.673-05_00.jpg,Ruben,2,2026-03-17T23:08:00,
UNL,1085_LeafPhotoA_2025-09-09 10_58_08.346-05_00.jpg,Ruben,2.5,2026-03-17T23:08:10,
UNL,1811_LeafPhotoA_2025-09-09 09_06_09.841-05_00.jpg,Ruben,1,2026-03-17T23:08:19,
UNL,2197_LeafPhotoA_2025-09-08 17_07_18.265-05_00.jpg,Ruben,1,2026-03-17T23:09:09,
UNL,1882_LeafPhotoA_2025-09-09 13_17_09.662-05_00.jpg,Ruben,1.5,2026-03-17T23:09:17,
UNL,2068_LeafPhotoA_2025-09-08 12_02_55.291-05_00.jpg,Ruben,1,2026-03-17T23:09:21,
UNL,1984_LeafPhotoA_2025-09-09 16_31_27.437-05_00.jpg,Ruben,1.5,2026-03-17T23:09:38,
UNL,1197_LeafPhotoA_2025-09-08 15_42_33.635-05_00.jpg,Ruben,1,2026-03-17T23:09:58,
UNL,1648_LeafPhotoA_2025-09-09 10_44_29.803-05_00.jpg,Ruben,2,2026-03-17T23:10:08,
UNL,2908_LeafPhotoA_2025-09-09 16_27_08.906-05_00.jpg,Ruben,2.5,2026-03-17T23:10:14,
UNL,1256_LeafPhotoA_2025-09-08 16_33_20.459-05_00.jpg,Ruben,3,2026-03-17T23:10:20,
UNL,1789_LeafPhotoA_2025-09-09 09_15_57.914-05_00.jpg,Ruben,1,2026-03-17T23:10:23,
UNL,1900_LeafPhotoA_2025-09-09 13_45_59.573-05_00.jpg,Ruben,3,2026-03-17T23:10:27,
UNL,2495_LeafPhotoB_2025-09-08 12_20_03.955-05_00.jpg,Ruben,1,2026-03-17T23:10:31,
UNL,2002_LeafPhotoA_2025-09-08 10_34_30.740-05_00.jpg,Ruben,1,2026-03-17T23:10:35,
UNL,2110_LeafPhotoA_2025-09-08 11_07_19.238-05_00.jpg,Ruben,1,2026-03-17T23:10:49,
UNL,1011_LeafPhotoA_2025-09-08 09_43_02.719-05_00.jpg,Ruben,3,2026-03-17T23:11:29,
UNL,2262_LeafPhotoA_2025-09-08 12_34_41.227-05_00.jpg,Ruben,1.5,2026-03-17T23:11:36,
UNL,1150_LeafPhotoA_2025-09-08 10_48_11.571-05_00.jpg,Ruben,1.5,2026-03-17T23:12:45,Wet spots bordered by veins suggest a bacterial infection
UNL,2225_LeafPhotoA_2025-09-08 11_27_06.412-05_00.jpg,Ruben,1,2026-03-17T23:12:49,
UNL,2906_LeafPhotoA_2025-09-09 16_24_18.555-05_00.jpg,Ruben,2,2026-03-17T23:12:54,
UNL,2775_LeafPhotoA_2025-09-09 15_39_08.142-05_00.jpg,Ruben,1,2026-03-17T23:13:07,
UNL,2189_LeafPhotoA_2025-09-08 17_18_50.308-05_00.jpg,Ruben,1.5,2026-03-17T23:13:13,
UNL,1459_LeafPhotoB_2025-09-08 12_35_29.491-05_00.jpg,Ruben,2,2026-03-17T23:13:28,Wet spots bordered by veins suggest a bacterial infection
UNL,2529_LeafPhotoA_2025-09-09 10_27_20.782-05_00.jpg,Ruben,1.5,2026-03-17T23:13:35,
UNL,1702_LeafPhotoA_2025-09-09 10_12_23.395-05_00.jpg,Ruben,3,2026-03-17T23:13:46,
UNL,1200_LeafPhotoA_2025-09-08 17_01_52.096-05_00.jpg,Ruben,1,2026-03-17T23:13:53,
UNL,1099_LeafPhotoA_2025-09-08 12_38_29.235-05_00.jpg,Ruben,1,2026-03-17T23:13:59,
UNL,1346_LeafPhotoA_2025-09-08 10_15_00.579-05_00.jpg,Ruben,3.5,2026-03-17T23:14:03,
UNL,1802_LeafPhotoA_2025-09-09 10_06_55.886-05_00.jpg,Ruben,1,2026-03-17T23:14:06,
UNL,6016_LeafPhotoA_2025-09-09 16_48_44.576-05_00.jpg,Ruben,1.5,2026-03-17T23:14:11,
UNL,2206_LeafPhotoA_2025-09-08 10_53_32.789-05_00.jpg,Ruben,1.5,2026-03-17T23:14:15,
UNL,2311_LeafPhotoA_2025-09-08 10_40_04.548-05_00.jpg,Ruben,1.5,2026-03-17T23:14:21,
UNL,1347_LeafPhotoA_2025-09-08 10_15_29.541-05_00.jpg,Ruben,2,2026-03-17T23:14:34,
UNL,1334_LeafPhotoA_2025-09-08 10_01_58.407-05_00.jpg,Ruben,2.5,2026-03-17T23:14:42,
