project,image,username,score,timestamp,comment
images_to_score_20260516_fvsu,250512_LeafPhotoA_2025-10-03 09_05_21.846-05_00.jpg,Ruben,1.5,2026-05-19T12:31:43,
images_to_score_20260516_fvsu,250070_LeafPhotoA_2025-10-01 09_13_17.053-05_00.jpg,Ruben,2.5,2026-05-19T12:31:50,
images_to_score_20260516_fvsu,250462_LeafPhotoA_2025-10-02 14_44_13.434-05_00.jpg,Ruben,2.5,2026-05-19T12:32:12,
images_to_score_20260516_fvsu,250016_LeafPhotoA_2025-10-01 08_49_47.388-05_00.jpg,Ruben,3.0,2026-05-19T12:32:17,
images_to_score_20260516_fvsu,250476_LeafPhotoA_2025-10-02 14_17_56.845-05_00.jpg,Ruben,2.0,2026-05-19T12:32:25,
images_to_score_20260516_fvsu,250249_LeafPhotoA_2025-10-01 10_39_34.990-05_00.jpg,Ruben,4.0,2026-05-19T12:32:29,
images_to_score_20260516_fvsu,250050_LeafPhotoA_2025-10-01 09_16_36.691-05_00.jpg,Ruben,1.5,2026-05-19T12:32:34,
images_to_score_20260516_fvsu,250122_LeafPhotoA_2025-10-01 10_14_08.402-05_00.jpg,Ruben,2.5,2026-05-19T12:32:38,
images_to_score_20260516_fvsu,250974_LeafPhotoA_2025-10-08 09_35_30.826-05_00.jpg,Ruben,1.5,2026-05-19T12:32:41,
images_to_score_20260516_fvsu,250030_LeafPhotoA_2025-10-01 08_43_31.100-05_00.jpg,Ruben,4.5,2026-05-19T12:32:48,
images_to_score_20260516_fvsu,250609_LeafPhotoA_2025-10-03 09_10_44.018-05_00.jpg,Ruben,1.5,2026-05-19T12:32:52,
images_to_score_20260516_fvsu,250375_LeafPhotoA_2025-10-01 14_29_47.411-05_00.jpg,Ruben,1.5,2026-05-19T12:33:11,
images_to_score_20260516_fvsu,250050_LeafPhotoA_2025-10-01 09_16_58.370-05_00.jpg,Ruben,4.5,2026-05-19T12:33:32,
images_to_score_20260516_fvsu,250627_LeafPhotoA_2025-10-03 09_28_50.637-05_00.jpg,Ruben,3.5,2026-05-19T12:33:36,
images_to_score_20260516_fvsu,250616_LeafPhotoA_2025-10-03 09_04_05.213-05_00.jpg,Ruben,2.5,2026-05-19T12:33:40,
images_to_score_20260516_fvsu,250011_LeafPhotoA_2025-10-01 08_42_49.368-05_00.jpg,Ruben,2.0,2026-05-19T12:33:43,
images_to_score_20260516_fvsu,250218_LeafPhotoA_2025-10-01 13_28_39.331-05_00.jpg,Ruben,3.5,2026-05-19T12:33:47,
images_to_score_20260516_fvsu,250443_LeafPhotoA_2025-10-02 13_48_51.579-05_00.jpg,Ruben,2.0,2026-05-19T12:33:51,
images_to_score_20260516_fvsu,250079_LeafPhotoA_2025-10-01 08_54_29.929-05_00.jpg,Ruben,2.5,2026-05-19T12:33:59,
images_to_score_20260516_fvsu,250304_LeafPhotoA_2025-10-01 14_14_49.999-05_00.jpg,Ruben,4.5,2026-05-19T12:34:40,
images_to_score_20260516_fvsu,250413_LeafPhotoA_2025-10-02 13_30_49.340-05_00.jpg,Ruben,4.5,2026-05-19T12:34:44,
images_to_score_20260516_fvsu,250349_LeafPhotoA_2025-10-01 14_07_51.518-05_00.jpg,Ruben,2.0,2026-05-19T12:34:49,
images_to_score_20260516_fvsu,250175_LeafPhotoA_2025-10-01 09_49_29.305-05_00.jpg,Ruben,3.5,2026-05-19T12:34:53,
