plotNumber,days_to_flower
1003,67
1004,62
1005,72
1006,62
1007,45
1008,62
1009,59
1010,59
1011,65
1012,55
1013,59
1014,70
1015,48
1016,62
1017,69
1018,61
1019,54
1020,69
1021,69
1022,62
1023,69
1024,64
1025,73
1026,69
1027,70
1028,54
1029,56
1030,56
1031,69
1032,61
1033,69
1034,73
1035,62
1036,69
1037,71
1038,59
1039,68
1040,67
1041,69
1043,62
1044,52
1045,62
1046,62
1047,69
1049,76
1050,64
1001,69
1002,61
1099,70
1100,49
1051,62
1053,49
1054,41
1055,62
1056,58
1057,47
1058,73
1060,67
1061,70
1062,49
1063,70
1064,62
1065,61
1066,58
1067,59
1068,58
1069,71
1070,71
1071,50
1072,66
1073,66
1075,62
1076,59
1077,62
1078,50
1079,72
1080,52
1081,53
1082,63
1083,69
1084,69
1085,50
1086,69
1087,63
1088,69
1089,49
1090,73
1091,67
1092,52
1093,59
1094,69
1095,69
1096,67
1097,69
1098,63
1103,53
1104,78
1105,58
1106,63
1107,69
1108,58
1109,61
1110,55
1111,49
1112,69
1113,69
1114,59
1115,48
1116,69
1117,57
1118,57
1119,61
1120,59
1121,52
1122,53
1123,53
1124,52
1125,58
1126,47
1127,52
1128,59
1129,56
1131,49
1132,53
1133,49
1134,71
1135,59
1136,59
1137,66
1138,69
1139,71
1140,57
1142,70
1143,63
1144,62
1145,59
1146,60
1147,71
1148,62
1149,71
1101,55
1102,63
1199,69
1200,65
1151,64
1152,51
1153,45
1154,66
1155,56
1156,71
1157,71
1158,67
1159,71
1160,69
1161,54
1162,63
1163,49
1164,48
1165,55
1166,55
1167,69
1168,49
1169,53
1170,59
1171,58
1173,47
1174,69
1175,59
1176,70
1177,66
1178,69
1179,62
1180,50
1181,55
1182,57
1183,69
1184,51
1185,69
1186,62
1187,69
1188,69
1189,63
1190,69
1191,63
1192,57
1193,64
1194,52
1195,69
1196,53
1197,69
1198,52
1203,56
1204,69
1205,69
1206,63
1207,57
1209,52
1210,63
1211,49
1212,58
1213,63
1214,49
1215,69
1216,63
1217,71
1218,58
1219,59
1220,49
1221,55
1222,62
1223,71
1224,58
1225,50
1226,57
1227,69
1228,50
1229,51
1230,70
1231,62
1232,50
1233,59
1234,66
1235,69
1236,64
1237,65
1238,69
1239,52
1240,64
1241,55
1242,55
1243,61
1244,59
1245,69
1246,63
1247,63
1248,55
1249,57
1250,60
1201,69
1202,59
1299,58
1300,56
1251,54
1252,52
1253,58
1254,69
1255,66
1256,56
1257,69
1258,55
1259,51
1261,69
1262,61
1263,70
1264,69
1265,50
1266,66
1267,51
1268,56
1269,56
1270,55
1271,66
1272,69
1273,52
1274,67
1275,59
1276,47
1277,69
1278,55
1279,61
1280,69
1281,52
1282,58
1283,67
1284,69
1285,66
1286,69
1287,66
1288,69
1289,61
1290,69
1291,71
1292,69
1293,69
1294,64
1295,66
1296,71
1297,71
1298,56
1303,59
1304,62
1305,63
1306,65
1307,69
1308,69
1309,51
1310,66
1311,48
1312,72
1313,59
1314,69
1315,61
1316,62
1317,61
1318,61
1319,61
1320,68
1321,62
1322,62
1323,59
1324,67
1325,61
1326,85
1327,51
1329,62
1330,69
1331,68
1332,52
1333,57
1334,62
1335,55
1336,66
1337,60
1338,58
1339,71
1340,67
1341,61
1342,53
1343,57
1344,64
1345,68
1346,49
1347,60
1348,62
1349,71
1350,69
1301,59
1302,67
1399,67
1400,58
1351,40
1352,63
1353,64
1354,56
1355,59
1356,63
1357,50
1358,58
1359,66
1360,53
1361,59
1362,66
1363,53
1364,51
1365,67
1366,62
1367,64
1368,61
1369,52
1370,67
1371,46
1372,62
1373,62
1374,66
1375,56
1376,51
1377,63
1378,70
1379,60
1381,68
1384,49
1385,66
1386,72
1387,59
1388,69
1391,49
1392,56
1393,66
1394,49
1395,61
1396,59
1397,70
1398,54
1403,54
1404,65
1405,57
1406,69
1407,69
1408,68
1409,64
1410,57
1411,67
1412,59
1413,56
1414,69
1415,68
1416,42
1417,68
1418,58
1419,58
1420,66
1421,64
1422,71
1423,55
1424,58
1425,56
1426,67
1427,69
1428,54
1429,64
1430,71
1431,67
1432,64
1433,59
1434,71
1435,65
1436,58
1437,59
1438,66
1439,56
1440,66
1441,57
1442,66
1443,57
1444,59
1445,64
1446,59
1447,69
1448,58
1449,69
1450,69
1401,64
1402,58
1500,64
1451,58
1452,63
1453,68
1454,54
1455,68
1456,57
1457,62
1458,51
1459,66
1460,70
1461,60
1462,71
1463,70
1464,65
1465,59
1466,71
1467,60
1468,67
1470,68
1471,59
1472,64
1473,66
1474,57
1475,66
1476,52
1477,67
1478,68
1479,49
1480,60
1481,69
1482,70
1483,55
1484,53
1485,64
1486,66
1487,71
1488,50
1489,59
1490,55
1491,61
1492,58
1493,68
1494,49
1495,64
1496,61
1497,67
1498,58
1503,52
1504,63
1505,70
1506,71
1507,53
1508,67
1509,47
1510,62
1511,50
1513,60
1514,71
1515,56
1516,67
1517,56
1518,62
1519,64
1520,66
1521,55
1522,58
1523,57
1524,56
1525,66
1526,51
1527,58
1528,58
1529,55
1530,66
1531,65
1532,52
1533,50
1534,64
1535,68
1536,69
1537,55
1538,49
1539,52
1540,56
1541,56
1542,52
1543,54
1544,57
1545,56
1546,65
1547,64
1548,49
1549,48
1550,68
1501,59
1502,62
1600,68
1551,61
1552,49
1553,69
1554,49
1555,57
1556,48
1557,63
1558,55
1559,51
1560,66
1561,56
1562,69
1563,59
1564,49
1565,66
1566,71
1567,55
1568,62
1569,69
1570,72
1571,69
1573,67
1574,59
1575,66
1576,60
1577,64
1578,57
1579,72
1580,49
1581,49
1582,49
1583,68
1584,69
1585,71
1586,52
1587,56
1588,56
1589,56
1590,57
1591,55
1592,69
1593,56
1594,50
1595,49
1596,69
1597,69
1598,64
1603,59
1604,64
1605,68
1606,68
1607,65
1608,50
1609,54
1610,55
1611,67
1612,57
1613,56
1614,55
1615,55
1616,69
1617,63
1618,61
1619,50
1620,73
1621,64
1622,55
1623,68
1624,64
1625,59
1626,55
1627,67
1628,63
1629,52
1630,52
1631,63
1632,55
1633,57
1635,65
1636,66
1637,65
1638,69
1639,53
1640,65
1641,72
1642,62
1643,66
1644,61
1645,59
1646,68
1647,51
1648,67
1649,63
1650,59
1601,59
1602,63
1700,75
1651,68
1652,61
1653,53
1654,55
1655,56
1656,47
1657,63
1658,64
1659,67
1660,58
1661,61
1662,66
1663,59
1664,67
1665,57
1666,71
1667,50
1668,67
1669,70
1670,59
1672,55
1673,62
1674,71
1675,58
1676,58
1677,58
1678,59
1679,58
1680,71
1681,70
1682,50
1683,59
1684,59
1685,62
1686,64
1687,59
1688,59
1689,58
1690,53
1691,58
1692,68
1693,50
1694,68
1695,69
1696,59
1697,73
1698,59
1704,69
1705,49
1706,63
1707,52
1708,69
1709,57
1710,50
1711,60
1712,47
1713,53
1714,63
1715,61
1717,49
1718,68
1719,55
1720,62
1721,66
1722,73
1723,71
1724,66
1725,70
1726,61
1727,66
1728,61
1729,64
1731,76
1732,62
1733,62
1734,52
1735,57
1736,68
1737,55
1738,62
1739,55
1740,66
1741,62
1742,67
1743,60
1744,73
1745,55
1746,66
1747,55
1748,70
1749,52
1750,50
1701,67
1702,70
1799,73
1800,52
1751,69
1752,71
1753,64
1754,43
1755,48
1756,71
1757,62
1758,63
1760,55
1761,62
1762,61
1763,64
1765,44
1768,64
1769,59
1770,59
1771,58
1772,71
1773,85
1774,57
1775,49
1776,68
1777,57
1778,61
1779,60
1780,58
1781,68
1782,71
1783,50
1784,70
1785,56
1786,67
1787,68
1788,62
1789,71
1790,64
1791,53
1792,54
1794,62
1795,70
1796,58
1797,55
1798,68
1803,71
1804,71
1805,69
1806,56
1807,69
1808,66
1809,66
1810,55
1811,62
1812,61
1813,66
1814,67
1815,62
1816,66
1817,56
1818,66
1819,55
1820,62
1821,53
1822,66
1823,62
1824,66
1825,68
1826,68
1827,59
1828,71
1829,66
1830,71
1831,66
1832,55
1833,66
1834,70
1835,55
1836,59
1838,68
1839,50
1840,50
1841,55
1842,60
1843,70
1844,69
1845,69
1846,48
1847,67
1848,64
1849,64
1850,73
1801,60
1802,70
1899,60
1900,57
1851,51
1852,60
1853,59
1855,58
1856,60
1857,63
1858,69
1859,66
1860,62
1861,48
1862,59
1863,64
1864,49
1866,50
1867,60
1868,58
1869,70
1870,62
1871,66
1872,62
1873,52
1874,59
1875,66
1876,55
1877,66
1878,69
1880,58
1881,71
1882,72
1883,49
1884,58
1885,56
1886,45
1887,69
1888,62
1889,52
1890,61
1891,69
1892,69
1894,63
1895,59
1896,50
1898,54
1903,66
1904,47
1905,63
1906,55
1907,59
1908,57
1909,52
1910,50
1911,67
1912,58
1913,64
1914,52
1915,72
1916,63
