project,image_path,username,score,timestamp,comment,plotNumber,image_id,range,row,experiment,genotype,block
UNL,2705_LeafPhotoA_2025-09-09 10_19_54.020-05_00.jpg,Libia,1.5,2026-03-18T00:47:21Z,NA,2705,2705_LeafPhotoA_2025-09-09 10_19_54.020,16,59,SbDiv 2025,PI 659696,2
UNL,2601_LeafPhotoA_2025-09-09 10_53_20.928-05_00.jpg,Libia,1,2026-03-18T00:47:35Z,Quite blurry,2601,2601_LeafPhotoA_2025-09-09 10_53_20.928,14,55,SbDiv 2025,PI 656018,2
UNL,2002_LeafPhotoA_2025-09-08 10_34_30.740-05_00.jpg,Libia,1.5,2026-03-18T00:47:39Z,NA,2002,2002_LeafPhotoA_2025-09-08 10_34_30.740,2,56,SbDiv 2025,PI 655987,2
UNL,1346_LeafPhotoA_2025-09-08 10_15_00.579-05_00.jpg,Libia,2.5,2026-03-18T00:48:58Z,NA,1346,1346_LeafPhotoA_2025-09-08 10_15_00.579,8,48,SbDiv 2025,PI 534095,1
UNL,2645_LeafPhotoA_2025-09-09 11_30_33.412-05_00.jpg,Libia,2,2026-03-18T00:49:49Z,Bacteria,2645,2645_LeafPhotoA_2025-09-09 11_30_33.412,14,99,SbDiv 2025,PI 656052,2
UNL,1887_LeafPhotoA_2025-09-09 17_12_27.474-05_00.jpg,Libia,1.5,2026-03-18T00:49:53Z,NA,1887,1887_LeafPhotoA_2025-09-09 17_12_27.474,19,16,SbDiv 2025,SC0505,1
UNL,2664_LeafPhotoA_2025-09-09 11_37_29.251-05_00.jpg,Libia,2,2026-03-18T00:50:04Z,NA,2664,2664_LeafPhotoA_2025-09-09 11_37_29.251,15,91,SbDiv 2025,PI 656057,2
UNL,2863_LeafPhotoA_2025-09-09 14_53_39.925-05_00.jpg,Libia,1,2026-03-18T00:50:08Z,NA,2863,2863_LeafPhotoA_2025-09-09 14_53_39.925,19,92,SbDiv 2025,PI 534083,2
UNL,1427_LeafPhotoB_2025-09-08 10_19_32.588-05_00.jpg,Libia,2,2026-03-18T00:50:11Z,NA,1427,1427_LeafPhotoB_2025-09-08 10_19_32.588,10,29,SbDiv 2025,PI 533905,1
UNL,2872_LeafPhotoA_2025-09-09 14_46_31.841-05_00.jpg,Libia,1,2026-03-18T00:50:14Z,NA,2872,2872_LeafPhotoA_2025-09-09 14_46_31.841,19,83,SbDiv 2025,PI 656059,2
UNL,1483_LeafPhotoB_2025-09-08 16_48_33.487-05_00.jpg,Libia,1.5,2026-03-18T00:50:17Z,NA,1483,1483_LeafPhotoB_2025-09-08 16_48_33.487,11,20,SbDiv 2025,PI 534076,1
UNL,1268_LeafPhotoA_2025-09-08 16_18_21.694-05_00.jpg,Libia,1.5,2026-03-18T00:50:19Z,NA,1268,1268_LeafPhotoA_2025-09-08 16_18_21.694,7,35,SbDiv 2025,Check,1
UNL,1900_LeafPhotoA_2025-09-09 13_45_59.573-05_00.jpg,Libia,2,2026-03-18T00:50:25Z,NA,1900,1900_LeafPhotoA_2025-09-09 13_45_59.573,19,53,SbDiv 2025,PI 533944,1
