device,image_name,leaf_pixels,score_average,plotNumber
device1,device1_1201_LeafPhotoA_2025-09-08 10_44_12.793-05_00_leaf.png,3547784,0,1201
device1,device1_1201_LeafPhotoA_2025-09-08 10_44_32.680-05_00_leaf.png,3838836,0,1201
device1,device1_1201_LeafPhotoA_2025-09-08 10_45_01.777-05_00_leaf.png,4121602,0.05,1201
device1,device1_1202_LeafPhotoA_2025-09-08 10_45_39.926-05_00_leaf.png,4407323,0.01,1202
device1,device1_1202_LeafPhotoA_2025-09-08 10_45_58.475-05_00_leaf.png,4962189,0.01,1202
device1,device1_1202_LeafPhotoA_2025-09-08 10_46_25.784-05_00_leaf.png,4213843,0.03,1202
device1,device1_1203_LeafPhotoA_2025-09-08 09_17_24.189-05_00_leaf.png,4527787,1.22,1203
device1,device1_1203_LeafPhotoA_2025-09-08 09_17_50.777-05_00_leaf.png,3936184,0.44,1203
device1,device1_1203_LeafPhotoA_2025-09-08 09_19_50.867-05_00_leaf.png,4074737,2.31,1203
device1,device1_1204_LeafPhotoA_2025-09-08 09_23_23.652-05_00_leaf.png,1914820,0.31,1204
device1,device1_1204_LeafPhotoA_2025-09-08 09_24_34.513-05_00_leaf.png,2602534,0,1204
device1,device1_1204_LeafPhotoA_2025-09-08 09_25_21.477-05_00_leaf.png,4013751,0.09,1204
device1,device1_1205_LeafPhotoA_2025-09-08 09_26_48.852-05_00_leaf.png,4095930,0.1,1205
device1,device1_1205_LeafPhotoA_2025-09-08 09_27_17.999-05_00_leaf.png,3780786,0.03,1205
device1,device1_1205_LeafPhotoA_2025-09-08 09_28_04.109-05_00_leaf.png,2566530,0.35,1205
device1,device1_1206_LeafPhotoA_2025-09-08 09_30_08.342-05_00_leaf.png,3916868,0.33,1206
device1,device1_1206_LeafPhotoA_2025-09-08 09_30_31.899-05_00_leaf.png,3235260,0.01,1206
device1,device1_1206_LeafPhotoA_2025-09-08 09_31_09.977-05_00_leaf.png,3430293,0.01,1206
device1,device1_1207_LeafPhotoA_2025-09-08 09_33_35.033-05_00_leaf.png,4479719,0.22,1207
device1,device1_1207_LeafPhotoA_2025-09-08 09_34_30.630-05_00_leaf.png,4411970,0.33,1207
device1,device1_1207_LeafPhotoA_2025-09-08 09_35_06.843-05_00_leaf.png,2902218,0.01,1207
device1,device1_1209_LeafPhotoA_2025-09-08 09_36_46.496-05_00_leaf.png,3317837,0.06,1209
device1,device1_1209_LeafPhotoA_2025-09-08 09_37_14.965-05_00_leaf.png,4934199,0.05,1209
device1,device1_1209_LeafPhotoA_2025-09-08 09_37_46.150-05_00_leaf.png,4938596,0.12,1209
device1,device1_1210_LeafPhotoA_2025-09-08 09_38_24.164-05_00_leaf.png,5082761,0.06,1210
device1,device1_1210_LeafPhotoA_2025-09-08 09_39_04.129-05_00_leaf.png,4829187,0.13,1210
device1,device1_1210_LeafPhotoA_2025-09-08 09_39_32.955-05_00_leaf.png,4207916,0.06,1210
device1,device1_1211_LeafPhotoA_2025-09-08 09_40_17.651-05_00_leaf.png,2133435,1,1211
device1,device1_1211_LeafPhotoA_2025-09-08 09_40_41.006-05_00_leaf.png,3051934,0.33,1211
device1,device1_1211_LeafPhotoA_2025-09-08 09_41_08.074-05_00_leaf.png,2465920,0.11,1211
device1,device1_1212_LeafPhotoA_2025-09-08 09_42_02.733-05_00_leaf.png,3008760,0.36,1212
device1,device1_1212_LeafPhotoA_2025-09-08 09_42_24.685-05_00_leaf.png,4131740,0.18,1212
device1,device1_1212_LeafPhotoA_2025-09-08 09_42_54.332-05_00_leaf.png,2671958,1.11,1212
device1,device1_1213_LeafPhotoA_2025-09-08 09_43_59.948-05_00_leaf.png,3382849,0.35,1213
device1,device1_1213_LeafPhotoA_2025-09-08 09_44_31.820-05_00_leaf.png,4166797,0.13,1213
device1,device1_1213_LeafPhotoA_2025-09-08 09_45_05.304-05_00_leaf.png,4950510,0,1213
device1,device1_1214_LeafPhotoA_2025-09-08 09_46_06.613-05_00_leaf.png,2867994,0.68,1214
device1,device1_1214_LeafPhotoA_2025-09-08 09_46_46.292-05_00_leaf.png,2591003,0.94,1214
device1,device1_1214_LeafPhotoA_2025-09-08 09_47_10.824-05_00_leaf.png,2992556,0.21,1214
device1,device1_1215_LeafPhotoA_2025-09-08 09_48_15.511-05_00_leaf.png,5316992,0.2,1215
device1,device1_1215_LeafPhotoA_2025-09-08 09_49_06.447-05_00_leaf.png,3258095,0.39,1215
device1,device1_1215_LeafPhotoA_2025-09-08 09_50_40.556-05_00_leaf.png,5575877,0.29,1215
device1,device1_1216_LeafPhotoA_2025-09-08 09_51_18.258-05_00_leaf.png,3150356,0.14,1216
device1,device1_1216_LeafPhotoA_2025-09-08 09_51_38.597-05_00_leaf.png,4199556,0.22,1216
device1,device1_1216_LeafPhotoA_2025-09-08 09_52_09.164-05_00_leaf.png,2980291,0.05,1216
device1,device1_1217_LeafPhotoA_2025-09-08 09_52_51.663-05_00_leaf.png,3901020,0.08,1217
device1,device1_1217_LeafPhotoA_2025-09-08 09_53_36.339-05_00_leaf.png,4290394,0.01,1217
device1,device1_1217_LeafPhotoA_2025-09-08 09_54_02.015-05_00_leaf.png,2759064,0.54,1217
device1,device1_1218_LeafPhotoA_2025-09-08 09_55_19.524-05_00_leaf.png,3463211,0.48,1218
device1,device1_1218_LeafPhotoA_2025-09-08 09_55_48.140-05_00_leaf.png,4158689,10.43,1218
