project,image,username,score,timestamp,comment
sample800,1143_LeafPhotoA_2025-09-08 10_38_21.557-05_00.jpg,Libia,4,2026-04-12T20:22:15,
sample800,2313_LeafPhotoA_2025-09-08 10_41_17.601-05_00.jpg,Libia,1.5,2026-04-12T20:22:37,
sample800,1210_LeafPhotoA_2025-09-08 09_39_04.129-05_00.jpg,Libia,1,2026-04-12T20:22:41,
sample800,2655_LeafPhotoA_2025-09-09 11_29_02.979-05_00.jpg,Libia,1.5,2026-04-12T20:22:46,
sample800,1056_LeafPhotoA_2025-09-08 12_47_34.787-05_00.jpg,Libia,1.5,2026-04-12T20:22:53,
sample800,1038_LeafPhotoA_2025-09-08 10_15_32.315-05_00.jpg,Libia,1.5,2026-04-12T20:22:57,
sample800,2156_LeafPhotoA_2025-09-08 12_32_46.869-05_00.jpg,Libia,3,2026-04-12T20:23:02,
sample800,1629_LeafPhotoA_2025-09-09 10_11_31.349-05_00.jpg,Libia,1.5,2026-04-12T20:23:24,
sample800,2409_LeafPhotoB_2025-09-08 10_48_08.751-05_00.jpg,Libia,3,2026-04-12T20:23:29,
sample800,6015_LeafPhotoA_2025-09-09 16_52_18.680-05_00.jpg,Libia,1,2026-04-12T20:23:31,
sample800,2673_LeafPhotoA_2025-09-09 11_11_18.428-05_00.jpg,Libia,1,2026-04-12T20:23:33,
sample800,2160_LeafPhotoA_2025-09-08 12_38_59.488-05_00.jpg,Libia,1.5,2026-04-12T20:23:37,
sample800,2503_LeafPhotoA_2025-09-09 09_58_27.327-05_00.jpg,Libia,3.5,2026-04-12T20:23:42,
sample800,2933_LeafPhotoA_2025-09-09 16_35_09.095-05_00.jpg,Libia,1,2026-04-12T20:24:17,
sample800,1838_LeafPhotoA_2025-09-09 09_47_07.906-05_00.jpg,Libia,1,2026-04-12T20:24:21,
sample800,1495_LeafPhotoB_2025-09-08 16_59_04.309-05_00.jpg,Libia,1.5,2026-04-12T20:24:24,
sample800,2683_LeafPhotoA_2025-09-09 10_58_56.882-05_00.jpg,Libia,1,2026-04-12T20:24:27,
sample800,1677_LeafPhotoA_2025-09-09 09_35_17.102-05_00.jpg,Libia,1,2026-04-12T20:24:32,
