project,image,username,score,timestamp,comment
sample800,1811_LeafPhotoA_2025-09-09 09_05_51.708-05_00.jpg,Ruben,1.5,2026-04-12T10:53:49,
sample800,1669_LeafPhotoA_2025-09-09 09_51_13.731-05_00.jpg,Ruben,1,2026-04-12T10:53:52,
sample800,2114_LeafPhotoA_2025-09-08 11_14_43.534-05_00.jpg,Ruben,2,2026-04-12T10:53:57,
sample800,6014_LeafPhotoA_2025-09-09 16_54_50.169-05_00.jpg,Ruben,1.5,2026-04-12T10:54:03,
sample800,1735_LeafPhotoA_2025-09-09 09_46_39.828-05_00.jpg,Ruben,3.5,2026-04-12T10:54:21,
sample800,2915_LeafPhotoA_2025-09-09 16_35_42.182-05_00.jpg,Ruben,2,2026-04-12T10:54:26,
sample800,1167_LeafPhotoA_2025-09-08 16_37_11.962-05_00.jpg,Ruben,1.5,2026-04-12T10:54:31,
sample800,2433_LeafPhotoB_2025-09-08 11_09_46.410-05_00.jpg,Ruben,1.5,2026-04-12T10:54:33,
sample800,1203_LeafPhotoA_2025-09-08 09_17_50.777-05_00.jpg,Ruben,2,2026-04-12T10:54:36,
sample800,1070_LeafPhotoA_2025-09-08 13_01_31.955-05_00.jpg,Ruben,1.5,2026-04-12T10:54:39,
sample800,1310_LeafPhotoA_2025-09-08 09_26_39.882-05_00.jpg,Ruben,1.5,2026-04-12T10:54:42,
sample800,2792_LeafPhotoA_2025-09-09 11_23_03.034-05_00.jpg,Ruben,1.5,2026-04-12T10:54:54,
sample800,2097_LeafPhotoA_2025-09-08 12_34_03.075-05_00.jpg,Ruben,2,2026-04-12T10:54:57,
sample800,1415_LeafPhotoB_2025-09-08 10_09_27.941-05_00.jpg,Ruben,1,2026-04-12T10:55:03,
sample800,1181_LeafPhotoA_2025-09-08 16_13_30.089-05_00.jpg,Ruben,2.5,2026-04-12T10:55:11,
sample800,2158_LeafPhotoA_2025-09-08 12_35_42.896-05_00.jpg,Ruben,1.5,2026-04-12T10:55:18,
sample800,2978_LeafPhotoA_2025-09-09 16_28_25.306-05_00.jpg,Ruben,1.5,2026-04-12T10:55:23,
sample800,2386_LeafPhotoA_2025-09-08 11_57_13.953-05_00.jpg,Ruben,1.5,2026-04-12T10:57:16,Circular lesions with a chlorotic halo are characteristic of Cercospora sorghi
sample800,1051_LeafPhotoA_2025-09-08 12_42_13.116-05_00.jpg,Ruben,1,2026-04-12T10:57:24,
