plotNumber,Rep,date,genotype,A,B,score_average,Comment,Group
1001,1,813,PI 533969,1.5,1.5,1.5,,A
1002,1,813,PI 534049,1.5,1.5,1.5,,A
1003,1,813,PI 533981,2,2,2,,A
1004,1,813,Check,2,2,2,,A
1005,1,813,PI 533902,2,2,2,,A
1006,1,813,PI 597965,2.5,2,2.25,NLB,A
1007,1,813,PI 533912,1.5,1.5,1.5,,A
1008,1,813,PI 655975,1.5,1.5,1.5,NLB,A
1009,1,813,PI 533950,2,2,2,,A
1010,1,813,PI 576431,2,1.5,1.75,,A
1011,1,813,PI 576379,2,2,2,,A
1012,1,813,SC0540,3,2.5,2.75,,A
1013,1,813,PI 533993,1,1,1,,A
1014,1,813,SC0834,4.5,4,4.25,,A
1015,1,813,PI 597959,1.5,1,1.25,,A
1016,1,813,PI 533825,3.5,3,3.25,,A
1017,1,813,PI 642791,2,3,2.5,,A
1018,1,813,Check,1.5,1.5,1.5,,A
1019,1,813,PI 534082,2,3,2.5,,A
1020,1,813,PI 655999,2,1.5,1.75,Not anthracnose,A
1021,1,813,PI 534129,2.5,2,2.25,,A
1022,1,813,PI 533985,1.5,2,1.75,,A
1023,1,813,PI 595717,1.5,1.5,1.5,,A
1024,1,813,PI 641874,4,3,3.5,,A
1025,1,813,PI 656091,1,1,1,,A
1026,1,813,PI 656070,1.5,1.5,1.5,,A
1027,1,813,PI 656040,1.5,1,1.25,,A
1028,1,813,PI 533767,1.5,1.5,1.5,,A
1029,1,813,PI 576393,2,2,2,,A
1030,1,813,PI 533899,2,2,2,,A
1031,1,813,PI 595728,2.5,3,2.75,NLB,A
1032,1,813,PI 329440,3,2,2.5,Not anthracnose,A
1033,1,813,PI 534021,2.5,2,2.25,,A
1034,1,813,PI 534120,2.5,2.5,2.5,,A
1035,1,813,Check,3,2.5,2.75,,A
1036,1,813,PI 576400,4,4,4,,A
1037,1,813,PI 597943,3,2.5,2.75,,A
1038,1,813,PI 533768,1.5,2,1.75,,A
1039,1,813,PI 533980,2,2,2,,A
1040,1,813,PI 655995,1.5,2,1.75,,A
1041,1,813,PI 656042,3,2.5,2.75,NLB,A
1042,1,813,PI 598069,2.5,2.5,2.5,Lesions,A
1043,1,813,PI 533852,4,4,4,NLB,A
1044,1,813,PI 597952,2.5,3,2.75,,A
1045,1,813,PI 534140,3,3,3,,A
1046,1,813,PI 656035,2,2.5,2.25,,A
1047,1,813,PI 576435,2.5,2,2.25,,A
1048,1,813,PI 595741,2,1.5,1.75,,A
1049,1,813,PI 656073,1.5,1.5,1.5,,A
1050,1,813,PI 576371,3,2,2.5,NLB,A
1051,1,813,Check,2.5,2,2.25,,A
1052,1,813,PI 534068,3,2.5,2.75,,A
1053,1,813,PI 534042,3.5,2,2.75,,A
1054,1,813,PI 656021,2,2.5,2.25,,A
1055,1,813,PI 576335,3.5,3,3.25,,A
1056,1,813,PI 576352,2.5,2,2.25,,A
1057,1,813,PI 597977,4.5,4.5,4.5,,A
1058,1,813,SC0445,3.5,3,3.25,NLB + Anth,A
1059,1,813,PI 534146,2,2,2,,A
1060,1,813,BTx645,1.5,1,1.25,,A
1061,1,813,PI 656075,1,1,1,,A
1062,1,813,PI 533790,3.5,3,3.25,,A
1063,1,813,PI 576411,1.5,2,1.75,,A
1064,1,813,PI 597956,4,4,4,,A
1065,1,813,Check,3,2.5,2.75,,A
1066,1,813,PI 653617,3.5,3.5,3.5,,A
1067,1,813,PI 533846,3.5,3,3.25,,A
1068,1,813,PI 533901,4,4,4,,A
1069,1,813,SC0479,2.5,2.5,2.5,,A
1070,1,813,PI 533859,3.5,3,3.25,,A
1071,1,813,PI 595718,4,3.5,3.75,,A
1072,1,813,PI 534134,3,2.5,2.75,,A
1073,1,813,PI 534086,2.5,3,2.75,,A
1074,1,813,PI 533934,2.5,3,2.75,,A
1075,1,813,PI 534053,1.5,2.5,2,,A
1076,1,813,Check,1.5,1.5,1.5,,A
1077,1,813,PI 533753,3,2.5,2.75,,A
1078,1,813,PI 534073,4,3.5,3.75,,A
1079,1,813,PI 653616,3,4,3.5,,A
1080,1,813,PI 533745,4,4,4,,A
1081,1,813,PI 533778,3,3.5,3.25,,A
1082,1,813,PI 533961,3,3,3,,A
1083,1,813,PI 656076,1.5,2,1.75,,A
1084,1,813,PI 595739,1.5,2,1.75,,A
1085,1,813,PI 576427,2,2,2,,A
1086,1,813,PI 534144,2,2,2,,A
1087,1,813,Check,2,1.5,1.75,,A
1088,1,813,PI 533943,2.5,3,2.75,,A
1089,1,813,PI 641849,2.5,3,2.75,,A
1090,1,813,PI 597969,1.5,2.5,2,,A
1091,1,813,PI 656028,1.5,2,1.75,,A
1092,1,813,SC1446,2,2,2,,A
1093,1,813,SC0847,4.5,4.5,4.5,,A
1094,1,813,PI 655985,2.5,2,2.25,,A
1095,1,813,PI 533835,2,2,2,,A
1096,1,813,PI 576425,2,2,2,,A
1097,1,813,PI 534155,2.5,2,2.25,,A
1098,1,813,PI 534032,2.5,2,2.25,,A
1099,1,813,PI 656009,2.5,2,2.25,,A
1100,1,813,PI 656108,5,2.5,3.75,,A
1101,1,813,PI 533823,4,4,4,,A
1102,1,813,PI 534152,1.5,2.5,2,,A
1103,1,813,PI 576417,2.5,2.5,2.5,,A
1104,1,813,PI 656038,2.5,3,2.75,,A
1105,1,813,PI 595735,2,2.5,2.25,,A
1106,1,813,SC0371,2,3,2.5,,A
1107,1,813,SC0458,2.5,2,2.25,,A
1108,1,813,PI 533873,1.5,2,1.75,,A
1109,1,813,Check,3,2.5,2.75,,A
1110,1,813,PI 533951,3,2.5,2.75,,A
1111,1,813,PI 656098,2,2.5,2.25,,A
1112,1,813,PI 24969,3,2.5,2.75,chlorotic steaks,A
1113,1,813,PI 598070,3.5,3.5,3.5,,A
1114,1,813,SC0860,3.5,3,3.25,,A
1115,1,813,PI 597972,2.5,2.5,2.5,,A
1116,1,813,PI 534135,1.5,1.5,1.5,,A
1117,1,813,PI 576365,3.5,2.5,3,,A
1118,1,813,PI 533988,2,2,2,,A
1119,1,813,PI 534100,3,2,2.5,,A
