range ,row,plot,experiment,rep,genotype
1,1,9129,Border,Border,Border
2,1,9240,Border,Border,Border
3,1,9241,Border,Border,Border
4,1,9252,Border,Border,Border
5,1,9253,Border,Border,Border
6,1,9264,Border,Border,Border
7,1,9265,Border,Border,Border
8,1,9276,Border,Border,Border
9,1,9277,Border,Border,Border
10,1,9288,Border,Border,Border
11,1,9289,Border,Border,Border
12,1,9300,Border,Border,Border
13,1,9301,Border,Border,Border
14,1,9312,Border,Border,Border
15,1,9313,Border,Border,Border
16,1,9324,Border,Border,Border
17,1,9325,Border,Border,Border
18,1,9336,Border,Border,Border
19,1,9337,Border,Border,Border
20,1,9348,Border,Border,Border
21,1,9349,Border,Border,Border
22,1,9362,Border,Border,Border
23,1,9363,Border,Border,Border
1,2,9130,Border,Border,Border
2,2,9239,Border,Border,Border
3,2,9242,Border,Border,Border
4,2,9251,Border,Border,Border
5,2,9254,Border,Border,Border
6,2,9263,Border,Border,Border
7,2,9266,Border,Border,Border
8,2,9275,Border,Border,Border
9,2,9278,Border,Border,Border
10,2,9287,Border,Border,Border
11,2,9290,Border,Border,Border
12,2,9299,Border,Border,Border
13,2,9302,Border,Border,Border
14,2,9311,Border,Border,Border
15,2,9314,Border,Border,Border
16,2,9323,Border,Border,Border
17,2,9326,Border,Border,Border
18,2,9335,Border,Border,Border
19,2,9338,Border,Border,Border
20,2,9347,Border,Border,Border
21,2,9350,Border,Border,Border
22,2,9361,Border,Border,Border
23,2,9364,Border,Border,Border
1,3,9131,Border,Border,Mixed
2,3,9238,Border,Border,Mixed
3,3,9243,Border,Border,Mixed
4,3,9250,Border,Border,Mixed
5,3,9255,Border,Border,Mixed
6,3,9262,Border,Border,Mixed
7,3,9267,Border,Border,Mixed
8,3,9274,Border,Border,Mixed
9,3,9279,Border,Border,Mixed
10,3,9286,Border,Border,Mixed
11,3,9291,Border,Border,Mixed
12,3,9298,Border,Border,Mixed
13,3,9303,Border,Border,Mixed
14,3,9310,Border,Border,Mixed
15,3,9315,Border,Border,Mixed
16,3,9322,Border,Border,Mixed
17,3,9327,Border,Border,Mixed
18,3,9334,Border,Border,Mixed
19,3,9339,Border,Border,Mixed
20,3,9346,Border,Border,Mixed
21,3,9352,Border,Border,Mixed
22,3,9360,Border,Border,Mixed
23,3,9365,Border,Border,Mixed
1,4,9132,Border,Border,Mixed
2,4,9237,Border,Border,Mixed
3,4,9244,Border,Border,Mixed
4,4,9249,Border,Border,Mixed
5,4,9256,Border,Border,Mixed
6,4,9261,Border,Border,Mixed
7,4,9268,Border,Border,Mixed
8,4,9273,Border,Border,Mixed
9,4,9280,Border,Border,Mixed
10,4,9285,Border,Border,Mixed
11,4,9292,Border,Border,Mixed
12,4,9297,Border,Border,Mixed
13,4,9304,Border,Border,Mixed
14,4,9309,Border,Border,Mixed
15,4,9316,Border,Border,Mixed
16,4,9321,Border,Border,Mixed
17,4,9328,Border,Border,Mixed
18,4,9333,Border,Border,Mixed
19,4,9340,Border,Border,Mixed
20,4,9345,Border,Border,Mixed
21,4,9353,Border,Border,Mixed
22,4,9359,Border,Border,Mixed
23,4,9366,Border,Border,Mixed
1,5,9133,Border,Border,Mixed
2,5,1003,SbDiv 2025,1,PI 533981
3,5,1098,SbDiv 2025,1,PI 534032
4,5,1103,SbDiv 2025,1,PI 576417
5,5,1198,SbDiv 2025,1,PI 534080
6,5,1203,SbDiv 2025,1,SC1166
7,5,1298,SbDiv 2025,1,PI 534138
8,5,1303,SbDiv 2025,1,PI 656031
9,5,1398,SbDiv 2025,1,SC0041
10,5,1403,SbDiv 2025,1,PI 533915
11,5,1498,SbDiv 2025,1,PI 533929
12,5,1503,SbDiv 2025,1,PI 533769
13,5,1598,SbDiv 2025,1,PI 534004
14,5,1603,SbDiv 2025,1,PI 533893
15,5,1698,SbDiv 2025,1,SC0179
16,5,1703,SbDiv 2025,1,SC0581
17,5,1798,SbDiv 2025,1,PI 656110
18,5,1803,SbDiv 2025,1,PI 533842
19,5,1898,SbDiv 2025,1,PI 533937
20,5,1903,SbDiv 2025,1,PI 576403
21,5,1998,SbDiv 2025,1,SC1114
22,5,5003,Mural ExPVP 2025,1,Fill
23,5,9367,Border,Border,Border
1,6,9134,Border,Border,Border
2,6,1004,SbDiv 2025,1,Check
3,6,1097,SbDiv 2025,1,PI 534155
