image_path,pctd,plotNumber
1001_LeafPhotoA_2025-09-08 10_30_44.491-05_00_leaf.png,0.93,1001
1001_LeafPhotoA_2025-09-08 10_31_01.387-05_00_leaf.png,0.01,1001
1001_LeafPhotoA_2025-09-08 10_31_16.660-05_00_leaf.png,0.1,1001
1002_LeafPhotoA_2025-09-08 10_31_39.299-05_00_leaf.png,0.02,1002
1002_LeafPhotoA_2025-09-08 10_31_52.212-05_00_leaf.png,0.03,1002
1002_LeafPhotoA_2025-09-08 10_32_08.178-05_00_leaf.png,0.02,1002
1003_LeafPhotoA_2025-09-08 09_16_15.481-05_00_leaf.png,0.05,1003
1003_LeafPhotoA_2025-09-08 09_18_47.237-05_00_leaf.png,0.16,1003
1003_LeafPhotoA_2025-09-08 09_20_11.247-05_00_leaf.png,0.11,1003
1004_LeafPhotoA_2025-09-08 09_21_46.459-05_00_leaf.png,0.1,1004
1004_LeafPhotoA_2025-09-08 09_22_28.681-05_00_leaf.png,0.12,1004
1004_LeafPhotoA_2025-09-08 09_23_15.296-05_00_leaf.png,0.04,1004
1005_LeafPhotoA_2025-09-08 09_35_15.574-05_00_leaf.png,0.12,1005
1005_LeafPhotoA_2025-09-08 09_35_34.267-05_00_leaf.png,0.08,1005
1005_LeafPhotoA_2025-09-08 09_36_05.265-05_00_leaf.png,0.02,1005
1006_LeafPhotoA_2025-09-08 09_30_50.026-05_00_leaf.png,0.65,1006
1006_LeafPhotoA_2025-09-08 09_31_43.387-05_00_leaf.png,0.34,1006
1006_LeafPhotoA_2025-09-08 09_36_28.687-05_00_leaf.png,0,1006
1007_LeafPhotoA_2025-09-08 09_36_58.125-05_00_leaf.png,1.98,1007
1007_LeafPhotoA_2025-09-08 09_37_28.704-05_00_leaf.png,0.46,1007
1007_LeafPhotoA_2025-09-08 09_37_48.595-05_00_leaf.png,0.23,1007
1008_LeafPhotoA_2025-09-08 09_38_43.510-05_00_leaf.png,0.02,1008
1008_LeafPhotoA_2025-09-08 09_39_01.597-05_00_leaf.png,0.01,1008
1008_LeafPhotoA_2025-09-08 09_39_17.372-05_00_leaf.png,0,1008
1009_LeafPhotoA_2025-09-08 09_39_52.913-05_00_leaf.png,0.61,1009
1009_LeafPhotoA_2025-09-08 09_40_11.883-05_00_leaf.png,0.61,1009
1009_LeafPhotoA_2025-09-08 09_40_30.501-05_00_leaf.png,0.58,1009
1010_LeafPhotoA_2025-09-08 09_41_20.962-05_00_leaf.png,0.98,1010
1010_LeafPhotoA_2025-09-08 09_41_44.218-05_00_leaf.png,0.13,1010
1010_LeafPhotoA_2025-09-08 09_42_09.670-05_00_leaf.png,0.12,1010
1011_LeafPhotoA_2025-09-08 09_42_35.227-05_00_leaf.png,0.02,1011
1011_LeafPhotoA_2025-09-08 09_43_02.719-05_00_leaf.png,1.15,1011
1011_LeafPhotoA_2025-09-08 09_43_19.114-05_00_leaf.png,0.02,1011
1012_LeafPhotoA_2025-09-08 09_43_43.769-05_00_leaf.png,0.45,1012
1012_LeafPhotoA_2025-09-08 09_44_03.312-05_00_leaf.png,3.74,1012
1012_LeafPhotoA_2025-09-08 09_44_21.398-05_00_leaf.png,6.67,1012
1013_LeafPhotoA_2025-09-08 09_44_55.247-05_00_leaf.png,0,1013
1013_LeafPhotoA_2025-09-08 09_45_15.101-05_00_leaf.png,0,1013
1013_LeafPhotoA_2025-09-08 09_45_36.458-05_00_leaf.png,0,1013
1014_LeafPhotoA_2025-09-08 09_46_05.675-05_00_leaf.png,15.35,1014
1014_LeafPhotoA_2025-09-08 09_46_27.231-05_00_leaf.png,1.62,1014
1014_LeafPhotoA_2025-09-08 09_46_45.331-05_00_leaf.png,6.6,1014
1015_LeafPhotoA_2025-09-08 09_47_54.758-05_00_leaf.png,0.03,1015
1015_LeafPhotoA_2025-09-08 09_48_10.333-05_00_leaf.png,0.23,1015
1015_LeafPhotoA_2025-09-08 09_48_38.527-05_00_leaf.png,0.14,1015
1016_LeafPhotoA_2025-09-08 09_49_16.143-05_00_leaf.png,0.88,1016
1016_LeafPhotoA_2025-09-08 09_49_32.371-05_00_leaf.png,0.07,1016
1016_LeafPhotoA_2025-09-08 09_49_45.693-05_00_leaf.png,0.11,1016
1017_LeafPhotoA_2025-09-08 09_50_06.635-05_00_leaf.png,0.15,1017
1017_LeafPhotoA_2025-09-08 09_50_29.293-05_00_leaf.png,0.13,1017
1017_LeafPhotoA_2025-09-08 09_50_44.460-05_00_leaf.png,10.45,1017
1018_LeafPhotoA_2025-09-08 09_51_38.144-05_00_leaf.png,0.21,1018
1018_LeafPhotoA_2025-09-08 09_51_57.750-05_00_leaf.png,0.3,1018
1019_LeafPhotoA_2025-09-08 09_52_21.687-05_00_leaf.png,8.98,1019
1019_LeafPhotoA_2025-09-08 09_52_36.483-05_00_leaf.png,2.48,1019
1019_LeafPhotoA_2025-09-08 09_52_56.602-05_00_leaf.png,11.77,1019
1020_LeafPhotoA_2025-09-08 09_53_31.800-05_00_leaf.png,0.11,1020
1020_LeafPhotoA_2025-09-08 09_53_44.483-05_00_leaf.png,0.46,1020
1020_LeafPhotoA_2025-09-08 09_53_54.975-05_00_leaf.png,0.29,1020
1021_LeafPhotoA_2025-09-08 09_54_18.191-05_00_leaf.png,0.24,1021
1021_LeafPhotoA_2025-09-08 09_56_13.637-05_00_leaf.png,0.02,1021
1021_LeafPhotoA_2025-09-08 09_56_28.590-05_00_leaf.png,0.04,1021
1022_LeafPhotoA_2025-09-08 09_56_58.902-05_00_leaf.png,1.61,1022
1022_LeafPhotoA_2025-09-08 09_57_13.943-05_00_leaf.png,0.02,1022
1022_LeafPhotoA_2025-09-08 09_57_30.921-05_00_leaf.png,0.1,1022
1023_LeafPhotoA_2025-09-08 09_57_52.275-05_00_leaf.png,0.01,1023
1023_LeafPhotoA_2025-09-08 09_58_19.651-05_00_leaf.png,0.16,1023
1023_LeafPhotoA_2025-09-08 09_58_33.821-05_00_leaf.png,0.97,1023
1024_LeafPhotoA_2025-09-08 09_59_13.129-05_00_leaf.png,0.65,1024
1024_LeafPhotoA_2025-09-08 09_59_38.426-05_00_leaf.png,3.25,1024
1024_LeafPhotoA_2025-09-08 09_59_52.200-05_00_leaf.png,4.56,1024
1025_LeafPhotoA_2025-09-08 10_00_36.145-05_00_leaf.png,0.12,1025
1025_LeafPhotoA_2025-09-08 10_00_48.160-05_00_leaf.png,0.05,1025
1025_LeafPhotoA_2025-09-08 10_01_00.108-05_00_leaf.png,0.02,1025
1026_LeafPhotoA_2025-09-08 10_01_28.900-05_00_leaf.png,0.24,1026
1026_LeafPhotoA_2025-09-08 10_01_43.312-05_00_leaf.png,0.03,1026
1026_LeafPhotoA_2025-09-08 10_01_59.080-05_00_leaf.png,0.09,1026
1027_LeafPhotoA_2025-09-08 10_02_50.654-05_00_leaf.png,0.01,1027
1027_LeafPhotoA_2025-09-08 10_03_06.832-05_00_leaf.png,0.28,1027
1028_LeafPhotoA_2025-09-08 10_03_31.588-05_00_leaf.png,0.37,1028
1028_LeafPhotoA_2025-09-08 10_03_47.511-05_00_leaf.png,2.1,1028
1028_LeafPhotoA_2025-09-08 10_03_59.770-05_00_leaf.png,2.54,1028
1029_LeafPhotoA_2025-09-08 10_04_31.255-05_00_leaf.png,0.11,1029
1029_LeafPhotoA_2025-09-08 10_04_42.098-05_00_leaf.png,0.02,1029
1029_LeafPhotoA_2025-09-08 10_04_56.323-05_00_leaf.png,0.05,1029
1030_LeafPhotoA_2025-09-08 10_05_12.593-05_00_leaf.png,0.85,1030
1030_LeafPhotoA_2025-09-08 10_05_24.735-05_00_leaf.png,0.54,1030
1030_LeafPhotoA_2025-09-08 10_05_38.200-05_00_leaf.png,0.26,1030
1031_LeafPhotoA_2025-09-08 10_05_56.491-05_00_leaf.png,0.29,1031
1031_LeafPhotoA_2025-09-08 10_06_14.545-05_00_leaf.png,0.46,1031
1031_LeafPhotoA_2025-09-08 10_06_33.217-05_00_leaf.png,0.01,1031
1032_LeafPhotoA_2025-09-08 10_07_00.646-05_00_leaf.png,0.69,1032
1032_LeafPhotoA_2025-09-08 10_07_16.135-05_00_leaf.png,0.11,1032
1032_LeafPhotoA_2025-09-08 10_07_30.322-05_00_leaf.png,0.23,1032
1033_LeafPhotoA_2025-09-08 10_08_09.974-05_00_leaf.png,0.35,1033
1033_LeafPhotoA_2025-09-08 10_08_28.524-05_00_leaf.png,0.1,1033
1033_LeafPhotoA_2025-09-08 10_08_54.253-05_00_leaf.png,0.03,1033
1034_LeafPhotoA_2025-09-08 10_09_26.073-05_00_leaf.png,0.46,1034
1034_LeafPhotoA_2025-09-08 10_10_03.182-05_00_leaf.png,0.71,1034
1034_LeafPhotoA_2025-09-08 10_10_16.663-05_00_leaf.png,0.15,1034
1035_LeafPhotoA_2025-09-08 10_12_45.309-05_00_leaf.png,0.21,1035
1035_LeafPhotoA_2025-09-08 10_12_59.269-05_00_leaf.png,0.18,1035
1035_LeafPhotoA_2025-09-08 10_13_13.017-05_00_leaf.png,0.15,1035
1036_LeafPhotoA_2025-09-08 10_13_37.325-05_00_leaf.png,0.08,1036
1036_LeafPhotoA_2025-09-08 10_13_48.863-05_00_leaf.png,0.34,1036
1036_LeafPhotoA_2025-09-08 10_14_00.627-05_00_leaf.png,0.71,1036
1037_LeafPhotoA_2025-09-08 10_14_34.857-05_00_leaf.png,1.12,1037
1037_LeafPhotoA_2025-09-08 10_14_49.421-05_00_leaf.png,1.2,1037
1037_LeafPhotoA_2025-09-08 10_15_09.536-05_00_leaf.png,3.21,1037
