image_path,segmentation_method
data/aamu2025/block2/20410_LeafPhotoA_2025-10-23 14_03_51.081-05_00.jpg,CV2
data/aamu2025/block2/20403_LeafPhotoA_2025-10-23 13_59_16.115-05_00.jpg,SAM3
data/aamu2025/block2/20327_LeafPhotoA_2025-10-23 12_20_43.870-05_00.jpg,CV2
data/aamu2025/block2/21016_LeafPhotoA_2025-10-24 11_15_41.450-05_00.jpg,CV2
data/aamu2025/block2/21209_LeafPhotoA_2025-10-24 12_01_26.836-05_00.jpg,CV2
data/aamu2025/block2/20827_LeafPhotoA_2025-10-24 10_17_41.459-05_00.jpg,CV2
data/aamu2025/block2/20903_LeafPhotoA_2025-10-24 10_25_14.741-05_00.jpg,CV2
data/aamu2025/block2/20417_LeafPhotoA_2025-10-23 14_09_54.663-05_00.jpg,CV2
data/aamu2025/block2/21425_LeafPhotoA_2025-10-24 15_02_13.185-05_00.jpg,CV2
data/aamu2025/block2/21013_LeafPhotoA_2025-10-24 11_09_12.722-05_00.jpg,CV2
data/aamu2025/block2/21005_LeafPhotoA_2025-10-24 11_04_03.331-05_00.jpg,CV2
data/aamu2025/block2/20322_LeafPhotoA_2025-10-23 12_17_05.004-05_00.jpg,CV2
data/aamu2025/block2/20114_LeafPhotoA_2025-10-23 10_59_13.400-05_00.jpg,CV2
data/aamu2025/block2/21220_LeafPhotoA_2025-10-24 12_13_16.589-05_00.jpg,CV2
data/aamu2025/block2/20324_LeafPhotoA_2025-10-23 12_18_58.136-05_00.jpg,CV2
data/aamu2025/block2/20609_LeafPhotoA_2025-10-23 14_49_59.360-05_00.jpg,CV2
data/aamu2025/block2/20525_LeafPhotoA_2025-10-23 14_39_58.814-05_00.jpg,CV2
data/aamu2025/block2/20716_LeafPhotoA_2025-10-23 16_10_09.369-05_00.jpg,CV2
data/aamu2025/block2/20408_LeafPhotoA_2025-10-23 14_02_09.569-05_00.jpg,CV2
data/aamu2025/block2/21405_LeafPhotoA_2025-10-24 14_46_55.676-05_00.jpg,CV2
data/aamu2025/block2/21112_LeafPhotoA_2025-10-24 11_40_14.315-05_00.jpg,CV2
data/aamu2025/block2/20516_LeafPhotoA_2025-10-23 14_34_59.590-05_00.jpg,CV2
data/aamu2025/block2/20211_LeafPhotoA_2025-10-23 11_32_15.557-05_00.jpg,CV2
data/aamu2025/block2/21117_LeafPhotoA_2025-10-24 11_43_43.364-05_00.jpg,CV2
data/aamu2025/block2/21227_LeafPhotoA_2025-10-24 12_20_12.784-05_00.jpg,CV2
data/aamu2025/block2/20408_LeafPhotoA_2025-10-23 14_02_30.870-05_00.jpg,CV2
data/aamu2025/block2/20315_LeafPhotoA_2025-10-23 12_10_30.658-05_00.jpg,CV2
data/aamu2025/block2/20224_LeafPhotoA_2025-10-23 11_45_36.332-05_00.jpg,CV2
data/aamu2025/block2/20103_LeafPhotoA_2025-10-23 10_44_24.779-05_00.jpg,CV2
data/aamu2025/block2/21601_LeafPhotoA_2025-10-24 15_32_28.971-05_00.jpg,CV2
data/aamu2025/block2/21521_LeafPhotoA_2025-10-24 15_25_39.460-05_00.jpg,CV2
data/aamu2025/block2/21407_LeafPhotoA_2025-10-24 14_49_39.597-05_00.jpg,CV2
data/aamu2025/block2/20609_LeafPhotoA_2025-10-23 14_49_48.619-05_00.jpg,CV2
data/aamu2025/block2/20605_LeafPhotoA_2025-10-23 14_47_00.861-05_00.jpg,CV2
data/aamu2025/block2/20820_LeafPhotoA_2025-10-24 10_11_34.279-05_00.jpg,CV2
data/aamu2025/block2/20418_LeafPhotoA_2025-10-23 14_10_29.488-05_00.jpg,CV2
data/aamu2025/block2/20603_LeafPhotoA_2025-10-23 14_45_22.663-05_00.jpg,CV2
data/aamu2025/block2/20719_LeafPhotoA_2025-10-23 16_12_23.253-05_00.jpg,CV2
data/aamu2025/block2/20206_LeafPhotoA_2025-10-23 11_26_36.726-05_00.jpg,CV2
data/aamu2025/block2/20414_LeafPhotoA_2025-10-23 14_06_57.844-05_00.jpg,CV2
data/aamu2025/block2/20321_LeafPhotoA_2025-10-23 12_15_33.445-05_00.jpg,CV2
data/aamu2025/block2/20217_LeafPhotoA_2025-10-23 11_37_44.819-05_00.jpg,CV2
data/aamu2025/block2/20614_LeafPhotoA_2025-10-23 14_54_55.895-05_00.jpg,CV2
data/aamu2025/block2/21103_LeafPhotoA_2025-10-24 11_31_46.267-05_00.jpg,CV2
data/aamu2025/block2/20914_LeafPhotoA_2025-10-24 10_40_07.284-05_00.jpg,CV2
data/aamu2025/block2/21613_LeafPhotoA_2025-10-24 15_47_56.615-05_00.jpg,CV2
data/aamu2025/block2/20412_LeafPhotoA_2025-10-23 14_05_20.111-05_00.jpg,CV2
data/aamu2025/block2/20214_LeafPhotoA_2025-10-23 11_34_25.221-05_00.jpg,CV2
data/aamu2025/block2/21006_LeafPhotoA_2025-10-24 11_06_20.861-05_00.jpg,CV2
data/aamu2025/block2/20611_LeafPhotoA_2025-10-23 14_51_52.714-05_00.jpg,CV2
data/aamu2025/block2/20617_LeafPhotoA_2025-10-23 14_57_33.824-05_00.jpg,CV2
data/aamu2025/block2/21425_LeafPhotoA_2025-10-24 15_02_39.240-05_00.jpg,CV2
data/aamu2025/block2/20325_LeafPhotoA_2025-10-23 12_19_37.960-05_00.jpg,CV2
data/aamu2025/block2/21620_LeafPhotoA_2025-10-24 15_57_15.953-05_00.jpg,CV2
data/aamu2025/block2/20714_LeafPhotoA_2025-10-23 16_08_07.580-05_00.jpg,CV2
data/aamu2025/block2/20813_LeafPhotoA_2025-10-24 10_00_06.659-05_00.jpg,CV2
data/aamu2025/block2/21305_LeafPhotoA_2025-10-24 14_17_22.696-05_00.jpg,CV2
data/aamu2025/block2/20427_LeafPhotoA_2025-10-23 14_23_37.122-05_00.jpg,CV2
data/aamu2025/block2/21316_LeafPhotoA_2025-10-24 14_30_27.561-05_00.jpg,CV2
data/aamu2025/block2/20527_LeafPhotoA_2025-10-23 14_41_46.650-05_00.jpg,CV2
data/aamu2025/block2/20202_LeafPhotoA_2025-10-23 11_21_17.803-05_00.jpg,CV2
data/aamu2025/block2/20425_LeafPhotoA_2025-10-23 14_21_27.066-05_00.jpg,CV2
data/aamu2025/block2/20227_LeafPhotoA_2025-10-23 11_49_26.026-05_00.jpg,CV2
data/aamu2025/block2/20510_LeafPhotoA_2025-10-23 14_30_46.379-05_00.jpg,CV2
data/aamu2025/block2/21220_LeafPhotoA_2025-10-24 12_13_40.188-05_00.jpg,CV2
data/aamu2025/block2/20122_LeafPhotoA_2025-10-23 11_07_57.835-05_00.jpg,CV2
data/aamu2025/block2/21524_LeafPhotoA_2025-10-24 15_27_16.173-05_00.jpg,CV2
data/aamu2025/block2/20810_LeafPhotoA_2025-10-24 09_57_29.063-05_00.jpg,CV2
data/aamu2025/block2/20514_LeafPhotoA_2025-10-23 14_33_12.126-05_00.jpg,CV2
data/aamu2025/block2/21426_LeafPhotoA_2025-10-24 15_03_12.455-05_00.jpg,CV2
data/aamu2025/block2/21110_LeafPhotoA_2025-10-24 11_38_11.706-05_00.jpg,CV2
data/aamu2025/block2/20816_LeafPhotoA_2025-10-24 10_00_53.186-05_00.jpg,CV2
data/aamu2025/block2/20415_LeafPhotoA_2025-10-23 14_07_46.336-05_00.jpg,CV2
data/aamu2025/block2/20306_LeafPhotoA_2025-10-23 11_58_51.573-05_00.jpg,CV2
data/aamu2025/block2/20209_LeafPhotoA_2025-10-23 11_30_24.602-05_00.jpg,CV2
data/aamu2025/block2/20714_LeafPhotoA_2025-10-23 16_08_29.342-05_00.jpg,CV2
data/aamu2025/block2/20309_LeafPhotoA_2025-10-23 12_03_54.616-05_00.jpg,CV2
data/aamu2025/block2/20210_LeafPhotoA_2025-10-23 11_31_47.881-05_00.jpg,CV2
data/aamu2025/block2/21326_LeafPhotoA_2025-10-24 14_40_47.417-05_00.jpg,CV2
data/aamu2025/block2/21607_LeafPhotoA_2025-10-24 15_45_30.296-05_00.jpg,CV2
data/aamu2025/block2/20703_LeafPhotoA_2025-10-23 16_00_17.221-05_00.jpg,CV2
data/aamu2025/block2/20813_LeafPhotoA_2025-10-24 09_59_29.968-05_00.jpg,CV2
data/aamu2025/block2/20601_LeafPhotoA_2025-10-23 14_44_02.214-05_00.jpg,CV2
data/aamu2025/block2/20414_LeafPhotoA_2025-10-23 14_06_47.462-05_00.jpg,CV2
data/aamu2025/block2/20820_LeafPhotoA_2025-10-24 10_11_16.069-05_00.jpg,CV2
data/aamu2025/block2/20219_LeafPhotoA_2025-10-23 11_39_36.159-05_00.jpg,CV2
data/aamu2025/block2/20925_LeafPhotoA_2025-10-24 10_53_33.684-05_00.jpg,CV2
data/aamu2025/block2/21503_LeafPhotoA_2025-10-24 15_09_57.465-05_00.jpg,CV2
data/aamu2025/block2/20910_LeafPhotoA_2025-10-24 10_32_56.395-05_00.jpg,CV2
data/aamu2025/block2/20501_LeafPhotoA_2025-10-23 14_25_24.562-05_00.jpg,CV2
data/aamu2025/block2/21617_LeafPhotoA_2025-10-24 15_54_09.548-05_00.jpg,CV2
data/aamu2025/block2/20823_LeafPhotoA_2025-10-24 10_14_02.675-05_00.jpg,CV2
data/aamu2025/block2/20412_LeafPhotoA_2025-10-23 14_05_32.924-05_00.jpg,CV2
data/aamu2025/block2/20614_LeafPhotoA_2025-10-23 14_54_42.566-05_00.jpg,CV2
data/aamu2025/block2/20226_LeafPhotoA_2025-10-23 11_48_22.903-05_00.jpg,CV2
data/aamu2025/block2/20105_LeafPhotoA_2025-10-23 10_46_36.024-05_00.jpg,CV2
data/aamu2025/block2/20604_LeafPhotoA_2025-10-23 14_45_55.873-05_00.jpg,CV2
data/aamu2025/block2/20503_LeafPhotoA_2025-10-23 14_27_19.062-05_00.jpg,CV2
data/aamu2025/block2/21401_LeafPhotoA_2025-10-24 14_45_11.621-05_00.jpg,CV2
data/aamu2025/block2/20312_LeafPhotoA_2025-10-23 12_06_57.593-05_00.jpg,CV2
data/aamu2025/block2/20104_LeafPhotoA_2025-10-23 10_45_37.121-05_00.jpg,CV2
data/aamu2025/block2/20701_LeafPhotoA_2025-10-23 15_57_34.413-05_00.jpg,CV2
data/aamu2025/block2/20502_LeafPhotoA_2025-10-23 14_26_21.991-05_00.jpg,CV2
data/aamu2025/block2/21306_LeafPhotoA_2025-10-24 14_18_58.341-05_00.jpg,CV2
data/aamu2025/block2/20410_LeafPhotoA_2025-10-23 14_03_32.178-05_00.jpg,CV2
data/aamu2025/block2/20401_LeafPhotoA_2025-10-23 13_57_22.979-05_00.jpg,CV2
data/aamu2025/block2/20910_LeafPhotoA_2025-10-24 10_31_45.708-05_00.jpg,CV2
data/aamu2025/block2/20127_LeafPhotoA_2025-10-23 11_13_27.238-05_00.jpg,CV2
data/aamu2025/block2/20122_LeafPhotoA_2025-10-23 11_08_18.994-05_00.jpg,CV2
data/aamu2025/block2/21513_LeafPhotoA_2025-10-24 15_19_00.782-05_00.jpg,CV2
data/aamu2025/block2/21309_LeafPhotoA_2025-10-24 14_24_35.988-05_00.jpg,CV2
data/aamu2025/block2/21513_LeafPhotoA_2025-10-24 15_19_30.570-05_00.jpg,CV2
data/aamu2025/block2/20713_LeafPhotoA_2025-10-23 16_06_45.050-05_00.jpg,CV2
data/aamu2025/block2/20723_LeafPhotoA_2025-10-23 16_15_07.393-05_00.jpg,CV2
data/aamu2025/block2/20117_LeafPhotoA_2025-10-23 11_02_24.897-05_00.jpg,CV2
data/aamu2025/block2/20918_LeafPhotoA_2025-10-24 10_46_22.372-05_00.jpg,CV2
data/aamu2025/block2/20327_LeafPhotoA_2025-10-23 12_20_18.862-05_00.jpg,CV2
data/aamu2025/block2/21112_LeafPhotoA_2025-10-24 11_40_35.700-05_00.jpg,CV2
data/aamu2025/block2/21524_LeafPhotoA_2025-10-24 15_27_34.832-05_00.jpg,CV2
data/aamu2025/block2/20513_LeafPhotoA_2025-10-23 14_32_38.456-05_00.jpg,CV2
data/aamu2025/block2/21303_LeafPhotoA_2025-10-24 14_13_51.258-05_00.jpg,CV2
data/aamu2025/block2/21215_LeafPhotoA_2025-10-24 12_09_08.783-05_00.jpg,CV2
data/aamu2025/block2/21525_LeafPhotoA_2025-10-24 15_28_37.282-05_00.jpg,CV2
data/aamu2025/block2/20603_LeafPhotoA_2025-10-23 14_45_32.888-05_00.jpg,CV2
