image_path,segmentation_method
data/fvsu2025/bap2/251374_LeafPhotoA_2025-10-10 14_21_34.385-05_00.jpg,CV2
data/fvsu2025/bap2/250442_LeafPhotoA_2025-10-02 13_50_08.793-05_00.jpg,CV2
data/fvsu2025/bap2/250243_LeafPhotoA_2025-10-01 10_30_23.603-05_00.jpg,CV2
data/fvsu2025/bap2/250490_LeafPhotoA_2025-10-02 14_38_00.958-05_00.jpg,CV2
data/fvsu2025/bap2/250771_LeafPhotoA_2025-10-07 14_38_02.651-05_00.jpg,CV2
data/fvsu2025/bap2/250579_LeafPhotoA_2025-10-03 10_32_10.589-05_00.jpg,CV2
data/fvsu2025/bap2/251366_LeafPhotoA_2025-10-10 14_15_45.931-05_00.jpg,CV2
data/fvsu2025/bap2/250974_LeafPhotoA_2025-10-08 09_35_51.176-05_00.jpg,CV2
data/fvsu2025/bap2/250769_LeafPhotoA_2025-10-07 14_36_01.486-05_00.jpg,CV2
data/fvsu2025/bap2/250524_LeafPhotoA_2025-10-03 09_13_12.345-05_00.jpg,CV2
data/fvsu2025/bap2/251065_LeafPhotoA_2025-10-08 14_07_47.383-05_00.jpg,CV2
data/fvsu2025/bap2/250442_LeafPhotoA_2025-10-02 13_50_25.642-05_00.jpg,CV2
data/fvsu2025/bap2/250722_LeafPhotoA_2025-10-07 13_54_36.340-05_00.jpg,CV2
data/fvsu2025/bap2/251058_LeafPhotoA_2025-10-08 14_14_46.009-05_00.jpg,CV2
data/fvsu2025/bap2/250280_LeafPhotoA_2025-10-01 13_33_24.100-05_00.jpg,CV2
data/fvsu2025/bap2/250978_LeafPhotoA_2025-10-08 09_41_54.131-05_00.jpg,CV2
data/fvsu2025/bap2/250395_LeafPhotoA_2025-10-02 10_35_43.706-05_00.jpg,CV2
data/fvsu2025/bap2/250013_LeafPhotoA_2025-10-01 08_46_00.333-05_00.jpg,CV2
data/fvsu2025/bap2/251309_LeafPhotoA_2025-10-10 13_54_25.010-05_00.jpg,CV2
data/fvsu2025/bap2/250973_LeafPhotoA_2025-10-08 09_34_21.926-05_00.jpg,CV2
data/fvsu2025/bap2/250250_LeafPhotoA_2025-10-01 10_40_33.704-05_00.jpg,CV2
data/fvsu2025/bap2/250390_LeafPhotoA_2025-10-02 10_41_37.601-05_00.jpg,CV2
data/fvsu2025/bap2/251070_LeafPhotoA_2025-10-08 14_01_37.875-05_00.jpg,CV2
data/fvsu2025/bap2/251052_LeafPhotoA_2025-10-08 13_55_33.132-05_00.jpg,CV2
data/fvsu2025/bap2/251375_LeafPhotoA_2025-10-10 14_22_28.809-05_00.jpg,CV2
data/fvsu2025/bap2/251321_LeafPhotoA_2025-10-10 14_00_45.709-05_00.jpg,CV2
data/fvsu2025/bap2/251051_LeafPhotoA_2025-10-08 13_54_33.556-05_00.jpg,CV2
data/fvsu2025/bap2/250554_LeafPhotoA_2025-10-03 09_32_26.837-05_00.jpg,CV2
data/fvsu2025/bap2/250477_LeafPhotoA_2025-10-02 14_19_36.926-05_00.jpg,CV2
data/fvsu2025/bap2/250285_LeafPhotoA_2025-10-01 13_41_09.552-05_00.jpg,CV2
data/fvsu2025/bap2/250277_LeafPhotoA_2025-10-01 13_29_24.523-05_00.jpg,CV2
data/fvsu2025/bap2/251040_LeafPhotoA_2025-10-08 13_40_27.170-05_00.jpg,CV2
data/fvsu2025/bap2/250523_LeafPhotoA_2025-10-03 08_53_45.478-05_00.jpg,CV2
data/fvsu2025/bap2/250720_LeafPhotoA_2025-10-07 13_51_55.372-05_00.jpg,CV2
data/fvsu2025/bap2/250990_LeafPhotoA_2025-10-08 10_08_56.362-05_00.jpg,CV2
data/fvsu2025/bap2/251317_LeafPhotoA_2025-10-10 14_04_15.097-05_00.jpg,CV2
data/fvsu2025/bap2/251040_LeafPhotoA_2025-10-08 13_39_58.589-05_00.jpg,CV2
data/fvsu2025/bap2/250403_LeafPhotoA_2025-10-02 10_23_51.512-05_00.jpg,CV2
data/fvsu2025/bap2/250412_LeafPhotoA_2025-10-02 13_29_50.575-05_00.jpg,CV2
data/fvsu2025/bap2/250282_LeafPhotoA_2025-10-01 13_36_05.828-05_00.jpg,CV2
data/fvsu2025/bap2/250563_LeafPhotoA_2025-10-03 10_14_38.939-05_00.jpg,CV2
data/fvsu2025/bap2/250572_LeafPhotoA_2025-10-03 10_40_25.471-05_00.jpg,CV2
data/fvsu2025/bap2/251364_LeafPhotoA_2025-10-10 14_13_14.044-05_00.jpg,CV2
data/fvsu2025/bap2/250583_LeafPhotoA_2025-10-03 10_28_00.789-05_00.jpg,CV2
data/fvsu2025/bap2/250503_LeafPhotoA_2025-10-03 08_46_49.162-05_00.jpg,CV2
data/fvsu2025/bap2/250278_LeafPhotoA_2025-10-01 13_30_28.552-05_00.jpg,CV2
data/fvsu2025/bap2/251359_LeafPhotoA_2025-10-10 10_46_45.066-05_00.jpg,CV2
data/fvsu2025/bap2/251062_LeafPhotoA_2025-10-08 14_11_44.481-05_00.jpg,CV2
data/fvsu2025/bap2/251307_LeafPhotoA_2025-10-10 13_51_55.390-05_00.jpg,CV2
data/fvsu2025/bap2/250571_LeafPhotoA_2025-10-03 10_23_42.750-05_00.jpg,CV2
data/fvsu2025/bap2/250938_LeafPhotoA_2025-10-08 08_37_24.644-05_00.jpg,CV2
data/fvsu2025/bap2/250243_LeafPhotoA_2025-10-01 10_30_06.765-05_00.jpg,CV2
data/fvsu2025/bap2/251310_LeafPhotoA_2025-10-10 13_55_10.426-05_00.jpg,CV2
data/fvsu2025/bap2/250501_LeafPhotoA_2025-10-03 08_46_04.382-05_00.jpg,CV2
data/fvsu2025/bap2/250404_LeafPhotoA_2025-10-02 10_24_13.283-05_00.jpg,CV2
data/fvsu2025/bap2/251344_LeafPhotoA_2025-10-10 11_03_06.096-05_00.jpg,CV2
data/fvsu2025/bap2/250228_LeafPhotoA_2025-10-01 09_38_39.186-05_00.jpg,CV2
data/fvsu2025/bap2/250489_LeafPhotoA_2025-10-02 14_36_09.615-05_00.jpg,CV2
data/fvsu2025/bap2/251335_LeafPhotoA_2025-10-10 10_35_27.182-05_00.jpg,CV2
data/fvsu2025/bap2/250244_LeafPhotoA_2025-10-01 10_30_51.744-05_00.jpg,CV2
data/fvsu2025/bap2/250936_LeafPhotoA_2025-10-08 08_34_08.569-05_00.jpg,CV2
data/fvsu2025/bap2/250559_LeafPhotoA_2025-10-03 10_10_41.882-05_00.jpg,CV2
data/fvsu2025/bap2/250993_LeafPhotoA_2025-10-08 10_01_57.931-05_00.jpg,CV2
data/fvsu2025/bap2/250401_LeafPhotoA_2025-10-02 10_19_17.551-05_00.jpg,CV2
