image_path,segmentation_method
data/fvsu2025/sap1/250442_LeafPhotoA_2025-10-02 13_50_08.793-05_00.jpg,CV2
data/fvsu2025/sap1/250243_LeafPhotoA_2025-10-01 10_30_23.603-05_00.jpg,CV2
data/fvsu2025/sap1/250490_LeafPhotoA_2025-10-02 14_38_00.958-05_00.jpg,CV2
data/fvsu2025/sap1/250579_LeafPhotoA_2025-10-03 10_32_10.589-05_00.jpg,CV2
data/fvsu2025/sap1/250524_LeafPhotoA_2025-10-03 09_13_12.345-05_00.jpg,CV2
data/fvsu2025/sap1/250442_LeafPhotoA_2025-10-02 13_50_25.642-05_00.jpg,CV2
data/fvsu2025/sap1/250280_LeafPhotoA_2025-10-01 13_33_24.100-05_00.jpg,CV2
data/fvsu2025/sap1/250395_LeafPhotoA_2025-10-02 10_35_43.706-05_00.jpg,CV2
data/fvsu2025/sap1/250013_LeafPhotoA_2025-10-01 08_46_00.333-05_00.jpg,CV2
data/fvsu2025/sap1/250250_LeafPhotoA_2025-10-01 10_40_33.704-05_00.jpg,CV2
data/fvsu2025/sap1/250390_LeafPhotoA_2025-10-02 10_41_37.601-05_00.jpg,CV2
data/fvsu2025/sap1/250554_LeafPhotoA_2025-10-03 09_32_26.837-05_00.jpg,CV2
data/fvsu2025/sap1/250477_LeafPhotoA_2025-10-02 14_19_36.926-05_00.jpg,CV2
data/fvsu2025/sap1/250285_LeafPhotoA_2025-10-01 13_41_09.552-05_00.jpg,CV2
data/fvsu2025/sap1/250277_LeafPhotoA_2025-10-01 13_29_24.523-05_00.jpg,CV2
data/fvsu2025/sap1/250523_LeafPhotoA_2025-10-03 08_53_45.478-05_00.jpg,CV2
data/fvsu2025/sap1/250403_LeafPhotoA_2025-10-02 10_23_51.512-05_00.jpg,CV2
data/fvsu2025/sap1/250412_LeafPhotoA_2025-10-02 13_29_50.575-05_00.jpg,CV2
data/fvsu2025/sap1/250282_LeafPhotoA_2025-10-01 13_36_05.828-05_00.jpg,CV2
data/fvsu2025/sap1/250563_LeafPhotoA_2025-10-03 10_14_38.939-05_00.jpg,CV2
data/fvsu2025/sap1/250572_LeafPhotoA_2025-10-03 10_40_25.471-05_00.jpg,CV2
data/fvsu2025/sap1/250583_LeafPhotoA_2025-10-03 10_28_00.789-05_00.jpg,CV2
data/fvsu2025/sap1/250503_LeafPhotoA_2025-10-03 08_46_49.162-05_00.jpg,CV2
data/fvsu2025/sap1/250278_LeafPhotoA_2025-10-01 13_30_28.552-05_00.jpg,CV2
data/fvsu2025/sap1/250571_LeafPhotoA_2025-10-03 10_23_42.750-05_00.jpg,CV2
data/fvsu2025/sap1/250243_LeafPhotoA_2025-10-01 10_30_06.765-05_00.jpg,CV2
data/fvsu2025/sap1/250501_LeafPhotoA_2025-10-03 08_46_04.382-05_00.jpg,CV2
data/fvsu2025/sap1/250404_LeafPhotoA_2025-10-02 10_24_13.283-05_00.jpg,CV2
data/fvsu2025/sap1/250228_LeafPhotoA_2025-10-01 09_38_39.186-05_00.jpg,CV2
data/fvsu2025/sap1/250489_LeafPhotoA_2025-10-02 14_36_09.615-05_00.jpg,CV2
data/fvsu2025/sap1/250244_LeafPhotoA_2025-10-01 10_30_51.744-05_00.jpg,CV2
data/fvsu2025/sap1/250559_LeafPhotoA_2025-10-03 10_10_41.882-05_00.jpg,CV2
data/fvsu2025/sap1/250401_LeafPhotoA_2025-10-02 10_19_17.551-05_00.jpg,CV2
data/fvsu2025/sap1/250587_LeafPhotoA_2025-10-03 10_24_41.291-05_00.jpg,CV2
data/fvsu2025/sap1/250248_LeafPhotoA_2025-10-01 10_36_13.294-05_00.jpg,CV2
data/fvsu2025/sap1/250080_LeafPhotoA_2025-10-01 08_53_18.127-05_00.jpg,CV2
data/fvsu2025/sap1/250425_LeafPhotoA_2025-10-02 13_44_59.680-05_00.jpg,CV2
data/fvsu2025/sap1/250519_LeafPhotoA_2025-10-03 08_57_09.215-05_00.jpg,CV2
data/fvsu2025/sap1/250069_LeafPhotoA_2025-10-01 09_15_13.603-05_00.jpg,CV2
data/fvsu2025/sap1/250303_LeafPhotoA_2025-10-01 14_14_29.184-05_00.jpg,CV2
data/fvsu2025/sap1/250504_LeafPhotoA_2025-10-03 08_48_09.426-05_00.jpg,CV2
data/fvsu2025/sap1/250572_LeafPhotoA_2025-10-03 10_40_57.553-05_00.jpg,CV2
data/fvsu2025/sap1/250584_LeafPhotoA_2025-10-03 10_26_27.728-05_00.jpg,CV2
data/fvsu2025/sap1/250561_LeafPhotoA_2025-10-03 10_12_12.176-05_00.jpg,CV2
data/fvsu2025/sap1/250560_LeafPhotoA_2025-10-03 10_11_30.026-05_00.jpg,CV2
data/fvsu2025/sap1/250004_LeafPhotoA_2025-10-01 08_19_15.486-05_00.jpg,CV2
data/fvsu2025/sap1/250487_LeafPhotoA_2025-10-02 14_33_03.401-05_00.jpg,CV2
data/fvsu2025/sap1/250230_LeafPhotoA_2025-10-01 09_43_11.048-05_00.jpg,CV2
data/fvsu2025/sap1/250280_LeafPhotoA_2025-10-01 13_34_06.719-05_00.jpg,CV2
data/fvsu2025/sap1/250313_LeafPhotoA_2025-10-01 14_24_35.098-05_00.jpg,CV2
data/fvsu2025/sap1/250009_LeafPhotoA_2025-10-01 08_39_47.871-05_00.jpg,CV2
data/fvsu2025/sap1/250066_LeafPhotoA_2025-10-01 09_19_30.859-05_00.jpg,CV2
data/fvsu2025/sap1/250246_LeafPhotoA_2025-10-01 10_34_28.443-05_00.jpg,CV2
data/fvsu2025/sap1/250290_LeafPhotoA_2025-10-01 13_57_48.006-05_00.jpg,CV2
data/fvsu2025/sap1/250437_LeafPhotoA_2025-10-02 13_58_09.899-05_00.jpg,CV2
data/fvsu2025/sap1/250406_LeafPhotoA_2025-10-02 10_27_17.304-05_00.jpg,CV2
data/fvsu2025/sap1/250298_LeafPhotoA_2025-10-01 14_07_26.522-05_00.jpg,CV2
data/fvsu2025/sap1/250569_LeafPhotoA_2025-10-03 10_20_48.396-05_00.jpg,CV2
data/fvsu2025/sap1/250508_LeafPhotoA_2025-10-03 09_10_09.190-05_00.jpg,CV2
data/fvsu2025/sap1/250515_LeafPhotoA_2025-10-03 09_01_35.837-05_00.jpg,CV2
data/fvsu2025/sap1/250416_LeafPhotoA_2025-10-02 13_33_36.704-05_00.jpg,CV2
data/fvsu2025/sap1/250565_LeafPhotoA_2025-10-03 10_17_02.299-05_00.jpg,CV2
data/fvsu2025/sap1/250511_LeafPhotoA_2025-10-03 09_06_41.043-05_00.jpg,CV2
data/fvsu2025/sap1/250547_LeafPhotoA_2025-10-03 09_38_35.347-05_00.jpg,CV2
data/fvsu2025/sap1/250282_LeafPhotoA_2025-10-01 13_36_26.554-05_00.jpg,CV2
data/fvsu2025/sap1/250436_LeafPhotoA_2025-10-02 13_58_54.680-05_00.jpg,CV2
data/fvsu2025/sap1/250235_LeafPhotoA_2025-10-01 09_49_44.135-05_00.jpg,CV2
data/fvsu2025/sap1/250514_LeafPhotoA_2025-10-03 09_03_50.173-05_00.jpg,CV2
data/fvsu2025/sap1/250488_LeafPhotoA_2025-10-02 14_35_17.117-05_00.jpg,CV2
data/fvsu2025/sap1/250434_LeafPhotoA_2025-10-02 14_02_06.883-05_00.jpg,CV2
data/fvsu2025/sap1/250492_LeafPhotoA_2025-10-03 08_22_33.663-05_00.jpg,CV2
data/fvsu2025/sap1/250005_LeafPhotoA_2025-10-01 08_31_50.896-05_00.jpg,CV2
data/fvsu2025/sap1/250508_LeafPhotoA_2025-10-03 09_09_14.365-05_00.jpg,CV2
data/fvsu2025/sap1/250486_LeafPhotoA_2025-10-02 14_32_25.933-05_00.jpg,CV2
data/fvsu2025/sap1/250571_LeafPhotoA_2025-10-03 10_23_02.577-05_00.jpg,CV2
data/fvsu2025/sap1/250284_LeafPhotoA_2025-10-01 13_39_38.435-05_00.jpg,CV2
data/fvsu2025/sap1/250080_LeafPhotoA_2025-10-01 08_53_34.588-05_00.jpg,CV2
data/fvsu2025/sap1/250232_LeafPhotoA_2025-10-01 09_46_45.880-05_00.jpg,CV2
data/fvsu2025/sap1/250555_LeafPhotoA_2025-10-03 09_31_05.652-05_00.jpg,CV2
data/fvsu2025/sap1/250307_LeafPhotoA_2025-10-01 14_31_24.075-05_00.jpg,CV2
data/fvsu2025/sap1/250526_LeafPhotoA_2025-10-03 09_15_41.150-05_00.jpg,CV2
data/fvsu2025/sap1/250584_LeafPhotoA_2025-10-03 10_26_46.030-05_00.jpg,CV2
data/fvsu2025/sap1/250236_LeafPhotoA_2025-10-01 09_52_21.768-05_00.jpg,CV2
data/fvsu2025/sap1/250007_LeafPhotoA_2025-10-01 08_35_26.547-05_00.jpg,CV2
data/fvsu2025/sap1/250007_LeafPhotoA_2025-10-01 08_35_44.605-05_00.jpg,CV2
data/fvsu2025/sap1/250402_LeafPhotoA_2025-10-02 10_21_09.864-05_00.jpg,CV2
data/fvsu2025/sap1/250292_LeafPhotoA_2025-10-01 14_00_33.622-05_00.jpg,CV2
data/fvsu2025/sap1/250523_LeafPhotoA_2025-10-03 08_53_32.156-05_00.jpg,CV2
data/fvsu2025/sap1/250425_LeafPhotoA_2025-10-02 13_44_41.019-05_00.jpg,CV2
data/fvsu2025/sap1/250073_LeafPhotoA_2025-10-01 09_08_57.961-05_00.jpg,CV2
data/fvsu2025/sap1/250419_LeafPhotoA_2025-10-02 13_36_43.406-05_00.jpg,CV2
data/fvsu2025/sap1/250307_LeafPhotoA_2025-10-01 14_31_54.489-05_00.jpg,CV2
data/fvsu2025/sap1/250242_LeafPhotoA_2025-10-01 10_29_27.574-05_00.jpg,CV2
data/fvsu2025/sap1/250076_LeafPhotoA_2025-10-01 08_59_51.984-05_00.jpg,CV2
data/fvsu2025/sap1/250487_LeafPhotoA_2025-10-02 14_34_06.568-05_00.jpg,CV2
data/fvsu2025/sap1/250501_LeafPhotoA_2025-10-03 08_46_15.869-05_00.jpg,CV2
data/fvsu2025/sap1/250006_LeafPhotoA_2025-10-01 08_33_19.679-05_00.jpg,CV2
data/fvsu2025/sap1/250477_LeafPhotoA_2025-10-02 14_19_58.311-05_00.jpg,CV2
data/fvsu2025/sap1/250283_LeafPhotoA_2025-10-01 13_38_18.584-05_00.jpg,CV2
data/fvsu2025/sap1/250555_LeafPhotoA_2025-10-03 09_30_44.995-05_00.jpg,CV2
data/fvsu2025/sap1/250522_LeafPhotoA_2025-10-03 08_55_14.286-05_00.jpg,CV2
data/fvsu2025/sap1/250510_LeafPhotoA_2025-10-03 09_07_35.763-05_00.jpg,CV2
data/fvsu2025/sap1/250568_LeafPhotoA_2025-10-03 10_20_12.934-05_00.jpg,CV2
data/fvsu2025/sap1/250551_LeafPhotoA_2025-10-03 09_35_49.826-05_00.jpg,CV2
data/fvsu2025/sap1/250012_LeafPhotoA_2025-10-01 08_44_20.583-05_00.jpg,CV2
data/fvsu2025/sap1/250512_LeafPhotoA_2025-10-03 09_05_37.433-05_00.jpg,CV2
data/fvsu2025/sap1/250407_LeafPhotoA_2025-10-02 10_28_43.272-05_00.jpg,CV2
