feature,avg_fi,stat,embedding_num
2000,0.007413655783812988,std,976
1817,0.007398797733486602,std,793
875,0.006800373532403782,mean,875
939,0.0063215839570563755,mean,939
174,0.006277225092879056,mean,174
986,0.00626432685637988,mean,986
1490,0.005708061323059902,std,466
560,0.005692746429622068,mean,560
308,0.005570924853220138,mean,308
698,0.005494730171376545,mean,698
586,0.005371515507418512,mean,586
344,0.005357248922259814,mean,344
1275,0.005142888396713582,std,251
403,0.004986561696449678,mean,403
615,0.004948041176093318,mean,615
122,0.004874509295917752,mean,122
415,0.004746189958607774,mean,415
139,0.004662643208376484,mean,139
181,0.004627698878015304,mean,181
619,0.004572065263641872,mean,619
1841,0.004325208923969432,std,817
768,0.004308188757074582,mean,768
1271,0.004277134227656804,std,247
742,0.004266778787208804,mean,742
108,0.004255475634911506,mean,108
1190,0.00423829926537165,std,166
151,0.004189114407207738,mean,151
119,0.00412925143246692,mean,119
1641,0.004111499331486994,std,617
1885,0.0040248596713481225,std,861
906,0.004003816012746988,mean,906
778,0.00393829539814678,mean,778
885,0.003931893051887822,mean,885
283,0.003856410265886462,mean,283
600,0.003791464781916646,mean,600
948,0.003765793350062192,mean,948
514,0.003690941708438458,mean,514
314,0.003633743397960536,mean,314
1535,0.003623781716690532,std,511
165,0.00361496263127494,mean,165
973,0.0035498823919452,mean,973
2041,0.003543636471063496,std,1017
210,0.0035362878240592782,mean,210
197,0.003491750702931738,mean,197
1185,0.00348139260361374,std,161
1083,0.0034794062630094202,std,59
621,0.00346166793603132,mean,621
828,0.00340466070546273,mean,828
68,0.003387526275049638,mean,68
161,0.003349148466446258,mean,161
1268,0.00333248352363381,std,244
1557,0.003316962796472768,std,533
1997,0.003245180726447804,std,973
430,0.00321937972273976,mean,430
949,0.003165807121707798,mean,949
1133,0.003156294092409398,std,109
1942,0.003074699061357686,std,918
641,0.00307458617915431,mean,641
667,0.003024863786958564,mean,667
284,0.003023311967439958,mean,284
1809,0.00296900587129121,std,785
1524,0.00292312788262388,std,500
36,0.002810991594292914,mean,36
191,0.002798504309726624,mean,191
1903,0.002751478486111064,std,879
883,0.002706530804744074,mean,883
1089,0.002705467101215926,std,65
185,0.002687366013341472,mean,185
766,0.002626335303394424,mean,766
4,0.002625102860013368,mean,4
352,0.0026105931876878458,mean,352
1591,0.002594901532667198,std,567
562,0.002558451271754152,mean,562
1017,0.002556805955222204,mean,1017
1792,0.002541442320345804,std,768
1807,0.002540841604281566,std,783
517,0.002531177190327406,mean,517
91,0.0025182127038216,mean,91
694,0.002473489263716834,mean,694
976,0.002421923496019008,mean,976
1960,0.00240033594936266,std,936
968,0.002394962767078476,mean,968
548,0.0023707318634043142,mean,548
546,0.002361984144861578,mean,546
129,0.00236054438455893,mean,129
240,0.00235543848888869,mean,240
1179,0.002343726411978204,std,155
581,0.002340342455607776,mean,581
984,0.0023400784613761003,mean,984
441,0.00232015638675584,mean,441
954,0.00230965340798279,mean,954
930,0.0022892869704068818,mean,930
938,0.002277262716676838,mean,938
639,0.002266935678238402,mean,639
1009,0.00222792116152599,mean,1009
353,0.002221158146999644,mean,353
1562,0.002214164123185506,std,538
800,0.002195936939659606,mean,800
166,0.002195312970349946,mean,166
827,0.002177817790144042,mean,827
155,0.00214705909889265,mean,155
267,0.002115958191223334,mean,267
1590,0.002110219364606454,std,566
647,0.002107072030298782,mean,647
1541,0.002104698110548364,std,517
1657,0.00208888605117109,std,633
1390,0.0020657429464547,std,366
656,0.002065577920504704,mean,656
1954,0.0020602916854605,std,930
551,0.002030489225736054,mean,551
1941,0.001998470314440328,std,917
734,0.0019940518129645942,mean,734
637,0.001988060893208714,mean,637
333,0.001974516837565854,mean,333
746,0.00197176907996277,mean,746
316,0.001958274147397272,mean,316
180,0.0019411915563279979,mean,180
1793,0.001922058401697212,std,769
1845,0.001904008144617842,std,821
969,0.001903532800290226,mean,969
1121,0.001895648387044578,std,97
1630,0.001886362662703542,std,606
534,0.001855945212188552,mean,534
2007,0.001844985980901534,std,983
703,0.0018295571757320141,mean,703
2026,0.00181587956588988,std,1002
1412,0.001786083184531326,std,388
638,0.00178411142221716,mean,638
989,0.0017756339747188,mean,989
321,0.001769080011808044,mean,321
947,0.00175915044845031,mean,947
192,0.001732858564844494,mean,192
1996,0.00170811159705791,std,972
1048,0.0016980548826689781,std,24
59,0.001695770743988632,mean,59
380,0.001677071173642114,mean,380
135,0.0016600337314208319,mean,135
1837,0.00164779270487197,std,813
157,0.0016462230856034,mean,157
602,0.001640504551332884,mean,602
1644,0.001634488480992796,std,620
219,0.00163217978535442,mean,219
795,0.001630707483202026,mean,795
907,0.001628413762911086,mean,907
250,0.001625172793253068,mean,250
582,0.001623862459314036,mean,582
779,0.001621520486838886,mean,779
1764,0.00160076570158483,std,740
1871,0.001594628529307812,std,847
99,0.001592335039530368,mean,99
341,0.001577588128982712,mean,341
792,0.001571360344165774,mean,792
306,0.001565837636333988,mean,306
679,0.0015639849416376,mean,679
112,0.001558735895825644,mean,112
1122,0.001553159515982836,std,98
1400,0.001540153109684588,std,376
46,0.001535675582305112,mean,46
1581,0.001532499696946336,std,557
1513,0.001528299192227226,std,489
343,0.001527576046023644,mean,343
404,0.001522037865010884,mean,404
563,0.001512059915644088,mean,563
1682,0.001511156535277444,std,658
275,0.0014867542432480721,mean,275
437,0.001486347543265284,mean,437
670,0.001479791218239072,mean,670
1449,0.001476711783665296,std,425
1236,0.0014707117650925759,std,212
1716,0.001462663031787224,std,692
852,0.00146132980707727,mean,852
1600,0.001446287162819854,std,576
1068,0.001440916001524948,std,44
1418,0.00143928654262491,std,394
1424,0.00143885487474695,std,400
699,0.001427589429851552,mean,699
881,0.001422261211357394,mean,881
351,0.001417559784298096,mean,351
1685,0.00141185106144114,std,661
1005,0.001402340135756842,mean,1005
238,0.001396283065337396,mean,238
822,0.00139299408820352,mean,822
1708,0.001377136961672264,std,684
1198,0.001364950684746166,std,174
1460,0.0013617713127153,std,436
470,0.001348628213886942,mean,470
1650,0.0013428270263322,std,626
866,0.0013406570899362,mean,866
1624,0.0013301767421935579,std,600
1722,0.001327279832896806,std,698
1264,0.001310324480800658,std,240
1711,0.001269432433596184,std,687
1399,0.001261878017052778,std,375
229,0.0012544131375028921,mean,229
1486,0.001253841922223294,std,462
836,0.00124892160381121,mean,836
1294,0.001241566451244604,std,270
668,0.0012358143776153101,mean,668
776,0.001230585595941184,mean,776
37,0.001227505348588666,mean,37
1950,0.00122490483431178,std,926
256,0.001224784736882528,mean,256
1956,0.001223310510226464,std,932
365,0.0012055995150995161,mean,365
1827,0.0012054219431730639,std,803
592,0.001204603083430886,mean,592
1308,0.0012015026561466619,std,284
1507,0.001199214584204934,std,483
1438,0.001187660410650958,std,414
843,0.00118011789898681,mean,843
416,0.001178192536664452,mean,416
841,0.001176409983072146,mean,841
657,0.00117495617358805,mean,657
288,0.001169668068260918,mean,288
1131,0.001169635373548184,std,107
1113,0.00116464766566291,std,89
1350,0.001164625458605914,std,326
913,0.00115908380613873,mean,913
1371,0.001139546197505884,std,347
224,0.0011257993581071499,mean,224
1820,0.001124825956981456,std,796
2025,0.00112153984862119,std,1001
25,0.001117169040206804,mean,25
245,0.00109441035396094,mean,245
933,0.001092467849989428,mean,933
327,0.001092083325896708,mean,327
1145,0.00109104959790269,std,121
1715,0.001076380971616306,std,691
259,0.0010744473164132741,mean,259
1559,0.00106922510910041,std,535
683,0.001064816879068658,mean,683
750,0.001064477198444502,mean,750
1388,0.001064475428457712,std,364
76,0.001059428996820514,mean,76
1249,0.00105790672180041,std,225
1283,0.001057386363095324,std,259
1422,0.001052271972602118,std,398
1587,0.001051145936770454,std,563
1105,0.001051140193749618,std,81
1550,0.001050928499684534,std,526
612,0.001048078005412682,mean,612
1873,0.001047949334557116,std,849
914,0.001044820551245076,mean,914
1825,0.0010439093756316,std,801
1586,0.001025145502942888,std,562
501,0.0010217288159813601,mean,501
1149,0.001014228526098334,std,125
433,0.00101091907186293,mean,433
237,0.001010096505519862,mean,237
1024,0.00100803207428468,std,0
1247,0.00100794982753697,std,223
258,0.00100164944023138,mean,258
692,0.001000615382352204,mean,692
1574,9.92469951254608e-4,std,550
577,9.90335347536212e-4,mean,577
1405,9.89971286564028e-4,std,381
1349,9.8490510155554e-4,std,325
272,9.81039147841298e-4,mean,272
1246,9.769789592079339e-4,std,222
417,9.75850291358756e-4,mean,417
1564,9.70705280021124e-4,std,540
106,9.67810144679192e-4,mean,106
871,9.62997035115428e-4,mean,871
328,9.62540168562982e-4,mean,328
1391,9.60793105380432e-4,std,367
1047,9.60783865888884e-4,std,23
100,9.60659815516406e-4,mean,100
544,9.59067186328182e-4,mean,544
184,9.575134091857181e-4,mean,184
861,9.57362097236348e-4,mean,861
141,9.57098190315176e-4,mean,141
1056,9.5670709297288e-4,std,32
249,9.550912705626701e-4,mean,249
499,9.51270509672512e-4,mean,499
1022,9.500312614272e-4,mean,1022
408,9.47512284022288e-4,mean,408
1704,9.47298576470898e-4,std,680
1762,9.440450737209361e-4,std,738
412,9.40127598712828e-4,mean,412
1948,9.3860846777855e-4,std,924
300,9.3689013475612e-4,mean,300
2010,9.34532238790822e-4,std,986
190,9.32700063755772e-4,mean,190
1301,9.26548380178938e-4,std,277
952,9.25447756406888e-4,mean,952
1667,9.18781589652656e-4,std,643
1544,9.13950594528028e-4,std,520
1152,9.12404962633754e-4,std,128
1731,9.06344406220632e-4,std,707
1352,9.02877542552246e-4,std,328
817,8.9848802221178e-4,mean,817
820,8.98020986756864e-4,mean,820
45,8.9363730423114e-4,mean,45
1832,8.931314634663059e-4,std,808
1225,8.90842001204938e-4,std,201
1175,8.876617254757e-4,std,151
1002,8.78877567309602e-4,mean,1002
1106,8.70270982635752e-4,std,82
2044,8.64073784148576e-4,std,1020
1515,8.61373067850778e-4,std,491
20,8.61068761080242e-4,mean,20
1814,8.60200150381308e-4,std,790
1576,8.56095981756532e-4,std,552
1303,8.48807182259472e-4,std,279
148,8.43552072934844e-4,mean,148
188,8.40891551785482e-4,mean,188
1201,8.35402188941544e-4,std,177
1186,8.3493738487491e-4,std,162
704,8.333713630613279e-4,mean,704
223,8.29850570208702e-4,mean,223
1932,8.20202001987182e-4,std,908
1539,8.18874264826708e-4,std,515
1448,8.16316605800632e-4,std,424
1598,8.136081412415021e-4,std,574
1162,8.0918636995779e-4,std,138
541,8.02636875190202e-4,mean,541
375,8.00967082697182e-4,mean,375
1911,7.9767079554169e-4,std,887
1223,7.96490337003462e-4,std,199
93,7.87465199124486e-4,mean,93
627,7.77624742183898e-4,mean,627
1334,7.6890933379828e-4,std,310
126,7.66174738666328e-4,mean,126
1681,7.66127132861908e-4,std,657
1010,7.65900336978728e-4,mean,1010
587,7.64962488416362e-4,mean,587
63,7.62265889008472e-4,mean,63
1605,7.61619753048264e-4,std,581
521,7.56916900976034e-4,mean,521
117,7.5149436422509e-4,mean,117
770,7.5149348971545e-4,mean,770
732,7.47619100124858e-4,mean,732
456,7.47295005554058e-4,mean,456
49,7.46513387684872e-4,mean,49
1620,7.4491013612762e-4,std,596
712,7.436560129221201e-4,mean,712
113,7.38982035539138e-4,mean,113
847,7.38336630934372e-4,mean,847
1205,7.3364801512102e-4,std,181
1553,7.29651428362554e-4,std,529
1786,7.29580359338996e-4,std,762
1777,0.00072834530910493005,std,753
589,7.24993315885758e-4,mean,589
290,7.22848540509268e-4,mean,290
956,7.21912387030818e-4,mean,956
1293,7.20164288069586e-4,std,269
95,7.19792971232812e-4,mean,95
1978,7.180709617705899e-4,std,954
823,7.1549422817922e-4,mean,823
1725,7.11323483563196e-4,std,701
1723,7.10947508185372e-4,std,699
1346,7.09928956647768e-4,std,322
1305,7.07714987199244e-4,std,281
2035,7.06693196578134e-4,std,1011
1891,7.03667760755438e-4,std,867
696,7.014886288434159e-4,mean,696
571,6.98521352414756e-4,mean,571
1833,6.97040753012532e-4,std,809
1718,6.964599790661501e-4,std,694
1940,6.95611727520678e-4,std,916
325,6.85682829514832e-4,mean,325
1025,6.8317675170952e-4,std,1
654,6.717472941696e-4,mean,654
1230,6.70104686818758e-4,std,206
945,6.6732351322949e-4,mean,945
1319,6.66959588670452e-4,std,295
1366,6.6382254994446e-4,std,342
381,6.57807299966654e-4,mean,381
428,6.57386102524862e-4,mean,428
1165,6.56832410546992e-4,std,141
1759,6.55773679620848e-4,std,735
1472,6.53852690099176e-4,std,448
1135,6.51696802461828e-4,std,111
43,6.51253855113332e-4,mean,43
1367,6.45433887541916e-4,std,343
293,6.43543631055122e-4,mean,293
573,6.43029138876892e-4,mean,573
1139,6.42309518239898e-4,std,115
1209,6.42041507958632e-4,std,185
1881,6.40949203438272e-4,std,857
606,6.39669520927398e-4,mean,606
921,6.36904879348676e-4,mean,921
130,6.36846764118056e-4,mean,130
796,6.36812237946574e-4,mean,796
461,6.36564018530702e-4,mean,461
1384,6.36506873893504e-4,std,360
1618,6.321289430672959e-4,std,594
281,6.31514836998068e-4,mean,281
342,6.3066008477264e-4,mean,342
505,6.30194597746628e-4,mean,505
150,6.29753429215432e-4,mean,150
1536,6.29316643945398e-4,std,512
789,6.25761719921124e-4,mean,789
890,6.254626427692461e-4,mean,890
154,6.24151075091838e-4,mean,154
655,6.22742339944202e-4,mean,655
2005,6.22342787173884e-4,std,981
1368,6.20779370726022e-4,std,344
808,6.203814153707919e-4,mean,808
9,6.18661921397318e-4,mean,9
378,6.17782577567414e-4,mean,378
1721,6.17326110546124e-4,std,697
550,6.16878693157166e-4,mean,550
598,6.12598684316916e-4,mean,598
345,6.12364772966928e-4,mean,345
1407,6.07409347739486e-4,std,383
772,6.06979504176644e-4,mean,772
998,6.04426862261228e-4,mean,998
1662,6.03478546254072e-4,std,638
421,5.971510569387979e-4,mean,421
729,5.96312678638156e-4,mean,729
1132,5.945608640627e-4,std,108
1791,5.94129102918632e-4,std,767
844,5.93861620379458e-4,mean,844
663,5.92266322172896e-4,mean,663
691,5.91295507636282e-4,mean,691
1579,5.912120443415519e-4,std,555
714,5.91109883475514e-4,mean,714
251,5.9071293745507e-4,mean,251
474,5.90577308609554e-4,mean,474
651,5.88876233847932e-4,mean,651
1245,5.88360542936922e-4,std,221
1829,5.87359048770126e-4,std,805
876,5.86493736491804e-4,mean,876
920,5.84345579508534e-4,mean,920
966,5.75967616557726e-4,mean,966
1552,5.73045755707126e-4,std,528
561,5.70987688474282e-4,mean,561
936,5.69378727658452e-4,mean,936
708,5.68978943623558e-4,mean,708
646,5.66379734178034e-4,mean,646
414,5.663761725042461e-4,mean,414
596,5.64460298205534e-4,mean,596
418,5.63204516054108e-4,mean,418
935,5.62258547630392e-4,mean,935
1813,5.6204782657684e-4,std,789
834,5.60910765649916e-4,mean,834
338,5.6047453995683e-4,mean,338
1729,5.59100286008778e-4,std,705
360,5.57809064256098e-4,mean,360
1634,5.56817375345778e-4,std,610
1761,5.5454787255628e-4,std,737
662,5.51531116422548e-4,mean,662
62,5.50803707406296e-4,mean,62
1732,5.4553124913671e-4,std,708
419,5.44575037047158e-4,mean,419
504,5.4287692245122e-4,mean,504
247,5.40618044478304e-4,mean,247
739,5.4004866481069e-4,mean,739
980,5.39962223240818e-4,mean,980
1421,5.3968649931182e-4,std,397
1153,5.34442244882564e-4,std,129
1503,5.3386488425129e-4,std,479
597,5.29292955463546e-4,mean,597
1343,5.2580828684319e-4,std,319
1611,5.21591662295566e-4,std,587
1542,5.21283494391838e-4,std,518
486,5.20340258625156e-4,mean,486
719,5.19603688611314e-4,mean,719
1278,5.1649984314349e-4,std,254
3,5.13356194775172e-4,mean,3
1913,5.12852938945594e-4,std,889
453,5.1100610781707e-4,mean,453
411,5.0959128622777e-4,mean,411
519,5.088983802419859e-4,mean,519
1169,5.070542290713499e-4,std,145
1973,5.033068924387e-4,std,949
1415,5.0158240376435e-4,std,391
1713,4.98859951048012e-4,std,689
310,4.97797488411952e-4,mean,310
1898,4.94962557434124e-4,std,874
1588,4.946691959373201e-4,std,564
1740,4.94392223278966e-4,std,716
495,4.93536370983538e-4,mean,495
356,4.933505401413961e-4,mean,356
1589,4.9207061825573e-4,std,565
1984,4.87810596021878e-4,std,960
1808,4.8765273519736597e-4,std,784
233,4.79546285884662e-4,mean,233
1220,4.7844511717438e-4,std,196
54,4.78336152600938e-4,mean,54
552,4.77216632037706e-4,mean,552
1867,4.75168965852488e-4,std,843
173,4.7504644558265803e-4,mean,173
886,4.74129107044922e-4,mean,886
1052,4.74029149414696e-4,std,28
1706,4.73046623567814e-4,std,682
204,4.72577041898436e-4,mean,204
503,4.71687846644534e-4,mean,503
1701,4.71309115752278e-4,std,677
1863,4.7078993358157e-4,std,839
431,4.69750905545708e-4,mean,431
178,4.67479960601406e-4,mean,178
1046,4.6745277361994803e-4,std,22
1931,4.65786152954876e-4,std,907
771,4.65511413015106e-4,mean,771
672,4.65410683061194e-4,mean,672
636,4.6508259368511996e-4,mean,636
230,4.64456655987724e-4,mean,230
955,4.64183812785346e-4,mean,955
171,4.6106500985311597e-4,mean,171
198,4.5913084028741797e-4,mean,198
1923,4.56244949751642e-4,std,899
348,4.5488763836915e-4,mean,348
400,4.52959457404524e-4,mean,400
727,4.51947166342642e-4,mean,727
1496,4.50518837569016e-4,std,472
479,4.50435391717662e-4,mean,479
1069,4.49423288685376e-4,std,45
825,4.4932787411551404e-4,mean,825
1468,4.47994325815376e-4,std,444
652,4.475681528217e-4,mean,652
1816,4.4592383228431404e-4,std,792
1193,4.44818522796842e-4,std,169
1572,4.4332250582542203e-4,std,548
1215,4.4298561714624e-4,std,191
1900,4.41397851561692e-4,std,876
567,4.4122552020590803e-4,mean,567
793,4.4019750592848e-4,mean,793
489,4.393750779585989e-4,mean,489
1062,4.3755426872749e-4,std,38
47,4.37549648512962e-4,mean,47
1300,4.3732119509085e-4,std,276
304,4.36744964636104e-4,mean,304
1100,4.34303374492614e-4,std,76
1879,4.34062752585774e-4,std,855
1987,4.3374039423203e-4,std,963
392,4.3305961224998597e-4,mean,392
1944,4.32993826996416e-4,std,920
755,4.30530527007168e-4,mean,755
513,4.29870295419042e-4,mean,513
791,4.2972642337088e-4,mean,791
555,4.2959137719031e-4,mean,555
1044,4.2927857710588e-4,std,20
1907,4.28235314201126e-4,std,883
1331,4.27834544208446e-4,std,307
1860,4.25809345717668e-4,std,836
803,4.256001817482e-4,mean,803
1144,4.25583853535598e-4,std,120
686,4.22452081329484e-4,mean,686
649,4.21635644878946e-4,mean,649
1148,4.2124713172409e-4,std,124
1082,4.2124364541707197e-4,std,58
2001,4.20349950256702e-4,std,977
1689,4.194265598841201e-4,std,665
1847,4.17376826783448e-4,std,823
92,4.16323660308068e-4,mean,92
346,4.15892671539156e-4,mean,346
1995,4.15021482082086e-4,std,971
1616,4.13736229334374e-4,std,592
167,4.13487162170896e-4,mean,167
1992,4.13042443094582e-4,std,968
1118,4.12670126702002e-4,std,94
214,4.12253612830808e-4,mean,214
292,4.11225018186698e-4,mean,292
1556,4.10833654222126e-4,std,532
962,4.1037882529131e-4,mean,962
1414,4.10196117586992e-4,std,390
73,4.08719007323102e-4,mean,73
1875,4.08455016490038e-4,std,851
1866,4.07276244847268e-4,std,842
1487,4.0695138396055e-4,std,463
878,4.06784650954672e-4,mean,878
594,4.05787445167356e-4,mean,594
765,4.0570513254305603e-4,mean,765
762,4.03073271764076e-4,mean,762
81,4.021185761572e-4,mean,81
802,4.01958621550954e-4,mean,802
2033,4.01663405704564e-4,std,1009
1299,3.99409651475638e-4,std,275
1474,3.98783975579654e-4,std,450
41,3.98508347014772e-4,mean,41
786,3.97929299622364e-4,mean,786
132,3.96616027109268e-4,mean,132
528,3.96450383493064e-4,mean,528
1023,3.94585072183738e-4,mean,1023
193,3.9350290744986e-4,mean,193
1835,3.92431602674746e-4,std,811
1608,3.9240649942225413e-4,std,584
1295,3.92263389269786e-4,std,271
1819,3.91501056969902e-4,std,795
407,3.91292165589944e-4,mean,407
1897,3.91124455618702e-4,std,873
56,3.90722349104386e-4,mean,56
158,3.9067279539180803e-4,mean,158
925,3.8976990970417797e-4,mean,925
629,3.89724311721296e-4,mean,629
445,3.8951107168068e-4,mean,445
1909,3.8947395868412003e-4,std,885
536,3.88208966027054e-4,mean,536
1256,3.85729493931046e-4,std,232
769,3.85282401095506e-4,mean,769
1097,3.84335280803356e-4,std,73
202,3.8346033386504e-4,mean,202
207,3.83407483035726e-4,mean,207
888,3.83179753710352e-4,mean,888
196,3.8189471491237e-4,mean,196
1432,3.80311116393188e-4,std,408
254,3.7950681282008e-4,mean,254
1376,3.79274949399094e-4,std,352
1389,3.78094012412036e-4,std,365
481,3.77983982324684e-4,mean,481
2021,3.76890882592646e-4,std,997
1445,3.7668506004714204e-4,std,421
1533,3.7602747224380604e-4,std,509
246,3.72268514950674e-4,mean,246
1320,3.72008269512958e-4,std,296
2024,3.7199001989584e-4,std,1000
241,3.69420788775658e-4,mean,241
1831,3.68283592696824e-4,std,807
711,3.6664010248363003e-4,mean,711
70,3.66180716946326e-4,mean,70
1332,3.65583637680626e-4,std,308
1039,3.6491768048677e-4,std,15
849,3.638953722424942e-4,mean,849
821,3.6290855385688e-4,mean,821
1643,3.6286761587075403e-4,std,619
653,3.62578686338792e-4,mean,653
874,3.61766777813864e-4,mean,874
1011,3.61463281897778e-4,mean,1011
5,3.59344201043662e-4,mean,5
374,3.58873368277022e-4,mean,374
937,3.5746913065107e-4,mean,937
873,3.56937533828932e-4,mean,873
1207,3.56867026439646e-4,std,183
1296,3.56766727775054e-4,std,272
1257,3.5614399091913e-4,std,233
588,3.53940386930292e-4,mean,588
1222,3.53798217803344e-4,std,198
397,3.51761187997738e-4,mean,397
199,3.51362721962504e-4,mean,199
1664,3.50889109578204e-4,std,640
1458,3.5033974035538e-4,std,434
1061,3.47478673273348e-4,std,37
1756,3.4723762212013e-4,std,732
1794,3.4652226467335597e-4,std,770
1387,3.46267359564398e-4,std,363
870,3.45462005034042e-4,mean,870
590,3.43179718131624e-4,mean,590
1993,3.43169118831654e-4,std,969
145,3.42938894311012e-4,mean,145
235,3.41261322479354e-4,mean,235
1287,3.40188472479474e-4,std,263
1314,3.37823448322342e-4,std,290
1561,3.37760674804744e-4,std,537
334,3.35676592386232e-4,mean,334
186,3.35342483377468e-4,mean,186
1659,3.3370890600792515e-4,std,635
1254,3.33110437696752e-4,std,230
200,3.32282879711658e-4,mean,200
88,3.3207839520216e-4,mean,88
359,3.3177055706918397e-4,mean,359
142,3.3176844558997e-4,mean,142
382,3.31714164753282e-4,mean,382
813,3.3154061442062e-4,mean,813
218,3.31469397649324e-4,mean,218
