model,predictor_prefix,label,label_col
ae1,latent_dim,human_scores,mean_score
ae2,latent_dim,human_scores,mean_score
ae3,latent_dim,human_scores,mean_score
ae4,latent_dim,human_scores,mean_score
ae5,latent_dim,human_scores,mean_score
ae6,latent_dim,human_scores,mean_score
ae7,latent_dim,human_scores,mean_score
dinov2,mean|std,human_scores,mean_score
dinov2_mean,mean,human_scores,mean_score
dinov2_std,std,human_scores,mean_score
sam3_mean,embedding,human_scores,mean_score
sam3_std,embedding,human_scores,mean_score
sam3,embedding,human_scores,mean_score
ae1,latent_dim,pctd_crops,pctd
ae2,latent_dim,pctd_crops,pctd
ae3,latent_dim,pctd_crops,pctd
ae4,latent_dim,pctd_crops,pctd
ae5,latent_dim,pctd_crops,pctd
ae6,latent_dim,pctd_crops,pctd
ae7,latent_dim,pctd_crops,pctd
dinov2,mean|std,pctd_crops,pctd
dinov2_mean,mean,pctd_crops,pctd
dinov2_std,std,pctd_crops,pctd
sam3_mean,embedding,pctd_crops,pctd
sam3_std,embedding,pctd_crops,pctd
sam3,embedding,pctd_crops,pctd
ae1,latent_dim,pctd_crops_rs,pctd
ae2,latent_dim,pctd_crops_rs,pctd
ae3,latent_dim,pctd_crops_rs,pctd
ae4,latent_dim,pctd_crops_rs,pctd
ae5,latent_dim,pctd_crops_rs,pctd
ae6,latent_dim,pctd_crops_rs,pctd
ae7,latent_dim,pctd_crops_rs,pctd
dinov2,mean|std,pctd_crops_rs,pctd
dinov2_mean,mean,pctd_crops_rs,pctd
dinov2_std,std,pctd_crops_rs,pctd
sam3_mean,embedding,pctd_crops_rs,pctd
sam3_std,embedding,pctd_crops_rs,pctd
sam3,embedding,pctd_crops_rs,pctd
ae1,ae1_PC,human_scores,mean_score
ae2,ae2_PC,human_scores,mean_score
ae3,ae3_PC,human_scores,mean_score
ae4,ae4_PC,human_scores,mean_score
ae5,ae5_PC,human_scores,mean_score
ae6,ae6_PC,human_scores,mean_score
ae7,ae7_PC,human_scores,mean_score
dinov2,dinov2_PC,human_scores,mean_score
dinov2_mean,dinov2_mean_PC,human_scores,mean_score
dinov2_std,dinov2_std_PC,human_scores,mean_score
sam3_mean,sam3_mean_PC,human_scores,mean_score
sam3_std,sam3_std_PC,human_scores,mean_score
sam3,sam3_PC,human_scores,mean_score
ae1,ae1_PC,pctd_crops,pctd
ae2,ae2_PC,pctd_crops,pctd
ae3,ae3_PC,pctd_crops,pctd
ae4,ae4_PC,pctd_crops,pctd
ae5,ae5_PC,pctd_crops,pctd
ae6,ae6_PC,pctd_crops,pctd
ae7,ae7_PC,pctd_crops,pctd
dinov2,dinov2_PC,pctd_crops,pctd
dinov2_mean,dinov2_mean_PC,pctd_crops,pctd
dinov2_std,dinov2_std_PC,pctd_crops,pctd
sam3_mean,sam3_mean_PC,pctd_crops,pctd
sam3_std,sam3_std_PC,pctd_crops,pctd
sam3,sam3_PC,pctd_crops,pctd
ae1,ae1_PC,pctd_crops_rs,pctd
ae2,ae2_PC,pctd_crops_rs,pctd
ae3,ae3_PC,pctd_crops_rs,pctd
ae4,ae4_PC,pctd_crops_rs,pctd
ae5,ae5_PC,pctd_crops_rs,pctd
ae6,ae6_PC,pctd_crops_rs,pctd
ae7,ae7_PC,pctd_crops_rs,pctd
dinov2,dinov2_PC,pctd_crops_rs,pctd
dinov2_mean,dinov2_mean_PC,pctd_crops_rs,pctd
dinov2_std,dinov2_std_PC,pctd_crops_rs,pctd
sam3_mean,sam3_mean_PC,pctd_crops_rs,pctd
sam3_std,sam3_std_PC,pctd_crops_rs,pctd
sam3,sam3_PC,pctd_crops_rs,pctd
