genotype,mean_height_px,median_height_px,min_height_px,max_height_px,height_range_px,area_px
PI548797,1221.0990196078433,1235,441,1495,1054,3733730
PI548797,1329.7807189542484,1348,863,1466,603,4064093
PI548797,1423.7271241830067,1467,630,1577,947,4343965
PI576356,1709.6291275930662,1723,1455,1803,348,4990875
PI576356,1715.9911764705882,1722,1179,1812,633,5237168
PI576356,1469.1130718954248,1471,1231,1587,356,4481002
SC1166,1567.963071895425,1630,1162,1767,605,4788535
SC1166,1342.6942013587045,1360,88,1498,1410,4064227
SC1166,1346.305958680818,1396,3,1557,1554,3722447
PI534038,640.7718954248367,641,271,824,553,1941271
PI534038,907.10442969414,938,684,1030,346,2767191
PI534038,1419.600628530665,1457,489,1637,1148,4326110
BTx378,1203.0934739894656,1156,480,1700,1220,2824817
BTx378,1302.8575163398693,1319,462,1454,992,3982094
BTx378,1053.1161031341671,1065,801,1138,337,2920267
PI655992,1332.8117647058823,1331,955,1466,511,4072763
PI655992,1103.7604747162022,1138,406,1250,844,3360174
PI655992,1175.2772261198056,1196,206,1297,1091,3588460
PI533855,1501.109548160535,1528,4,1676,1672,4047171
PI533855,1518.421568627451,1582,1098,1732,634,4641156
PI533855,1002.3101972713446,924,135,1814,1679,3037858
PI595736,1126.172549019608,1142,935,1218,283,3442123
PI595736,1711.6963700153738,1725,666,1831,1165,5215031
PI595736,1711.0022875816992,1728,1134,1881,747,5225222
PI533878,1733.3669934640523,1759,1497,1894,397,5297781
PI533878,1674.3519916223372,1686,777,1788,1011,5102502
PI533878,1388.0909379968202,1415,460,1682,1222,4136899
PI533890,716.1408800186741,736,181,824,643,2058857
PI533890,1060.8321349334842,1112,686,1305,619,3216064
PI533890,834.8649825515259,847,241,1003,762,2540716
PI534083,1028.266339869281,1045,809,1106,297,3144468
PI534083,1394.5390522074636,1414,5,1512,1507,4100135
PI534083,911.0252551595352,920,321,997,676,2776371
PI533800,1162.0901960784313,1167,983,1347,364,3541201
PI533800,1432.9915032679737,1448,1178,1617,439,4369232
PI533800,1696.9130718954248,1744,1203,1945,742,5191162
PI533763,950.8310938605364,994,3,1191,1188,2641389
PI533763,865.700622806323,873,379,975,596,2582721
PI533763,1030.5683006535949,1049,574,1096,522,3142523
PI534118,1782.0444444444445,1804,113,2089,1976,5444334
PI534118,1117.4259229644472,1234,146,1471,1325,3400751
PI534118,1918.026797385621,1952.5,1667,2126,459,5859192
PI595714,1044.0538378810159,1125,10,1181,1171,2693557
