trait,embedding_stat,embedding_index,n_markers_tested,min_p,n_significant_effective_bonferroni,n_q_lt_0_05_within_trait,chunk,chunk_elapsed_seconds,chunk_elapsed_seconds_per_trait,effective_markers,effective_bonferroni_threshold
embedding_mean_0,mean,0,4920234,9.219510044503978e-09,1,171,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_1,mean,1,4920234,1.992447727434543e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_2,mean,2,4920234,2.420633043996552e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_3,mean,3,4920234,8.14033665759802e-09,3,99,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_4,mean,4,4920234,2.6532049557872626e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_5,mean,5,4920234,5.704994187723897e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_6,mean,6,4920234,2.751172787417377e-10,56,1214,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_7,mean,7,4920234,2.2903838366167085e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_8,mean,8,4920234,3.4082625432751466e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_9,mean,9,4920234,9.850094908487465e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_10,mean,10,4920234,2.8529991214820478e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_11,mean,11,4920234,1.419190666824795e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_12,mean,12,4920234,7.199818508579527e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_13,mean,13,4920234,2.1989698712645297e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_14,mean,14,4920234,3.057092656514736e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_15,mean,15,4920234,2.3976581290044743e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_16,mean,16,4920234,3.254382140932973e-08,0,613,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_17,mean,17,4920234,1.1390973423177729e-08,1,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_18,mean,18,4920234,1.6275282757353258e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_19,mean,19,4920234,5.482135334450516e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_20,mean,20,4920234,7.160024354786146e-09,2,11,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_21,mean,21,4920234,1.6853187259376089e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_22,mean,22,4920234,1.6900893274846302e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_23,mean,23,4920234,1.834428968113113e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_24,mean,24,4920234,2.5177780213626118e-08,0,193,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_25,mean,25,4920234,3.207149055457148e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
