cluster_jaccard_similarity_ge_0_25,n_traits,median_significant_loci,example_traits
72,140,1.0,embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165
55,37,1.0,embedding_mean_75;embedding_mean_153;embedding_mean_357;embedding_mean_595;embedding_mean_631;embedding_mean_714;embedding_mean_864;embedding_mean_988
31,27,1.0,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807
33,21,2.0,embedding_mean_40;embedding_mean_123;embedding_mean_186;embedding_mean_332;embedding_mean_432;embedding_mean_494;embedding_mean_666;embedding_mean_674
74,15,1.0,embedding_mean_28;embedding_mean_277;embedding_mean_302;embedding_mean_373;embedding_mean_598;embedding_mean_680;embedding_mean_720;embedding_mean_855
25,11,1.0,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983
17,11,1.0,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794
56,10,1.0,embedding_mean_508;embedding_mean_900;embedding_std_16;embedding_std_42;embedding_std_150;embedding_std_245;embedding_std_642;embedding_std_827
10,10,1.0,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67
7,10,1.0,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538
46,10,8.0,embedding_mean_300;embedding_mean_474;embedding_mean_514;embedding_mean_619;embedding_mean_636;embedding_mean_739;embedding_mean_1003;embedding_std_117
62,8,1.0,embedding_mean_408;embedding_mean_978;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847
67,7,2.0,embedding_mean_164;embedding_mean_454;embedding_mean_510;embedding_mean_549;embedding_mean_585;embedding_mean_927;embedding_std_679
28,6,1.0,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939
44,6,1.0,embedding_mean_99;embedding_mean_273;embedding_mean_660;embedding_mean_780;embedding_std_849;embedding_std_863
5,5,1.0,embedding_mean_234;embedding_mean_469;embedding_std_77;embedding_std_487;embedding_std_568
41,5,1.0,embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808
65,5,1.0,embedding_mean_107;embedding_std_149;embedding_std_305;embedding_std_374;embedding_std_927
27,5,1.0,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
52,5,1.0,embedding_mean_359;embedding_std_331;embedding_std_336;embedding_std_578;embedding_std_969
6,4,1.0,embedding_mean_801;embedding_std_393;embedding_std_736;embedding_std_791
29,4,1.0,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726
69,4,1.5,embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756
61,4,1.0,embedding_mean_907;embedding_mean_933;embedding_std_364;embedding_std_793
21,4,1.0,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
60,4,1.0,embedding_mean_45;embedding_mean_270;embedding_mean_695;embedding_std_627
13,4,1.0,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
73,4,1.0,embedding_mean_80;embedding_mean_445;embedding_mean_690;embedding_std_1000
39,3,1.0,embedding_mean_146;embedding_std_444;embedding_std_586
92,3,1.0,embedding_std_335;embedding_std_344;embedding_std_837
77,3,1.0,embedding_std_674;embedding_std_823;embedding_std_828
35,3,1.0,embedding_mean_996;embedding_mean_997;embedding_std_1005
47,3,5.0,embedding_mean_117;embedding_mean_150;embedding_mean_698
26,3,1.0,embedding_mean_340;embedding_std_253;embedding_std_358
98,3,1.0,embedding_mean_136;embedding_std_359;embedding_std_413
30,3,1.0,embedding_mean_577;embedding_std_711;embedding_std_897
100,3,1.0,embedding_mean_0;embedding_std_70;embedding_std_292
101,3,1.0,embedding_mean_142;embedding_mean_754;embedding_std_266
22,3,1.0,embedding_mean_228;embedding_mean_272;embedding_mean_760
20,3,1.0,embedding_mean_537;embedding_mean_565;embedding_mean_932
18,3,2.0,embedding_std_94;embedding_std_175;embedding_std_703
16,3,2.0,embedding_std_298;embedding_std_399;embedding_std_802
63,3,2.0,embedding_mean_59;embedding_mean_846;embedding_std_89
64,3,2.0,embedding_mean_155;embedding_mean_210;embedding_std_785
105,3,1.0,embedding_mean_199;embedding_mean_419;embedding_mean_806
75,3,1.0,embedding_mean_740;embedding_mean_1022;embedding_std_1022
53,3,2.0,embedding_mean_832;embedding_std_81;embedding_std_454
76,2,1.5,embedding_mean_337;embedding_mean_616
82,2,1.0,embedding_mean_26;embedding_std_968
83,2,1.0,embedding_std_18;embedding_std_962
1,2,1.0,embedding_mean_430;embedding_mean_746
84,2,2.0,embedding_std_267;embedding_std_938
102,2,1.0,embedding_mean_98;embedding_std_177
111,2,1.0,embedding_mean_152;embedding_mean_421
110,2,1.0,embedding_mean_476;embedding_mean_548
109,2,1.0,embedding_mean_87;embedding_mean_594
108,2,1.0,embedding_mean_143;embedding_mean_604
2,2,2.0,embedding_mean_121;embedding_mean_406
104,2,1.5,embedding_mean_908;embedding_std_156
103,2,1.0,embedding_mean_700;embedding_std_167
99,2,1.0,embedding_std_140;embedding_std_362
86,2,1.0,embedding_std_172;embedding_std_935
96,2,2.0,embedding_std_286;embedding_std_751
93,2,1.5,embedding_std_388;embedding_std_810
91,2,1.5,embedding_mean_826;embedding_std_840
