trait,n_significant_loci,cluster_jaccard_similarity_ge_0_25,cluster_jaccard_similarity_ge_0_50
embedding_mean_0,1,100,152
embedding_mean_1,0,-1,-1
embedding_mean_2,0,-1,-1
embedding_mean_3,1,112,165
embedding_mean_4,0,-1,-1
embedding_mean_5,0,-1,-1
embedding_mean_6,13,58,89
embedding_mean_7,0,-1,-1
embedding_mean_8,0,-1,-1
embedding_mean_9,0,-1,-1
embedding_mean_10,0,-1,-1
embedding_mean_11,0,-1,-1
embedding_mean_12,0,-1,-1
embedding_mean_13,0,-1,-1
embedding_mean_14,0,-1,-1
embedding_mean_15,0,-1,-1
embedding_mean_16,0,-1,-1
embedding_mean_17,1,113,166
embedding_mean_18,0,-1,-1
embedding_mean_19,0,-1,-1
embedding_mean_20,1,72,111
embedding_mean_21,0,-1,-1
embedding_mean_22,0,-1,-1
embedding_mean_23,0,-1,-1
embedding_mean_24,0,-1,-1
embedding_mean_25,0,-1,-1
embedding_mean_26,1,82,131
embedding_mean_27,0,-1,-1
embedding_mean_28,1,74,122
embedding_mean_29,1,28,40
embedding_mean_30,1,25,36
embedding_mean_31,0,-1,-1
embedding_mean_32,0,-1,-1
embedding_mean_33,2,4,5
embedding_mean_34,0,-1,-1
embedding_mean_35,0,-1,-1
embedding_mean_36,0,-1,-1
embedding_mean_37,0,-1,-1
embedding_mean_38,0,-1,-1
embedding_mean_39,0,-1,-1
embedding_mean_40,3,33,50
embedding_mean_41,0,-1,-1
embedding_mean_42,0,-1,-1
embedding_mean_43,0,-1,-1
embedding_mean_44,0,-1,-1
embedding_mean_45,2,60,91
embedding_mean_46,5,45,63
embedding_mean_47,0,-1,-1
embedding_mean_48,0,-1,-1
embedding_mean_49,0,-1,-1
embedding_mean_50,0,-1,-1
embedding_mean_51,0,-1,-1
embedding_mean_52,0,-1,-1
embedding_mean_53,0,-1,-1
embedding_mean_54,0,-1,-1
embedding_mean_55,1,114,167
embedding_mean_56,0,-1,-1
embedding_mean_57,0,-1,-1
embedding_mean_58,0,-1,-1
embedding_mean_59,2,63,95
embedding_mean_60,0,-1,-1
embedding_mean_61,0,-1,-1
embedding_mean_62,0,-1,-1
embedding_mean_63,1,115,168
embedding_mean_64,0,-1,-1
embedding_mean_65,1,31,44
embedding_mean_66,0,-1,-1
embedding_mean_67,0,-1,-1
embedding_mean_68,4,71,108
embedding_mean_69,0,-1,-1
embedding_mean_70,2,116,169
embedding_mean_71,0,-1,-1
embedding_mean_72,0,-1,-1
embedding_mean_73,0,-1,-1
embedding_mean_74,1,72,111
embedding_mean_75,1,55,80
embedding_mean_76,0,-1,-1
embedding_mean_77,0,-1,-1
embedding_mean_78,0,-1,-1
embedding_mean_79,0,-1,-1
embedding_mean_80,1,73,121
embedding_mean_81,0,-1,-1
embedding_mean_82,0,-1,-1
embedding_mean_83,0,-1,-1
embedding_mean_84,0,-1,-1
embedding_mean_85,1,72,111
embedding_mean_86,1,25,36
embedding_mean_87,1,109,162
embedding_mean_88,0,-1,-1
embedding_mean_89,0,-1,-1
embedding_mean_90,1,117,170
embedding_mean_91,0,-1,-1
embedding_mean_92,0,-1,-1
embedding_mean_93,0,-1,-1
embedding_mean_94,0,-1,-1
embedding_mean_95,0,-1,-1
embedding_mean_96,0,-1,-1
embedding_mean_97,0,-1,-1
embedding_mean_98,1,102,155
embedding_mean_99,1,44,62
embedding_mean_100,0,-1,-1
embedding_mean_101,1,13,20
embedding_mean_102,0,-1,-1
embedding_mean_103,0,-1,-1
embedding_mean_104,1,118,171
embedding_mean_105,0,-1,-1
embedding_mean_106,0,-1,-1
embedding_mean_107,1,65,99
embedding_mean_108,1,119,172
embedding_mean_109,0,-1,-1
embedding_mean_110,0,-1,-1
embedding_mean_111,0,-1,-1
embedding_mean_112,0,-1,-1
embedding_mean_113,0,-1,-1
embedding_mean_114,0,-1,-1
embedding_mean_115,0,-1,-1
embedding_mean_116,0,-1,-1
embedding_mean_117,4,47,71
embedding_mean_118,0,-1,-1
embedding_mean_119,1,7,9
embedding_mean_120,0,-1,-1
embedding_mean_121,1,2,2
embedding_mean_122,0,-1,-1
embedding_mean_123,3,33,50
embedding_mean_124,0,-1,-1
embedding_mean_125,1,70,107
embedding_mean_126,1,13,20
embedding_mean_127,2,10,15
embedding_mean_128,0,-1,-1
embedding_mean_129,1,72,111
embedding_mean_130,0,-1,-1
embedding_mean_131,0,-1,-1
embedding_mean_132,1,72,111
embedding_mean_133,0,-1,-1
embedding_mean_134,0,-1,-1
embedding_mean_135,0,-1,-1
embedding_mean_136,1,98,150
embedding_mean_137,0,-1,-1
embedding_mean_138,0,-1,-1
embedding_mean_139,2,69,106
embedding_mean_140,0,-1,-1
embedding_mean_141,1,72,111
embedding_mean_142,1,101,154
embedding_mean_143,1,108,161
embedding_mean_144,1,14,21
embedding_mean_145,0,-1,-1
embedding_mean_146,1,39,57
embedding_mean_147,0,-1,-1
embedding_mean_148,0,-1,-1
embedding_mean_149,0,-1,-1
embedding_mean_150,7,47,71
embedding_mean_151,1,13,20
embedding_mean_152,1,111,164
embedding_mean_153,1,55,80
embedding_mean_154,0,-1,-1
embedding_mean_155,1,64,97
embedding_mean_156,0,-1,-1
embedding_mean_157,1,72,111
embedding_mean_158,0,-1,-1
embedding_mean_159,0,-1,-1
embedding_mean_160,0,-1,-1
embedding_mean_161,1,120,173
embedding_mean_162,0,-1,-1
embedding_mean_163,1,81,130
embedding_mean_164,2,67,103
embedding_mean_165,1,72,111
embedding_mean_166,0,-1,-1
embedding_mean_167,0,-1,-1
embedding_mean_168,0,-1,-1
embedding_mean_169,0,-1,-1
embedding_mean_170,0,-1,-1
embedding_mean_171,0,-1,-1
embedding_mean_172,1,72,111
embedding_mean_173,2,25,36
embedding_mean_174,1,41,59
embedding_mean_175,0,-1,-1
embedding_mean_176,0,-1,-1
embedding_mean_177,0,-1,-1
embedding_mean_178,1,72,111
embedding_mean_179,0,-1,-1
embedding_mean_180,0,-1,-1
embedding_mean_181,1,80,129
embedding_mean_182,0,-1,-1
embedding_mean_183,0,-1,-1
embedding_mean_184,0,-1,-1
embedding_mean_185,0,-1,-1
embedding_mean_186,3,33,48
embedding_mean_187,0,-1,-1
embedding_mean_188,0,-1,-1
embedding_mean_189,0,-1,-1
embedding_mean_190,0,-1,-1
embedding_mean_191,1,121,174
embedding_mean_192,1,72,111
embedding_mean_193,0,-1,-1
embedding_mean_194,0,-1,-1
embedding_mean_195,0,-1,-1
embedding_mean_196,0,-1,-1
embedding_mean_197,0,-1,-1
embedding_mean_198,0,-1,-1
embedding_mean_199,1,105,158
embedding_mean_200,0,-1,-1
embedding_mean_201,0,-1,-1
embedding_mean_202,0,-1,-1
embedding_mean_203,0,-1,-1
embedding_mean_204,1,72,111
embedding_mean_205,0,-1,-1
embedding_mean_206,0,-1,-1
embedding_mean_207,2,94,145
embedding_mean_208,0,-1,-1
embedding_mean_209,1,72,111
embedding_mean_210,2,64,97
embedding_mean_211,0,-1,-1
embedding_mean_212,0,-1,-1
embedding_mean_213,0,-1,-1
embedding_mean_214,0,-1,-1
embedding_mean_215,0,-1,-1
embedding_mean_216,0,-1,-1
embedding_mean_217,0,-1,-1
embedding_mean_218,0,-1,-1
embedding_mean_219,0,-1,-1
embedding_mean_220,0,-1,-1
embedding_mean_221,0,-1,-1
embedding_mean_222,0,-1,-1
embedding_mean_223,0,-1,-1
embedding_mean_224,0,-1,-1
embedding_mean_225,0,-1,-1
embedding_mean_226,1,72,111
embedding_mean_227,0,-1,-1
embedding_mean_228,2,22,32
embedding_mean_229,0,-1,-1
embedding_mean_230,0,-1,-1
embedding_mean_231,0,-1,-1
embedding_mean_232,1,54,79
embedding_mean_233,0,-1,-1
embedding_mean_234,1,5,7
embedding_mean_235,0,-1,-1
embedding_mean_236,0,-1,-1
embedding_mean_237,1,122,175
embedding_mean_238,0,-1,-1
embedding_mean_239,0,-1,-1
embedding_mean_240,0,-1,-1
embedding_mean_241,1,72,111
embedding_mean_242,0,-1,-1
embedding_mean_243,0,-1,-1
embedding_mean_244,1,72,111
embedding_mean_245,6,11,18
embedding_mean_246,1,72,111
embedding_mean_247,1,123,176
embedding_mean_248,0,-1,-1
embedding_mean_249,0,-1,-1
embedding_mean_250,0,-1,-1
embedding_mean_251,0,-1,-1
embedding_mean_252,0,-1,-1
embedding_mean_253,0,-1,-1
embedding_mean_254,0,-1,-1
embedding_mean_255,0,-1,-1
embedding_mean_256,0,-1,-1
embedding_mean_257,0,-1,-1
embedding_mean_258,0,-1,-1
embedding_mean_259,0,-1,-1
embedding_mean_260,0,-1,-1
embedding_mean_261,2,51,75
embedding_mean_262,0,-1,-1
embedding_mean_263,1,72,111
embedding_mean_264,0,-1,-1
embedding_mean_265,0,-1,-1
embedding_mean_266,2,124,177
embedding_mean_267,1,72,111
embedding_mean_268,0,-1,-1
embedding_mean_269,1,72,111
embedding_mean_270,1,60,91
embedding_mean_271,0,-1,-1
embedding_mean_272,1,22,32
embedding_mean_273,2,44,62
embedding_mean_274,0,-1,-1
embedding_mean_275,1,31,44
embedding_mean_276,1,90,141
embedding_mean_277,1,74,122
embedding_mean_278,0,-1,-1
embedding_mean_279,0,-1,-1
embedding_mean_280,0,-1,-1
embedding_mean_281,0,-1,-1
embedding_mean_282,0,-1,-1
embedding_mean_283,0,-1,-1
embedding_mean_284,0,-1,-1
embedding_mean_285,3,79,128
embedding_mean_286,0,-1,-1
embedding_mean_287,0,-1,-1
embedding_mean_288,0,-1,-1
embedding_mean_289,1,21,31
embedding_mean_290,0,-1,-1
embedding_mean_291,0,-1,-1
embedding_mean_292,0,-1,-1
embedding_mean_293,0,-1,-1
embedding_mean_294,1,72,111
embedding_mean_295,0,-1,-1
embedding_mean_296,1,72,111
embedding_mean_297,1,31,44
embedding_mean_298,0,-1,-1
embedding_mean_299,0,-1,-1
embedding_mean_300,19,46,70
embedding_mean_301,0,-1,-1
embedding_mean_302,2,74,122
embedding_mean_303,0,-1,-1
embedding_mean_304,0,-1,-1
embedding_mean_305,0,-1,-1
embedding_mean_306,0,-1,-1
embedding_mean_307,0,-1,-1
embedding_mean_308,3,23,33
embedding_mean_309,0,-1,-1
embedding_mean_310,0,-1,-1
embedding_mean_311,0,-1,-1
embedding_mean_312,0,-1,-1
embedding_mean_313,0,-1,-1
embedding_mean_314,1,72,111
embedding_mean_315,1,72,111
embedding_mean_316,0,-1,-1
embedding_mean_317,0,-1,-1
embedding_mean_318,0,-1,-1
embedding_mean_319,0,-1,-1
embedding_mean_320,1,125,178
embedding_mean_321,0,-1,-1
embedding_mean_322,0,-1,-1
embedding_mean_323,1,126,179
embedding_mean_324,1,72,111
embedding_mean_325,0,-1,-1
embedding_mean_326,1,72,111
embedding_mean_327,1,127,180
embedding_mean_328,0,-1,-1
embedding_mean_329,1,128,181
embedding_mean_330,0,-1,-1
embedding_mean_331,0,-1,-1
embedding_mean_332,2,33,46
embedding_mean_333,0,-1,-1
embedding_mean_334,0,-1,-1
embedding_mean_335,1,72,111
embedding_mean_336,0,-1,-1
embedding_mean_337,1,76,124
embedding_mean_338,0,-1,-1
embedding_mean_339,1,10,15
embedding_mean_340,1,26,38
embedding_mean_341,0,-1,-1
embedding_mean_342,0,-1,-1
embedding_mean_343,0,-1,-1
embedding_mean_344,0,-1,-1
embedding_mean_345,0,-1,-1
embedding_mean_346,0,-1,-1
embedding_mean_347,0,-1,-1
embedding_mean_348,0,-1,-1
embedding_mean_349,2,129,182
embedding_mean_350,0,-1,-1
embedding_mean_351,1,72,111
embedding_mean_352,0,-1,-1
embedding_mean_353,1,72,111
embedding_mean_354,0,-1,-1
embedding_mean_355,0,-1,-1
embedding_mean_356,0,-1,-1
embedding_mean_357,1,55,80
embedding_mean_358,0,-1,-1
embedding_mean_359,1,52,76
embedding_mean_360,0,-1,-1
embedding_mean_361,0,-1,-1
embedding_mean_362,0,-1,-1
embedding_mean_363,0,-1,-1
embedding_mean_364,0,-1,-1
embedding_mean_365,1,72,111
embedding_mean_366,0,-1,-1
embedding_mean_367,0,-1,-1
embedding_mean_368,0,-1,-1
embedding_mean_369,0,-1,-1
embedding_mean_370,0,-1,-1
embedding_mean_371,0,-1,-1
embedding_mean_372,0,-1,-1
embedding_mean_373,1,74,122
embedding_mean_374,0,-1,-1
embedding_mean_375,1,72,111
embedding_mean_376,1,69,106
embedding_mean_377,1,72,111
embedding_mean_378,0,-1,-1
embedding_mean_379,0,-1,-1
embedding_mean_380,0,-1,-1
embedding_mean_381,1,72,111
embedding_mean_382,0,-1,-1
embedding_mean_383,0,-1,-1
embedding_mean_384,0,-1,-1
embedding_mean_385,0,-1,-1
embedding_mean_386,0,-1,-1
embedding_mean_387,0,-1,-1
embedding_mean_388,0,-1,-1
embedding_mean_389,0,-1,-1
embedding_mean_390,0,-1,-1
embedding_mean_391,2,4,6
embedding_mean_392,0,-1,-1
embedding_mean_393,0,-1,-1
embedding_mean_394,0,-1,-1
embedding_mean_395,0,-1,-1
embedding_mean_396,0,-1,-1
embedding_mean_397,0,-1,-1
embedding_mean_398,0,-1,-1
embedding_mean_399,1,27,39
embedding_mean_400,0,-1,-1
embedding_mean_401,0,-1,-1
embedding_mean_402,0,-1,-1
embedding_mean_403,0,-1,-1
embedding_mean_404,1,72,111
embedding_mean_405,0,-1,-1
embedding_mean_406,3,2,3
embedding_mean_407,0,-1,-1
embedding_mean_408,2,62,93
embedding_mean_409,0,-1,-1
embedding_mean_410,1,130,183
embedding_mean_411,0,-1,-1
embedding_mean_412,2,107,160
embedding_mean_413,1,72,111
embedding_mean_414,1,131,184
embedding_mean_415,0,-1,-1
embedding_mean_416,0,-1,-1
embedding_mean_417,0,-1,-1
embedding_mean_418,0,-1,-1
embedding_mean_419,1,105,158
embedding_mean_420,0,-1,-1
embedding_mean_421,1,111,164
embedding_mean_422,0,-1,-1
embedding_mean_423,0,-1,-1
embedding_mean_424,2,106,159
embedding_mean_425,0,-1,-1
embedding_mean_426,0,-1,-1
embedding_mean_427,0,-1,-1
embedding_mean_428,0,-1,-1
embedding_mean_429,0,-1,-1
embedding_mean_430,1,1,1
embedding_mean_431,0,-1,-1
embedding_mean_432,1,33,46
embedding_mean_433,1,132,185
embedding_mean_434,0,-1,-1
embedding_mean_435,0,-1,-1
embedding_mean_436,0,-1,-1
embedding_mean_437,0,-1,-1
embedding_mean_438,0,-1,-1
embedding_mean_439,0,-1,-1
embedding_mean_440,1,36,54
embedding_mean_441,2,7,10
embedding_mean_442,0,-1,-1
embedding_mean_443,0,-1,-1
embedding_mean_444,0,-1,-1
embedding_mean_445,1,73,121
embedding_mean_446,0,-1,-1
embedding_mean_447,0,-1,-1
embedding_mean_448,0,-1,-1
embedding_mean_449,0,-1,-1
embedding_mean_450,0,-1,-1
embedding_mean_451,1,133,186
embedding_mean_452,0,-1,-1
embedding_mean_453,1,25,36
embedding_mean_454,1,67,103
embedding_mean_455,0,-1,-1
embedding_mean_456,0,-1,-1
embedding_mean_457,0,-1,-1
embedding_mean_458,1,72,111
embedding_mean_459,0,-1,-1
embedding_mean_460,0,-1,-1
embedding_mean_461,0,-1,-1
embedding_mean_462,0,-1,-1
embedding_mean_463,0,-1,-1
embedding_mean_464,0,-1,-1
embedding_mean_465,0,-1,-1
embedding_mean_466,1,25,36
embedding_mean_467,0,-1,-1
embedding_mean_468,0,-1,-1
embedding_mean_469,1,5,7
embedding_mean_470,0,-1,-1
embedding_mean_471,0,-1,-1
embedding_mean_472,0,-1,-1
embedding_mean_473,0,-1,-1
embedding_mean_474,10,46,68
embedding_mean_475,2,72,112
embedding_mean_476,1,110,163
embedding_mean_477,1,72,111
embedding_mean_478,0,-1,-1
embedding_mean_479,0,-1,-1
embedding_mean_480,0,-1,-1
embedding_mean_481,1,134,187
embedding_mean_482,0,-1,-1
embedding_mean_483,0,-1,-1
embedding_mean_484,0,-1,-1
embedding_mean_485,1,135,188
embedding_mean_486,1,136,189
embedding_mean_487,1,137,190
embedding_mean_488,0,-1,-1
embedding_mean_489,0,-1,-1
embedding_mean_490,0,-1,-1
embedding_mean_491,1,3,4
embedding_mean_492,0,-1,-1
embedding_mean_493,0,-1,-1
embedding_mean_494,2,33,48
embedding_mean_495,0,-1,-1
embedding_mean_496,0,-1,-1
embedding_mean_497,0,-1,-1
embedding_mean_498,0,-1,-1
embedding_mean_499,0,-1,-1
embedding_mean_500,0,-1,-1
embedding_mean_501,0,-1,-1
embedding_mean_502,1,72,111
embedding_mean_503,0,-1,-1
embedding_mean_504,0,-1,-1
embedding_mean_505,0,-1,-1
embedding_mean_506,0,-1,-1
embedding_mean_507,0,-1,-1
embedding_mean_508,1,56,87
embedding_mean_509,0,-1,-1
embedding_mean_510,1,67,103
embedding_mean_511,0,-1,-1
embedding_mean_512,0,-1,-1
embedding_mean_513,0,-1,-1
