cluster025,n_embeddings,median_max_abs_severity_r,mean_max_abs_severity_r,max_abs_severity_r,fraction_embeddings_r_ge_0_4,fraction_embeddings_r_ge_0_5,n_embeddings_r_ge_0_4,n_embeddings_r_ge_0_5,n_loci,has_validated_locus,has_validated_or_proposed_locus,has_any_reported_candidate_locus,reported_candidate_genes,example_embeddings,cluster_type,severity_related,severity_class
1,2,0.5153027692123389,0.5153027692123389,0.5374738932612044,1.0,0.5,2,1,2,False,False,False,,embedding_mean_430;embedding_mean_746,multi_trait,True,severity_correlated
2,2,0.08928293997569284,0.08928293997569284,0.1142147182885729,0.0,0.0,0,0,4,False,False,False,,embedding_mean_121;embedding_mean_406,multi_trait,False,not_severity_correlated
3,1,0.1305537502861933,0.1305537502861933,0.1305537502861933,0.0,0.0,0,0,1,False,False,False,,embedding_mean_491,singleton,False,not_severity_correlated
4,2,0.25998944397325413,0.25998944397325413,0.3142473580775868,0.0,0.0,0,0,4,False,False,False,,embedding_mean_33;embedding_mean_391,multi_trait,False,not_severity_correlated
5,5,0.1097000128068866,0.138523651411221,0.2709554587102165,0.0,0.0,0,0,6,False,False,False,,embedding_mean_234;embedding_mean_469;embedding_std_77;embedding_std_487;embedding_std_568,multi_trait,False,not_severity_correlated
6,4,0.15642057998539266,0.15383224609382584,0.2237939587520794,0.0,0.0,0,0,5,False,False,False,,embedding_mean_801;embedding_std_393;embedding_std_736;embedding_std_791,multi_trait,False,not_severity_correlated
7,10,0.36419466675520384,0.34035035340903236,0.5611066769364046,0.3,0.1,3,1,13,False,False,False,,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538;embedding_std_620;embedding_std_803,multi_trait,True,severity_correlated
8,2,0.13735626068644569,0.13735626068644569,0.1385445429416089,0.0,0.0,0,0,3,False,False,False,,embedding_mean_743;embedding_mean_838,multi_trait,False,not_severity_correlated
9,2,0.24437651832852333,0.24437651832852333,0.2784345519052386,0.0,0.0,0,0,4,False,True,True,Sobic.007G163100,embedding_mean_953;embedding_std_184,multi_trait,False,not_severity_correlated
10,10,0.1995315593226356,0.23283406740816556,0.4425233901114951,0.2,0.0,2,0,13,False,True,True,Sobic.007G163100,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67;embedding_std_574;embedding_std_746,multi_trait,False,not_severity_correlated
11,1,0.1927473128460398,0.1927473128460398,0.1927473128460398,0.0,0.0,0,0,6,False,True,True,Sobic.007G163100,embedding_mean_245,singleton,False,not_severity_correlated
12,2,0.06800989089879515,0.06800989089879515,0.0951657617772803,0.0,0.0,0,0,2,False,False,False,,embedding_mean_716;embedding_std_634,multi_trait,False,not_severity_correlated
13,4,0.32710958133961665,0.3212733304312512,0.5177178128324715,0.5,0.25,2,1,4,False,False,False,,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535,multi_trait,True,severity_correlated
14,1,0.5235704513328068,0.5235704513328068,0.5235704513328068,1.0,1.0,1,1,1,False,False,False,,embedding_mean_144,singleton,True,severity_correlated
15,1,0.3443533286518724,0.3443533286518724,0.3443533286518724,0.0,0.0,0,0,5,False,False,False,,embedding_mean_851,singleton,False,not_severity_correlated
16,3,0.1145035617060878,0.14591587719941565,0.3133258773395501,0.0,0.0,0,0,6,False,False,False,,embedding_std_298;embedding_std_399;embedding_std_802,multi_trait,False,not_severity_correlated
17,11,0.1406300396117664,0.1546730980869227,0.398393417677601,0.0,0.0,0,0,14,False,False,False,,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794;embedding_std_910;embedding_std_984;embedding_std_1018,multi_trait,False,not_severity_correlated
18,3,0.1890147719044307,0.1432341061125711,0.1911972273781856,0.0,0.0,0,0,9,False,False,False,,embedding_std_94;embedding_std_175;embedding_std_703,multi_trait,False,not_severity_correlated
19,1,0.3369958065756446,0.3369958065756446,0.3369958065756446,0.0,0.0,0,0,1,False,False,False,,embedding_std_925,singleton,False,not_severity_correlated
20,3,0.2253964745989958,0.21154340732828045,0.2450532484074338,0.0,0.0,0,0,3,False,False,False,,embedding_mean_537;embedding_mean_565;embedding_mean_932,multi_trait,False,not_severity_correlated
21,4,0.31084260512631606,0.2870030191362616,0.4732214214715551,0.5,0.0,2,0,5,False,False,False,,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392,multi_trait,True,severity_correlated
22,3,0.091283950929438,0.15091285632582813,0.2715860236849589,0.0,0.0,0,0,4,False,False,False,,embedding_mean_228;embedding_mean_272;embedding_mean_760,multi_trait,False,not_severity_correlated
23,2,0.18917045275557287,0.18917045275557287,0.3296540237250956,0.0,0.0,0,0,4,False,False,False,,embedding_mean_308;embedding_std_275,multi_trait,False,not_severity_correlated
24,2,0.14391680790045838,0.14391680790045838,0.2394090150507248,0.0,0.0,0,0,3,False,False,False,,embedding_mean_824;embedding_std_357,multi_trait,False,not_severity_correlated
25,11,0.223141552199249,0.2051439738607056,0.347667680365757,0.0,0.0,0,0,13,False,False,False,,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983;embedding_std_215;embedding_std_224;embedding_std_363,multi_trait,False,not_severity_correlated
26,3,0.3025548688556586,0.30617476674813443,0.341775832406506,0.0,0.0,0,0,4,False,False,False,,embedding_mean_340;embedding_std_253;embedding_std_358,multi_trait,False,not_severity_correlated
27,5,0.389861679663703,0.38412974492788127,0.5212483813797723,0.4,0.2,2,1,7,False,False,False,,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851,multi_trait,True,severity_correlated
28,6,0.13539063668709456,0.1527577103789077,0.2971936383962902,0.0,0.0,0,0,7,False,False,False,,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939,multi_trait,False,not_severity_correlated
29,4,0.44433523409464193,0.3841254436311433,0.4973433672802653,0.75,0.0,3,0,6,False,False,False,,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726,multi_trait,True,severity_correlated
30,3,0.4244092438728558,0.4535264527991907,0.5250279836386389,1.0,0.3333333333333333,3,1,4,False,False,False,,embedding_mean_577;embedding_std_711;embedding_std_897,multi_trait,True,severity_correlated
31,27,0.4482113558575737,0.42679321239419,0.6686775402116548,0.6666666666666666,0.3333333333333333,18,9,28,False,False,False,,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807;embedding_mean_881;embedding_mean_952;embedding_mean_979;embedding_std_0,multi_trait,True,severity_correlated
32,1,0.6309847212071056,0.6309847212071056,0.6309847212071056,1.0,1.0,1,1,4,False,False,False,,embedding_mean_657,singleton,True,severity_correlated
33,21,0.2644305954650773,0.25318131724166537,0.5697291463666836,0.047619047619047616,0.047619047619047616,1,1,57,True,True,True,"Sobic.007G163100;Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_40;embedding_mean_123;embedding_mean_186;embedding_mean_332;embedding_mean_432;embedding_mean_494;embedding_mean_666;embedding_mean_674;embedding_mean_742;embedding_mean_942;embedding_mean_1016;embedding_std_76,multi_trait,True,severity_correlated
34,1,0.1378002032738861,0.1378002032738861,0.1378002032738861,0.0,0.0,0,0,6,False,False,False,,embedding_std_622,singleton,False,not_severity_correlated
35,3,0.3055888130475971,0.24325034091773323,0.397960093968927,0.0,0.0,0,0,3,False,False,False,,embedding_mean_996;embedding_mean_997;embedding_std_1005,multi_trait,False,not_severity_correlated
36,1,0.0876636006153325,0.0876636006153325,0.0876636006153325,0.0,0.0,0,0,1,False,False,False,,embedding_mean_440,singleton,False,not_severity_correlated
37,1,0.0541155976951636,0.0541155976951636,0.0541155976951636,0.0,0.0,0,0,11,False,False,False,,embedding_std_906,singleton,False,not_severity_correlated
38,1,0.0996888115270754,0.0996888115270754,0.0996888115270754,0.0,0.0,0,0,1,False,False,False,,embedding_mean_684,singleton,False,not_severity_correlated
39,3,0.3594509183169807,0.3162637246187493,0.3783345622900551,0.0,0.0,0,0,4,False,False,False,,embedding_mean_146;embedding_std_444;embedding_std_586,multi_trait,False,not_severity_correlated
40,2,0.5049037587281335,0.5049037587281335,0.5507207430610142,1.0,0.5,2,1,3,True,True,True,Sobic.005G126200,embedding_std_98;embedding_std_707,multi_trait,True,severity_correlated
41,5,0.5739258301914204,0.5584102156354258,0.6325992809876417,1.0,0.8,5,4,6,True,True,True,Sobic.005G126200,embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808,multi_trait,True,severity_correlated
42,1,0.0459514988308928,0.0459514988308928,0.0459514988308928,0.0,0.0,0,0,1,False,False,False,,embedding_std_314,singleton,False,not_severity_correlated
43,2,0.38826807626098425,0.38826807626098425,0.4756742659166684,0.5,0.0,1,0,3,False,False,False,,embedding_mean_795;embedding_std_512,multi_trait,True,severity_correlated
44,6,0.32954739620836815,0.35111989417103834,0.4808741049613096,0.3333333333333333,0.0,2,0,7,False,False,False,,embedding_mean_99;embedding_mean_273;embedding_mean_660;embedding_mean_780;embedding_std_849;embedding_std_863,multi_trait,False,not_severity_correlated
45,2,0.39175774771748356,0.39175774771748356,0.4712706042363412,0.5,0.0,1,0,10,True,True,True,Sobic.005G126200,embedding_mean_46;embedding_std_532,multi_trait,True,severity_correlated
46,10,0.5135367966003048,0.5023684084861944,0.6468531834688949,0.9,0.6,9,6,93,True,True,True,Sobic.005G126200,embedding_mean_300;embedding_mean_474;embedding_mean_514;embedding_mean_619;embedding_mean_636;embedding_mean_739;embedding_mean_1003;embedding_std_117;embedding_std_243;embedding_std_496,multi_trait,True,severity_correlated
47,3,0.589186707607703,0.5886682156456567,0.6257931503245845,1.0,1.0,3,3,16,True,True,True,Sobic.005G126200,embedding_mean_117;embedding_mean_150;embedding_mean_698,multi_trait,True,severity_correlated
48,1,0.3163692370555093,0.3163692370555093,0.3163692370555093,0.0,0.0,0,0,1,False,False,False,,embedding_mean_574,singleton,False,not_severity_correlated
49,1,0.3848952069606161,0.3848952069606161,0.3848952069606161,0.0,0.0,0,0,1,False,False,False,,embedding_std_511,singleton,False,not_severity_correlated
50,1,0.6047899261469911,0.6047899261469911,0.6047899261469911,1.0,1.0,1,1,1,False,False,False,,embedding_std_567,singleton,True,severity_correlated
51,2,0.30603787609236244,0.30603787609236244,0.3190882184503869,0.0,0.0,0,0,3,False,False,True,Sobic.001G323801,embedding_mean_261;embedding_mean_896,multi_trait,False,not_severity_correlated
52,5,0.2494987176177571,0.22716671519571924,0.3899744985001364,0.0,0.0,0,0,6,False,False,False,,embedding_mean_359;embedding_std_331;embedding_std_336;embedding_std_578;embedding_std_969,multi_trait,False,not_severity_correlated
53,3,0.2649154095353205,0.2385695689254542,0.2739914076015305,0.0,0.0,0,0,5,False,False,False,,embedding_mean_832;embedding_std_81;embedding_std_454,multi_trait,False,not_severity_correlated
54,2,0.056047841832649145,0.056047841832649145,0.0585558914576229,0.0,0.0,0,0,3,False,False,False,,embedding_mean_232;embedding_std_872,multi_trait,False,not_severity_correlated
55,37,0.1707117269497341,0.18414195607381006,0.4534666213348734,0.10810810810810811,0.0,4,0,49,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_75;embedding_mean_153;embedding_mean_357;embedding_mean_595;embedding_mean_631;embedding_mean_714;embedding_mean_864;embedding_mean_988;embedding_std_2;embedding_std_5;embedding_std_48;embedding_std_71,multi_trait,False,not_severity_correlated
56,10,0.22872067464416984,0.21659851507700437,0.3571797778302986,0.0,0.0,0,0,15,False,False,False,,embedding_mean_508;embedding_mean_900;embedding_std_16;embedding_std_42;embedding_std_150;embedding_std_245;embedding_std_642;embedding_std_827;embedding_std_957;embedding_std_987,multi_trait,False,not_severity_correlated
57,1,0.4274964593268958,0.4274964593268958,0.4274964593268958,1.0,0.0,1,0,1,False,False,False,,embedding_std_753,singleton,True,severity_correlated
58,2,0.2078015525333445,0.2078015525333445,0.3701442986965847,0.0,0.0,0,0,21,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_6;embedding_std_121,multi_trait,False,not_severity_correlated
59,1,0.1770279290133324,0.1770279290133324,0.1770279290133324,0.0,0.0,0,0,1,False,False,False,,embedding_std_410,singleton,False,not_severity_correlated
60,4,0.0999766813900973,0.1427645757323287,0.325402052059134,0.0,0.0,0,0,5,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_45;embedding_mean_270;embedding_mean_695;embedding_std_627,multi_trait,False,not_severity_correlated
61,4,0.5160795201139775,0.49697821829421795,0.6276643104545468,0.75,0.5,3,2,5,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_907;embedding_mean_933;embedding_std_364;embedding_std_793,multi_trait,True,severity_correlated
62,8,0.3770364791633294,0.37242186474886235,0.5200566075020963,0.5,0.25,4,2,11,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_408;embedding_mean_978;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847,multi_trait,True,severity_correlated
63,3,0.32985454862832,0.3700271808761797,0.5236187921862129,0.3333333333333333,0.3333333333333333,1,1,5,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_59;embedding_mean_846;embedding_std_89,multi_trait,True,severity_correlated
64,3,0.3793065006345797,0.47077529197327767,0.6650398477414227,0.3333333333333333,0.3333333333333333,1,1,5,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_155;embedding_mean_210;embedding_std_785,multi_trait,True,severity_correlated
65,5,0.3044173484294785,0.3231288800953563,0.4416131224859598,0.4,0.0,2,0,8,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_107;embedding_std_149;embedding_std_305;embedding_std_374;embedding_std_927,multi_trait,False,not_severity_correlated
66,2,0.3833560950044954,0.3833560950044954,0.4567874647631279,0.5,0.0,1,0,4,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_973;embedding_std_255,multi_trait,True,severity_correlated
67,7,0.1182454629626175,0.10014134752046765,0.1476072315319305,0.0,0.0,0,0,11,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_164;embedding_mean_454;embedding_mean_510;embedding_mean_549;embedding_mean_585;embedding_mean_927;embedding_std_679,multi_trait,False,not_severity_correlated
68,2,0.1287724571362047,0.1287724571362047,0.1977847612836919,0.0,0.0,0,0,3,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_std_158;embedding_std_761,multi_trait,False,not_severity_correlated
69,4,0.4542671541885136,0.4607616375057895,0.5278558471962513,1.0,0.25,4,1,6,True,True,True,"Sobic.001G323801;Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756,multi_trait,True,severity_correlated
70,2,0.26988159187337685,0.26988159187337685,0.3647851099256547,0.0,0.0,0,0,3,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_125;embedding_std_977,multi_trait,False,not_severity_correlated
71,2,0.4380844510619788,0.4380844510619788,0.6199060465008739,0.5,0.5,1,1,8,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_68;embedding_mean_903,multi_trait,True,severity_correlated
72,140,0.2801031083746585,0.2924262147105408,0.6521161390806277,0.2785714285714286,0.09285714285714286,39,13,155,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165;embedding_mean_172;embedding_mean_178;embedding_mean_192;embedding_mean_204,multi_trait,True,severity_correlated
73,4,0.4148632416914942,0.43235705611918696,0.5321092690018489,0.5,0.25,2,1,5,False,False,False,,embedding_mean_80;embedding_mean_445;embedding_mean_690;embedding_std_1000,multi_trait,True,severity_correlated
74,15,0.2866563964780468,0.27610874585100487,0.5432506884444963,0.3333333333333333,0.13333333333333333,5,2,16,True,True,True,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",embedding_mean_28;embedding_mean_277;embedding_mean_302;embedding_mean_373;embedding_mean_598;embedding_mean_680;embedding_mean_720;embedding_mean_855;embedding_std_244;embedding_std_729;embedding_std_796;embedding_std_882,multi_trait,True,severity_correlated
75,3,0.1666569353862978,0.2536487562526451,0.539400719823625,0.3333333333333333,0.3333333333333333,1,1,4,False,False,False,,embedding_mean_740;embedding_mean_1022;embedding_std_1022,multi_trait,True,severity_correlated
76,2,0.552951943250751,0.552951943250751,0.5672666506255185,1.0,1.0,2,2,3,False,False,False,,embedding_mean_337;embedding_mean_616,multi_trait,True,severity_correlated
77,3,0.1010616621959863,0.10470012083464153,0.115109738387373,0.0,0.0,0,0,6,False,False,False,,embedding_std_674;embedding_std_823;embedding_std_828,multi_trait,False,not_severity_correlated
78,1,0.3137574476839309,0.3137574476839309,0.3137574476839309,0.0,0.0,0,0,2,False,False,False,,embedding_std_861,singleton,False,not_severity_correlated
79,1,0.3055014140044548,0.3055014140044548,0.3055014140044548,0.0,0.0,0,0,3,False,False,False,,embedding_mean_285,singleton,False,not_severity_correlated
80,1,0.5246520459239279,0.5246520459239279,0.5246520459239279,1.0,1.0,1,1,1,False,False,False,,embedding_mean_181,singleton,True,severity_correlated
81,1,0.484231491514372,0.484231491514372,0.484231491514372,1.0,0.0,1,0,1,False,False,False,,embedding_mean_163,singleton,True,severity_correlated
82,2,0.4105566267843393,0.4105566267843393,0.6204592372125909,0.5,0.5,1,1,2,False,False,False,,embedding_mean_26;embedding_std_968,multi_trait,True,severity_correlated
83,2,0.28963253845116366,0.28963253845116366,0.2915027530005214,0.0,0.0,0,0,2,False,False,False,,embedding_std_18;embedding_std_962,multi_trait,False,not_severity_correlated
84,2,0.14344504312984904,0.14344504312984904,0.1785106825422432,0.0,0.0,0,0,4,False,False,False,,embedding_std_267;embedding_std_938,multi_trait,False,not_severity_correlated
85,1,0.2499148135921554,0.2499148135921554,0.2499148135921554,0.0,0.0,0,0,2,False,False,False,,embedding_std_108,singleton,False,not_severity_correlated
86,2,0.3547411736667226,0.3547411736667226,0.5036256691069243,0.5,0.5,1,1,2,False,False,False,,embedding_std_172;embedding_std_935,multi_trait,True,severity_correlated
87,2,0.073902602253484,0.073902602253484,0.1187654848643418,0.0,0.0,0,0,4,False,False,False,,embedding_std_628;embedding_std_929,multi_trait,False,not_severity_correlated
88,2,0.35523256014411886,0.35523256014411886,0.3974948956098898,0.0,0.0,0,0,2,False,False,False,,embedding_std_287;embedding_std_922,multi_trait,False,not_severity_correlated
89,2,0.1457028282492181,0.1457028282492181,0.1855702236175577,0.0,0.0,0,0,3,False,False,False,,embedding_std_618;embedding_std_904,multi_trait,False,not_severity_correlated
90,2,0.1126907195592873,0.1126907195592873,0.1831125188695617,0.0,0.0,0,0,2,False,False,False,,embedding_mean_276;embedding_std_885,multi_trait,False,not_severity_correlated
91,2,0.2297851371078497,0.2297851371078497,0.2358001467691235,0.0,0.0,0,0,3,False,False,False,,embedding_mean_826;embedding_std_840,multi_trait,False,not_severity_correlated
92,3,0.3840032831972624,0.3740823446982608,0.4255261691387434,0.3333333333333333,0.0,1,0,3,False,False,False,,embedding_std_335;embedding_std_344;embedding_std_837,multi_trait,False,not_severity_correlated
93,2,0.19207768228809674,0.19207768228809674,0.1943712197201566,0.0,0.0,0,0,3,False,False,False,,embedding_std_388;embedding_std_810,multi_trait,False,not_severity_correlated
94,1,0.2857186025695172,0.2857186025695172,0.2857186025695172,0.0,0.0,0,0,2,False,False,False,,embedding_mean_207,singleton,False,not_severity_correlated
95,1,0.2696389431925134,0.2696389431925134,0.2696389431925134,0.0,0.0,0,0,4,False,False,False,,embedding_std_776,singleton,False,not_severity_correlated
96,2,0.03773166924855105,0.03773166924855105,0.0544355611705607,0.0,0.0,0,0,4,False,False,False,,embedding_std_286;embedding_std_751,multi_trait,False,not_severity_correlated
