cluster025,n_embeddings,cluster_type,severity_related,severity_class,median_max_abs_severity_r,max_abs_severity_r,fraction_embeddings_r_ge_0_4,example_embeddings,has_validated,has_validated_or_proposed,candidate_genes
1,2,multi_trait,True,severity_correlated,0.5153027692123389,0.5374738932612044,1.0,embedding_mean_430;embedding_mean_746,False,False,
2,2,multi_trait,False,not_severity_correlated,0.0892829399756928,0.1142147182885729,0.0,embedding_mean_121;embedding_mean_406,False,False,
3,1,singleton,False,not_severity_correlated,0.1305537502861933,0.1305537502861933,0.0,embedding_mean_491,False,False,
4,2,multi_trait,False,not_severity_correlated,0.2599894439732541,0.3142473580775868,0.0,embedding_mean_33;embedding_mean_391,False,False,
5,5,multi_trait,False,not_severity_correlated,0.1097000128068866,0.2709554587102165,0.0,embedding_mean_234;embedding_mean_469;embedding_std_77;embedding_std_487;embedding_std_568,False,False,
6,4,multi_trait,False,not_severity_correlated,0.1564205799853926,0.2237939587520794,0.0,embedding_mean_801;embedding_std_393;embedding_std_736;embedding_std_791,False,False,
7,10,multi_trait,True,severity_correlated,0.3641946667552038,0.5611066769364046,0.3,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538;embedding_std_620;embedding_std_803,False,False,
8,2,multi_trait,False,not_severity_correlated,0.1373562606864456,0.1385445429416089,0.0,embedding_mean_743;embedding_mean_838,False,False,
9,2,multi_trait,False,not_severity_correlated,0.2443765183285233,0.2784345519052386,0.0,embedding_mean_953;embedding_std_184,False,True,Sobic.007G163100
10,10,multi_trait,False,not_severity_correlated,0.1995315593226356,0.4425233901114951,0.2,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67;embedding_std_574;embedding_std_746,False,True,Sobic.007G163100
11,1,singleton,False,not_severity_correlated,0.1927473128460398,0.1927473128460398,0.0,embedding_mean_245,False,True,Sobic.007G163100
12,2,multi_trait,False,not_severity_correlated,0.0680098908987951,0.0951657617772803,0.0,embedding_mean_716;embedding_std_634,False,False,
13,4,multi_trait,True,severity_correlated,0.3271095813396166,0.5177178128324715,0.5,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535,False,True,Sobic.002G022600
14,1,singleton,True,severity_correlated,0.5235704513328068,0.5235704513328068,1.0,embedding_mean_144,False,False,
15,1,singleton,False,not_severity_correlated,0.3443533286518724,0.3443533286518724,0.0,embedding_mean_851,False,True,Sobic.005G102900
16,3,multi_trait,False,not_severity_correlated,0.1145035617060878,0.3133258773395501,0.0,embedding_std_298;embedding_std_399;embedding_std_802,False,True,Sobic.004G117000
17,11,multi_trait,False,not_severity_correlated,0.1406300396117664,0.398393417677601,0.0,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794;embedding_std_910;embedding_std_984;embedding_std_1018,False,True,Sobic.002G268900
18,3,multi_trait,False,not_severity_correlated,0.1890147719044307,0.1911972273781856,0.0,embedding_std_94;embedding_std_175;embedding_std_703,False,False,
19,1,singleton,False,not_severity_correlated,0.3369958065756446,0.3369958065756446,0.0,embedding_std_925,False,False,
20,3,multi_trait,False,not_severity_correlated,0.2253964745989958,0.2450532484074338,0.0,embedding_mean_537;embedding_mean_565;embedding_mean_932,False,False,
21,4,multi_trait,True,severity_correlated,0.310842605126316,0.4732214214715551,0.5,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392,True,True,Sobic.006G217900;Sobic.006G225800
22,3,multi_trait,False,not_severity_correlated,0.091283950929438,0.2715860236849589,0.0,embedding_mean_228;embedding_mean_272;embedding_mean_760,True,True,Sobic.006G217900;Sobic.006G225800
23,2,multi_trait,False,not_severity_correlated,0.1891704527555728,0.3296540237250956,0.0,embedding_mean_308;embedding_std_275,True,True,Sobic.006G217900;Sobic.006G225800
24,2,multi_trait,False,not_severity_correlated,0.1439168079004583,0.2394090150507248,0.0,embedding_mean_824;embedding_std_357,True,True,Sobic.003G430000;Sobic.006G217900;Sobic.006G225800
25,11,multi_trait,False,not_severity_correlated,0.223141552199249,0.347667680365757,0.0,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983;embedding_std_215;embedding_std_224;embedding_std_363,True,True,Sobic.006G217900;Sobic.006G225800
26,3,multi_trait,False,not_severity_correlated,0.3025548688556586,0.341775832406506,0.0,embedding_mean_340;embedding_std_253;embedding_std_358,False,True,Sobic.004G273600
27,5,multi_trait,True,severity_correlated,0.389861679663703,0.5212483813797723,0.4,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851,False,False,
28,6,multi_trait,False,not_severity_correlated,0.1353906366870945,0.2971936383962902,0.0,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939,False,True,Sobic.004G273600;Sobic.004G326400
29,4,multi_trait,True,severity_correlated,0.4443352340946419,0.4973433672802653,0.75,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726,False,True,Sobic.004G273600
30,3,multi_trait,True,severity_correlated,0.4244092438728558,0.5250279836386389,1.0,embedding_mean_577;embedding_std_711;embedding_std_897,False,True,Sobic.004G273600
31,27,multi_trait,True,severity_correlated,0.4482113558575737,0.6686775402116548,0.6666666666666666,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807;embedding_mean_881;embedding_mean_952;embedding_mean_979;embedding_std_0,False,True,Sobic.004G273600
32,1,singleton,True,severity_correlated,0.6309847212071056,0.6309847212071056,1.0,embedding_mean_657,False,True,Sobic.004G273600
33,21,multi_trait,True,severity_correlated,0.2644305954650773,0.5697291463666836,0.0476190476190476,embedding_mean_40;embedding_mean_123;embedding_mean_186;embedding_mean_332;embedding_mean_432;embedding_mean_494;embedding_mean_666;embedding_mean_674;embedding_mean_742;embedding_mean_942;embedding_mean_1016;embedding_std_76,True,True,Sobic.004G273600;Sobic.006G217900;Sobic.006G225800;Sobic.007G163100;Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
34,1,singleton,False,not_severity_correlated,0.1378002032738861,0.1378002032738861,0.0,embedding_std_622,False,True,Sobic.004G273600
35,3,multi_trait,False,not_severity_correlated,0.3055888130475971,0.397960093968927,0.0,embedding_mean_996;embedding_mean_997;embedding_std_1005,False,True,Sobic.008G150100
36,1,singleton,False,not_severity_correlated,0.0876636006153325,0.0876636006153325,0.0,embedding_mean_440,False,False,
37,1,singleton,False,not_severity_correlated,0.0541155976951636,0.0541155976951636,0.0,embedding_std_906,True,True,Sobic.006G217900;Sobic.006G225800;Sobic.008G150100
38,1,singleton,False,not_severity_correlated,0.0996888115270754,0.0996888115270754,0.0,embedding_mean_684,False,False,
39,3,multi_trait,False,not_severity_correlated,0.3594509183169807,0.3783345622900551,0.0,embedding_mean_146;embedding_std_444;embedding_std_586,False,False,
40,2,multi_trait,True,severity_correlated,0.5049037587281335,0.5507207430610142,1.0,embedding_std_98;embedding_std_707,True,True,Sobic.005G126200
41,5,multi_trait,True,severity_correlated,0.5739258301914204,0.6325992809876417,1.0,embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808,True,True,Sobic.003G296300;Sobic.005G126200
