trait,n_significant_loci,cluster_jaccard_similarity_ge_0_25,cluster_jaccard_similarity_ge_0_50,cluster025,human_score,percentUnhealthy,max_abs_severity_r,severity_r_ge_0_4,severity_r_ge_0_5,n_loci,has_validated_locus,has_proposed_locus,has_new_annotation_locus,candidate_loci,reported_candidate_genes,has_validated_or_proposed_locus,has_any_reported_candidate_locus
embedding_mean_0,1,100,152,100,0.1408989357954252,0.1064268059089167,0.1408989357954252,False,False,1,False,False,False,1:75116681-75234437,,False,False
embedding_mean_3,1,112,165,112,0.4698674158106938,0.4308198988093238,0.4698674158106938,True,False,1,False,False,False,2:62140710-62145291,,False,False
embedding_mean_6,13,58,89,58,0.0454588063701043,0.0406870511454446,0.0454588063701043,False,False,13,True,True,True,10:11736237-11837294;10:12350947-12404276;10:15543614-15543614;10:16886003-16886003;10:18418548-18418548;10:32123681-32123681;10:35218155-35218155;10:45370435-45426181;10:46979362-46979362;3:65689569-65844319;4:59819846-59985751;4:65405896-65526687;9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_17,1,113,166,113,0.1970592588347864,0.1870585178328978,0.1970592588347864,False,False,1,False,False,False,3:14960546-14960546,,False,False
embedding_mean_20,1,72,111,72,0.4359782990857949,0.4882694080908598,0.4882694080908598,True,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_26,1,82,131,82,0.1209614270651675,0.2006540163560877,0.2006540163560877,False,False,1,False,False,False,1:11791459-11910978,,False,False
embedding_mean_28,1,74,122,74,0.0534976610610445,0.0964726181524085,0.0964726181524085,False,False,1,False,False,False,2:65274344-65906142,,False,False
embedding_mean_29,1,28,40,28,0.2315365737206963,0.2012788609055131,0.2315365737206963,False,False,1,False,False,False,4:68547834-68802030,,False,False
embedding_mean_30,1,25,36,25,0.0309202420181237,0.0466989312031446,0.0466989312031446,False,False,1,False,False,False,6:57881583-58658248,,False,False
embedding_mean_33,2,4,5,4,0.1200962922235963,0.2057315298689215,0.2057315298689215,False,False,2,False,False,False,4:6478665-6478665;9:6658344-6882765,,False,False
embedding_mean_40,3,33,50,33,0.0206655640251552,0.1016001124686386,0.1016001124686386,False,False,3,False,False,False,4:64445411-65094100;4:65405896-65526687;6:57881583-58658248,,False,False
embedding_mean_45,2,60,91,60,0.0119022490873541,0.0457028880899862,0.0457028880899862,False,False,2,True,True,True,6:57033584-57315023;9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_46,5,45,63,45,0.2056829015368458,0.3122448911986259,0.3122448911986259,False,False,5,False,False,False,4:16842234-20745353;4:20981089-21349091;4:25773688-26708687;4:39427905-40735252;4:44115277-44115277,,False,False
embedding_mean_55,1,114,167,114,0.3303060918926528,0.3679713303675667,0.3679713303675667,False,False,1,False,False,False,5:62210027-62210027,,False,False
embedding_mean_59,2,63,95,63,0.1780528643634825,0.2566082018140063,0.2566082018140063,False,False,2,True,True,True,5:11157872-11169959;9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_63,1,115,168,115,0.1497655505610784,0.1516781867697372,0.1516781867697372,False,False,1,False,False,False,1:34316602-34316602,,False,False
embedding_mean_65,1,31,44,31,0.0902357424585826,0.0642370213685681,0.0902357424585826,False,False,1,False,False,False,4:64445411-65094100,,False,False
embedding_mean_68,4,71,108,71,0.5407282803866271,0.6199060465008739,0.6199060465008739,True,True,4,True,True,True,4:21598020-21986255;4:39427905-40735252;5:19563945-19563945;9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_70,2,116,169,116,0.0169826356416338,0.0339183131272656,0.0339183131272656,False,False,2,False,False,False,5:940443-940443;6:43021412-43021412,,False,False
embedding_mean_74,1,72,111,72,0.1697123200524527,0.1604578019844806,0.1697123200524527,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_75,1,55,80,55,0.4352048965110596,0.4177461598510892,0.4352048965110596,True,False,1,False,False,False,6:43533465-44716389,,False,False
embedding_mean_80,1,73,121,73,0.3135658351839717,0.3713802638632166,0.3713802638632166,False,False,1,False,False,False,5:18509856-18799569,,False,False
embedding_mean_85,1,72,111,72,0.0220610439967039,0.0003813596820212,0.0220610439967039,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_86,1,25,36,25,0.2907450059765188,0.1780363067640935,0.2907450059765188,False,False,1,False,False,False,6:57881583-58658248,,False,False
embedding_mean_87,1,109,162,109,0.4752918150818439,0.4314821799472527,0.4752918150818439,True,False,1,False,False,False,5:75480893-75482045,,False,False
embedding_mean_90,1,117,170,117,0.1781909618657911,0.1293290234327015,0.1781909618657911,False,False,1,False,False,False,2:55759706-55759706,,False,False
embedding_mean_98,1,102,155,102,0.1304735849475032,0.0303677628482878,0.1304735849475032,False,False,1,False,False,False,6:55609030-55744826,,False,False
embedding_mean_99,1,44,62,44,0.2453440539925142,0.337899490652819,0.337899490652819,False,False,1,False,False,False,4:16842234-20745353,,False,False
embedding_mean_101,1,13,20,13,0.1964733171415499,0.2324133555088641,0.2324133555088641,False,False,1,False,False,False,2:2096443-2301513,,False,False
embedding_mean_104,1,118,171,118,0.2160718027382592,0.261121387910054,0.261121387910054,False,False,1,False,False,False,1:56640579-56744059,,False,False
embedding_mean_107,1,65,99,65,0.4263473166796402,0.431394100020694,0.431394100020694,True,False,1,False,False,False,10:4212461-4334630,,False,False
embedding_mean_108,1,119,172,119,0.5449107263439968,0.6087249087814846,0.6087249087814846,True,True,1,False,False,False,1:77389566-77389566,,False,False
embedding_mean_117,4,47,71,47,0.5077989627892101,0.5510247890046829,0.5510247890046829,True,True,4,False,False,False,4:39427905-40735252;4:43861507-43902342;4:44317885-44561320;4:45704907-45993941,,False,False
embedding_mean_119,1,7,9,7,0.5274635135966865,0.5611066769364046,0.5611066769364046,True,True,1,False,False,False,4:4625898-4724594,,False,False
embedding_mean_121,1,2,2,2,0.0643511616628128,0.0099203308833297,0.0643511616628128,False,False,1,False,False,False,2:7131247-7131247,,False,False
embedding_mean_123,3,33,50,33,0.2644305954650773,0.1222424614541729,0.2644305954650773,False,False,3,False,False,False,4:64445411-65094100;4:65405896-65526687;6:57881583-58658248,,False,False
embedding_mean_125,1,70,107,70,0.127697910003369,0.174978073821099,0.174978073821099,False,False,1,False,False,False,2:10949210-11137298,,False,False
embedding_mean_126,1,13,20,13,0.0358088626883087,0.1131563462133,0.1131563462133,False,False,1,False,False,False,2:2096443-2301513,,False,False
embedding_mean_127,2,10,15,10,0.1468574715392255,0.1333366888234932,0.1468574715392255,False,False,2,False,True,False,10:51759875-51859180;7:62853152-63323476,Sobic.007G163100,True,True
embedding_mean_129,1,72,111,72,0.5101697220258802,0.593142688534547,0.593142688534547,True,True,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_132,1,72,111,72,0.2290254938043158,0.225134279888037,0.2290254938043158,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_136,1,98,150,98,0.3088571654315737,0.2831633548835125,0.3088571654315737,False,False,1,False,False,False,9:54489925-54489925,,False,False
embedding_mean_139,2,69,106,69,0.3853560456974036,0.5278558471962513,0.5278558471962513,True,True,2,True,True,True,1:65358296-65371952;9:59312854-62791172,"Sobic.001G323801;Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_141,1,72,111,72,0.4392394854437385,0.4748812153103105,0.4748812153103105,True,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_142,1,101,154,101,0.4811793153584499,0.3655869357359634,0.4811793153584499,True,False,1,False,False,False,5:68389789-68456427,,False,False
embedding_mean_143,1,108,161,108,0.0664358764727181,0.0418977216852799,0.0664358764727181,False,False,1,False,False,False,4:2399084-2399084,,False,False
embedding_mean_144,1,14,21,14,0.4942104557440085,0.5235704513328068,0.5235704513328068,True,True,1,False,False,False,5:55099872-55099872,,False,False
embedding_mean_146,1,39,57,39,0.2110056932492121,0.1541427041514354,0.2110056932492121,False,False,1,False,False,False,1:11488376-11488593,,False,False
embedding_mean_150,7,47,71,47,0.5077102129212189,0.589186707607703,0.589186707607703,True,True,7,True,False,False,4:25773688-26708687;4:37381806-37802564;4:39427905-40735252;4:43861507-43902342;4:44317885-44561320;4:45704907-45993941;5:60007887-60022551,Sobic.005G126200,True,True
embedding_mean_151,1,13,20,13,0.3659234814289793,0.4218058071703692,0.4218058071703692,True,False,1,False,False,False,2:2096443-2301513,,False,False
embedding_mean_152,1,111,164,111,0.0976299841062913,0.0003133214288925,0.0976299841062913,False,False,1,False,False,False,5:62679628-62748988,,False,False
embedding_mean_153,1,55,80,55,0.0387900994804399,0.1183065661443842,0.1183065661443842,False,False,1,False,False,False,6:43533465-44716389,,False,False
embedding_mean_155,1,64,97,64,0.2941112474691766,0.3793065006345797,0.3793065006345797,False,False,1,False,False,False,4:8685597-8884311,,False,False
embedding_mean_157,1,72,111,72,0.3067659664172424,0.3531930553657904,0.3531930553657904,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_161,1,120,173,120,0.4740301773692839,0.5433452990698351,0.5433452990698351,True,True,1,False,False,False,1:84686921-84699328,,False,False
embedding_mean_163,1,81,130,81,0.484231491514372,0.4147170885739205,0.484231491514372,True,False,1,False,False,False,5:9659089-9659089,,False,False
embedding_mean_164,2,67,103,67,0.1231784515794175,0.1164757834455439,0.1231784515794175,False,False,2,True,True,True,2:3420187-3493505;9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_165,1,72,111,72,0.4181761350015129,0.5279203564382379,0.5279203564382379,True,True,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_172,1,72,111,72,0.0675636122118119,0.0105716227346469,0.0675636122118119,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_173,2,25,36,25,0.0472454414709475,0.1954686820880848,0.1954686820880848,False,False,2,False,False,False,1:7879218-7879218;6:57881583-58658248,,False,False
embedding_mean_174,1,41,59,41,0.4673464955243611,0.5739258301914204,0.5739258301914204,True,True,1,True,False,False,5:60007887-60022551,Sobic.005G126200,True,True
