embedding_set,group_id,rank,trait,category,rho,p,n,n_embeddings,median_within_group_abs_spearman,example_embeddings
dinov2,1,1,NE2025_image__percentUnhealthy,disease_severity,0.6275852968321846,4.2020433043377814e-103,931,3,0.46250519633369547,dinov2_mean_830;dinov2_std_4;dinov2_std_343
dinov2,1,2,NE2025_image__human_score,disease_severity,0.5827237173146851,3.925992822762406e-54,581,3,0.46250519633369547,dinov2_mean_830;dinov2_std_4;dinov2_std_343
dinov2,1,3,NE2025_image__log_leaf_pixels,image_leaf_size,-0.4095240549736435,6.470590115405409e-39,930,3,0.46250519633369547,dinov2_mean_830;dinov2_std_4;dinov2_std_343
dinov2,1,4,NE2025_image__leaf_pixels,image_leaf_size,-0.40080233222402745,3.3427693739478515e-37,930,3,0.46250519633369547,dinov2_mean_830;dinov2_std_4;dinov2_std_343
dinov2,1,5,NE2025__seed_mass_g,yield,-0.32708047867358986,6.845478448941498e-23,860,3,0.46250519633369547,dinov2_mean_830;dinov2_std_4;dinov2_std_343
dinov2,2,1,NE2025_image__leaf_pixels,image_leaf_size,-0.8657854613170683,2.8794602541439585e-281,930,6,0.42414703564078154,dinov2_mean_974;dinov2_std_112;dinov2_std_171;dinov2_std_212;dinov2_std_239;dinov2_std_961
dinov2,2,2,NE2025_image__log_leaf_pixels,image_leaf_size,-0.8589573574900816,5.290886618217168e-272,930,6,0.42414703564078154,dinov2_mean_974;dinov2_std_112;dinov2_std_171;dinov2_std_212;dinov2_std_239;dinov2_std_961
dinov2,2,3,NE2020__leaf_width_cm,architecture,-0.48793862734970384,2.629516482782609e-20,316,6,0.42414703564078154,dinov2_mean_974;dinov2_std_112;dinov2_std_171;dinov2_std_212;dinov2_std_239;dinov2_std_961
dinov2,2,4,MI2020__leaf_width_cm,architecture,-0.4786840448546232,7.5994444529913135e-22,357,6,0.42414703564078154,dinov2_mean_974;dinov2_std_112;dinov2_std_171;dinov2_std_212;dinov2_std_239;dinov2_std_961
dinov2,2,5,NE2021__leaf_width_cm,architecture,-0.45118451602727355,6.721000204425818e-25,469,6,0.42414703564078154,dinov2_mean_974;dinov2_std_112;dinov2_std_171;dinov2_std_212;dinov2_std_239;dinov2_std_961
dinov2,3,1,NE2025_image__leaf_pixels,image_leaf_size,-0.5296615008145272,2.2058842421491177e-68,930,1,,dinov2_std_348
dinov2,3,2,NE2025_image__log_leaf_pixels,image_leaf_size,-0.5096651465963341,1.2551561196250162e-62,930,1,,dinov2_std_348
dinov2,3,3,NE2021__leaf_width_cm,architecture,-0.38146780628936944,1.078902354941843e-17,469,1,,dinov2_std_348
dinov2,3,4,NE2020__leaf_width_cm,architecture,-0.3331698676842467,1.2516612150069617e-09,316,1,,dinov2_std_348
dinov2,3,5,NE2020__flag_leaf_width_cm,architecture,-0.3017456497932468,4.708008984257754e-08,315,1,,dinov2_std_348
dinov2,4,1,NE2020__flag_leaf_width_cm,architecture,0.31879234054865097,7.157001483165385e-09,315,6,0.3713694604919428,dinov2_mean_164;dinov2_mean_175;dinov2_mean_205;dinov2_mean_435;dinov2_mean_704;dinov2_mean_859
dinov2,4,2,NE2025_image__leaf_pixels,image_leaf_size,0.29908071196638947,1.1343678855854478e-20,930,6,0.3713694604919428,dinov2_mean_164;dinov2_mean_175;dinov2_mean_205;dinov2_mean_435;dinov2_mean_704;dinov2_mean_859
dinov2,4,3,NE2025_image__log_leaf_pixels,image_leaf_size,0.27646840746025797,8.869218776479696e-18,930,6,0.3713694604919428,dinov2_mean_164;dinov2_mean_175;dinov2_mean_205;dinov2_mean_435;dinov2_mean_704;dinov2_mean_859
dinov2,4,4,NE2020__leaf_width_cm,architecture,0.27631573943484283,6.040610456781462e-07,316,6,0.3713694604919428,dinov2_mean_164;dinov2_mean_175;dinov2_mean_205;dinov2_mean_435;dinov2_mean_704;dinov2_mean_859
dinov2,4,5,MI2021__leaf_width_cm,architecture,0.25423592414676627,9.861533229407024e-07,361,6,0.3713694604919428,dinov2_mean_164;dinov2_mean_175;dinov2_mean_205;dinov2_mean_435;dinov2_mean_704;dinov2_mean_859
dinov2,5,1,NE2025_image__leaf_pixels,image_leaf_size,0.41507358168267283,4.944805849682696e-40,930,3,0.16136494038303562,dinov2_mean_574;dinov2_mean_682;dinov2_std_676
dinov2,5,2,NE2025_image__log_leaf_pixels,image_leaf_size,0.40514130401246023,4.766352666227214e-38,930,3,0.16136494038303562,dinov2_mean_574;dinov2_mean_682;dinov2_std_676
dinov2,5,3,MI2021__leaf_width_cm,architecture,0.2993055652981489,6.608147264734226e-09,361,3,0.16136494038303562,dinov2_mean_574;dinov2_mean_682;dinov2_std_676
dinov2,5,4,MI2021__stem_diameter_lower_mm,architecture,0.24784495677180074,1.8670474238664934e-06,361,3,0.16136494038303562,dinov2_mean_574;dinov2_mean_682;dinov2_std_676
dinov2,5,5,NE2021__stem_diameter_lower_mm,architecture,0.23330553893097425,9.187975090658183e-06,354,3,0.16136494038303562,dinov2_mean_574;dinov2_mean_682;dinov2_std_676
dinov2,6,1,NE2025_image__leaf_pixels,image_leaf_size,-0.8921700848840831,1.5e-322,930,14,0.5364474141170857,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,6,2,NE2025_image__log_leaf_pixels,image_leaf_size,-0.8919026358365802,4.35e-322,930,14,0.5364474141170857,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,6,3,MI2020__leaf_width_cm,architecture,-0.4830365919373285,2.86550874288593e-22,357,14,0.5364474141170857,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,6,4,NE2020__leaf_width_cm,architecture,-0.45730459287174186,9.78565208965144e-18,316,14,0.5364474141170857,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,6,5,NE2025__leaf_number,architecture,-0.45497214278834985,2.0435454260852667e-45,865,14,0.5364474141170857,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,7,1,MI2021__stem_diameter_lower_mm,architecture,0.24120044739724572,3.5601921590260876e-06,361,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,7,2,MI2021__plant_height_cm,architecture,-0.22362149291363195,1.798817756511945e-05,361,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,7,3,MI2021__leaf_width_cm,architecture,0.2069703644094014,7.439348028205693e-05,361,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,7,4,MI2021__flag_leaf_height_cm,architecture,-0.20241681131415748,0.00010761667839485111,361,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,7,5,NE2021__starch_pct,composition,-0.20220019411990217,1.1931853589792663e-08,781,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
