embedding_set,group_id,n_embeddings,median_within_group_abs_spearman,top_trait,top_trait_category,top_trait_rho,top_trait_p,top_trait_n,top_field_trait,top_field_trait_category,top_field_trait_rho,top_field_trait_p,top_field_trait_n,example_embeddings
dinov2,51,175,0.24082579807201063,NE2025_image__leaf_pixels,image_leaf_size,0.7933575306076059,3.0312715109341355e-202,930,MI2020__leaf_width_cm,architecture,0.4650182127580118,1.4861260871636743e-20,357,dinov2_mean_41;dinov2_mean_52;dinov2_mean_53;dinov2_mean_56;dinov2_mean_62;dinov2_mean_73;dinov2_mean_92;dinov2_mean_100
dinov2,37,54,0.19580481363880328,NE2025_image__log_leaf_pixels,image_leaf_size,0.8908486237204378,3.0365e-320,930,MI2020__leaf_width_cm,architecture,0.47294091396936283,2.694698480462533e-21,357,dinov2_mean_79;dinov2_mean_86;dinov2_mean_107;dinov2_mean_142;dinov2_mean_149;dinov2_mean_221;dinov2_mean_269;dinov2_mean_376
dinov2,39,43,0.6387551507844377,NE2025_image__leaf_pixels,image_leaf_size,-0.9580094253903184,0.0,930,MI2020__leaf_width_cm,architecture,-0.5093833087221793,5.751092788370312e-25,357,dinov2_mean_25;dinov2_mean_32;dinov2_mean_224;dinov2_mean_240;dinov2_mean_284;dinov2_mean_287;dinov2_mean_345;dinov2_mean_354
dinov2,28,26,0.6224021661097432,NE2025_image__leaf_pixels,image_leaf_size,-0.9248438786519051,0.0,930,NE2020__leaf_width_cm,architecture,-0.4885916007173666,2.3026209331511772e-20,316,dinov2_mean_22;dinov2_mean_37;dinov2_mean_99;dinov2_mean_209;dinov2_mean_253;dinov2_mean_257;dinov2_mean_346;dinov2_mean_388
dinov2,22,25,0.3030582160416001,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6851897199436068,6.9414168399325576e-130,930,NE2025__seed_red_intensity,seed_color,-0.4549303365129058,3.439573538086501e-17,309,dinov2_mean_219;dinov2_mean_288;dinov2_mean_322;dinov2_mean_364;dinov2_mean_555;dinov2_mean_593;dinov2_mean_635;dinov2_mean_638
dinov2,31,25,0.19601847092544394,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7582401145529681,1.3946434523610832e-174,930,NE2020__stem_diameter_lower_mm,architecture,-0.36423669434246697,2.569379927447694e-11,315,dinov2_mean_64;dinov2_mean_95;dinov2_mean_272;dinov2_mean_807;dinov2_mean_965;dinov2_mean_991;dinov2_std_199;dinov2_std_248
dinov2,19,15,0.4975090961614297,NE2025_image__leaf_pixels,image_leaf_size,-0.8200192407568304,4.0193250015171465e-227,930,MI2020__leaf_width_cm,architecture,-0.42083971481002413,9.342398956214722e-17,357,dinov2_mean_143;dinov2_mean_245;dinov2_mean_366;dinov2_mean_481;dinov2_mean_515;dinov2_mean_742;dinov2_mean_772;dinov2_mean_802
dinov2,6,14,0.5364474141170857,NE2025_image__leaf_pixels,image_leaf_size,-0.8921700848840831,1.5e-322,930,MI2020__leaf_width_cm,architecture,-0.4830365919373285,2.86550874288593e-22,357,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,24,11,0.399896810226885,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6758973462322283,3.9367244883592294e-125,930,NE2025__days_to_flower,phenology,-0.42423193943542675,6.879103837875017e-39,860,dinov2_mean_16;dinov2_mean_157;dinov2_mean_311;dinov2_mean_385;dinov2_mean_669;dinov2_mean_818;dinov2_mean_889;dinov2_mean_937
dinov2,45,11,0.35946949970993824,NE2025_image__leaf_pixels,image_leaf_size,-0.556921256717045,7.08096053299346e-77,930,NE2020__leaf_width_cm,architecture,-0.36124734266145303,3.5641570829142014e-11,316,dinov2_mean_266;dinov2_mean_422;dinov2_mean_439;dinov2_mean_809;dinov2_std_215;dinov2_std_332;dinov2_std_442;dinov2_std_560
dinov2,14,10,0.6688814096087402,NE2025_image__log_leaf_pixels,image_leaf_size,-0.9128486538563989,0.0,930,MI2020__leaf_width_cm,architecture,-0.4709074571428672,4.194502393385752e-21,357,dinov2_mean_213;dinov2_mean_259;dinov2_mean_436;dinov2_mean_446;dinov2_mean_803;dinov2_std_82;dinov2_std_780;dinov2_std_885
dinov2,12,9,0.6044922300571829,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7885716815519836,3.627230664023127e-198,930,NE2025__leaf_number,architecture,-0.4811300131315486,2.5622289775541937e-51,865,dinov2_mean_130;dinov2_mean_185;dinov2_mean_274;dinov2_mean_456;dinov2_mean_689;dinov2_mean_716;dinov2_mean_981;dinov2_mean_992
dinov2,16,7,0.6236113628479905,NE2025_image__log_leaf_pixels,image_leaf_size,-0.8722543133568962,1.5819859809459284e-290,930,MI2020__leaf_width_cm,architecture,-0.4725905316873915,2.9088030438196382e-21,357,dinov2_mean_90;dinov2_mean_210;dinov2_mean_644;dinov2_mean_835;dinov2_mean_983;dinov2_std_305;dinov2_std_684
dinov2,59,7,0.4411592558221416,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6602903210363292,1.5746359521326784e-117,930,NE2020__stem_diameter_lower_mm,architecture,-0.374349474493179,6.465415738823872e-12,315,dinov2_mean_457;dinov2_mean_909;dinov2_std_527;dinov2_std_591;dinov2_std_752;dinov2_std_837;dinov2_std_909
dinov2,77,7,0.6112325078174019,NE2025_image__leaf_pixels,image_leaf_size,-0.8961245846803702,0.0,930,MI2020__leaf_width_cm,architecture,-0.4921634108064444,3.540796638353807e-23,357,dinov2_mean_28;dinov2_mean_335;dinov2_mean_375;dinov2_mean_382;dinov2_mean_577;dinov2_std_180;dinov2_std_470
