trait,broad_sense_h2,embedding_stat,embedding_index,n_markers_tested,min_p,n_significant_effective_bonferroni,n_q_lt_0_05_within_trait,chunk,chunk_elapsed_seconds,chunk_elapsed_seconds_per_trait,effective_markers,effective_bonferroni_threshold,has_hit
dinov2_mean_0,0.1674218912231883,mean,0,4920234,1.0825383268034623e-08,2,853,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_1,0.4214287362228789,mean,1,4920234,1.2211010930276417e-07,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_2,0.4547963908940391,mean,2,4920234,3.182200660519966e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_3,0.4104569410552819,mean,3,4920234,7.844576411273404e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_4,0.1259645823885005,mean,4,4920234,2.260177590529277e-07,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_5,0.4247511917370272,mean,5,4920234,2.63715114829906e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_6,0.417201597313576,mean,6,4920234,1.610378481540606e-07,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_7,0.420379770155897,mean,7,4920234,5.218334447492197e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_8,0.3919775652421434,mean,8,4920234,4.8283865579942664e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_9,0.1575343753341671,mean,9,4920234,1.1408298093821762e-09,59,4730,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_10,0.4630526590901763,mean,10,4920234,8.952339572579687e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_11,0.3187191327515485,mean,11,4920234,1.1477023576750425e-07,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_12,0.2520375065430189,mean,12,4920234,1.0121944317292449e-08,2,18,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_13,0.239529275129167,mean,13,4920234,4.9238556878952966e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_14,0.3399165264696211,mean,14,4920234,6.21554159815762e-10,46,1386,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_15,0.3999708819141557,mean,15,4920234,1.6550122833432968e-08,0,202,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_16,0.3311864210694873,mean,16,4920234,1.3520110885703136e-08,1,724,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_17,0.4969478742375715,mean,17,4920234,1.0194077953252492e-08,1,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_18,0.3520105043364124,mean,18,4920234,5.374175123829085e-10,2,732,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_19,0.1989953106419075,mean,19,4920234,2.6670707016898245e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_20,0.4699052775735128,mean,20,4920234,3.961951236224319e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_21,0.5837279445243814,mean,21,4920234,7.8813724387994e-08,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_22,0.511337308899358,mean,22,4920234,7.004442889137652e-11,64,766,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_23,0.4975201314536462,mean,23,4920234,1.026545531072904e-07,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_24,0.2818168514297927,mean,24,4920234,1.2882300724100553e-07,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_25,0.5303254807670512,mean,25,4920234,2.0414191862804518e-09,10,4500,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
dinov2_mean_26,0.4180112478486035,mean,26,4920234,1.744364249214487e-07,0,0,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,False
dinov2_mean_27,0.2200029629435997,mean,27,4920234,1.1143799297184663e-09,2,2,1,411.9135774211027,12.87229929440946,3169884,1.5773447861183564e-08,True
