embedding_set,group_id,rank,trait,category,rho,p,n,n_embeddings,median_within_group_abs_spearman,example_embeddings
sam3,1,1,NE2025_image__percentUnhealthy,disease_severity,-0.5747795042068273,1.3736651065080843e-85,961,2,0.5327604188814535,embedding_mean_430;embedding_mean_746
sam3,1,2,NE2025_image__human_score,disease_severity,-0.48465559062109015,1.499362833500309e-36,598,2,0.5327604188814535,embedding_mean_430;embedding_mean_746
sam3,1,3,AL2022__days_to_flower,phenology,0.2679673277283927,2.5483564236882127e-07,359,2,0.5327604188814535,embedding_mean_430;embedding_mean_746
sam3,1,4,NE2020__leaf_angle_median_degrees,architecture,-0.26713158492093986,1.3449827350916655e-06,318,2,0.5327604188814535,embedding_mean_430;embedding_mean_746
sam3,1,5,MI2020__final_green_leaves,architecture,0.26021426830349453,5.95928732027186e-07,358,2,0.5327604188814535,embedding_mean_430;embedding_mean_746
sam3,2,1,NE2025_image__leaf_pixels,image_leaf_size,0.6156278222468722,3.256588287220719e-101,960,2,0.5307345231058624,embedding_mean_121;embedding_mean_406
sam3,2,2,NE2025_image__log_leaf_pixels,image_leaf_size,0.5972303811718589,7.403098679657202e-94,960,2,0.5307345231058624,embedding_mean_121;embedding_mean_406
sam3,2,3,NE2020__leaf_width_cm,architecture,0.38907171942011787,6.724156653036989e-13,317,2,0.5307345231058624,embedding_mean_121;embedding_mean_406
sam3,2,4,MI2021__leaf_width_cm,architecture,0.3351195996990933,5.98049986902347e-11,362,2,0.5307345231058624,embedding_mean_121;embedding_mean_406
sam3,2,5,NE2021__leaf_width_cm,architecture,0.3146910281132352,2.9029013655863418e-12,470,2,0.5307345231058624,embedding_mean_121;embedding_mean_406
sam3,3,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.20564184324518547,1.258164727020397e-10,960,1,,embedding_mean_491
sam3,3,2,NE2025_image__leaf_pixels,image_leaf_size,-0.20210133858490759,2.6319410906186325e-10,960,1,,embedding_mean_491
sam3,3,3,MI2020__panicle_length_cm,panicle,0.18131054557282122,0.0005664869580167952,358,1,,embedding_mean_491
sam3,3,4,NE2025__seed_mass_g,yield,-0.16510122792897353,7.32487283909158e-07,890,1,,embedding_mean_491
sam3,3,5,NE2021__seed_mass_g,yield,-0.16371397153300954,1.084079092726161e-05,715,1,,embedding_mean_491
