embedding_set,group_id,n_embeddings,median_within_group_abs_spearman,top_trait,top_trait_category,top_trait_rho,top_trait_p,top_trait_n,top_field_trait,top_field_trait_category,top_field_trait_rho,top_field_trait_p,top_field_trait_n,example_embeddings
sam3,72,140,0.34844351341047897,NE2025_image__percentUnhealthy,disease_severity,0.42876178055476766,2.9773378461437006e-44,961,NE2020__leaf_angle_median_degrees,architecture,0.21003883004990934,0.0001613280235328488,318,embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165
sam3,55,37,0.32775596502601223,NE2025_image__leaf_pixels,image_leaf_size,-0.360957257155639,6.472220692405095e-31,960,NE2020__stem_diameter_lower_mm,architecture,-0.28133967925633957,3.686944400132349e-07,316,embedding_mean_75;embedding_mean_153;embedding_mean_357;embedding_mean_595;embedding_mean_631;embedding_mean_714;embedding_mean_864;embedding_mean_988
sam3,31,27,0.38665458802885055,NE2025_image__human_score,disease_severity,-0.6431845581268576,4.050528478667935e-71,598,AL2022__days_to_flower,phenology,0.4039396678388781,1.5995172841634748e-15,359,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807
sam3,33,21,0.36019621234343985,NE2025_image__human_score,disease_severity,-0.3506955067336381,9.54813454041851e-19,598,AL2022__oil_pct,composition,0.2598694136465455,7.13874872898941e-07,354,embedding_mean_40;embedding_mean_123;embedding_mean_186;embedding_mean_332;embedding_mean_432;embedding_mean_494;embedding_mean_666;embedding_mean_674
sam3,74,15,0.438380544899602,NE2025_image__log_leaf_pixels,image_leaf_size,-0.8609837498629976,1.6259056395655726e-283,960,MI2020__leaf_width_cm,architecture,-0.5075737058835792,7.71445213626937e-25,358,embedding_mean_28;embedding_mean_277;embedding_mean_302;embedding_mean_373;embedding_mean_598;embedding_mean_680;embedding_mean_720;embedding_mean_855
sam3,17,11,0.5858415329321303,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6953137408924016,1.3957079384651054e-139,960,MI2020__leaf_width_cm,architecture,-0.36774421087172376,6.617819973635991e-13,358,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794
sam3,25,11,0.13763393594466186,NE2025_image__human_score,disease_severity,-0.3213617584482192,7.829723212947988e-16,598,NE2023__starch_pct,composition,0.28913740155458606,3.023177085625488e-07,303,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983
sam3,7,10,0.415868205360595,NE2025_image__leaf_pixels,image_leaf_size,-0.6311517003333935,8.226482216494375e-108,960,NE2020__stem_diameter_lower_mm,architecture,-0.3563719095959681,6.782731515694132e-11,316,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538
sam3,10,10,0.3021340342769742,NE2025_image__leaf_pixels,image_leaf_size,-0.777506433713533,3.5056004385003926e-195,960,MI2020__leaf_width_cm,architecture,-0.39249297343361683,1.2386303230130196e-14,358,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67
sam3,46,10,0.6132660261218487,NE2025_image__percentUnhealthy,disease_severity,0.6133870860176674,2.1483116474386683e-100,961,NE2025__seed_mass_g,yield,-0.4208438277040516,1.63348468997492e-39,890,embedding_mean_300;embedding_mean_474;embedding_mean_514;embedding_mean_619;embedding_mean_636;embedding_mean_739;embedding_mean_1003;embedding_std_117
sam3,56,10,0.24419116315328368,NE2025_image__percentUnhealthy,disease_severity,0.3758802971575137,1.298794499673756e-33,961,NE2020__leaf_angle_median_degrees,architecture,0.23746279743204377,1.8751780120288942e-05,318,embedding_mean_508;embedding_mean_900;embedding_std_16;embedding_std_42;embedding_std_150;embedding_std_245;embedding_std_642;embedding_std_827
sam3,62,8,0.23001207131387857,NE2025_image__percentUnhealthy,disease_severity,0.6082784559758951,2.564227764300805e-98,961,AL2022__days_to_flower,phenology,-0.24864387503570887,1.8439641619059275e-06,359,embedding_mean_408;embedding_mean_978;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847
sam3,67,7,0.6001030985055855,NE2025_image__leaf_pixels,image_leaf_size,0.7367610707425672,5.328915653471937e-165,960,MI2020__leaf_width_cm,architecture,0.3828474225812471,6.078246652977906e-14,358,embedding_mean_164;embedding_mean_454;embedding_mean_510;embedding_mean_549;embedding_mean_585;embedding_mean_927;embedding_std_679
sam3,28,6,0.27212037254188653,NE2025_image__percentUnhealthy,disease_severity,0.21208344236142174,3.100315063580935e-11,961,MI2021__stem_diameter_lower_mm,architecture,-0.19232617330277224,0.00023230127763661105,362,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939
sam3,44,6,0.32240560723363454,NE2025_image__log_leaf_pixels,image_leaf_size,-0.5152258738095198,3.3109705854721895e-66,960,NE2025__seed_mass_g,yield,-0.35953945690738,1.5039054856182442e-28,890,embedding_mean_99;embedding_mean_273;embedding_mean_660;embedding_mean_780;embedding_std_849;embedding_std_863
sam3,5,5,0.30433852539660977,NE2025_image__human_score,disease_severity,-0.17048483737755218,2.7767917251404592e-05,598,NE2023__chlorophyll_concentration_umol_per_m2,physiology,0.1515768962626913,0.004841471966857177,344,embedding_mean_234;embedding_mean_469;embedding_std_77;embedding_std_487;embedding_std_568
sam3,27,5,0.33576857975352226,NE2025_image__percentUnhealthy,disease_severity,0.551034910095673,2.0308648458530936e-77,961,NE2020__leaf_angle_median_degrees,architecture,0.32698573694027766,2.329067123356256e-09,318,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
sam3,41,5,0.704871495656443,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7429223256417129,3.4106838721682654e-169,960,NE2025__leaf_number,architecture,-0.47030429683035063,1.894341106631619e-50,895,embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808
sam3,52,5,0.5024782328632199,NE2025_image__leaf_pixels,image_leaf_size,0.5676481966533495,5.575139631238862e-83,960,NE2020__stem_diameter_lower_mm,architecture,0.37601739487653124,4.742162880389675e-12,316,embedding_mean_359;embedding_std_331;embedding_std_336;embedding_std_578;embedding_std_969
sam3,65,5,0.2964617640769517,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6580405671064253,3.56620733542874e-120,960,NE2020__stem_diameter_lower_mm,architecture,-0.3742693505640896,6.0532590443670126e-12,316,embedding_mean_107;embedding_std_149;embedding_std_305;embedding_std_374;embedding_std_927
sam3,6,4,0.3016370031421044,NE2025__seed_red_intensity,seed_color,0.1830472971465244,0.0012293269505300056,309,NE2025__seed_red_intensity,seed_color,0.1830472971465244,0.0012293269505300056,309,embedding_mean_801;embedding_std_393;embedding_std_736;embedding_std_791
sam3,13,4,0.28617614504749594,NE2025_image__leaf_pixels,image_leaf_size,0.812533807193755,8.91696499800431e-227,960,NE2020__leaf_width_cm,architecture,0.468137950156657,1.1387759970568382e-18,317,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
sam3,21,4,0.38749920985981373,NE2025_image__human_score,disease_severity,-0.36582619980161885,2.250054550484816e-20,598,NE2025__seed_red_intensity,seed_color,0.29626861574002583,1.1179598117703435e-07,309,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
sam3,29,4,0.5767795072486362,NE2025_image__human_score,disease_severity,0.5068253293450696,2.4220068521318148e-40,598,NE2025__seed_red_intensity,seed_color,-0.4209012834522584,1.0681207267884798e-14,309,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726
sam3,60,4,0.07796435752831035,NE2025_image__log_leaf_pixels,image_leaf_size,0.46987448940193977,6.953763226692029e-54,960,NE2025__days_to_flower,phenology,0.25175713446843634,2.4746640545822217e-14,890,embedding_mean_45;embedding_mean_270;embedding_mean_695;embedding_std_627
sam3,61,4,0.6895965495194968,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7539831206908083,4.940836355099331e-177,960,NE2025__leaf_number,architecture,-0.453376527490627,1.4051864866769511e-46,895,embedding_mean_907;embedding_mean_933;embedding_std_364;embedding_std_793
sam3,69,4,0.6889525607606817,NE2025_image__percentUnhealthy,disease_severity,0.5220603936923792,2.6757870145899615e-68,961,AL2022__days_to_flower,phenology,-0.323860926353901,3.27689081246796e-10,359,embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756
sam3,73,4,0.7525673623663682,NE2025_image__percentUnhealthy,disease_severity,0.4782274299735109,4.497397570853762e-56,961,NE2025__seed_mass_g,yield,-0.3641166284986348,2.734626004987871e-29,890,embedding_mean_80;embedding_mean_445;embedding_mean_690;embedding_std_1000
sam3,16,3,0.07594527639492447,NE2025_image__leaf_pixels,image_leaf_size,-0.7079574590809432,7.343195125422995e-147,960,MI2020__leaf_width_cm,architecture,-0.3999487907037884,3.4932904149203372e-15,358,embedding_std_298;embedding_std_399;embedding_std_802
sam3,18,3,0.2597538386277853,NE2025_image__leaf_pixels,image_leaf_size,0.6913221413829195,2.3147771991250573e-137,960,NE2021__leaf_width_cm,architecture,0.391566734003065,1.1339487370999443e-18,470,embedding_std_94;embedding_std_175;embedding_std_703
sam3,20,3,0.7625211580105274,NE2025_image__log_leaf_pixels,image_leaf_size,-0.8077680334487556,4.240703001021299e-222,960,MI2020__leaf_width_cm,architecture,-0.4100298304636645,5.993389307803716e-16,358,embedding_mean_537;embedding_mean_565;embedding_mean_932
sam3,22,3,0.5295087190575187,NE2025_image__leaf_pixels,image_leaf_size,0.5061869999451697,1.336493137990755e-63,960,MI2021__stem_diameter_lower_mm,architecture,0.2647581009003729,3.197071543082021e-07,362,embedding_mean_228;embedding_mean_272;embedding_mean_760
