trait,broad_sense_h2,embedding_stat,embedding_index,n_markers_tested,min_p,n_significant_effective_bonferroni,n_q_lt_0_05_within_trait,chunk,chunk_elapsed_seconds,chunk_elapsed_seconds_per_trait,effective_markers,effective_bonferroni_threshold,has_hit
embedding_mean_0,0.3862032458303773,mean,0,4920234,9.219510044503978e-09,1,171,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,True
embedding_mean_1,0.4083782131510918,mean,1,4920234,1.992447727434543e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_2,0.32914905529393174,mean,2,4920234,2.420633043996552e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_3,0.3081101486477737,mean,3,4920234,8.14033665759802e-09,3,99,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,True
embedding_mean_4,0.27391444216972044,mean,4,4920234,2.6532049557872626e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_5,0.3190946999137936,mean,5,4920234,5.704994187723897e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_6,0.3454996515947684,mean,6,4920234,2.751172787417377e-10,56,1214,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,True
embedding_mean_7,0.26919340552190857,mean,7,4920234,2.2903838366167085e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_8,0.4310517404353903,mean,8,4920234,3.4082625432751466e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_9,0.26882329804610305,mean,9,4920234,9.850094908487465e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_10,0.5609314076099133,mean,10,4920234,2.852999121482048e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_11,0.4753096437872502,mean,11,4920234,1.419190666824795e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_12,0.35899792523540663,mean,12,4920234,7.199818508579528e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_13,0.21588210000136168,mean,13,4920234,2.1989698712645297e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_14,0.13261269454477423,mean,14,4920234,3.057092656514736e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_15,0.2767106912141819,mean,15,4920234,2.3976581290044743e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_16,0.4265815844368679,mean,16,4920234,3.254382140932973e-08,0,613,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_17,0.2008190081317893,mean,17,4920234,1.1390973423177729e-08,1,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,True
embedding_mean_18,0.3139387981399402,mean,18,4920234,1.6275282757353258e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_19,0.4776875512480982,mean,19,4920234,5.482135334450516e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_20,0.21518764278443311,mean,20,4920234,7.160024354786146e-09,2,11,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,True
embedding_mean_21,0.3476788300063786,mean,21,4920234,1.6853187259376089e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_22,0.4407952446570841,mean,22,4920234,1.6900893274846302e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_23,0.3189081958270889,mean,23,4920234,1.834428968113113e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
embedding_mean_24,0.24577671796161257,mean,24,4920234,2.517778021362612e-08,0,193,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08,False
