trait,spearman,set,severity,abs_spearman,spearman_r2,stat,embedding_num
embedding_std_552,0.6686775402116548,all_sam3,human_score,0.6686775402116548,0.44712965278350925,std,552
embedding_mean_886,0.6564403855760267,all_sam3,human_score,0.6564403855760267,0.4309139798152026,mean,886
embedding_std_383,0.639372955500436,all_sam3,human_score,0.639372955500436,0.40879777622536256,std,383
embedding_std_930,0.6389658233878469,all_sam3,human_score,0.6389658233878469,0.4082773234577092,std,930
embedding_mean_637,-0.6337934496398083,all_sam3,human_score,0.6337934496398083,0.40169413680632826,mean,637
embedding_mean_546,0.6214674948277219,all_sam3,human_score,0.6214674948277219,0.38622184712744456,mean,546
embedding_mean_792,-0.6212520160388206,all_sam3,human_score,0.6212520160388206,0.38595406743229904,mean,792
embedding_std_968,0.6204592372125909,all_sam3,human_score,0.6204592372125909,0.38496966504243013,std,968
embedding_std_594,0.6150297524773639,all_sam3,human_score,0.6150297524773639,0.3782615964323675,std,594
embedding_mean_836,-0.612817388795536,all_sam3,human_score,0.612817388795536,0.3755451520101792,mean,836
embedding_mean_586,-0.6095543999633213,all_sam3,human_score,0.6095543999633213,0.37155656651464464,mean,586
embedding_mean_214,0.6062071844217665,all_sam3,human_score,0.6062071844217665,0.3674871504445656,mean,214
embedding_std_839,0.6041615034976718,all_sam3,human_score,0.6041615034976718,0.36501112230856736,std,839
embedding_mean_582,-0.6033891073855427,all_sam3,human_score,0.6033891073855427,0.36407841491152204,mean,582
embedding_std_691,0.6032382986581746,all_sam3,human_score,0.6032382986581746,0.36389644496800905,std,691
embedding_std_976,0.6004031423257108,all_sam3,human_score,0.6004031423257108,0.3604839333145877,std,976
embedding_mean_81,-0.5987860664086353,all_sam3,human_score,0.5987860664086353,0.3585447533251266,mean,81
embedding_std_971,0.5985449479186975,all_sam3,human_score,0.5985449479186975,0.3582560546789963,std,971
embedding_std_169,0.5952648547699535,all_sam3,human_score,0.5952648547699535,0.3543402473242938,std,169
embedding_std_918,0.595012282053947,all_sam3,human_score,0.595012282053947,0.3540396157950457,std,918
