feature_index,avg_fi,stat,embedding_num,trait
2000,0.007742750883886799,std,976,embedding_std_976
1576,0.00615925112607436,std,552,embedding_std_552
1954,0.0058143524280894,std,930,embedding_std_930
637,0.0057791248409312,mean,637,embedding_mean_637
1942,0.005620736567495081,std,918,embedding_std_918
1407,0.0055686257865546806,std,383,embedding_std_383
586,0.005524847582736399,mean,586,embedding_mean_586
968,0.004998900826398001,mean,968,embedding_mean_968
886,0.0047711330905166,mean,886,embedding_mean_886
656,0.00468892133393488,mean,656,embedding_mean_656
698,0.00457931822401208,mean,698,embedding_mean_698
210,0.0044734171214531795,mean,210,embedding_mean_210
836,0.00427122751918676,mean,836,embedding_mean_836
1992,0.004217086690758039,std,968,embedding_std_968
1156,0.00406403905617524,std,132,embedding_std_132
37,0.003996934474745301,mean,37,embedding_mean_37
68,0.00391362470553596,mean,68,embedding_mean_68
1711,0.0038244243711411602,std,687,embedding_std_687
1817,0.0038158247463138998,std,793,embedding_std_793
165,0.0038091259430950404,mean,165,embedding_mean_165
582,0.0037810981317638803,mean,582,embedding_mean_582
1845,0.00371100747990526,std,821,embedding_std_821
108,0.0036590210815776202,mean,108,embedding_mean_108
119,0.0035790956060098604,mean,119,embedding_mean_119
989,0.00355634267011408,mean,989,embedding_mean_989
1863,0.0035403639128004,std,839,embedding_std_839
514,0.00350004099755086,mean,514,embedding_mean_514
546,0.00342607082019504,mean,546,embedding_mean_546
1630,0.00341576636217244,std,606,embedding_std_606
984,0.0033798426514469403,mean,984,embedding_mean_984
792,0.0033790165274641204,mean,792,embedding_mean_792
2005,0.00337681457715214,std,981,embedding_std_981
1294,0.00333795490075938,std,270,embedding_std_270
1618,0.0033329859006610597,std,594,embedding_std_594
437,0.0033238540580468197,mean,437,embedding_mean_437
901,0.00329081910694188,mean,901,embedding_mean_901
129,0.00327963861153844,mean,129,embedding_mean_129
1591,0.0032420286417575795,std,567,embedding_std_567
930,0.0032380581538511604,mean,930,embedding_mean_930
2007,0.0032284379875344,std,983,embedding_std_983
139,0.00322831291899044,mean,139,embedding_mean_139
1190,0.0032259904926633803,std,166,embedding_std_166
214,0.0032109168378189204,mean,214,embedding_mean_214
1106,0.0032047767652352995,std,82,embedding_std_82
109,0.0031193407957559203,mean,109,embedding_mean_109
734,0.00309466225298,mean,734,embedding_mean_734
1541,0.00307947541853534,std,517,embedding_std_517
1987,0.0029598048675592804,std,963,embedding_std_963
426,0.00295355368075648,mean,426,embedding_mean_426
81,0.0029280922442976197,mean,81,embedding_mean_81
1350,0.00290281527566452,std,326,embedding_std_326
732,0.00287855081656916,mean,732,embedding_mean_732
365,0.002845921792023,mean,365,embedding_mean_365
1841,0.00283805344312352,std,817,embedding_std_817
433,0.00281030425823614,mean,433,embedding_mean_433
949,0.0027833844749014,mean,949,embedding_mean_949
1400,0.0027689478997267,std,376,embedding_std_376
1113,0.00276521182232446,std,89,embedding_std_89
1175,0.0027548819151658,std,151,embedding_std_151
1024,0.0027495176471024198,std,0,embedding_std_0
197,0.0027491531944879,mean,197,embedding_mean_197
237,0.0027488893700112803,mean,237,embedding_mean_237
616,0.00274606927621424,mean,616,embedding_mean_616
191,0.00274270803725306,mean,191,embedding_mean_191
561,0.0027392495934922398,mean,561,embedding_mean_561
20,0.00272910331091998,mean,20,embedding_mean_20
1193,0.0026857505624334004,std,169,embedding_std_169
517,0.0026795287653747796,mean,517,embedding_mean_517
1715,0.00267824533744182,std,691,embedding_std_691
1641,0.00262284977501282,std,617,embedding_std_617
275,0.00257908292916132,mean,275,embedding_mean_275
1389,0.0025773762359578003,std,365,embedding_std_365
619,0.00257511777379602,mean,619,embedding_mean_619
1366,0.00256365905393912,std,342,embedding_std_342
1152,0.00253660739572232,std,128,embedding_std_128
842,0.00252784410169656,mean,842,embedding_mean_842
560,0.00251073277395582,mean,560,embedding_mean_560
1600,0.00244871149345842,std,576,embedding_std_576
1352,0.00243879466567034,std,328,embedding_std_328
470,0.002401957070227,mean,470,embedding_mean_470
225,0.00239151945857106,mean,225,embedding_mean_225
661,0.00238982895983226,mean,661,embedding_mean_661
1100,0.00237456715980848,std,76,embedding_std_76
1706,0.00237041989893032,std,682,embedding_std_682
1997,0.00232956690484846,std,973,embedding_std_973
430,0.0023203983953944403,mean,430,embedding_mean_430
505,0.0023101314698279,mean,505,embedding_mean_505
1544,0.0022878435554164,std,520,embedding_std_520
950,0.0022807812864912404,mean,950,embedding_mean_950
1048,0.00227997742799054,std,24,embedding_std_24
316,0.0022713415048926195,mean,316,embedding_mean_316
1044,0.00226207854027942,std,20,embedding_std_20
1792,0.00224048157452314,std,768,embedding_std_768
1472,0.00223809479950546,std,448,embedding_std_448
1762,0.00222000001734198,std,738,embedding_std_738
633,0.00220850653452684,mean,633,embedding_mean_633
1995,0.0022038617601846796,std,971,embedding_std_971
854,0.0021994956131602397,mean,854,embedding_mean_854
1590,0.0021984133717296997,std,566,embedding_std_566
1807,0.0021875529848131405,std,783,embedding_std_783
913,0.00216719275185022,mean,913,embedding_mean_913
883,0.00213733710511066,mean,883,embedding_mean_883
1860,0.00212885155346196,std,836,embedding_std_836
1875,0.00212812929707916,std,851,embedding_std_851
166,0.00212147290215962,mean,166,embedding_mean_166
1264,0.00211938068976644,std,240,embedding_std_240
1105,0.0021111951480937796,std,81,embedding_std_81
1835,0.00210518127996744,std,811,embedding_std_811
122,0.00206236749050922,mean,122,embedding_mean_122
548,0.0020559749623305403,mean,548,embedding_mean_548
1009,0.00204920861710584,mean,1009,embedding_mean_1009
4,0.00201770101378324,mean,4,embedding_mean_4
629,0.00199466262226716,mean,629,embedding_mean_629
749,0.0019939172193663,mean,749,embedding_mean_749
1061,0.0019907653980046,std,37,embedding_std_37
1083,0.00196465204028466,std,59,embedding_std_59
1701,0.0019627818479288,std,677,embedding_std_677
267,0.00195646004115198,mean,267,embedding_mean_267
1022,0.0019487484222523595,mean,1022,embedding_mean_1022
875,0.0019482098955101001,mean,875,embedding_mean_875
683,0.0019466602901426397,mean,683,embedding_mean_683
115,0.00192569708148988,mean,115,embedding_mean_115
1764,0.0018765887443126402,std,740,embedding_std_740
1293,0.00186881985153858,std,269,embedding_std_269
106,0.0018583253940973401,mean,106,embedding_mean_106
719,0.0018493992477384602,mean,719,embedding_mean_719
600,0.00184724600024434,mean,600,embedding_mean_600
679,0.00180266984413914,mean,679,embedding_mean_679
1793,0.0017755823845985199,std,769,embedding_std_769
1713,0.0017628344277082798,std,689,embedding_std_689
657,0.0017451214269541399,mean,657,embedding_mean_657
817,0.00174408131950162,mean,817,embedding_mean_817
174,0.0016992909001863998,mean,174,embedding_mean_174
1931,0.0016969582758526599,std,907,embedding_std_907
334,0.00169690454912346,mean,334,embedding_mean_334
641,0.0016942573968611399,mean,641,embedding_mean_641
847,0.0016865908372067598,mean,847,embedding_mean_847
1559,0.0016854732623914198,std,535,embedding_std_535
142,0.0016724750958813602,mean,142,embedding_mean_142
1557,0.00164949956089918,std,533,embedding_std_533
938,0.00159532536309712,mean,938,embedding_mean_938
1133,0.00158225402325668,std,109,embedding_std_109
694,0.0015813782223415799,mean,694,embedding_mean_694
314,0.0015763801494696802,mean,314,embedding_mean_314
1682,0.00157344288678586,std,658,embedding_std_658
1809,0.00156232899290322,std,785,embedding_std_785
337,0.0015486931299404801,mean,337,embedding_mean_337
1003,0.0015409190766660402,mean,1003,embedding_mean_1003
181,0.0015374944827339,mean,181,embedding_mean_181
1524,0.00150642618456474,std,500,embedding_std_500
159,0.0014937794538214,mean,159,embedding_mean_159
158,0.00147209579938942,mean,158,embedding_mean_158
844,0.0014690911336458401,mean,844,embedding_mean_844
952,0.0014589454003850401,mean,952,embedding_mean_952
1786,0.00145557686863672,std,762,embedding_std_762
290,0.00145149360138654,mean,290,embedding_mean_290
1490,0.0014495628018424398,std,466,embedding_std_466
1017,0.00144895491575372,mean,1017,embedding_mean_1017
755,0.00143755521374794,mean,755,embedding_mean_755
819,0.0014328070837014001,mean,819,embedding_mean_819
1388,0.0014252551947644397,std,364,embedding_std_364
1121,0.00141308606309982,std,97,embedding_std_97
1343,0.00140528411571682,std,319,embedding_std_319
690,0.0013946984659155,mean,690,embedding_mean_690
768,0.0013921548660758402,mean,768,embedding_mean_768
955,0.0013912496732251599,mean,955,embedding_mean_955
1052,0.00138166903193058,std,28,embedding_std_28
150,0.00136464834953592,mean,150,embedding_mean_150
69,0.00135984389387044,mean,69,embedding_mean_69
577,0.0013431765750837599,mean,577,embedding_mean_577
1050,0.0013342469785877801,std,26,embedding_std_26
170,0.00132324204066542,mean,170,embedding_mean_170
843,0.0013185096854135998,mean,843,embedding_mean_843
1605,0.00130890730952282,std,581,embedding_std_581
1271,0.00130294770031194,std,247,embedding_std_247
1268,0.0013026071073165,std,244,embedding_std_244
779,0.00130046320851362,mean,779,embedding_mean_779
1581,0.00129271675225428,std,557,embedding_std_557
25,0.0012925322039737401,mean,25,embedding_mean_25
1837,0.0012919379867283999,std,813,embedding_std_813
72,0.00129159101956702,mean,72,embedding_mean_72
1049,0.00128736394124926,std,25,embedding_std_25
834,0.0012786961557041,mean,834,embedding_mean_834
503,0.00127752464368186,mean,503,embedding_mean_503
141,0.0012728294024812001,mean,141,embedding_mean_141
1421,0.00126854433728616,std,397,embedding_std_397
615,0.00126008536809376,mean,615,embedding_mean_615
1725,0.0012539382437641998,std,701,embedding_std_701
380,0.0012468641129947799,mean,380,embedding_mean_380
87,0.0012447622180809,mean,87,embedding_mean_87
2041,0.00124123941514212,std,1017,embedding_std_1017
636,0.00124101510255822,mean,636,embedding_mean_636
944,0.0012345896381092598,mean,944,embedding_mean_944
906,0.0012345023285439002,mean,906,embedding_mean_906
966,0.0012284961614809201,mean,966,embedding_mean_966
238,0.00122150596644368,mean,238,embedding_mean_238
462,0.00122128301040108,mean,462,embedding_mean_462
378,0.00121921627970228,mean,378,embedding_mean_378
602,0.0012166819244530801,mean,602,embedding_mean_602
57,0.0012147544097927,mean,57,embedding_mean_57
42,0.00120607604713594,mean,42,embedding_mean_42
1973,0.00119922250988094,std,949,embedding_std_949
562,0.0011870493988645398,mean,562,embedding_mean_562
1486,0.0011826480537550999,std,462,embedding_std_462
986,0.00116418674998438,mean,986,embedding_mean_986
10,0.0011630097612687399,mean,10,embedding_mean_10
860,0.0011604073032788198,mean,860,embedding_mean_860
1512,0.0011541828097215601,std,488,embedding_std_488
395,0.00115399521501832,mean,395,embedding_mean_395
344,0.0011509310067199202,mean,344,embedding_mean_344
1857,0.0011490305655458002,std,833,embedding_std_833
9,0.00114506860486606,mean,9,embedding_mean_9
1283,0.00114435960252512,std,259,embedding_std_259
1163,0.0011409592950544002,std,139,embedding_std_139
1638,0.00113044748779008,std,614,embedding_std_614
813,0.00112710404027078,mean,813,embedding_mean_813
1632,0.00112415384841648,std,608,embedding_std_608
1196,0.0011184989655853399,std,172,embedding_std_172
333,0.00111831254395516,mean,333,embedding_mean_333
976,0.0011182933316322401,mean,976,embedding_mean_976
1650,0.00111702069779276,std,626,embedding_std_626
283,0.00110905672986294,mean,283,embedding_mean_283
193,0.0011039555978140801,mean,193,embedding_mean_193
1619,0.00110138293855614,std,595,embedding_std_595
1256,0.00110044553163296,std,232,embedding_std_232
1039,0.00110024380007622,std,15,embedding_std_15
1691,0.00109998446847112,std,667,embedding_std_667
161,0.00109970586907228,mean,161,embedding_mean_161
355,0.0010983997109553,mean,355,embedding_mean_355
1613,0.00109725972023658,std,589,embedding_std_589
2002,0.00109406601843318,std,978,embedding_std_978
751,0.00109323360597468,mean,751,embedding_mean_751
76,0.0010917846295085798,mean,76,embedding_mean_76
144,0.00108665344269288,mean,144,embedding_mean_144
1351,0.0010854405004244601,std,327,embedding_std_327
1832,0.0010799390300152202,std,808,embedding_std_808
939,0.0010788916693218798,mean,939,embedding_mean_939
1185,0.00106807697571304,std,161,embedding_std_161
1634,0.00106511892481916,std,610,embedding_std_610
229,0.00106484195367996,mean,229,embedding_mean_229
866,0.0010582574775027,mean,866,embedding_mean_866
973,0.001055158838919,mean,973,embedding_mean_973
621,0.0010491412352637201,mean,621,embedding_mean_621
1370,0.00104501338618654,std,346,embedding_std_346
1399,0.00104211131956748,std,375,embedding_std_375
1275,0.0010373476083162798,std,251,embedding_std_251
64,0.00103716332014608,mean,64,embedding_mean_64
1816,0.0010333219806005199,std,792,embedding_std_792
1327,0.00102542905721962,std,303,embedding_std_303
1578,0.00101379027662124,std,554,embedding_std_554
738,0.00101015048980832,mean,738,embedding_mean_738
404,0.0010079553759033601,mean,404,embedding_mean_404
49,0.00099476415626782,mean,49,embedding_mean_49
155,0.00099427300805624,mean,155,embedding_mean_155
1476,0.0009929262817813401,std,452,embedding_std_452
1438,0.0009879561399018199,std,414,embedding_std_414
1051,0.0009805210174848801,std,27,embedding_std_27
180,0.00097673286140968,mean,180,embedding_mean_180
456,0.0009758593668691199,mean,456,embedding_mean_456
1759,0.0009703038177262,std,735,embedding_std_735
1436,0.00096933156543782,std,412,embedding_std_412
1596,0.00096564295693092,std,572,embedding_std_572
351,0.00096421024688058,mean,351,embedding_mean_351
1633,0.0009637576458791401,std,609,embedding_std_609
827,0.0009620206693694,mean,827,embedding_mean_827
255,0.0009617557519133,mean,255,embedding_mean_255
1426,0.0009468936806183,std,402,embedding_std_402
1948,0.0009450918056854,std,924,embedding_std_924
1145,0.00094492173315994,std,121,embedding_std_121
157,0.0009429289631630001,mean,157,embedding_mean_157
441,0.00094068161945154,mean,441,embedding_mean_441
691,0.00093833761863938,mean,691,embedding_mean_691
1604,0.0009360662590958,std,580,embedding_std_580
889,0.00093553129393334,mean,889,embedding_mean_889
958,0.0009343085926906601,mean,958,embedding_mean_958
2045,0.00093212673438696,std,1021,embedding_std_1021
1194,0.0009296828195073999,std,170,embedding_std_170
696,0.00092922439931054,mean,696,embedding_mean_696
300,0.0009235008332989199,mean,300,embedding_mean_300
1342,0.0009201346445580801,std,318,embedding_std_318
1372,0.0009187396605643001,std,348,embedding_std_348
1422,0.0009102475851646601,std,398,embedding_std_398
1149,0.00090824936059488,std,125,embedding_std_125
1220,0.0009015820920117601,std,196,embedding_std_196
746,0.0009013848495111599,mean,746,embedding_mean_746
1977,0.00089613657996484,std,953,embedding_std_953
163,0.0008863121695899,mean,163,embedding_mean_163
703,0.0008851767290528201,mean,703,embedding_mean_703
980,0.0008832971007589599,mean,980,embedding_mean_980
507,0.0008817807343887201,mean,507,embedding_mean_507
178,0.00087949682408526,mean,178,embedding_mean_178
1122,0.0008747114200858801,std,98,embedding_std_98
670,0.0008710303536783599,mean,670,embedding_mean_670
639,0.0008707548289394,mean,639,embedding_mean_639
1799,0.0008638454556061999,std,775,embedding_std_775
1409,0.0008595034052689,std,385,embedding_std_385
16,0.0008594955752892,mean,16,embedding_mean_16
1056,0.0008594738426435999,std,32,embedding_std_32
592,0.00085641041887374,mean,592,embedding_mean_592
1943,0.0008561270686674799,std,919,embedding_std_919
1960,0.0008448745247697399,std,936,embedding_std_936
1556,0.00084127382976558,std,532,embedding_std_532
1950,0.00083940702080662,std,926,embedding_std_926
327,0.00083882884948524,mean,327,embedding_mean_327
1180,0.0008367758451489999,std,156,embedding_std_156
581,0.0008348369693263601,mean,581,embedding_mean_581
1259,0.0008329521382617,std,235,embedding_std_235
240,0.0008291414436747,mean,240,embedding_mean_240
1085,0.0008277825495939601,std,61,embedding_std_61
1564,0.0008233551190327002,std,540,embedding_std_540
52,0.0008228912881909402,mean,52,embedding_mean_52
567,0.0008207256865804601,mean,567,embedding_mean_567
699,0.0008178297438402,mean,699,embedding_mean_699
1082,0.0008143943719434402,std,58,embedding_std_58
1002,0.00081156564315524,mean,1002,embedding_mean_1002
1110,0.0008095592503520801,std,86,embedding_std_86
328,0.0007939345693121,mean,328,embedding_mean_328
1215,0.00078295004598792,std,191,embedding_std_191
402,0.00078137774048528,mean,402,embedding_mean_402
1626,0.00077701912338682,std,602,embedding_std_602
2035,0.00077445860257316,std,1011,embedding_std_1011
1265,0.00077378453942804,std,241,embedding_std_241
1513,0.00077363681953536,std,489,embedding_std_489
1594,0.0007722042631455801,std,570,embedding_std_570
677,0.000769492182962,mean,677,embedding_mean_677
1867,0.0007690175227676,std,843,embedding_std_843
1401,0.0007682097647026,std,377,embedding_std_377
611,0.0007673801340837202,mean,611,embedding_mean_611
962,0.00076735344739496,mean,962,embedding_mean_962
1242,0.00076666107342704,std,218,embedding_std_218
403,0.0007639756366081201,mean,403,embedding_mean_403
151,0.0007622381661344,mean,151,embedding_mean_151
646,0.0007596210713664601,mean,646,embedding_mean_646
668,0.0007576995945305401,mean,668,embedding_mean_668
495,0.0007413154982699601,mean,495,embedding_mean_495
192,0.0007366931292768801,mean,192,embedding_mean_192
41,0.00073591499614704,mean,41,embedding_mean_41
541,0.0007354018929385401,mean,541,embedding_mean_541
1794,0.000729875783296,std,770,embedding_std_770
287,0.00072742987099386,mean,287,embedding_mean_287
800,0.00072604136779334,mean,800,embedding_mean_800
2038,0.0007238544706074199,std,1014,embedding_std_1014
771,0.00072137761737448,mean,771,embedding_mean_771
1765,0.0007201769377779,std,741,embedding_std_741
1996,0.0007186259261293199,std,972,embedding_std_972
1390,0.00071689991760448,std,366,embedding_std_366
1443,0.0007141134934598599,std,419,embedding_std_419
1662,0.00070633783606366,std,638,embedding_std_638
1562,0.00070568645942168,std,538,embedding_std_538
778,0.0007041581682250599,mean,778,embedding_mean_778
1071,0.00069849902231746,std,47,embedding_std_47
303,0.0006981395943063199,mean,303,embedding_mean_303
421,0.0006962250621581201,mean,421,embedding_mean_421
1207,0.0006930815347346599,std,183,embedding_std_183
739,0.0006909241673219799,mean,739,embedding_mean_739
1120,0.0006876349157818,std,96,embedding_std_96
888,0.00068534178304796,mean,888,embedding_mean_888
948,0.00068209415414932,mean,948,embedding_mean_948
241,0.0006806191678839999,mean,241,embedding_mean_241
1805,0.0006791305911476199,std,781,embedding_std_781
928,0.0006774752860660401,mean,928,embedding_mean_928
897,0.0006751368743187,mean,897,embedding_mean_897
922,0.0006741183700898401,mean,922,embedding_mean_922
1189,0.00067282356435346,std,165,embedding_std_165
1246,0.0006719552215000999,std,222,embedding_std_222
117,0.00067004812952446,mean,117,embedding_mean_117
3,0.0006692553871500601,mean,3,embedding_mean_3
640,0.00066680900340962,mean,640,embedding_mean_640
723,0.00066243712362246,mean,723,embedding_mean_723
132,0.0006608250938141601,mean,132,embedding_mean_132
450,0.0006599074263337199,mean,450,embedding_mean_450
187,0.00065765996388704,mean,187,embedding_mean_187
36,0.0006568616497534801,mean,36,embedding_mean_36
1257,0.00064900188848148,std,233,embedding_std_233
1903,0.0006453021814720799,std,879,embedding_std_879
445,0.00064329325427794,mean,445,embedding_mean_445
1944,0.00064153956472108,std,920,embedding_std_920
17,0.00063537811061596,mean,17,embedding_mean_17
1089,0.00063491061646222,std,65,embedding_std_65
1533,0.00063455077395424,std,509,embedding_std_509
1731,0.00063258650135778,std,707,embedding_std_707
8,0.00062865231979548,mean,8,embedding_mean_8
304,0.00062285836433672,mean,304,embedding_mean_304
416,0.0006214778174633,mean,416,embedding_mean_416
873,0.0006205802532187,mean,873,embedding_mean_873
318,0.00061841573313456,mean,318,embedding_mean_318
1530,0.0006180465473597,std,506,embedding_std_506
461,0.0006175339771967599,mean,461,embedding_mean_461
675,0.00061460617771926,mean,675,embedding_mean_675
835,0.0006090529749338601,mean,835,embedding_mean_835
937,0.00060819299925414,mean,937,embedding_mean_937
1477,0.0006044597593754399,std,453,embedding_std_453
789,0.0005981797349292999,mean,789,embedding_mean_789
612,0.0005962328643044799,mean,612,embedding_mean_612
414,0.00059399634710434,mean,414,embedding_mean_414
1856,0.00059232655375498,std,832,embedding_std_832
1424,0.0005904797453005,std,400,embedding_std_400
88,0.00058955602613158,mean,88,embedding_mean_88
570,0.00058917444018264,mean,570,embedding_mean_570
1536,0.00058564231017736,std,512,embedding_std_512
533,0.0005841535398671801,mean,533,embedding_mean_533
465,0.00058323704358262,mean,465,embedding_mean_465
1385,0.00058293735598692,std,361,embedding_std_361
1179,0.0005829242368475,std,155,embedding_std_155
705,0.00058197120010012,mean,705,embedding_mean_705
263,0.00058153253824234,mean,263,embedding_mean_263
198,0.00058008716638002,mean,198,embedding_mean_198
75,0.00057970786145336,mean,75,embedding_mean_75
1135,0.00057964784634584,std,111,embedding_std_111
1397,0.0005765899491990999,std,373,embedding_std_373
754,0.0005760432317099601,mean,754,embedding_mean_754
750,0.00057595877075194,mean,750,embedding_mean_750
828,0.00057472685345292,mean,828,embedding_mean_828
59,0.00057116729481656,mean,59,embedding_mean_59
923,0.0005707948496651001,mean,923,embedding_mean_923
756,0.0005639916577824001,mean,756,embedding_mean_756
1334,0.00056346655959388,std,310,embedding_std_310
407,0.00056332136617276,mean,407,embedding_mean_407
502,0.0005600902498870601,mean,502,embedding_mean_502
1094,0.0005539913698985601,std,70,embedding_std_70
822,0.00055343542415606,mean,822,embedding_mean_822
362,0.0005501741418257799,mean,362,embedding_mean_362
408,0.00054960381917126,mean,408,embedding_mean_408
1825,0.0005479447513465401,std,801,embedding_std_801
1502,0.00054744109126232,std,478,embedding_std_478
815,0.0005462240203559399,mean,815,embedding_mean_815
627,0.00054508770293074,mean,627,embedding_mean_627
765,0.00054439286546232,mean,765,embedding_mean_765
1859,0.0005420286065202,std,835,embedding_std_835
593,0.00053670531504146,mean,593,embedding_mean_593
7,0.00053571821422706,mean,7,embedding_mean_7
1507,0.00053521704748392,std,483,embedding_std_483
2003,0.0005342449944006999,std,979,embedding_std_979
1487,0.0005330421554290201,std,463,embedding_std_463
39,0.0005318699196825,mean,39,embedding_mean_39
682,0.00053115552658134,mean,682,embedding_mean_682
352,0.00052890400354524,mean,352,embedding_mean_352
693,0.00052881095639008,mean,693,embedding_mean_693
15,0.0005281493574171801,mean,15,embedding_mean_15
1940,0.0005279955373567799,std,916,embedding_std_916
841,0.0005260101163336399,mean,841,embedding_mean_841
1278,0.00052325478634272,std,254,embedding_std_254
474,0.00052315736346752,mean,474,embedding_mean_474
1239,0.0005225597990208,std,215,embedding_std_215
528,0.00052195232315824,mean,528,embedding_mean_528
1080,0.0005189924947234,std,56,embedding_std_56
556,0.0005185409616443,mean,556,embedding_mean_556
1961,0.00051555677371408,std,937,embedding_std_937
1898,0.0005141853748804,std,874,embedding_std_874
1642,0.00051279197835258,std,618,embedding_std_618
1547,0.0005099803675198799,std,523,embedding_std_523
38,0.00050882757251908,mean,38,embedding_mean_38
1535,0.00050671970884104,std,511,embedding_std_511
536,0.00050661547751722,mean,536,embedding_mean_536
573,0.0005059219679397401,mean,573,embedding_mean_573
1503,0.00050381645954524,std,479,embedding_std_479
479,0.0005017846718348401,mean,479,embedding_mean_479
767,0.00049987199482124,mean,767,embedding_mean_767
468,0.00049926102145554,mean,468,embedding_mean_468
260,0.0004988936533655999,mean,260,embedding_mean_260
1777,0.0004986558295501799,std,753,embedding_std_753
1279,0.00049810798551102,std,255,embedding_std_255
250,0.0004969595669267401,mean,250,embedding_mean_250
1694,0.00049447641206722,std,670,embedding_std_670
1790,0.0004942716654974799,std,766,embedding_std_766
1803,0.0004925972254446801,std,779,embedding_std_779
1637,0.0004913544150155601,std,613,embedding_std_613
1612,0.0004902700569787,std,588,embedding_std_588
1448,0.0004895660969799401,std,424,embedding_std_424
1109,0.00048924463503846,std,85,embedding_std_85
449,0.00048784200599680006,mean,449,embedding_mean_449
100,0.00048482122065298,mean,100,embedding_mean_100
1735,0.00048351337050754,std,711,embedding_std_711
494,0.00048275718520924003,mean,494,embedding_mean_494
757,0.00048169563377802006,mean,757,embedding_mean_757
975,0.0004810070317967399,mean,975,embedding_mean_975
1827,0.00047959923339456,std,803,embedding_std_803
711,0.00047925723265852,mean,711,embedding_mean_711
1249,0.00047464774926624,std,225,embedding_std_225
298,0.0004744209627612,mean,298,embedding_mean_298
233,0.00047435668472677994,mean,233,embedding_mean_233
1820,0.00047176015872494003,std,796,embedding_std_796
1566,0.00046929009022292,std,542,embedding_std_542
145,0.00046755128072411997,mean,145,embedding_mean_145
881,0.00046589350095371996,mean,881,embedding_mean_881
846,0.00046568892682218,mean,846,embedding_mean_846
185,0.00046548414167544,mean,185,embedding_mean_185
315,0.00046378924993072,mean,315,embedding_mean_315
249,0.00046192876829288,mean,249,embedding_mean_249
551,0.00046102616990274,mean,551,embedding_mean_551
1537,0.00046100028779272,std,513,embedding_std_513
1020,0.0004603801170775201,mean,1020,embedding_mean_1020
1871,0.00045892765398962,std,847,embedding_std_847
809,0.00045813316249378004,mean,809,embedding_mean_809
1330,0.00045728149861918,std,306,embedding_std_306
0,0.00045694671849144,mean,0,embedding_mean_0
584,0.00045601509334890005,mean,584,embedding_mean_584
11,0.00045515886685085997,mean,11,embedding_mean_11
308,0.00045334045453946,mean,308,embedding_mean_308
1679,0.00045316749272430003,std,655,embedding_std_655
