abs_spearman_cut,trait,module,module_size
0.7,embedding_std_976,14,2
0.7,embedding_std_552,12,13
0.7,embedding_std_930,12,13
0.7,embedding_mean_637,12,13
0.7,embedding_std_918,4,2
0.7,embedding_std_383,15,4
0.7,embedding_mean_586,12,13
0.7,embedding_mean_968,7,4
0.7,embedding_mean_886,6,1
0.7,embedding_mean_656,1,2
0.7,embedding_mean_698,21,2
0.7,embedding_mean_210,12,13
0.7,embedding_mean_836,7,4
0.7,embedding_std_968,7,4
0.7,embedding_std_132,5,2
0.7,embedding_mean_37,14,2
0.7,embedding_mean_68,13,3
0.7,embedding_std_687,10,1
0.7,embedding_std_793,17,1
0.7,embedding_mean_165,22,1
0.7,embedding_mean_582,13,3
0.7,embedding_std_821,8,1
0.7,embedding_mean_108,15,4
0.7,embedding_mean_119,19,1
0.7,embedding_mean_989,12,13
0.7,embedding_std_839,5,2
0.7,embedding_mean_514,13,3
0.7,embedding_mean_546,12,13
0.7,embedding_std_606,20,1
0.7,embedding_mean_984,12,13
0.7,embedding_mean_792,12,13
0.7,embedding_std_981,16,1
0.7,embedding_std_270,11,1
0.7,embedding_std_594,7,4
0.7,embedding_mean_437,12,13
0.7,embedding_mean_901,12,13
0.7,embedding_mean_129,12,13
0.7,embedding_std_567,2,1
0.7,embedding_mean_930,1,2
0.7,embedding_std_983,9,1
0.7,embedding_mean_139,18,1
0.7,embedding_std_166,21,2
0.7,embedding_mean_214,12,13
0.7,embedding_std_82,15,4
0.7,embedding_mean_109,15,4
0.7,embedding_mean_734,3,1
0.7,embedding_std_517,4,2
0.6,embedding_std_976,3,20
0.6,embedding_std_552,3,20
0.6,embedding_std_930,3,20
0.6,embedding_mean_637,3,20
0.6,embedding_std_918,2,11
0.6,embedding_std_383,4,4
0.6,embedding_mean_586,3,20
0.6,embedding_mean_968,2,11
0.6,embedding_mean_886,2,11
0.6,embedding_mean_656,1,4
0.6,embedding_mean_698,8,3
0.6,embedding_mean_210,3,20
0.6,embedding_mean_836,2,11
0.6,embedding_std_968,2,11
0.6,embedding_std_132,2,11
0.6,embedding_mean_37,3,20
0.6,embedding_mean_68,3,20
0.6,embedding_std_687,3,20
0.6,embedding_std_793,6,2
0.6,embedding_mean_165,8,3
0.6,embedding_mean_582,3,20
0.6,embedding_std_821,2,11
0.6,embedding_mean_108,4,4
0.6,embedding_mean_119,7,2
0.6,embedding_mean_989,3,20
0.6,embedding_std_839,2,11
0.6,embedding_mean_514,3,20
0.6,embedding_mean_546,3,20
0.6,embedding_std_606,7,2
0.6,embedding_mean_984,3,20
0.6,embedding_mean_792,3,20
0.6,embedding_std_981,5,1
0.6,embedding_std_270,3,20
0.6,embedding_std_594,2,11
0.6,embedding_mean_437,3,20
0.6,embedding_mean_901,3,20
0.6,embedding_mean_129,3,20
0.6,embedding_std_567,1,4
0.6,embedding_mean_930,1,4
0.6,embedding_std_983,2,11
0.6,embedding_mean_139,6,2
0.6,embedding_std_166,8,3
0.6,embedding_mean_214,3,20
0.6,embedding_std_82,4,4
0.6,embedding_mean_109,4,4
0.6,embedding_mean_734,1,4
0.6,embedding_std_517,2,11
0.5,embedding_std_976,1,40
0.5,embedding_std_552,1,40
0.5,embedding_std_930,1,40
0.5,embedding_mean_637,1,40
0.5,embedding_std_918,1,40
0.5,embedding_std_383,1,40
0.5,embedding_mean_586,1,40
0.5,embedding_mean_968,1,40
0.5,embedding_mean_886,1,40
0.5,embedding_mean_656,1,40
0.5,embedding_mean_698,2,7
0.5,embedding_mean_210,1,40
0.5,embedding_mean_836,1,40
0.5,embedding_std_968,1,40
0.5,embedding_std_132,1,40
0.5,embedding_mean_37,1,40
0.5,embedding_mean_68,1,40
0.5,embedding_std_687,1,40
0.5,embedding_std_793,2,7
0.5,embedding_mean_165,2,7
0.5,embedding_mean_582,1,40
0.5,embedding_std_821,1,40
0.5,embedding_mean_108,1,40
0.5,embedding_mean_119,2,7
0.5,embedding_mean_989,1,40
0.5,embedding_std_839,1,40
0.5,embedding_mean_514,1,40
0.5,embedding_mean_546,1,40
0.5,embedding_std_606,2,7
0.5,embedding_mean_984,1,40
0.5,embedding_mean_792,1,40
0.5,embedding_std_981,1,40
0.5,embedding_std_270,1,40
0.5,embedding_std_594,1,40
0.5,embedding_mean_437,1,40
0.5,embedding_mean_901,1,40
0.5,embedding_mean_129,1,40
0.5,embedding_std_567,1,40
0.5,embedding_mean_930,1,40
0.5,embedding_std_983,1,40
0.5,embedding_mean_139,2,7
0.5,embedding_std_166,2,7
0.5,embedding_mean_214,1,40
0.5,embedding_std_82,1,40
0.5,embedding_mean_109,1,40
0.5,embedding_mean_734,1,40
0.5,embedding_std_517,1,40
0.4,embedding_std_976,1,47
0.4,embedding_std_552,1,47
0.4,embedding_std_930,1,47
0.4,embedding_mean_637,1,47
0.4,embedding_std_918,1,47
0.4,embedding_std_383,1,47
0.4,embedding_mean_586,1,47
0.4,embedding_mean_968,1,47
0.4,embedding_mean_886,1,47
0.4,embedding_mean_656,1,47
0.4,embedding_mean_698,1,47
0.4,embedding_mean_210,1,47
0.4,embedding_mean_836,1,47
0.4,embedding_std_968,1,47
0.4,embedding_std_132,1,47
0.4,embedding_mean_37,1,47
0.4,embedding_mean_68,1,47
0.4,embedding_std_687,1,47
0.4,embedding_std_793,1,47
0.4,embedding_mean_165,1,47
0.4,embedding_mean_582,1,47
0.4,embedding_std_821,1,47
0.4,embedding_mean_108,1,47
0.4,embedding_mean_119,1,47
0.4,embedding_mean_989,1,47
0.4,embedding_std_839,1,47
0.4,embedding_mean_514,1,47
0.4,embedding_mean_546,1,47
0.4,embedding_std_606,1,47
0.4,embedding_mean_984,1,47
0.4,embedding_mean_792,1,47
0.4,embedding_std_981,1,47
0.4,embedding_std_270,1,47
0.4,embedding_std_594,1,47
0.4,embedding_mean_437,1,47
0.4,embedding_mean_901,1,47
0.4,embedding_mean_129,1,47
0.4,embedding_std_567,1,47
0.4,embedding_mean_930,1,47
0.4,embedding_std_983,1,47
0.4,embedding_mean_139,1,47
0.4,embedding_std_166,1,47
0.4,embedding_mean_214,1,47
0.4,embedding_std_82,1,47
0.4,embedding_mean_109,1,47
0.4,embedding_mean_734,1,47
0.4,embedding_std_517,1,47
