trait1,trait2,spearman,abs_spearman
embedding_std_552,embedding_mean_214,0.8517525461443559,0.8517525461443559
embedding_mean_637,embedding_mean_437,0.8447207142610382,0.8447207142610382
embedding_mean_637,embedding_mean_901,0.8420631626740953,0.8420631626740953
embedding_std_930,embedding_mean_637,-0.8399573469651417,0.8399573469651417
embedding_std_383,embedding_mean_109,-0.8357739881997169,0.8357739881997169
embedding_std_552,embedding_std_930,0.832279699282279,0.832279699282279
embedding_mean_637,embedding_mean_214,-0.8280384363397827,0.8280384363397827
embedding_std_930,embedding_mean_214,0.8265744172787958,0.8265744172787958
embedding_std_552,embedding_mean_582,-0.8260109112697754,0.8260109112697754
embedding_std_552,embedding_std_132,0.8244881226803259,0.8244881226803259
embedding_mean_637,embedding_mean_546,-0.8226318492985144,0.8226318492985144
embedding_std_82,embedding_mean_109,-0.8211680161528654,0.8211680161528654
embedding_mean_586,embedding_mean_437,0.820326282770198,0.820326282770198
embedding_std_552,embedding_mean_637,-0.8187512181679983,0.8187512181679983
embedding_mean_586,embedding_mean_214,-0.8176229993904005,0.8176229993904005
embedding_mean_546,embedding_mean_214,0.8085690677846646,0.8085690677846646
embedding_std_552,embedding_std_968,0.80012531369833,0.80012531369833
embedding_mean_582,embedding_mean_514,-0.799419815695027,0.799419815695027
embedding_mean_637,embedding_mean_210,-0.7982462842791546,0.7982462842791546
embedding_mean_68,embedding_mean_514,-0.7969018561043679,0.7969018561043679
embedding_mean_210,embedding_mean_437,-0.7923836874772634,0.7923836874772634
embedding_std_552,embedding_std_383,0.7904885206067547,0.7904885206067547
embedding_std_383,embedding_std_82,0.7885559915138775,0.7885559915138775
embedding_std_976,embedding_std_930,0.7878556247739016,0.7878556247739016
embedding_std_930,embedding_mean_792,-0.7874106144407271,0.7874106144407271
embedding_std_552,embedding_mean_792,-0.7863793893850725,0.7863793893850725
embedding_std_930,embedding_mean_546,0.7860053108237408,0.7860053108237408
embedding_std_552,embedding_mean_546,0.7845435903523866,0.7845435903523866
embedding_mean_637,embedding_mean_836,0.7845316106440655,0.7845316106440655
embedding_mean_582,embedding_mean_214,-0.7835650300415524,0.7835650300415524
embedding_mean_637,embedding_mean_586,0.7833520555712438,0.7833520555712438
embedding_mean_586,embedding_mean_129,-0.7826918330231477,0.7826918330231477
embedding_mean_637,embedding_mean_656,-0.781819082201554,0.781819082201554
embedding_std_552,embedding_mean_586,-0.7790484028216135,0.7790484028216135
embedding_mean_586,embedding_mean_989,-0.7758000596145982,0.7758000596145982
embedding_std_930,embedding_mean_586,-0.7755287009676184,0.7755287009676184
embedding_mean_968,embedding_std_968,0.7735805313244021,0.7735805313244021
embedding_mean_546,embedding_mean_984,-0.7724346336883054,0.7724346336883054
embedding_mean_901,embedding_mean_214,-0.7721531950497303,0.7721531950497303
embedding_mean_637,embedding_mean_582,0.7716508856094024,0.7716508856094024
embedding_mean_437,embedding_mean_214,-0.7705470048396805,0.7705470048396805
embedding_std_552,embedding_std_594,0.7685821467596748,0.7685821467596748
embedding_std_552,embedding_mean_984,-0.7681869853990206,0.7681869853990206
embedding_std_383,embedding_std_821,0.766805580353657,0.766805580353657
embedding_mean_586,embedding_mean_984,0.7662423177247154,0.7662423177247154
embedding_mean_586,embedding_mean_792,0.7662195583070726,0.7662195583070726
embedding_mean_836,embedding_std_968,-0.7657395620875764,0.7657395620875764
embedding_mean_437,embedding_mean_901,0.764999176226039,0.764999176226039
embedding_mean_37,embedding_mean_214,0.7619470548272445,0.7619470548272445
embedding_std_930,embedding_std_383,0.7612098667095196,0.7612098667095196
embedding_std_968,embedding_std_839,0.7604052386480263,0.7604052386480263
embedding_mean_210,embedding_std_687,0.7601168095927446,0.7601168095927446
embedding_mean_437,embedding_mean_129,-0.758382429067045,0.758382429067045
embedding_mean_989,embedding_mean_129,0.7576377637724562,0.7576377637724562
embedding_mean_656,embedding_mean_582,-0.755699282008486,0.755699282008486
embedding_std_552,embedding_mean_901,-0.7556718882285101,0.7556718882285101
embedding_std_930,embedding_mean_968,0.7555767232374364,0.7555767232374364
embedding_std_930,embedding_mean_984,-0.7552748102497356,0.7552748102497356
embedding_mean_656,embedding_mean_930,0.7552511584384707,0.7552511584384707
embedding_mean_637,embedding_mean_129,-0.755150726972915,0.755150726972915
embedding_std_930,embedding_std_132,0.753962383175027,0.753962383175027
embedding_std_552,embedding_mean_109,-0.7521689525577184,0.7521689525577184
embedding_mean_656,embedding_mean_901,-0.7518166903162244,0.7518166903162244
embedding_std_383,embedding_mean_984,-0.7513706591388307,0.7513706591388307
embedding_std_930,embedding_mean_437,-0.7504144897952423,0.7504144897952423
embedding_std_976,embedding_mean_37,0.7495513761487117,0.7495513761487117
embedding_mean_656,embedding_mean_210,0.7479666811320067,0.7479666811320067
embedding_std_976,embedding_std_552,0.7475963580605014,0.7475963580605014
embedding_std_383,embedding_std_983,0.7475941473581194,0.7475941473581194
embedding_mean_546,embedding_mean_437,-0.7475140381291401,0.7475140381291401
embedding_mean_930,embedding_std_517,0.7449855962937,0.7449855962937
embedding_mean_984,embedding_mean_214,-0.7444655708118058,0.7444655708118058
embedding_std_968,embedding_std_132,0.7443180182587792,0.7443180182587792
embedding_mean_108,embedding_std_82,-0.7442550369028424,0.7442550369028424
embedding_mean_792,embedding_mean_214,-0.7441209513808406,0.7441209513808406
embedding_mean_210,embedding_mean_139,-0.7437843364502434,0.7437843364502434
embedding_mean_637,embedding_std_968,-0.742409719004854,0.742409719004854
embedding_std_930,embedding_mean_210,0.742311163594072,0.742311163594072
embedding_mean_989,embedding_mean_214,0.7415554988720348,0.7415554988720348
embedding_mean_984,embedding_mean_792,0.7410639015354511,0.7410639015354511
embedding_mean_586,embedding_mean_546,-0.738895783906614,0.738895783906614
embedding_mean_968,embedding_mean_836,-0.7378200608598929,0.7378200608598929
embedding_std_552,embedding_mean_968,0.7377325792426945,0.7377325792426945
embedding_mean_586,embedding_mean_210,-0.7372579542863255,0.7372579542863255
embedding_std_930,embedding_std_821,0.7364723774765529,0.7364723774765529
embedding_std_552,embedding_mean_836,-0.7359009886572038,0.7359009886572038
embedding_std_383,embedding_mean_546,0.7355677573857572,0.7355677573857572
embedding_mean_989,embedding_mean_792,-0.7352171650020258,0.7352171650020258
embedding_std_918,embedding_mean_836,-0.7351157836781071,0.7351157836781071
embedding_std_930,embedding_mean_836,-0.7350858884917663,0.7350858884917663
embedding_std_930,embedding_std_968,0.7350396834598696,0.7350396834598696
embedding_std_132,embedding_std_839,0.7312060213042751,0.7312060213042751
embedding_mean_210,embedding_mean_129,0.7310383324300102,0.7310383324300102
embedding_std_383,embedding_std_839,0.7305089199136893,0.7305089199136893
embedding_mean_656,embedding_std_567,0.728984177523052,0.728984177523052
embedding_mean_586,embedding_std_793,-0.7286386251351182,0.7286386251351182
embedding_std_132,embedding_mean_214,0.7276562856725055,0.7276562856725055
embedding_mean_637,embedding_mean_968,-0.7275229843752018,0.7275229843752018
embedding_mean_129,embedding_mean_214,0.7273591963427546,0.7273591963427546
embedding_mean_582,embedding_mean_984,0.7272139863229861,0.7272139863229861
embedding_std_383,embedding_std_132,0.7262472603684815,0.7262472603684815
embedding_std_930,embedding_std_594,0.7259905383290159,0.7259905383290159
embedding_std_821,embedding_std_839,0.7256985802625923,0.7256985802625923
embedding_std_552,embedding_mean_514,0.7250670089582123,0.7250670089582123
embedding_mean_656,embedding_mean_214,0.7238873761389765,0.7238873761389765
embedding_mean_984,embedding_mean_109,0.7237373154190272,0.7237373154190272
embedding_std_552,embedding_std_82,0.7233844007837109,0.7233844007837109
embedding_mean_37,embedding_mean_546,0.7228378739154628,0.7228378739154628
embedding_std_383,embedding_mean_792,-0.7225915225715756,0.7225915225715756
embedding_mean_68,embedding_mean_582,0.7221108469160262,0.7221108469160262
embedding_mean_586,embedding_mean_656,-0.7218711952848625,0.7218711952848625
embedding_std_976,embedding_mean_836,-0.7215748327150691,0.7215748327150691
embedding_mean_656,embedding_mean_734,0.7207647083201305,0.7207647083201305
embedding_std_968,embedding_mean_214,0.7203091008126934,0.7203091008126934
embedding_std_552,embedding_mean_37,0.7198447451435365,0.7198447451435365
embedding_std_918,embedding_std_968,0.719268387314246,0.719268387314246
embedding_std_930,embedding_mean_37,0.7189351222400108,0.7189351222400108
embedding_std_552,embedding_std_839,0.7186236701053342,0.7186236701053342
embedding_mean_586,embedding_mean_139,0.7185531473472349,0.7185531473472349
embedding_std_968,embedding_std_821,0.7185521636860832,0.7185521636860832
embedding_std_968,embedding_std_270,0.7182549188635042,0.7182549188635042
embedding_mean_586,embedding_mean_582,0.7179314430768813,0.7179314430768813
embedding_mean_989,embedding_mean_984,-0.7176938669369447,0.7176938669369447
embedding_std_383,embedding_std_968,0.7176646444260993,0.7176646444260993
embedding_mean_836,embedding_std_517,-0.717493064850853,0.717493064850853
embedding_mean_210,embedding_mean_901,-0.7172028679097214,0.7172028679097214
embedding_mean_586,embedding_std_968,-0.7170577964813866,0.7170577964813866
embedding_mean_514,embedding_std_82,0.7168118676723583,0.7168118676723583
embedding_mean_698,embedding_std_166,-0.7164195288445618,0.7164195288445618
embedding_mean_886,embedding_std_968,0.7164024651968177,0.7164024651968177
embedding_mean_836,embedding_std_270,-0.7163395210239487,0.7163395210239487
embedding_mean_886,embedding_std_839,0.7159414391023494,0.7159414391023494
embedding_std_839,embedding_std_594,0.7149548573897527,0.7149548573897527
embedding_mean_437,embedding_mean_139,0.7145829591082933,0.7145829591082933
embedding_mean_586,embedding_mean_901,0.714394471378131,0.714394471378131
embedding_mean_637,embedding_mean_734,-0.7141601031228436,0.7141601031228436
embedding_mean_968,embedding_std_821,0.713878596878691,0.713878596878691
embedding_mean_656,embedding_mean_437,-0.7132751224522923,0.7132751224522923
embedding_std_968,embedding_std_594,0.7122602883688863,0.7122602883688863
embedding_mean_637,embedding_mean_37,-0.7103545953099712,0.7103545953099712
