trait,avg_fi,stat,embedding_num,n_human,spearman_human,abs_spearman_human,spearman_human_r2,pearson_human,pearson_human_r2,n_exg,spearman_exg,abs_spearman_exg,spearman_exg_r2,pearson_exg,pearson_exg_r2,severity_lm_r2_human_exg,n_severity_lm,residual_fraction_after_human_exg
embedding_std_976,0.007742750883886799,std,976,598,0.6004031423257108,0.6004031423257108,0.3604839333145877,0.6324896491914958,0.40004315633438137,961,0.6409356976986859,0.6409356976986859,0.4107985685845012,0.7187779628247352,0.5166417598424764,0.5959920953137718,598,0.40400790468622816
embedding_std_552,0.00615925112607436,std,552,598,0.6686775402116548,0.6686775402116548,0.44712965278350925,0.6474067632516528,0.4191355171039816,961,0.628208329155872,0.628208329155872,0.3946457048208124,0.5036318972535172,0.2536450879311773,0.4459649072036168,598,0.5540350927963832
embedding_std_930,0.0058143524280894,std,930,598,0.6389658233878469,0.6389658233878469,0.4082773234577092,0.6484268064827698,0.42045732336544345,961,0.6415147225680059,0.6415147225680059,0.4115411392715056,0.6255373114336673,0.3912969279956609,0.5184886847474091,598,0.48151131525259094
embedding_mean_637,0.0057791248409312,mean,637,598,-0.6337934496398083,0.6337934496398083,0.40169413680632826,-0.6452382483769887,0.4163323971686046,961,-0.630011809342266,0.630011809342266,0.39691487991071567,-0.5705754466659068,0.325556340337999,0.4798273654537246,598,0.5201726345462754
embedding_std_918,0.005620736567495081,std,918,598,0.595012282053947,0.595012282053947,0.3540396157950457,0.6155329914312434,0.37888086354029515,961,0.591060267735664,0.591060267735664,0.34935224009575483,0.6074959217871496,0.3690512949880186,0.4742215111941447,598,0.5257784888058553
embedding_std_383,0.0055686257865546806,std,383,598,0.639372955500436,0.639372955500436,0.40879777622536256,0.6028713084268692,0.36345381452432524,961,0.6054913306325806,0.6054913306325806,0.3666197514712131,0.48086965246783625,0.23123562266453762,0.39212329136164725,598,0.6078767086383527
embedding_mean_586,0.005524847582736399,mean,586,598,-0.6095543999633213,0.6095543999633213,0.37155656651464464,-0.6275294656826912,0.3937932303000039,961,-0.6521161390806277,0.6521161390806277,0.42525545884942456,-0.6621131779623752,0.43839386043143597,0.5335582371094287,598,0.46644176289057127
embedding_mean_968,0.004998900826398001,mean,968,598,0.5787173986324887,0.5787173986324887,0.33491382747995485,0.5992815013326319,0.3591383178394933,961,0.5772405857374271,0.5772405857374271,0.3332066938224879,0.5685933435749517,0.3232983903577431,0.44615919429409545,598,0.5538408057059045
embedding_mean_886,0.0047711330905166,mean,886,598,0.6564403855760267,0.6564403855760267,0.4309139798152026,0.6267857085669989,0.39286032446383484,961,0.5713241647550625,0.5713241647550625,0.32641130123306983,0.4333924189876547,0.18782898883597082,0.4093318101613215,598,0.5906681898386785
embedding_mean_656,0.00468892133393488,mean,656,598,0.5149357204974695,0.5149357204974695,0.26515879624424804,0.5180903429093724,0.26841760341595106,961,0.5247328379692393,0.5247328379692393,0.27534455124325197,0.4588191007008315,0.21051496716791973,0.3002301148098574,598,0.6997698851901426
