feature_index,avg_fi,stat,embedding_num,trait
2000,0.007742750883886799,std,976,embedding_std_976
1576,0.00615925112607436,std,552,embedding_std_552
1954,0.0058143524280894,std,930,embedding_std_930
637,0.0057791248409312,mean,637,embedding_mean_637
1942,0.005620736567495081,std,918,embedding_std_918
1407,0.0055686257865546806,std,383,embedding_std_383
586,0.005524847582736399,mean,586,embedding_mean_586
968,0.004998900826398001,mean,968,embedding_mean_968
886,0.0047711330905166,mean,886,embedding_mean_886
656,0.00468892133393488,mean,656,embedding_mean_656
698,0.00457931822401208,mean,698,embedding_mean_698
210,0.0044734171214531795,mean,210,embedding_mean_210
836,0.00427122751918676,mean,836,embedding_mean_836
1992,0.004217086690758039,std,968,embedding_std_968
1156,0.00406403905617524,std,132,embedding_std_132
37,0.003996934474745301,mean,37,embedding_mean_37
68,0.00391362470553596,mean,68,embedding_mean_68
1711,0.0038244243711411602,std,687,embedding_std_687
1817,0.0038158247463138998,std,793,embedding_std_793
165,0.0038091259430950404,mean,165,embedding_mean_165
582,0.0037810981317638803,mean,582,embedding_mean_582
1845,0.00371100747990526,std,821,embedding_std_821
108,0.0036590210815776202,mean,108,embedding_mean_108
119,0.0035790956060098604,mean,119,embedding_mean_119
989,0.00355634267011408,mean,989,embedding_mean_989
1863,0.0035403639128004,std,839,embedding_std_839
514,0.00350004099755086,mean,514,embedding_mean_514
546,0.00342607082019504,mean,546,embedding_mean_546
1630,0.00341576636217244,std,606,embedding_std_606
984,0.0033798426514469403,mean,984,embedding_mean_984
792,0.0033790165274641204,mean,792,embedding_mean_792
2005,0.00337681457715214,std,981,embedding_std_981
1294,0.00333795490075938,std,270,embedding_std_270
1618,0.0033329859006610597,std,594,embedding_std_594
437,0.0033238540580468197,mean,437,embedding_mean_437
901,0.00329081910694188,mean,901,embedding_mean_901
129,0.00327963861153844,mean,129,embedding_mean_129
1591,0.0032420286417575795,std,567,embedding_std_567
930,0.0032380581538511604,mean,930,embedding_mean_930
2007,0.0032284379875344,std,983,embedding_std_983
139,0.00322831291899044,mean,139,embedding_mean_139
1190,0.0032259904926633803,std,166,embedding_std_166
214,0.0032109168378189204,mean,214,embedding_mean_214
1106,0.0032047767652352995,std,82,embedding_std_82
109,0.0031193407957559203,mean,109,embedding_mean_109
734,0.00309466225298,mean,734,embedding_mean_734
1541,0.00307947541853534,std,517,embedding_std_517
