cluster025,axis_id,severity_related,severity_class,cluster_type,n_embeddings,n_loci,has_validated_locus,has_validated_or_proposed_locus,median_max_abs_severity_r,max_abs_severity_r,axis_spearman_abs_r_with_human_exg_anchor,axis_orientation,example_embeddings,reported_candidate_genes
1,cluster025_1,True,severity_correlated,multi_trait,2,2,False,False,0.5153027692123389,0.5374738932612044,0.5686043475545447,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_430;embedding_mean_746,
2,cluster025_2,False,not_severity_correlated,multi_trait,2,4,False,False,0.0892829399756928,0.1142147182885729,0.05879232287421888,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_121;embedding_mean_406,
3,cluster025_3,False,not_severity_correlated,singleton,1,1,False,False,0.1305537502861933,0.1305537502861933,0.12774075630669307,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_491,
4,cluster025_4,False,not_severity_correlated,multi_trait,2,4,False,False,0.2599894439732541,0.3142473580775868,0.29541403871973754,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_33;embedding_mean_391,
5,cluster025_5,False,not_severity_correlated,multi_trait,5,6,False,False,0.1097000128068866,0.2709554587102165,0.13070811873674262,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_234;embedding_mean_469;embedding_std_77;embedding_std_487;embedding_std_568,
6,cluster025_6,False,not_severity_correlated,multi_trait,4,5,False,False,0.1564205799853926,0.2237939587520794,0.04637278440824734,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_801;embedding_std_393;embedding_std_736;embedding_std_791,
7,cluster025_7,True,severity_correlated,multi_trait,10,13,False,False,0.3641946667552038,0.5611066769364046,0.47705529506820193,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538;embedding_std_620;embedding_std_803,
8,cluster025_8,False,not_severity_correlated,multi_trait,2,3,False,False,0.1373562606864456,0.1385445429416089,0.19458942883031513,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_743;embedding_mean_838,
9,cluster025_9,False,not_severity_correlated,multi_trait,2,4,False,True,0.2443765183285233,0.2784345519052386,0.26698366213375835,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_953;embedding_std_184,Sobic.007G163100
10,cluster025_10,False,not_severity_correlated,multi_trait,10,13,False,True,0.1995315593226356,0.4425233901114951,0.07881852913682598,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67;embedding_std_574;embedding_std_746,Sobic.007G163100
11,cluster025_11,False,not_severity_correlated,singleton,1,6,False,True,0.1927473128460398,0.1927473128460398,0.2144347198283217,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_245,Sobic.007G163100
