axis_id,module,analysis,similarity_threshold
cluster025_1,2,raw,0.4
cluster025_7,4,raw,0.4
cluster025_13,4,raw,0.4
cluster025_14,4,raw,0.4
cluster025_21,4,raw,0.4
cluster025_27,4,raw,0.4
cluster025_29,4,raw,0.4
cluster025_30,4,raw,0.4
cluster025_31,4,raw,0.4
cluster025_32,4,raw,0.4
cluster025_33,2,raw,0.4
cluster025_40,4,raw,0.4
cluster025_41,4,raw,0.4
cluster025_43,4,raw,0.4
cluster025_45,4,raw,0.4
cluster025_46,4,raw,0.4
cluster025_47,4,raw,0.4
cluster025_50,2,raw,0.4
cluster025_57,4,raw,0.4
cluster025_61,4,raw,0.4
cluster025_62,2,raw,0.4
cluster025_63,2,raw,0.4
cluster025_64,2,raw,0.4
cluster025_66,2,raw,0.4
cluster025_69,2,raw,0.4
cluster025_71,2,raw,0.4
cluster025_72,2,raw,0.4
cluster025_73,4,raw,0.4
cluster025_74,4,raw,0.4
cluster025_75,1,raw,0.4
cluster025_76,4,raw,0.4
cluster025_80,4,raw,0.4
cluster025_81,4,raw,0.4
cluster025_82,2,raw,0.4
cluster025_86,2,raw,0.4
cluster025_104,4,raw,0.4
cluster025_109,4,raw,0.4
cluster025_110,4,raw,0.4
cluster025_111,1,raw,0.4
cluster025_112,4,raw,0.4
cluster025_119,4,raw,0.4
cluster025_120,4,raw,0.4
cluster025_121,2,raw,0.4
cluster025_122,4,raw,0.4
cluster025_132,4,raw,0.4
cluster025_136,4,raw,0.4
cluster025_154,4,raw,0.4
cluster025_156,3,raw,0.4
cluster025_164,4,raw,0.4
cluster025_166,4,raw,0.4
cluster025_167,3,raw,0.4
cluster025_174,3,raw,0.4
cluster025_175,4,raw,0.4
cluster025_186,4,raw,0.4
cluster025_189,5,raw,0.4
cluster025_190,4,raw,0.4
cluster025_191,4,raw,0.4
cluster025_192,4,raw,0.4
cluster025_202,4,raw,0.4
cluster025_204,4,raw,0.4
cluster025_207,4,raw,0.4
cluster025_211,4,raw,0.4
cluster025_212,4,raw,0.4
