,cluster025_1,cluster025_7,cluster025_13,cluster025_14,cluster025_21,cluster025_27,cluster025_29,cluster025_30,cluster025_31,cluster025_32,cluster025_33,cluster025_40,cluster025_41,cluster025_43,cluster025_45,cluster025_46,cluster025_47,cluster025_50,cluster025_57,cluster025_61,cluster025_62,cluster025_63,cluster025_64,cluster025_66,cluster025_69,cluster025_71,cluster025_72,cluster025_73,cluster025_74,cluster025_75,cluster025_76,cluster025_80,cluster025_81,cluster025_82,cluster025_86,cluster025_104,cluster025_109,cluster025_110,cluster025_111,cluster025_112,cluster025_119,cluster025_120,cluster025_121,cluster025_122,cluster025_132,cluster025_136,cluster025_154,cluster025_156,cluster025_164,cluster025_166,cluster025_167,cluster025_174,cluster025_175,cluster025_186,cluster025_189,cluster025_190,cluster025_191,cluster025_192,cluster025_202,cluster025_204,cluster025_207,cluster025_211,cluster025_212
cluster025_1,1.0,0.2847375840932408,0.16528210385461395,0.37896638079426687,0.10512429837310933,0.45238170859738924,0.2141126756659062,0.210803517984046,0.44229736606850945,0.521206481479486,0.29066231805342735,0.3030624747806935,0.439405423413775,0.2110345434402231,0.24079269283934113,0.3871261920299118,0.5415800648543557,0.5402896326131492,0.2630551878928835,0.31093821081923323,0.5966764937125726,0.5334180819477704,0.7398125321293522,0.42043891806464045,0.6977877558977355,0.6386140341064502,0.7301872664178113,0.36211436158497623,0.06231105027247541,0.2737621073023206,0.3808743503635833,0.4844941604379469,0.359021606469234,0.38499845150657086,0.42903562387844074,-0.02447177968218396,0.07570794650282046,0.5680670464268072,0.3840116131115429,0.6037885054278833,0.26224518689517856,0.35937160591740686,0.5655161332039532,0.4530147081125304,0.5330587961519254,0.20645567662801187,0.3813646045901286,0.3611341428293838,0.4482748031391477,0.5023720962208106,0.2881678263264747,0.32944391238021803,0.2268788052070135,0.2932003193172638,0.29767710116628165,0.23317901651753098,0.4327183023251956,0.3885644583649626,0.287221752461386,0.39230847759449905,0.4418834559785982,0.17484481941283309,0.3641362415460432
cluster025_7,0.2847375840932408,1.0,0.7612038843134437,0.299402001528688,0.17117061962651597,0.19844273039953114,0.3185984528703786,0.7050005107867183,0.5187236510299527,0.488182283885882,0.3337197598760913,0.47618638914847145,0.7106662171107573,0.48260254264325564,0.3505137425756708,0.4366634429538774,0.46785748666167665,0.15647924099674956,0.7026585386233646,0.6775431083087532,0.4811441139904242,0.037415933779146364,0.3522622857392809,0.18965467366761052,0.5172022052406408,0.17566745312297263,0.2806242590892048,0.24524802111180685,0.5658740489455726,0.09822662875799645,0.26123055422399505,0.6223456960247353,0.08452409255461776,0.03814840277512205,-0.03770885403954574,0.46987162208438066,0.1240353464414123,0.004444335456659178,0.15816271546508706,0.0765330944777492,0.47429862364615233,0.23887506323816235,0.413870757962355,0.3029212579505426,0.6085259932788065,0.5983824027290073,0.6739697367229944,0.5664999437518595,0.5044121380984052,0.5544003677785367,0.5078650850605562,0.4090725683874626,0.7321115241450779,0.5192028654817689,0.4273999644823185,0.13034446364157729,0.33279759814085363,0.5301905617979502,0.4051703167353689,0.6445277824311669,0.37596610830434074,0.38689473918882034,0.40851765637866233
cluster025_13,0.16528210385461395,0.7612038843134437,1.0,0.45579504493452744,-0.0016976188079946691,0.22088794175510687,0.2835309595812407,0.6239248963675335,0.49425622369276534,0.6145561134453551,0.04775803911097129,0.6532690343424741,0.8083545628040255,0.6235539201526866,0.6461225844915723,0.6717747676635896,0.6635784435266712,0.1029010548187917,0.6253839849324213,0.8028665165459683,0.27446580701678136,-0.06824046026190157,0.1713056322982633,0.014787450858347548,0.37509811355704825,0.11476043590519523,-0.023763941734793306,0.3818968376929117,0.7441084518746179,0.3157154890201337,0.4965827508947217,0.7093094590520592,0.22118103433198838,-0.21463628268028434,-0.020706235798172216,0.38986943135507685,0.3194182412755881,0.12149976071164359,0.13877391940130687,0.2790028476154028,0.6847011347525086,0.26352745942403927,0.1991244874663132,0.5067298458150599,0.6638148356845124,0.7568340643184094,0.7504093309844999,0.4425453370560056,0.5368513587853285,0.553921341554425,0.44546868746700863,0.5036136849312226,0.7844864350045877,0.5095244779612571,0.49664528014062276,0.2765234097236643,0.4795941006629877,0.3881258510367217,0.5491308537182471,0.7356592049065976,0.2943095605376608,0.3760928160923049,0.5252471435940295
cluster025_14,0.37896638079426687,0.299402001528688,0.45579504493452744,1.0,0.2119686897088808,0.5265180798071827,0.5190552267793183,0.6236832006772366,0.7277746585606624,0.595682790069922,0.27523336075785104,0.7516835813573738,0.7309041950242391,0.45718428528290056,0.5208704926043182,0.6257682115583674,0.7067913887303836,0.45168799974289053,0.5381358311152605,0.6418729509767681,0.33568700437977417,0.19856987422467648,0.2681239764440635,0.4056290860703674,0.3518517869040747,0.34257137213991595,0.09423493312956954,0.8016815492674654,0.6785045765055575,0.208012410180612,0.6071993599968105,0.39885869054554984,0.40998327108478844,0.07843826534798132,0.4854373162462765,0.24667001355557278,0.45110172858096914,0.5555096409731252,-0.04806969691505462,0.6139915660087757,0.5521058322987689,0.46468286378060936,0.016854844927593163,0.5254447077676648,0.6386517442069918,0.3588784539595507,0.6607306362446519,0.14299307566376326,0.6230570506612105,0.55005647004967,0.0689649338377635,0.11833602896440597,0.4727709287632496,0.359240502159548,0.349684593021775,0.7020023841337386,0.6530950836684358,0.423274554950825,0.5676101991222082,0.5222304619435194,0.45984462903884665,0.5826419460518852,0.5298018644717701
cluster025_21,0.10512429837310933,0.17117061962651597,-0.0016976188079946691,0.2119686897088808,1.0,0.5103025863484176,0.6827161249994002,0.5211764934633468,0.5672586302683875,0.12301786933089708,0.59155041767932,0.1737137254621936,0.15028035471072315,-0.030891106921254022,-0.2834747884738346,0.10727253388005793,-0.015431931546218592,0.41056451936842786,0.32290978994001635,-0.052980549224927086,0.3175758693636242,0.0696374991130324,-0.048910416595178495,0.19232473723663793,-0.15887840607833106,-0.0195497902512741,0.17769881338395313,0.10834034607069776,0.06250449796736066,-0.35662775157410265,0.282747513789912,-0.1535033963247961,0.4967181426054764,0.5466221173482894,0.4219589581118135,0.73459555778569,0.39542945063828494,0.11792618964976359,-0.26721361762722295,-0.020526217913002007,0.19528900245875122,0.2870289364696734,0.2818353412887343,0.09270357770263925,0.12083896225478129,-0.07935238422898822,0.23996770131909445,0.29854571010872005,0.3697422131478447,0.28780449961449844,0.13043712724183096,0.008490464210050572,0.13469719687168932,0.3335942496214341,-0.07868473921519421,0.09413829012714214,0.09410813291483466,0.33075148180799024,0.21569570898926801,0.21742269765621539,0.6072822298980466,0.4865120317268292,0.10428294783452585
cluster025_27,0.45238170859738924,0.19844273039953114,0.22088794175510687,0.5265180798071827,0.5103025863484176,1.0,0.6597850139245144,0.4319151045258172,0.7104627441482654,0.5352697643782084,0.3653641825130027,0.5245418852620382,0.47295800278212513,0.31416862313925836,0.2695156790760015,0.528602976019342,0.4719349142404391,0.6958194712179371,0.4465981877585397,0.3095254442069813,0.44148394526218165,0.41850558536368354,0.3518126363050701,0.5312403245477924,0.20645252830166655,0.47839095082885846,0.29586935576818213,0.5548870701209296,0.21577199401174466,-0.008752058964287268,0.6189213603005222,0.24077388450306947,0.6139047670126886,0.4444408125574354,0.6110399962694752,0.3811093760043706,0.6048265038744528,0.6259857194639256,0.026313694760085816,0.46956708797525254,0.45230683435181096,0.5937222327080314,0.2953190008403371,0.4895780386478017,0.46147219617011564,0.18860981774922228,0.3760046131032711,0.28973780993096887,0.7250463850632546,0.43471866924286634,0.15813108160863876,0.18979716727168588,0.17112698422354347,0.31171106269833865,0.29666670767766773,0.5491288401461134,0.5011563981972237,0.2683726358641953,0.3570349719619905,0.4037340735205589,0.6414227399126248,0.6303823278440776,0.4187944237311844
cluster025_29,0.2141126756659062,0.3185984528703786,0.2835309595812407,0.5190552267793183,0.6827161249994002,0.6597850139245144,1.0,0.6883096674431951,0.8754761181746946,0.523264960705945,0.6620326438306516,0.5127793129047356,0.48055995691939796,0.18063839726154346,0.09350477660635548,0.3987887971692454,0.31099980951765827,0.4761784328292605,0.5737003180636573,0.3703234010825535,0.30662991059843575,0.13439509819829065,0.04426897722766629,0.41358609620876163,0.10088844342313909,0.15039609399244527,0.04113029735699227,0.5604017148853911,0.43264931308655763,-0.16459708495520856,0.5299418269837142,0.08491542149374634,0.5350080384212634,0.3646993881978779,0.5094900412582675,0.6942551631194088,0.5876413433216713,0.3534157294083439,-0.0742206350034268,0.2713782129665648,0.35704129081190505,0.556292950614742,0.11469294998083816,0.3759490592374011,0.5137928905015161,0.20465032876472783,0.6242848281495021,0.30681759946535986,0.6908990498841474,0.4163547627872213,0.05898533219998745,-0.042042175926272685,0.3503872016580592,0.3166068765463075,0.07423271032103908,0.41052084944748835,0.45830516766327656,0.33069416032715676,0.38933120013879347,0.44600793693768387,0.6116441090239259,0.7330190029981107,0.3076162847686345
cluster025_30,0.210803517984046,0.7050005107867183,0.6239248963675335,0.6236832006772366,0.5211764934633468,0.4319151045258172,0.6883096674431951,1.0,0.8239669882233428,0.5412226446876831,0.5684751471889236,0.6564408782181615,0.7292068911791973,0.40489304215899735,0.266559653505634,0.5184630530051836,0.4853747916134684,0.3636053575130869,0.7319597822148087,0.6585938609805494,0.44711104447144,-0.004523289250985217,0.18820539175854256,0.31482438294060455,0.3269435378521857,0.09565131669552779,0.1596811310448087,0.5082202150949385,0.708432279262769,-0.024930684657058413,0.4988596169674392,0.4293782595342439,0.34983419316501563,0.181704413772426,0.2462708290785309,0.706550799682131,0.3939947866646142,0.17789886333190788,-0.10674841985091424,0.21270124125423095,0.5491651489646314,0.4267777358817446,0.2519077010772867,0.37199693477339724,0.6484784313068535,0.4627118183022333,0.7924663570839344,0.41179718741071986,0.6466701945277454,0.6807074033026937,0.33744831523564495,0.24161837800343355,0.6989355126671634,0.547818904718103,0.3076195545120161,0.3918795213719985,0.48168632276860135,0.6274316421701053,0.548084195910649,0.6394683392911699,0.6127713481933775,0.6843545707018616,0.5037977604013769
cluster025_31,0.44229736606850945,0.5187236510299527,0.49425622369276534,0.7277746585606624,0.5672586302683875,0.7104627441482654,0.8754761181746946,0.8239669882233428,1.0,0.7188125630139957,0.6434227238615732,0.7085258890098463,0.7270205388447757,0.3645292475408797,0.32235782067214025,0.6149980672593737,0.6032294627054008,0.6116757463417226,0.7088123701872979,0.6108747376168169,0.4979246290918245,0.24683983510160554,0.3227706586713277,0.509814722604373,0.3968306083939779,0.35456081691758184,0.25074285728394624,0.705173008273398,0.6000059930811897,0.0009659354219127753,0.6697052096743983,0.3885421770518103,0.5702498453936862,0.37274021769081805,0.5514226988342866,0.622920886923268,0.5542940265996572,0.49939394405318416,0.024986799649472084,0.47234051901763835,0.5496406122291749,0.6166743436696589,0.2696541680320145,0.5581236530292334,0.7369223866652336,0.40640660873521467,0.7871704463310512,0.40373643087594274,0.8094257370934197,0.6447096192864523,0.2014182573226058,0.18201961710290038,0.5439546561107067,0.4381696998304533,0.3089857599189365,0.5319143488834793,0.6480584531548378,0.5243113082207094,0.5536986744450476,0.6522546814769927,0.7112262735392306,0.7679858071569631,0.5076498612003116
cluster025_32,0.521206481479486,0.488182283885882,0.6145561134453551,0.595682790069922,0.12301786933089708,0.5352697643782084,0.523264960705945,0.5412226446876831,0.7188125630139957,1.0,0.2044249742699369,0.769412421186213,0.7637885185592279,0.5692654647312931,0.647674988172629,0.8265336115371136,0.8125589172897468,0.48565264847007017,0.553692187321124,0.7565177764327125,0.35109889810830464,0.3226230943823321,0.40419644014031947,0.3453492664895398,0.5124446614477756,0.4705585751920625,0.19059904100519637,0.6811220797944258,0.5666673942919849,0.3084977312408308,0.7390170640821173,0.6472748404677701,0.48792207320550474,0.11897374225568386,0.3552140668296909,0.31378839791168966,0.5554052529660829,0.5193943694054475,0.32484339834293846,0.47887233527193246,0.6626500280747688,0.5773872910464347,0.23473006520321674,0.6320700531531147,0.7176591281861284,0.6593173203973918,0.7090100541648792,0.4168703305320403,0.7697769063599537,0.5888951781461541,0.31874153696620106,0.36513443362022313,0.5769434407749706,0.4094626844096681,0.4243781964660897,0.541636526438987,0.5978601959503744,0.3002542068338892,0.5976318924314006,0.6660737921436287,0.4689400373075704,0.525837105484168,0.6118779339159901
