analysis,module,n_cluster_labels,n_multitrait_labels,n_singleton_labels,median_abs_within_module_r,max_abs_within_module_r,candidate_supported_labels,example_axis_ids,example_embeddings,similarity_threshold
residualized_human_exg,6,29,13,16,0.4576012092107485,0.8545213210176262,7,cluster025_13;cluster025_14;cluster025_32;cluster025_40;cluster025_41;cluster025_43;cluster025_45;cluster025_46;cluster025_47;cluster025_61;cluster025_73;cluster025_74,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535;embedding_mean_144;embedding_mean_657;embedding_std_98;embedding_std_707;embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808;embedding_mean_795;embedding_std_512;embedding_mean_46;embedding_std_532;embedding_mean_300;embedding_mean_474;embedding_mean_514;embedding_mean_619;embedding_mean_636;embedding_mean_739;embedding_mean_1003;embedding_std_117;embedding_std_243;embedding_std_496;embedding_mean_117;embedding_mean_150;embedding_mean_698;embedding_mean_907;embedding_mean_933;embedding_std_364;embedding_std_793;embedding_mean_80;embedding_mean_445;embedding_mean_690;embedding_std_1000;embedding_mean_28;embedding_mean_277;embedding_mean_302;embedding_mean_373;embedding_mean_598;embedding_mean_680;embedding_mean_720;embedding_mean_855;embedding_std_244;embedding_std_729;embedding_std_796;embedding_std_882,0.3
residualized_human_exg,7,10,6,4,0.4649561732089125,0.8646153419679902,0,cluster025_7;cluster025_21;cluster025_29;cluster025_30;cluster025_31;cluster025_57;cluster025_104;cluster025_166;cluster025_192;cluster025_211,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538;embedding_std_620;embedding_std_803;embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392;embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726;embedding_mean_577;embedding_std_711;embedding_std_897;embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807;embedding_mean_881;embedding_mean_952;embedding_mean_979;embedding_std_0;embedding_std_753;embedding_mean_908;embedding_std_156;embedding_std_27;embedding_std_531;embedding_std_1006,0.3
residualized_human_exg,2,8,5,3,0.4169111620267376,0.5873464507926649,3,cluster025_27;cluster025_33;cluster025_50;cluster025_66;cluster025_81;cluster025_82;cluster025_86;cluster025_207,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851;embedding_mean_40;embedding_mean_123;embedding_mean_186;embedding_mean_332;embedding_mean_432;embedding_mean_494;embedding_mean_666;embedding_mean_674;embedding_mean_742;embedding_mean_942;embedding_mean_1016;embedding_std_76;embedding_std_567;embedding_mean_973;embedding_std_255;embedding_mean_163;embedding_mean_26;embedding_std_968;embedding_std_172;embedding_std_935;embedding_std_839,0.3
residualized_human_exg,3,8,7,1,0.4670995414591451,0.7394356442263466,6,cluster025_1;cluster025_62;cluster025_63;cluster025_64;cluster025_69;cluster025_71;cluster025_72;cluster025_121,embedding_mean_430;embedding_mean_746;embedding_mean_408;embedding_mean_978;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847;embedding_mean_59;embedding_mean_846;embedding_std_89;embedding_mean_155;embedding_mean_210;embedding_std_785;embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756;embedding_mean_68;embedding_mean_903;embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165;embedding_mean_172;embedding_mean_178;embedding_mean_192;embedding_mean_204;embedding_mean_191,0.3
residualized_human_exg,1,2,2,0,0.5086295739645963,0.5086295739645963,0,cluster025_75;cluster025_111,embedding_mean_740;embedding_mean_1022;embedding_std_1022;embedding_mean_152;embedding_mean_421,0.3
residualized_human_exg,9,2,0,2,0.3954524802952905,0.3954524802952905,0,cluster025_167;cluster025_174,embedding_std_65;embedding_std_111,0.3
residualized_human_exg,4,1,0,1,,,0,cluster025_120,embedding_mean_161,0.3
residualized_human_exg,5,1,0,1,,,0,cluster025_156,embedding_mean_844,0.3
residualized_human_exg,8,1,0,1,,,0,cluster025_186,embedding_std_421,0.3
residualized_human_exg,10,1,0,1,,,0,cluster025_189,embedding_std_466,0.3
