axis_id,module,analysis,similarity_threshold
cluster025_1,3,residualized_human_exg,0.3
cluster025_7,7,residualized_human_exg,0.3
cluster025_13,6,residualized_human_exg,0.3
cluster025_14,6,residualized_human_exg,0.3
cluster025_21,7,residualized_human_exg,0.3
cluster025_27,2,residualized_human_exg,0.3
cluster025_29,7,residualized_human_exg,0.3
cluster025_30,7,residualized_human_exg,0.3
cluster025_31,7,residualized_human_exg,0.3
cluster025_32,6,residualized_human_exg,0.3
cluster025_33,2,residualized_human_exg,0.3
cluster025_40,6,residualized_human_exg,0.3
cluster025_41,6,residualized_human_exg,0.3
cluster025_43,6,residualized_human_exg,0.3
cluster025_45,6,residualized_human_exg,0.3
cluster025_46,6,residualized_human_exg,0.3
cluster025_47,6,residualized_human_exg,0.3
cluster025_50,2,residualized_human_exg,0.3
cluster025_57,7,residualized_human_exg,0.3
cluster025_61,6,residualized_human_exg,0.3
cluster025_62,3,residualized_human_exg,0.3
cluster025_63,3,residualized_human_exg,0.3
cluster025_64,3,residualized_human_exg,0.3
cluster025_66,2,residualized_human_exg,0.3
cluster025_69,3,residualized_human_exg,0.3
cluster025_71,3,residualized_human_exg,0.3
cluster025_72,3,residualized_human_exg,0.3
cluster025_73,6,residualized_human_exg,0.3
cluster025_74,6,residualized_human_exg,0.3
cluster025_75,1,residualized_human_exg,0.3
cluster025_76,6,residualized_human_exg,0.3
cluster025_80,6,residualized_human_exg,0.3
cluster025_81,2,residualized_human_exg,0.3
cluster025_82,2,residualized_human_exg,0.3
cluster025_86,2,residualized_human_exg,0.3
cluster025_104,7,residualized_human_exg,0.3
cluster025_109,6,residualized_human_exg,0.3
cluster025_110,6,residualized_human_exg,0.3
cluster025_111,1,residualized_human_exg,0.3
cluster025_112,6,residualized_human_exg,0.3
cluster025_119,6,residualized_human_exg,0.3
cluster025_120,4,residualized_human_exg,0.3
cluster025_121,3,residualized_human_exg,0.3
cluster025_122,6,residualized_human_exg,0.3
cluster025_132,6,residualized_human_exg,0.3
cluster025_136,6,residualized_human_exg,0.3
cluster025_154,6,residualized_human_exg,0.3
cluster025_156,5,residualized_human_exg,0.3
cluster025_164,6,residualized_human_exg,0.3
cluster025_166,7,residualized_human_exg,0.3
cluster025_167,9,residualized_human_exg,0.3
cluster025_174,9,residualized_human_exg,0.3
cluster025_175,6,residualized_human_exg,0.3
cluster025_186,8,residualized_human_exg,0.3
cluster025_189,10,residualized_human_exg,0.3
cluster025_190,6,residualized_human_exg,0.3
cluster025_191,6,residualized_human_exg,0.3
cluster025_192,7,residualized_human_exg,0.3
cluster025_202,6,residualized_human_exg,0.3
cluster025_204,6,residualized_human_exg,0.3
cluster025_207,2,residualized_human_exg,0.3
cluster025_211,7,residualized_human_exg,0.3
cluster025_212,6,residualized_human_exg,0.3
