axis_id,cluster025,n_embeddings,cluster_type,median_max_abs_severity_r,max_abs_severity_r,has_validated_or_proposed_locus,has_validated_locus,example_embeddings
cluster025_1,1,2,multi_trait,0.5153027692123389,0.5374738932612044,False,False,embedding_mean_430;embedding_mean_746
cluster025_7,7,10,multi_trait,0.3641946667552038,0.5611066769364046,False,False,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538;embedding_std_620;embedding_std_803
cluster025_13,13,4,multi_trait,0.3271095813396166,0.5177178128324715,False,False,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
cluster025_14,14,1,singleton,0.5235704513328068,0.5235704513328068,False,False,embedding_mean_144
cluster025_21,21,4,multi_trait,0.310842605126316,0.4732214214715551,False,False,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
cluster025_27,27,5,multi_trait,0.389861679663703,0.5212483813797723,False,False,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
cluster025_29,29,4,multi_trait,0.4443352340946419,0.4973433672802653,False,False,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726
cluster025_30,30,3,multi_trait,0.4244092438728558,0.5250279836386389,False,False,embedding_mean_577;embedding_std_711;embedding_std_897
cluster025_31,31,27,multi_trait,0.4482113558575737,0.6686775402116548,False,False,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807;embedding_mean_881;embedding_mean_952;embedding_mean_979;embedding_std_0
cluster025_32,32,1,singleton,0.6309847212071056,0.6309847212071056,False,False,embedding_mean_657
cluster025_33,33,21,multi_trait,0.2644305954650773,0.5697291463666836,True,True,embedding_mean_40;embedding_mean_123;embedding_mean_186;embedding_mean_332;embedding_mean_432;embedding_mean_494;embedding_mean_666;embedding_mean_674;embedding_mean_742;embedding_mean_942;embedding_mean_1016;embedding_std_76
cluster025_40,40,2,multi_trait,0.5049037587281335,0.5507207430610142,True,True,embedding_std_98;embedding_std_707
cluster025_41,41,5,multi_trait,0.5739258301914204,0.6325992809876417,True,True,embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808
cluster025_43,43,2,multi_trait,0.3882680762609842,0.4756742659166684,False,False,embedding_mean_795;embedding_std_512
cluster025_45,45,2,multi_trait,0.3917577477174835,0.4712706042363412,True,True,embedding_mean_46;embedding_std_532
cluster025_46,46,10,multi_trait,0.5135367966003048,0.6468531834688949,True,True,embedding_mean_300;embedding_mean_474;embedding_mean_514;embedding_mean_619;embedding_mean_636;embedding_mean_739;embedding_mean_1003;embedding_std_117;embedding_std_243;embedding_std_496
cluster025_47,47,3,multi_trait,0.589186707607703,0.6257931503245845,True,True,embedding_mean_117;embedding_mean_150;embedding_mean_698
cluster025_50,50,1,singleton,0.6047899261469911,0.6047899261469911,False,False,embedding_std_567
cluster025_57,57,1,singleton,0.4274964593268958,0.4274964593268958,False,False,embedding_std_753
cluster025_61,61,4,multi_trait,0.5160795201139775,0.6276643104545468,True,True,embedding_mean_907;embedding_mean_933;embedding_std_364;embedding_std_793
cluster025_62,62,8,multi_trait,0.3770364791633294,0.5200566075020963,True,True,embedding_mean_408;embedding_mean_978;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847
cluster025_63,63,3,multi_trait,0.32985454862832,0.5236187921862129,True,True,embedding_mean_59;embedding_mean_846;embedding_std_89
cluster025_64,64,3,multi_trait,0.3793065006345797,0.6650398477414227,True,True,embedding_mean_155;embedding_mean_210;embedding_std_785
cluster025_66,66,2,multi_trait,0.3833560950044954,0.4567874647631279,True,True,embedding_mean_973;embedding_std_255
cluster025_69,69,4,multi_trait,0.4542671541885136,0.5278558471962513,True,True,embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756
cluster025_71,71,2,multi_trait,0.4380844510619788,0.6199060465008739,True,True,embedding_mean_68;embedding_mean_903
cluster025_72,72,140,multi_trait,0.2801031083746585,0.6521161390806277,True,True,embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165;embedding_mean_172;embedding_mean_178;embedding_mean_192;embedding_mean_204
cluster025_73,73,4,multi_trait,0.4148632416914942,0.5321092690018489,False,False,embedding_mean_80;embedding_mean_445;embedding_mean_690;embedding_std_1000
cluster025_74,74,15,multi_trait,0.2866563964780468,0.5432506884444963,True,True,embedding_mean_28;embedding_mean_277;embedding_mean_302;embedding_mean_373;embedding_mean_598;embedding_mean_680;embedding_mean_720;embedding_mean_855;embedding_std_244;embedding_std_729;embedding_std_796;embedding_std_882
cluster025_75,75,3,multi_trait,0.1666569353862978,0.539400719823625,False,False,embedding_mean_740;embedding_mean_1022;embedding_std_1022
cluster025_76,76,2,multi_trait,0.552951943250751,0.5672666506255185,False,False,embedding_mean_337;embedding_mean_616
cluster025_80,80,1,singleton,0.5246520459239279,0.5246520459239279,False,False,embedding_mean_181
cluster025_81,81,1,singleton,0.484231491514372,0.484231491514372,False,False,embedding_mean_163
cluster025_82,82,2,multi_trait,0.4105566267843393,0.6204592372125909,False,False,embedding_mean_26;embedding_std_968
cluster025_86,86,2,multi_trait,0.3547411736667226,0.5036256691069243,False,False,embedding_std_172;embedding_std_935
cluster025_104,104,2,multi_trait,0.2815679903883962,0.4970697906001693,False,False,embedding_mean_908;embedding_std_156
cluster025_109,109,2,multi_trait,0.3673746590910333,0.4752918150818439,False,False,embedding_mean_87;embedding_mean_594
cluster025_110,110,2,multi_trait,0.4067595827314239,0.595145277287318,False,False,embedding_mean_476;embedding_mean_548
cluster025_111,111,2,multi_trait,0.2689349476714361,0.440239911236581,False,False,embedding_mean_152;embedding_mean_421
cluster025_112,112,1,singleton,0.4698674158106938,0.4698674158106938,False,False,embedding_mean_3
