locus_id,CHROM,start,end,n_markers
1:1996062-1996062,1,1996062,1996062,1
1:2229056-2229056,1,2229056,2229056,1
1:4360586-4360586,1,4360586,4360586,1
1:6738560-6739566,1,6738560,6739566,3
1:7879218-7879218,1,7879218,7879218,1
1:8148280-8148280,1,8148280,8148280,1
1:8673651-8673651,1,8673651,8673651,1
1:9361968-9383332,1,9361968,9383332,7
1:11488376-11488593,1,11488376,11488593,3
1:11791459-11910978,1,11791459,11910978,4
1:12278772-12280514,1,12278772,12280514,2
1:12544280-12547681,1,12544280,12547681,7
1:13272248-13272248,1,13272248,13272248,1
1:13484979-13484987,1,13484979,13484987,5
1:15073139-15073499,1,15073139,15073499,2
1:15309551-15309551,1,15309551,15309551,1
1:15780080-15922053,1,15780080,15922053,13
1:17271208-17271208,1,17271208,17271208,1
1:17809885-17809885,1,17809885,17809885,1
1:18586390-18586390,1,18586390,18586390,1
1:19500196-19500196,1,19500196,19500196,1
1:19824965-19935070,1,19824965,19935070,4
1:21063410-21361507,1,21063410,21361507,8
1:26437823-26437824,1,26437823,26437824,2
1:27714662-27714662,1,27714662,27714662,1
1:30233553-30233553,1,30233553,30233553,1
1:30543496-30543496,1,30543496,30543496,2
1:31367421-31367421,1,31367421,31367421,1
1:34316602-34316602,1,34316602,34316602,1
1:50726729-50726729,1,50726729,50726729,1
1:56640579-56744059,1,56640579,56744059,10
1:58741100-58829354,1,58741100,58829354,2
1:59653375-59653375,1,59653375,59653375,1
1:63687041-63687041,1,63687041,63687041,1
1:65358296-65371952,1,65358296,65371952,17
1:65781144-65781192,1,65781144,65781192,2
1:67935025-68019206,1,67935025,68019206,7
1:70131883-70281131,1,70131883,70281131,3
1:71565160-71565160,1,71565160,71565160,1
1:71800475-71800475,1,71800475,71800475,1
1:75116681-75234437,1,75116681,75234437,5
1:77389566-77389566,1,77389566,77389566,1
1:80473742-80648959,1,80473742,80648959,5
1:82137074-82137074,1,82137074,82137074,1
1:82441311-82491389,1,82441311,82491389,11
1:83433148-83433148,1,83433148,83433148,1
1:84686921-84699328,1,84686921,84699328,2
10:1754042-1754290,10,1754042,1754290,2
10:4212461-4334630,10,4212461,4334630,23
10:6527029-6527029,10,6527029,6527029,1
10:11736237-11837294,10,11736237,11837294,4
10:12350947-12404276,10,12350947,12404276,3
10:14471979-14471979,10,14471979,14471979,1
10:15260365-15260365,10,15260365,15260365,1
10:15543614-15543614,10,15543614,15543614,3
10:16886003-16886003,10,16886003,16886003,2
10:18418548-18418548,10,18418548,18418548,2
10:25249269-25249269,10,25249269,25249269,1
10:32123681-32123681,10,32123681,32123681,2
10:35218155-35218155,10,35218155,35218155,2
10:45370435-45426181,10,45370435,45426181,3
10:46979362-46979362,10,46979362,46979362,2
10:50228788-50228788,10,50228788,50228788,1
10:51055703-51238018,10,51055703,51238018,5
10:51759875-51859180,10,51759875,51859180,7
10:52225998-52225998,10,52225998,52225998,1
10:55109878-55109878,10,55109878,55109878,1
10:56862552-56862729,10,56862552,56862729,2
