gene_id,category,source_sheet,CHROM,start,end
Sobic.001G194000,validated_anthracnose,validated,1.0,17426586.0,17427580.0
Sobic.001G329100,validated_anthracnose,validated,1.0,65789783.0,65792511.0
Sobic.002G122700,validated_anthracnose,validated,2.0,16484186.0,16486565.0
Sobic.002G131800,validated_anthracnose,validated,2.0,18974786.0,18977861.0
Sobic.002G202700,validated_anthracnose,validated,2.0,60537000.0,60538932.0
Sobic.002G260900,validated_anthracnose,validated,2.0,65897243.0,65901948.0
Sobic.002G282600,validated_anthracnose,validated,2.0,67688567.0,67695088.0
Sobic.003G296300,validated_anthracnose,validated,3.0,69154112.0,69156512.0
Sobic.003G314200,validated_anthracnose,validated,3.0,70572238.0,70575547.0
Sobic.003G370700,validated_anthracnose,validated,3.0,75064076.0,75067622.0
Sobic.003G385500,validated_anthracnose,validated,3.0,76185705.0,76189737.0
Sobic.004G065900,validated_anthracnose,validated,4.0,5426349.0,5428356.0
Sobic.004G093200,validated_anthracnose,validated,4.0,8027209.0,8029206.0
Sobic.004G245100,validated_anthracnose,validated,4.0,61825486.0,61827282.0
Sobic.005G047700,validated_anthracnose,validated,5.0,4568942.0,4573592.0
Sobic.005G126200,validated_anthracnose,validated,5.0,59834506.0,59836269.0
Sobic.006G217900,validated_anthracnose,validated,6.0,57933852.0,57938325.0
Sobic.007G059600,validated_anthracnose,validated,7.0,6210990.0,6217588.0
Sobic.007G068500,validated_anthracnose,validated,7.0,7619713.0,7622169.0
Sobic.007G085350,validated_anthracnose,validated,7.0,10868925.0,10875359.0
Sobic.007G085400,validated_anthracnose,validated,,,
Sobic.008G079600,validated_anthracnose,validated,8.0,13174948.0,13196201.0
Sobic.008G166400,validated_anthracnose,validated,8.0,63090807.0,63097742.0
Sobic.008G177900,validated_anthracnose,validated,8.0,64261462.0,64266034.0
Sobic.009G011700,validated_anthracnose,validated,9.0,1061691.0,1065173.0
Sobic.009G049800,validated_anthracnose,validated,9.0,4996928.0,5014837.0
Sobic.009G204300,validated_anthracnose,validated,9.0,59093370.0,59101151.0
Sobic.009G217900,validated_anthracnose,validated,9.0,60010750.0,60014092.0
Sobic.009G221266,validated_anthracnose,validated,9.0,60240331.0,60245571.0
Sobic.010G159500,validated_anthracnose,validated,10.0,48433155.0,48434073.0
Sobic.004G019400,validated_anthracnose,validated,4.0,1598436.0,1601841.0
Sobic.005G053200,proposed_anthracnose,candidates,5.0,5427424.0,5440215.0
Sobic.005G053800,proposed_anthracnose,candidates,5.0,5519370.0,5540853.0
Sobic.005G053900,proposed_anthracnose,candidates,5.0,5544063.0,5554413.0
Sobic.002G393800,proposed_anthracnose,candidates,2.0,75991820.0,75996142.0
Sobic.010G017300,proposed_anthracnose,candidates,,,
Sobic.002G104500,proposed_anthracnose,candidates,2.0,12386549.0,12390557.0
Sobic.005G192300,proposed_anthracnose,candidates,5.0,72681205.0,72686936.0
Sobic.002G072000,proposed_anthracnose,candidates,2.0,7352143.0,7362850.0
Sobic.005G218400,proposed_anthracnose,candidates,5.0,75598577.0,75608733.0
Sobic.010G248500,proposed_anthracnose,candidates,10.0,60435197.0,60440155.0
Sobic.005G218700,proposed_anthracnose,candidates,5.0,75643554.0,75653503.0
Sobic.005G062900,proposed_anthracnose,candidates,5.0,6976694.0,6981248.0
Sobic.002G398100,proposed_anthracnose,candidates,2.0,76304856.0,76308290.0
Sobic.005G046250,proposed_anthracnose,candidates,,,
Sobic.009G019800,proposed_anthracnose,candidates,9.0,1803200.0,1809902.0
Sobic.008G067800,proposed_anthracnose,candidates,8.0,7943761.0,7948964.0
Sobic.005G167500,proposed_anthracnose,candidates,5.0,69605415.0,69624066.0
Sobic.005G167400,proposed_anthracnose,candidates,5.0,69581723.0,69593749.0
Sobic.005G183500,proposed_anthracnose,candidates,5.0,71866672.0,71871221.0
Sobic.005G183300,proposed_anthracnose,candidates,5.0,71756657.0,71765621.0
Sobic.002G013800,proposed_anthracnose,candidates,2.0,1228002.0,1237194.0
Sobic.008G167500,proposed_anthracnose,candidates,8.0,63249591.0,63254225.0
Sobic.004G117000,proposed_anthracnose,candidates,4.0,12489183.0,12495554.0
Sobic.006G050700,proposed_anthracnose,candidates,6.0,39243200.0,39248390.0
Sobic.002G169633,proposed_anthracnose,candidates,2.0,54816015.0,54848677.0
