gene_id,category,source_sheet,CHROM,gene_start,gene_end,locus_id,locus_start,locus_end
Sobic.001G194000,validated_anthracnose,validated,1,17426586,17427580,1:17271208-17271208,17271208,17271208
Sobic.001G329100,validated_anthracnose,validated,1,65789783,65792511,1:65781144-65781192,65781144,65781192
Sobic.002G122700,validated_anthracnose,validated,2,16484186,16486565,2:16439079-16590322,16439079,16590322
Sobic.002G202700,validated_anthracnose,validated,2,60537000,60538932,2:60441547-60624678,60441547,60624678
Sobic.002G260900,validated_anthracnose,validated,2,65897243,65901948,2:65274344-65906142,65274344,65906142
Sobic.003G296300,validated_anthracnose,validated,3,69154112,69156512,3:68986686-69061733,68986686,69061733
Sobic.003G385500,validated_anthracnose,validated,3,76185705,76189737,3:76282336-76285032,76282336,76285032
Sobic.004G065900,validated_anthracnose,validated,4,5426349,5428356,4:5551725-5551726,5551725,5551726
Sobic.005G126200,validated_anthracnose,validated,5,59834506,59836269,5:60007887-60022551,60007887,60022551
Sobic.006G217900,validated_anthracnose,validated,6,57933852,57938325,6:57881583-58658248,57881583,58658248
Sobic.007G059600,validated_anthracnose,validated,7,6210990,6217588,7:6254946-6264107,6254946,6264107
Sobic.008G177900,validated_anthracnose,validated,8,64261462,64266034,8:64278022-64278022,64278022,64278022
Sobic.009G217900,validated_anthracnose,validated,9,60010750,60014092,9:59312854-62791172,59312854,62791172
Sobic.009G221266,validated_anthracnose,validated,9,60240331,60245571,9:59312854-62791172,59312854,62791172
Sobic.005G192300,proposed_anthracnose,candidates,5,72681205,72686936,5:72869134-72886963,72869134,72886963
Sobic.005G218400,proposed_anthracnose,candidates,5,75598577,75608733,5:75480893-75482045,75480893,75482045
Sobic.005G218700,proposed_anthracnose,candidates,5,75643554,75653503,5:75480893-75482045,75480893,75482045
Sobic.005G062900,proposed_anthracnose,candidates,5,6976694,6981248,5:6917086-6917086,6917086,6917086
Sobic.009G019800,proposed_anthracnose,candidates,9,1803200,1809902,9:1769324-1769324,1769324,1769324
Sobic.004G117000,proposed_anthracnose,candidates,4,12489183,12495554,4:12508103-12527917,12508103,12527917
Sobic.008G178500,proposed_anthracnose,candidates,8,64299260,64306364,8:64278022-64278022,64278022,64278022
Sobic.009G221000,proposed_anthracnose,candidates,9,60218404,60223920,9:59312854-62791172,59312854,62791172
Sobic.005G218201,proposed_anthracnose,candidates,5,75571929,75588530,5:75480893-75482045,75480893,75482045
Sobic.007G189200,proposed_anthracnose,candidates,7,65571517,65576851,7:65419286-65574115,65419286,65574115
Sobic.008G150100,proposed_anthracnose,candidates,8,61372311,61379658,8:61149182-61508991,61149182,61508991
Sobic.008G178300,proposed_anthracnose,candidates,8,64284348,64290055,8:64278022-64278022,64278022,64278022
Sobic.005G075600,proposed_anthracnose,candidates,5,9476986,9482647,5:9659089-9659089,9659089,9659089
Sobic.005G076100,proposed_anthracnose,candidates,5,9529827,9536019,5:9659089-9659089,9659089,9659089
Sobic.005G102900,proposed_anthracnose,candidates,5,18297722,18309211,5:18116914-18116914,18116914,18116914
Sobic.009G008800,proposed_anthracnose,candidates,9,832089,833741,9:811491-811491,811491,811491
Sobic.005G194700,proposed_anthracnose,candidates,5,72939186,72942080,5:72869134-72886963,72869134,72886963
Sobic.002G268900,proposed_anthracnose,candidates,2,66577218,66581730,2:66514947-66514947,66514947,66514947
Sobic.003G118600,proposed_anthracnose,candidates,3,10783884,10794734,3:10815367-10815367,10815367,10815367
